person_id,occasion,situation_type,goal_activation,threat_appraisal,challenge_appraisal,self_efficacy,self_regulation,emotional_arousal,perceived_support,prosocial_behavior,avoidance_behavior,task_persistence,appraisal_balance,regulation_capacity,approach_orientation,avoidance_pressure
SCP003,6,rejection_cue,3.406,3.770,2.640,5.557,4.893,2.914,2.768,3.612,1.040,4.336,-1.130,5.225,3.867,3.639
SCP003,7,autonomy_opportunity,3.899,2.425,5.669,6.398,6.139,1.237,3.834,4.371,1.000,5.097,3.244,6.269,5.322,2.276
SCP003,8,conflict_repair,4.855,2.413,5.224,6.001,5.127,2.318,3.844,4.444,1.000,4.681,2.811,5.564,5.360,2.629
SCP004,1,supportive_feedback,5.091,3.183,4.587,3.938,3.369,2.674,4.051,4.612,1.704,4.554,1.403,3.653,4.539,2.936
SCP004,2,ambiguous_social_signal,5.148,3.613,3.727,3.302,2.970,3.245,3.471,4.101,2.489,4.909,0.113,3.136,4.059,3.462
SCP004,3,performance_challenge,5.806,3.649,5.164,3.547,3.303,3.420,4.136,3.279,2.043,4.280,1.515,3.425,4.839,3.311
SCP004,4,authority_evaluation,4.124,4.375,2.871,2.063,3.289,4.264,2.494,2.718,3.380,2.813,-1.505,2.676,3.019,4.382
SCP004,5,collaborative_task,4.395,3.133,4.660,3.578,3.228,2.600,3.671,4.508,2.143,3.123,1.527,3.403,4.211,3.021
SCP004,6,rejection_cue,5.244,4.344,2.509,2.946,2.950,3.414,1.942,3.007,3.042,2.915,-1.836,2.948,3.566,4.272
SCP004,7,autonomy_opportunity,5.098,2.643,4.821,4.031,3.416,2.262,2.649,3.723,1.474,4.285,2.178,3.724,4.650,3.085
SCP004,8,conflict_repair,5.545,3.866,3.236,2.778,3.695,2.524,3.676,3.850,2.647,2.896,-0.629,3.237,3.853,3.238
SCP005,1,supportive_feedback,2.874,2.611,5.666,5.289,5.164,2.675,4.419,4.573,1.000,4.384,3.055,5.226,4.610,2.622
SCP005,2,ambiguous_social_signal,3.204,3.829,3.207,4.210,4.061,3.306,4.111,3.527,2.401,3.262,-0.623,4.136,3.541,3.341
SCP005,3,performance_challenge,2.581,2.588,5.448,5.106,4.045,1.611,4.047,2.820,1.305,4.128,2.860,4.575,4.378,2.384
SCP005,4,authority_evaluation,3.169,3.848,3.703,3.582,4.719,2.908,3.233,3.840,2.379,3.480,-0.146,4.150,3.485,3.508
SCP005,5,collaborative_task,3.490,2.014,4.879,5.895,4.506,1.652,4.600,3.807,1.000,4.259,2.865,5.201,4.755,2.022
SCP005,6,rejection_cue,3.663,4.456,1.859,3.221,3.765,3.477,3.229,2.788,2.937,3.593,-2.597,3.493,2.915,3.902
SCP005,7,autonomy_opportunity,3.175,2.306,5.151,5.455,5.231,1.295,4.373,3.888,1.000,3.889,2.845,5.343,4.594,2.076
SCP005,8,conflict_repair,3.190,3.486,4.549,4.823,3.999,2.822,4.209,3.733,1.427,3.878,1.063,4.411,4.187,3.033
SCP006,1,supportive_feedback,5.368,3.260,5.517,3.743,3.783,2.606,3.948,4.102,2.139,5.047,2.257,3.763,4.876,2.973
SCP006,2,ambiguous_social_signal,4.220,3.714,3.095,3.221,3.066,2.490,3.931,3.151,1.697,4.427,-0.619,3.144,3.512,3.091
SCP006,3,performance_challenge,6.065,3.451,4.327,2.906,3.529,2.345,3.893,4.065,1.531,4.109,0.875,3.218,4.433,2.968
SCP006,4,authority_evaluation,5.391,3.850,3.117,1.895,3.188,2.985,2.744,2.896,2.820,3.535,-0.733,2.542,3.468,3.697
SCP006,5,collaborative_task,5.023,2.987,5.073,3.944,3.895,2.929,4.613,3.456,1.552,4.142,2.086,3.919,4.680,2.768
SCP006,6,rejection_cue,4.552,3.969,2.995,2.236,3.651,3.209,3.297,3.151,2.640,3.315,-0.974,2.944,3.261,3.627
SCP006,7,autonomy_opportunity,5.330,2.784,4.954,3.849,3.537,2.306,4.057,3.737,1.685,4.361,2.170,3.693,4.711,2.678
SCP006,8,conflict_repair,4.370,3.421,3.973,3.313,3.246,2.628,4.439,3.471,1.090,3.831,0.552,3.279,3.885,2.870
SCP007,1,supportive_feedback,3.556,2.016,5.656,5.686,6.511,1.634,4.779,4.836,1.000,4.935,3.640,6.098,4.966,1.957
SCP007,2,ambiguous_social_signal,3.967,2.494,3.008,5.087,4.911,2.283,3.237,3.963,1.312,4.447,0.514,4.999,4.021,2.847
SCP007,3,performance_challenge,3.708,2.906,4.490,5.529,5.047,2.127,3.865,3.775,1.000,4.693,1.584,5.288,4.576,2.723
SCP007,4,authority_evaluation,3.526,2.943,3.857,5.316,5.923,3.031,4.200,4.082,2.150,4.770,0.914,5.620,4.233,2.925
SCP007,5,collaborative_task,3.413,2.603,4.866,6.118,5.446,1.796,4.167,4.057,1.072,4.683,2.262,5.782,4.799,2.411
SCP007,6,rejection_cue,2.804,4.042,2.629,5.103,5.477,2.903,3.910,3.014,1.903,3.632,-1.413,5.290,3.512,3.345
SCP007,7,autonomy_opportunity,4.479,1.928,5.275,6.557,5.606,2.620,4.599,4.691,1.000,4.953,3.347,6.081,5.437,2.316
SCP007,8,conflict_repair,3.420,2.641,4.407,5.471,5.026,1.407,3.412,3.838,1.000,4.166,1.767,5.249,4.433,2.545
SCP008,1,supportive_feedback,4.122,2.949,5.126,3.922,3.898,3.306,4.758,3.916,1.493,4.060,2.177,3.910,4.390,2.832
SCP008,2,ambiguous_social_signal,2.982,3.613,3.363,3.391,3.394,2.831,3.268,2.481,1.488,3.521,-0.250,3.393,3.246,3.392
SCP008,3,performance_challenge,3.644,3.349,5.050,4.087,4.186,2.693,3.212,3.724,2.281,3.875,1.701,4.136,4.260,3.277
SCP008,4,authority_evaluation,2.941,3.210,2.877,3.549,3.817,1.936,2.968,3.220,1.582,3.927,-0.333,3.683,3.122,3.059
SCP008,5,collaborative_task,3.807,2.800,4.174,4.318,4.102,2.616,4.613,3.938,1.339,4.170,1.375,4.210,4.100,2.601
SCP008,6,rejection_cue,4.074,3.780,2.719,2.810,4.039,2.881,2.960,3.713,3.135,2.742,-1.060,3.425,3.201,3.567
SCP008,7,autonomy_opportunity,3.401,2.733,5.240,3.827,3.442,1.634,3.639,3.529,1.000,3.834,2.507,3.634,4.156,2.576
SCP008,8,conflict_repair,3.181,3.451,3.956,4.238,3.670,2.584,4.286,3.235,1.684,3.090,0.505,3.954,3.792,2.917
SCP009,1,supportive_feedback,5.316,3.065,5.079,4.786,4.924,2.817,4.304,4.321,1.307,4.533,2.013,4.855,5.060,2.860
SCP009,2,ambiguous_social_signal,5.033,3.507,3.526,3.612,4.645,2.696,3.345,3.304,2.028,3.587,0.019,4.128,4.057,3.286
SCP009,3,performance_challenge,5.027,2.781,5.393,4.300,4.315,2.423,3.048,4.727,1.877,4.844,2.612,4.307,4.907,3.052
SCP009,4,authority_evaluation,4.516,3.113,3.167,4.727,4.971,2.497,3.609,3.598,1.038,4.352,0.054,4.849,4.137,3.001
SCP009,5,collaborative_task,4.757,1.332,4.551,4.811,4.525,1.757,3.829,4.819,1.000,4.838,3.219,4.668,4.706,2.087
SCP009,6,rejection_cue,4.510,3.852,2.644,4.419,4.268,3.258,3.261,3.155,1.798,4.286,-1.207,4.344,3.858,3.616
SCP009,7,autonomy_opportunity,5.291,2.181,5.832,4.799,4.785,1.829,3.595,5.019,1.277,4.982,3.651,4.792,5.307,2.472
SCP009,8,conflict_repair,5.241,3.340,4.662,5.588,5.127,3.325,4.135,4.545,1.798,5.040,1.322,5.358,5.164,3.177
SCP010,1,supportive_feedback,3.416,3.052,5.597,4.411,4.076,2.662,3.860,3.831,1.033,3.654,2.545,4.243,4.475,2.951
SCP010,2,ambiguous_social_signal,2.650,3.778,3.455,3.071,2.882,2.992,2.777,3.321,2.892,2.350,-0.323,2.977,3.059,3.665
SCP010,3,performance_challenge,3.406,3.678,4.734,3.241,3.675,1.988,3.128,3.007,2.179,2.858,1.056,3.458,3.794,3.180
SCP010,4,authority_evaluation,2.996,4.883,2.970,2.630,3.122,2.735,2.071,2.307,3.120,2.496,-1.913,2.876,2.865,4.182
SCP010,5,collaborative_task,3.534,2.325,4.365,3.433,3.293,1.961,3.464,3.338,1.000,3.757,2.039,3.363,3.777,2.607
SCP010,6,rejection_cue,3.668,4.155,2.419,2.408,3.257,3.043,2.471,2.594,2.007,3.064,-1.736,2.832,2.832,3.909
SCP010,7,autonomy_opportunity,2.940,2.809,4.160,3.177,2.801,2.436,2.717,3.445,2.083,3.003,1.351,2.989,3.426,3.176
SCP010,8,conflict_repair,3.278,4.735,4.020,2.409,3.061,3.845,2.476,2.033,3.275,2.977,-0.716,2.735,3.236,4.368
SCP011,1,supportive_feedback,4.951,1.000,6.025,7.000,7.000,1.138,4.406,5.107,1.000,5.584,5.025,7.000,5.992,1.577
SCP011,2,ambiguous_social_signal,4.878,3.021,4.089,5.841,6.416,2.798,3.002,4.426,1.793,5.173,1.068,6.129,4.936,3.272
SCP011,3,performance_challenge,4.419,1.545,5.581,6.381,6.335,1.000,2.390,4.276,1.000,5.763,4.035,6.358,5.460,2.385
SCP011,4,authority_evaluation,5.800,2.380,3.267,5.666,5.447,1.674,3.373,4.672,1.110,5.215,0.888,5.557,4.911,2.560
SCP011,5,collaborative_task,4.607,1.668,5.188,5.805,6.594,1.302,3.734,4.959,1.000,5.264,3.520,6.200,5.200,2.079
SCP011,6,rejection_cue,4.384,3.526,3.057,4.908,6.244,2.788,2.134,3.314,2.020,4.229,-0.469,5.576,4.116,3.727
SCP011,7,autonomy_opportunity,5.016,1.738,5.331,6.725,6.198,1.942,3.066,4.354,1.000,5.354,3.594,6.462,5.691,2.538
SCP011,8,conflict_repair,4.844,3.254,4.320,5.721,6.389,2.487,2.759,4.141,1.843,4.435,1.067,6.055,4.962,3.327
SCP012,1,supportive_feedback,3.991,3.261,5.348,4.504,2.809,2.818,3.363,3.637,2.749,3.698,2.087,3.656,4.614,3.239
SCP012,2,ambiguous_social_signal,4.165,2.956,3.593,3.931,3.693,1.895,2.002,3.456,1.811,3.890,0.637,3.812,3.897,3.283
SCP012,3,performance_challenge,4.754,3.539,4.946,3.241,3.809,2.578,3.147,4.243,2.374,3.459,1.408,3.525,4.314,3.323
SCP012,4,authority_evaluation,3.653,4.484,3.033,3.058,2.896,3.040,2.758,2.463,2.916,3.788,-1.450,2.977,3.248,3.922
SCP012,5,collaborative_task,4.531,2.510,4.897,4.645,3.719,2.490,3.173,3.967,1.418,4.170,2.386,4.182,4.691,2.942
SCP012,6,rejection_cue,3.561,4.832,2.859,3.477,4.076,2.747,2.106,2.989,3.034,3.176,-1.973,3.777,3.299,4.158
SCP012,7,autonomy_opportunity,4.489,2.906,5.442,4.075,3.690,2.614,3.461,4.954,1.875,4.390,2.536,3.883,4.669,3.020
SCP012,8,conflict_repair,4.498,3.905,3.721,4.665,3.105,3.023,3.220,3.298,1.417,4.137,-0.183,3.885,4.295,3.569
SCP013,1,supportive_feedback,3.994,2.740,5.539,5.870,6.182,1.611,4.345,4.012,1.101,5.195,2.800,6.026,5.135,2.335
SCP013,2,ambiguous_social_signal,3.011,2.432,3.663,5.737,5.445,2.363,3.312,3.681,1.000,4.702,1.231,5.591,4.137,2.828
SCP013,3,performance_challenge,3.226,2.390,6.019,6.157,6.072,2.195,3.349,4.209,1.550,4.985,3.629,6.115,5.134,2.745
SCP013,4,authority_evaluation,3.352,2.307,3.941,5.788,5.322,2.175,2.652,3.867,1.382,4.713,1.634,5.555,4.360,2.943
SCP013,5,collaborative_task,2.995,1.339,5.156,6.540,5.989,1.280,3.328,3.470,1.000,5.007,3.817,6.264,4.897,2.097
SCP013,6,rejection_cue,3.416,3.010,3.231,5.173,5.852,1.633,2.634,4.262,1.195,4.500,0.222,5.513,3.940,3.003
SCP013,7,autonomy_opportunity,3.651,1.095,6.045,6.852,6.055,1.419,3.710,4.669,1.000,5.363,4.950,6.454,5.516,1.935
SCP013,8,conflict_repair,3.898,2.335,4.768,6.188,6.069,1.866,3.374,4.126,1.310,4.336,2.433,6.129,4.951,2.609
SCP014,1,supportive_feedback,5.434,2.069,5.077,5.907,5.464,1.963,3.002,5.139,1.345,5.711,3.008,5.686,5.473,2.677
SCP014,2,ambiguous_social_signal,4.993,2.960,3.716,5.034,4.907,2.208,2.867,3.388,1.000,4.378,0.756,4.971,4.581,3.100
SCP014,3,performance_challenge,5.300,2.713,5.505,5.964,5.060,2.502,3.475,4.159,1.687,5.431,2.792,5.512,5.590,2.913
SCP014,4,authority_evaluation,5.061,3.356,3.426,4.959,5.475,2.551,2.621,3.572,2.041,4.590,0.071,5.217,4.482,3.428
SCP014,5,collaborative_task,5.017,2.529,5.298,5.746,5.619,1.944,3.060,4.176,1.064,5.115,2.769,5.683,5.354,2.804
SCP014,6,rejection_cue,5.363,3.808,3.264,4.772,5.203,3.149,1.586,3.491,1.868,4.525,-0.544,4.988,4.467,4.124
SCP014,7,autonomy_opportunity,5.797,1.660,6.080,6.311,5.704,1.498,2.780,5.350,1.000,5.890,4.421,6.008,6.063,2.459
SCP014,8,conflict_repair,5.238,2.384,4.425,5.852,5.383,1.076,3.174,4.579,1.000,5.739,2.041,5.618,5.171,2.429
SCP015,1,supportive_feedback,3.318,2.943,4.650,4.162,3.278,2.173,4.493,3.878,1.514,3.816,1.707,3.720,4.043,2.541
SCP015,2,ambiguous_social_signal,4.303,3.812,3.013,3.681,3.705,3.407,2.683,2.915,2.508,4.290,-0.799,3.693,3.666,3.845
SCP015,3,performance_challenge,5.087,3.564,5.232,3.504,3.671,2.997,3.195,3.795,2.464,3.897,1.668,3.588,4.608,3.455
SCP015,4,authority_evaluation,4.570,3.771,3.512,3.499,3.016,3.619,3.245,3.652,1.894,3.652,-0.260,3.257,3.860,3.715
SCP015,5,collaborative_task,4.221,3.032,4.413,3.776,3.722,2.795,4.212,3.365,1.161,3.183,1.381,3.749,4.137,2.872
SCP015,6,rejection_cue,3.374,3.878,2.272,2.933,2.670,3.237,1.889,3.334,2.431,2.652,-1.607,2.802,2.859,4.075
SCP015,7,autonomy_opportunity,3.889,2.011,5.331,3.894,3.930,2.417,4.092,4.036,1.651,4.685,3.319,3.912,4.371,2.445
SCP015,8,conflict_repair,4.090,3.415,4.337,3.488,3.805,2.578,3.512,3.378,1.401,3.487,0.921,3.647,3.972,3.160
SCP016,1,supportive_feedback,4.618,2.957,5.301,3.980,4.290,2.850,3.986,4.153,1.000,4.348,2.344,4.135,4.633,2.940
SCP016,2,ambiguous_social_signal,5.457,3.706,3.723,3.386,3.211,2.515,3.569,4.260,1.554,4.233,0.017,3.298,4.189,3.218
SCP016,3,performance_challenge,5.281,3.179,4.887,3.908,3.664,2.036,4.129,4.187,1.694,4.119,1.708,3.786,4.692,2.695
SCP016,4,authority_evaluation,4.491,4.568,2.959,3.035,3.201,4.150,3.519,3.241,2.391,3.010,-1.609,3.118,3.495,4.066
SCP016,5,collaborative_task,5.081,3.112,4.429,3.802,3.007,3.217,4.609,3.491,1.316,4.002,1.317,3.404,4.437,2.907
SCP016,6,rejection_cue,4.887,4.786,1.592,3.510,2.847,4.297,2.764,3.177,2.662,3.451,-3.194,3.179,3.330,4.440
SCP016,7,autonomy_opportunity,6.186,2.899,4.913,4.439,4.133,2.567,3.668,4.179,1.785,5.166,2.014,4.286,5.179,2.933
SCP016,8,conflict_repair,5.454,3.344,3.974,3.647,3.476,3.406,3.755,4.294,2.246,4.187,0.630,3.562,4.358,3.332
SCP017,1,supportive_feedback,3.879,1.973,4.475,4.627,4.369,2.166,3.949,4.117,1.000,4.474,2.502,4.498,4.327,2.397
SCP017,2,ambiguous_social_signal,4.337,3.853,3.856,4.814,4.550,3.192,3.488,3.043,1.593,3.992,0.003,4.682,4.336,3.519
SCP017,3,performance_challenge,3.479,2.979,5.309,5.333,4.003,1.721,3.209,3.125,1.441,4.593,2.331,4.668,4.707,2.830
SCP017,4,authority_evaluation,4.033,3.025,3.679,4.699,4.661,2.543,4.062,3.276,1.767,4.415,0.654,4.680,4.137,2.836
SCP017,5,collaborative_task,4.148,2.507,4.946,5.636,4.802,1.905,5.175,4.051,1.000,3.951,2.439,5.219,4.910,2.079
SCP017,6,rejection_cue,4.031,3.419,2.213,4.043,4.067,2.776,3.067,2.798,2.488,3.885,-1.206,4.055,3.429,3.376
SCP017,7,autonomy_opportunity,4.137,3.237,4.462,5.037,4.714,2.646,4.045,4.379,1.760,4.683,1.225,4.875,4.545,2.946
SCP017,8,conflict_repair,4.121,3.692,3.483,3.864,4.767,2.651,2.582,3.381,1.586,3.983,-0.209,4.315,3.823,3.587
SCP018,1,supportive_feedback,5.147,2.641,5.817,5.598,5.141,2.531,4.298,4.376,1.000,4.696,3.177,5.370,5.521,2.625
SCP018,2,ambiguous_social_signal,5.017,3.131,3.622,5.105,4.683,1.889,3.302,3.271,1.133,5.097,0.490,4.894,4.581,2.906
SCP018,3,performance_challenge,4.914,4.086,5.959,4.789,5.276,3.329,3.579,4.632,2.024,4.859,1.873,5.032,5.221,3.612
SCP018,4,authority_evaluation,4.810,3.305,3.104,5.538,4.828,2.956,3.093,3.922,1.757,4.680,-0.201,5.183,4.484,3.389
SCP018,5,collaborative_task,5.601,2.242,5.834,6.383,5.547,1.486,3.921,5.062,1.000,5.129,3.591,5.965,5.939,2.269
SCP018,6,rejection_cue,4.713,3.813,2.489,4.767,5.537,2.457,3.114,4.155,1.019,4.130,-1.324,5.152,3.989,3.385
SCP018,7,autonomy_opportunity,5.304,1.586,5.885,6.037,5.617,1.948,3.201,4.768,1.000,5.640,4.299,5.827,5.742,2.444
SCP018,8,conflict_repair,4.512,2.818,4.444,5.796,5.533,2.464,3.925,4.448,1.000,5.207,1.626,5.665,4.917,2.786
SCP019,1,supportive_feedback,3.698,2.503,4.805,5.566,4.840,2.086,3.555,4.028,1.000,4.646,2.302,5.203,4.690,2.678
SCP019,2,ambiguous_social_signal,3.482,4.020,3.123,4.683,4.005,2.753,3.018,2.834,1.885,4.374,-0.897,4.344,3.763,3.585
SCP019,3,performance_challenge,3.221,2.330,5.094,4.907,5.171,1.064,3.713,4.265,1.000,4.450,2.764,5.039,4.407,2.227
SCP019,4,authority_evaluation,2.750,3.539,3.220,4.250,3.886,1.957,2.804,2.812,2.327,3.374,-0.319,4.068,3.407,3.231
SCP019,5,collaborative_task,3.289,1.535,5.262,5.120,5.261,1.000,3.911,4.608,1.000,4.389,3.727,5.191,4.557,1.875
SCP019,6,rejection_cue,3.092,4.447,2.761,4.742,4.560,3.798,3.282,2.831,2.250,3.697,-1.685,4.651,3.532,3.988
SCP019,7,autonomy_opportunity,3.543,1.975,4.712,5.189,4.244,1.637,3.604,3.819,1.000,4.179,2.737,4.716,4.481,2.336
SCP019,8,conflict_repair,3.419,3.154,4.206,4.075,4.620,3.166,3.057,4.142,1.643,4.253,1.052,4.347,3.900,3.421
SCP020,1,supportive_feedback,3.169,2.541,5.844,6.078,5.446,1.944,4.150,4.313,1.337,4.945,3.303,5.762,5.030,2.445
SCP020,2,ambiguous_social_signal,3.172,2.922,3.892,5.699,5.718,2.162,3.679,3.575,1.452,4.331,0.970,5.709,4.255,2.802
SCP020,3,performance_challenge,3.039,1.836,5.332,5.671,5.679,1.608,3.871,3.722,1.000,4.409,3.495,5.675,4.681,2.191
SCP020,4,authority_evaluation,2.876,3.438,3.621,5.970,5.687,2.209,4.181,3.631,1.107,4.176,0.182,5.829,4.156,2.822
SCP020,5,collaborative_task,2.659,1.604,6.113,6.893,5.850,1.205,4.560,4.166,1.000,4.791,4.508,6.371,5.222,1.750
SCP020,6,rejection_cue,3.683,4.107,2.921,6.146,4.692,2.956,3.521,2.789,1.797,4.533,-1.186,5.419,4.250,3.514
SCP020,7,autonomy_opportunity,3.524,2.614,5.808,5.703,5.260,1.711,4.143,4.607,1.000,4.571,3.194,5.481,5.012,2.394
SCP020,8,conflict_repair,4.163,2.546,4.876,5.950,5.041,2.483,3.413,3.969,1.192,4.684,2.330,5.496,4.997,2.872
SCP021,1,supportive_feedback,3.766,2.603,5.380,6.052,4.751,2.162,3.701,4.169,1.098,4.237,2.777,5.402,5.066,2.688
SCP021,2,ambiguous_social_signal,3.062,3.061,3.875,4.397,4.361,1.665,2.654,3.111,2.156,3.463,0.814,4.379,3.778,3.024
SCP021,3,performance_challenge,3.660,2.258,5.400,4.509,4.297,1.772,3.524,4.291,1.536,4.793,3.142,4.403,4.523,2.502
SCP021,4,authority_evaluation,3.331,3.003,3.328,3.963,3.838,2.139,2.316,3.137,1.191,3.371,0.325,3.901,3.541,3.275
SCP021,5,collaborative_task,3.096,2.231,4.682,5.305,5.410,1.624,3.092,3.585,1.572,4.644,2.451,5.357,4.361,2.588
SCP021,6,rejection_cue,2.472,3.325,2.090,3.944,4.165,2.593,2.513,2.954,1.000,3.536,-1.235,4.054,2.835,3.468
SCP021,7,autonomy_opportunity,4.060,1.780,5.974,5.058,5.384,2.247,3.655,4.283,1.000,4.828,4.194,5.221,5.031,2.457
SCP021,8,conflict_repair,2.957,2.391,3.998,4.645,4.848,1.897,2.451,3.852,1.775,3.979,1.607,4.746,3.867,2.946
SCP022,1,supportive_feedback,4.351,3.471,4.569,3.606,3.758,2.890,3.806,3.976,2.306,4.043,1.098,3.682,4.175,3.185
SCP022,2,ambiguous_social_signal,3.889,3.949,3.513,4.039,4.197,3.071,3.011,3.145,2.067,3.868,-0.435,4.118,3.814,3.669
SCP022,3,performance_challenge,4.437,3.649,4.520,4.036,3.387,2.825,3.760,3.552,2.400,4.027,0.871,3.712,4.331,3.238
SCP022,4,authority_evaluation,4.477,4.230,2.926,3.004,3.442,4.147,2.346,2.646,2.773,3.847,-1.303,3.223,3.469,4.343
SCP022,5,collaborative_task,5.108,3.162,4.319,4.374,3.688,1.936,5.096,4.681,1.250,4.163,1.156,4.031,4.600,2.334
SCP022,6,rejection_cue,4.675,4.613,1.744,2.598,3.318,3.183,3.616,2.951,2.559,3.588,-2.869,2.958,3.006,3.727
SCP022,7,autonomy_opportunity,5.450,2.999,5.003,4.098,3.747,3.468,3.636,4.490,1.408,5.078,2.003,3.922,4.850,3.277
SCP022,8,conflict_repair,4.349,3.500,4.372,4.238,3.448,2.379,3.556,3.779,1.706,4.237,0.873,3.843,4.320,3.107
SCP023,1,supportive_feedback,5.225,1.829,4.947,5.199,4.333,1.651,4.036,4.252,1.000,4.926,3.118,4.766,5.124,2.148
SCP023,2,ambiguous_social_signal,4.382,2.975,3.363,4.417,4.828,1.679,3.925,4.613,1.000,4.718,0.388,4.622,4.054,2.576
SCP023,3,performance_challenge,4.597,2.710,5.267,5.016,4.005,2.123,2.922,3.773,1.317,4.945,2.557,4.511,4.960,2.970
SCP023,4,authority_evaluation,3.639,3.555,3.616,4.926,3.744,2.619,2.683,4.144,1.462,3.550,0.061,4.335,4.060,3.497
SCP023,5,collaborative_task,4.905,2.987,5.440,4.590,4.106,2.767,3.567,3.807,1.871,3.660,2.453,4.348,4.978,3.062
SCP023,6,rejection_cue,4.675,3.898,2.121,3.252,3.723,3.458,2.274,2.766,2.353,3.831,-1.777,3.487,3.349,4.028
SCP023,7,autonomy_opportunity,4.546,2.887,5.196,4.562,4.609,2.982,3.042,3.940,1.916,4.291,2.308,4.585,4.768,3.276
SCP023,8,conflict_repair,5.168,3.334,3.596,4.927,4.741,2.809,2.132,3.834,1.892,4.961,0.262,4.834,4.564,3.670
SCP024,1,supportive_feedback,4.653,1.898,5.983,6.968,6.100,1.958,3.747,4.857,1.000,5.739,4.085,6.534,5.868,2.370
SCP024,2,ambiguous_social_signal,4.561,3.315,3.778,5.799,5.518,1.648,4.457,3.823,1.000,4.810,0.463,5.659,4.712,2.502
SCP024,3,performance_challenge,4.706,2.857,5.262,5.430,5.446,2.392,3.204,4.676,1.164,4.685,2.405,5.438,5.133,3.015
SCP024,4,authority_evaluation,4.406,2.949,3.705,5.339,5.979,2.792,4.662,4.189,1.207,5.385,0.757,5.659,4.483,2.693
SCP024,5,collaborative_task,4.634,1.158,5.244,7.000,5.853,2.093,4.512,4.507,1.000,5.546,4.086,6.426,5.626,1.913
SCP024,6,rejection_cue,3.977,4.199,2.595,5.213,5.309,2.164,3.389,3.756,2.141,4.040,-1.604,5.261,3.928,3.325
SCP024,7,autonomy_opportunity,4.359,1.072,6.048,6.353,6.879,1.503,4.611,5.455,1.000,5.537,4.976,6.616,5.586,1.655
SCP024,8,conflict_repair,4.904,2.817,4.829,6.116,6.140,2.141,3.449,4.133,1.000,5.232,2.012,6.128,5.283,2.836
