person_id,assessment_context,occasion,trait_extraversion,trait_conscientiousness,trait_neuroticism,state_extraversion,state_conscientiousness,state_neuroticism,situation_valence,situation_sociality,situation_demand,situation_evaluation,positive_affect,negative_affect,goal_pressure,autonomy_support,state_inertia_marker,dynamic_signature_score
PDY00003,experience_sampling_research_context,7,5.653,4.542,1.994,6.441,5.179,1.000,5.758,3.876,3.754,1.676,4.766,1.347,3.411,4.677,0.685,1.416
PDY00003,experience_sampling_research_context,8,5.653,4.542,1.994,5.635,3.959,1.000,4.873,2.649,3.075,1.524,4.757,1.976,2.525,5.442,0.676,1.827
PDY00003,experience_sampling_research_context,9,5.653,4.542,1.994,5.826,4.231,1.000,5.058,1.847,2.811,3.342,3.960,1.797,2.544,4.683,0.155,1.982
PDY00003,experience_sampling_research_context,10,5.653,4.542,1.994,5.813,4.464,1.000,6.540,3.043,1.926,3.557,3.754,1.000,2.521,5.548,0.082,1.462
PDY00003,experience_sampling_research_context,11,5.653,4.542,1.994,5.823,5.006,1.000,4.195,2.934,4.160,2.065,3.561,1.000,3.233,5.526,0.184,1.723
PDY00003,experience_sampling_research_context,12,5.653,4.542,1.994,5.792,4.381,1.129,3.533,3.067,1.000,1.875,2.119,1.198,1.602,4.531,0.262,1.608
PDY00003,experience_sampling_research_context,13,5.653,4.542,1.994,5.857,4.006,1.000,4.671,2.068,1.861,1.000,3.499,1.000,1.000,3.640,0.190,1.963
PDY00003,experience_sampling_research_context,14,5.653,4.542,1.994,5.383,4.394,1.230,4.539,3.019,3.064,3.653,4.195,2.079,3.308,4.300,0.364,1.653
PDY00003,experience_sampling_research_context,15,5.653,4.542,1.994,4.829,4.888,1.417,3.665,3.356,4.849,2.866,3.118,3.326,3.379,4.426,0.412,1.971
PDY00003,experience_sampling_research_context,16,5.653,4.542,1.994,5.887,4.803,1.783,4.370,3.636,2.568,4.039,4.546,1.747,2.098,4.186,0.503,1.510
PDY00004,experience_sampling_research_context,1,5.357,4.343,2.905,5.539,4.673,1.356,4.377,3.569,4.432,2.468,2.860,2.258,4.041,4.939,0.658,1.964
PDY00004,experience_sampling_research_context,2,5.357,4.343,2.905,4.109,4.157,1.114,3.011,2.052,2.074,2.620,1.310,1.886,2.924,3.359,0.729,2.443
PDY00004,experience_sampling_research_context,3,5.357,4.343,2.905,5.308,4.560,1.316,3.969,3.034,3.511,1.000,3.619,1.000,1.562,6.172,0.601,1.970
PDY00004,experience_sampling_research_context,4,5.357,4.343,2.905,5.582,4.385,1.402,3.871,5.136,2.121,3.470,4.727,1.718,2.919,3.747,0.179,1.655
PDY00004,experience_sampling_research_context,5,5.357,4.343,2.905,4.982,4.808,1.000,4.690,2.987,4.270,1.000,3.494,1.179,3.011,4.906,0.475,2.027
PDY00004,experience_sampling_research_context,6,5.357,4.343,2.905,4.904,4.774,1.000,4.609,2.632,4.170,1.820,2.566,1.000,2.913,5.383,0.038,1.839
PDY00004,experience_sampling_research_context,7,5.357,4.343,2.905,5.326,4.715,1.854,5.369,3.764,3.054,1.000,2.704,1.162,2.958,3.728,0.445,1.299
PDY00004,experience_sampling_research_context,8,5.357,4.343,2.905,4.819,5.048,1.450,3.443,4.028,3.455,3.474,3.715,2.501,3.252,5.316,0.415,1.895
PDY00004,experience_sampling_research_context,9,5.357,4.343,2.905,4.606,4.138,1.832,4.966,2.058,3.530,2.437,3.573,1.689,2.286,3.754,0.502,1.916
PDY00004,experience_sampling_research_context,10,5.357,4.343,2.905,5.133,4.649,1.000,5.893,2.510,2.826,2.662,3.216,1.343,2.363,5.528,0.624,1.992
PDY00004,experience_sampling_research_context,11,5.357,4.343,2.905,4.531,5.369,1.995,4.480,1.938,5.294,2.461,3.323,2.649,3.566,3.584,0.772,2.497
PDY00004,experience_sampling_research_context,12,5.357,4.343,2.905,6.334,5.190,2.123,5.231,3.821,2.385,1.135,4.447,1.000,2.362,5.701,0.703,1.735
PDY00004,experience_sampling_research_context,13,5.357,4.343,2.905,5.847,4.836,2.348,4.056,3.813,4.239,2.373,3.091,1.340,3.192,4.639,0.355,1.929
PDY00004,experience_sampling_research_context,14,5.357,4.343,2.905,4.505,4.470,2.707,2.618,1.922,3.996,3.146,3.471,2.541,3.138,4.147,0.689,1.447
PDY00004,experience_sampling_research_context,15,5.357,4.343,2.905,4.427,4.188,2.002,4.750,3.300,2.574,3.918,4.012,1.749,3.746,3.314,0.355,1.408
PDY00004,experience_sampling_research_context,16,5.357,4.343,2.905,4.651,5.089,1.975,4.191,4.050,3.966,3.296,3.628,1.883,3.301,6.103,0.384,1.830
PDY00005,experience_sampling_research_context,1,2.738,6.068,2.153,3.063,6.011,1.344,4.496,3.072,2.475,2.259,3.007,2.920,3.011,3.575,0.675,1.320
PDY00005,experience_sampling_research_context,2,2.738,6.068,2.153,2.939,6.852,1.273,5.573,4.152,4.168,3.314,3.273,2.316,2.618,3.765,0.345,1.163
PDY00005,experience_sampling_research_context,3,2.738,6.068,2.153,3.179,5.928,1.000,4.814,3.205,2.542,1.912,3.413,1.155,1.357,4.992,0.479,1.867
PDY00005,experience_sampling_research_context,4,2.738,6.068,2.153,3.483,6.095,1.000,4.637,3.677,3.181,2.060,4.144,1.000,2.187,4.437,0.157,1.432
PDY00005,experience_sampling_research_context,5,2.738,6.068,2.153,2.259,6.717,1.000,5.230,1.286,3.012,1.000,2.935,1.000,2.388,4.349,0.616,1.497
PDY00005,experience_sampling_research_context,6,2.738,6.068,2.153,2.912,6.778,1.000,5.159,2.131,3.686,1.911,4.111,1.792,2.349,4.890,0.238,2.021
PDY00005,experience_sampling_research_context,7,2.738,6.068,2.153,2.403,7.000,1.000,4.675,2.488,4.659,2.094,3.697,1.493,2.692,5.314,0.244,1.870
PDY00005,experience_sampling_research_context,8,2.738,6.068,2.153,3.303,5.926,1.000,6.640,2.268,1.702,1.559,4.657,1.000,1.000,5.854,0.658,2.127
PDY00005,experience_sampling_research_context,9,2.738,6.068,2.153,2.187,5.860,1.000,3.718,4.471,2.828,2.736,3.752,1.954,2.295,5.136,0.394,2.015
PDY00005,experience_sampling_research_context,10,2.738,6.068,2.153,2.356,6.286,1.265,4.031,2.142,4.146,3.459,3.313,2.112,3.228,4.146,0.287,1.599
PDY00005,experience_sampling_research_context,11,2.738,6.068,2.153,2.252,6.159,1.000,4.857,1.449,3.391,1.881,3.163,1.225,2.792,4.320,0.165,1.526
PDY00005,experience_sampling_research_context,12,2.738,6.068,2.153,3.481,5.786,1.162,3.968,3.962,3.367,3.624,4.247,1.974,3.563,3.682,0.588,1.811
PDY00005,experience_sampling_research_context,13,2.738,6.068,2.153,3.480,6.582,1.000,3.682,3.962,4.601,2.076,3.859,1.664,3.408,4.342,0.319,1.770
PDY00005,experience_sampling_research_context,14,2.738,6.068,2.153,2.932,6.181,1.000,4.740,3.423,2.939,1.730,2.759,1.000,1.957,5.523,0.316,1.222
PDY00005,experience_sampling_research_context,15,2.738,6.068,2.153,3.003,7.000,1.000,3.438,4.168,3.667,2.279,3.180,1.061,1.742,5.173,0.297,1.939
PDY00005,experience_sampling_research_context,16,2.738,6.068,2.153,3.148,6.161,1.000,5.455,2.825,3.289,1.047,3.335,1.113,2.469,4.497,0.328,1.859
PDY00006,experience_sampling_research_context,1,2.609,5.179,2.534,3.223,4.069,1.000,4.435,2.997,1.000,2.111,4.310,1.581,2.361,3.243,1.179,2.297
PDY00006,experience_sampling_research_context,2,2.609,5.179,2.534,2.907,5.377,1.576,5.630,3.176,1.662,2.208,3.504,1.703,1.518,4.302,0.733,1.439
PDY00006,experience_sampling_research_context,3,2.609,5.179,2.534,3.600,6.490,1.338,5.589,4.004,4.214,1.491,4.773,1.592,3.075,6.168,0.682,2.416
PDY00006,experience_sampling_research_context,4,2.609,5.179,2.534,2.303,5.621,1.018,4.298,3.849,2.736,1.209,3.472,1.000,2.669,4.841,0.829,1.888
PDY00006,experience_sampling_research_context,5,2.609,5.179,2.534,1.790,5.704,1.000,4.625,1.664,2.741,1.179,3.723,1.000,3.143,3.466,0.205,2.380
PDY00006,experience_sampling_research_context,6,2.609,5.179,2.534,2.618,6.147,1.870,3.827,3.979,2.901,2.280,3.576,2.795,4.012,4.036,0.714,1.428
PDY00006,experience_sampling_research_context,7,2.609,5.179,2.534,2.691,6.291,1.000,5.548,1.579,4.652,2.547,3.833,2.184,3.468,5.799,0.362,1.976
PDY00006,experience_sampling_research_context,8,2.609,5.179,2.534,3.323,6.081,1.000,6.515,4.112,2.544,1.000,4.598,1.000,3.309,5.543,0.281,2.142
PDY00006,experience_sampling_research_context,9,2.609,5.179,2.534,3.363,5.637,1.000,3.626,3.239,3.246,1.690,3.752,1.000,1.817,5.244,0.161,1.673
PDY00006,experience_sampling_research_context,10,2.609,5.179,2.534,3.834,4.649,1.000,5.088,4.650,4.024,2.405,3.744,1.468,2.743,4.366,0.486,1.901
PDY00006,experience_sampling_research_context,11,2.609,5.179,2.534,3.253,5.645,1.000,4.022,3.614,2.185,3.057,3.943,2.661,3.615,3.945,0.526,1.691
PDY00006,experience_sampling_research_context,12,2.609,5.179,2.534,2.700,6.122,1.324,4.128,1.681,4.145,1.612,3.913,2.008,3.263,4.115,0.451,1.538
PDY00006,experience_sampling_research_context,13,2.609,5.179,2.534,2.612,6.403,1.254,4.450,3.770,3.317,2.253,2.411,1.689,3.554,4.706,0.146,1.963
PDY00006,experience_sampling_research_context,14,2.609,5.179,2.534,3.216,4.966,1.274,6.355,3.847,2.588,2.029,4.775,1.264,2.007,4.449,0.687,1.925
PDY00006,experience_sampling_research_context,15,2.609,5.179,2.534,3.096,5.077,1.000,4.390,4.540,3.292,3.043,3.567,1.961,2.618,2.843,0.169,1.876
PDY00006,experience_sampling_research_context,16,2.609,5.179,2.534,3.555,5.842,1.209,5.708,4.562,2.996,2.033,3.895,1.479,2.497,3.636,0.478,2.123
PDY00007,experience_sampling_research_context,1,3.325,5.021,2.444,3.854,4.529,1.751,3.104,3.008,2.566,2.450,2.949,2.403,2.455,3.839,0.667,1.693
PDY00007,experience_sampling_research_context,2,3.325,5.021,2.444,3.173,6.732,1.026,5.358,3.036,5.719,1.000,4.247,1.277,3.407,5.177,1.203,2.329
PDY00007,experience_sampling_research_context,3,3.325,5.021,2.444,2.886,5.489,1.000,4.456,2.518,2.933,2.934,2.459,1.862,2.653,4.233,0.519,1.902
PDY00007,experience_sampling_research_context,4,3.325,5.021,2.444,3.048,6.151,1.574,3.891,3.754,3.791,1.427,3.290,1.718,3.194,4.348,0.466,1.864
PDY00007,experience_sampling_research_context,5,3.325,5.021,2.444,3.884,5.390,1.163,4.767,2.821,2.226,2.486,3.156,1.999,2.947,3.366,0.670,1.889
PDY00007,experience_sampling_research_context,6,3.325,5.021,2.444,2.974,6.365,1.000,6.288,2.029,4.436,2.542,4.611,1.136,2.510,5.003,0.683,2.216
PDY00007,experience_sampling_research_context,7,3.325,5.021,2.444,3.065,5.732,1.403,6.143,5.022,2.418,2.848,4.315,1.000,2.977,4.988,0.376,2.045
PDY00007,experience_sampling_research_context,8,3.325,5.021,2.444,2.571,5.265,1.000,5.277,2.596,2.134,2.246,2.097,1.000,2.347,2.831,0.455,1.853
PDY00007,experience_sampling_research_context,9,3.325,5.021,2.444,3.270,5.497,1.000,6.695,2.367,4.976,2.108,4.008,2.348,2.461,4.802,0.310,1.583
PDY00007,experience_sampling_research_context,10,3.325,5.021,2.444,2.242,5.871,1.000,2.400,4.038,3.620,3.200,3.088,2.206,4.481,2.661,0.467,1.866
PDY00007,experience_sampling_research_context,11,3.325,5.021,2.444,2.186,5.735,2.098,4.013,4.248,2.407,3.551,2.508,2.041,3.228,3.485,0.430,1.943
PDY00007,experience_sampling_research_context,12,3.325,5.021,2.444,2.772,5.157,1.233,3.918,1.805,2.827,2.538,3.171,1.656,3.117,5.900,0.677,1.569
PDY00007,experience_sampling_research_context,13,3.325,5.021,2.444,4.089,5.462,1.052,5.852,3.776,3.229,1.813,4.907,1.971,2.301,4.616,0.601,2.035
PDY00007,experience_sampling_research_context,14,3.325,5.021,2.444,3.993,4.786,1.474,5.538,3.022,3.657,2.981,3.469,2.943,2.843,4.095,0.398,1.564
PDY00007,experience_sampling_research_context,15,3.325,5.021,2.444,3.233,4.675,2.049,3.456,4.457,2.794,4.189,3.635,2.463,2.819,4.925,0.482,1.636
PDY00007,experience_sampling_research_context,16,3.325,5.021,2.444,2.599,6.056,1.372,6.492,2.080,5.334,3.059,4.222,1.765,4.403,4.299,0.897,2.281
PDY00008,experience_sampling_research_context,1,2.583,5.876,2.408,3.184,5.697,2.139,3.423,4.500,2.095,1.256,3.087,2.197,1.571,3.396,0.199,1.229
PDY00008,experience_sampling_research_context,2,2.583,5.876,2.408,3.919,6.241,1.000,5.866,4.134,3.246,1.707,3.778,1.048,2.972,4.200,0.806,1.987
PDY00008,experience_sampling_research_context,3,2.583,5.876,2.408,3.173,6.336,1.000,6.368,4.458,1.418,2.172,5.171,1.630,2.172,5.928,0.280,2.693
PDY00008,experience_sampling_research_context,4,2.583,5.876,2.408,3.049,6.038,1.000,5.843,3.045,2.834,2.180,3.726,2.286,3.271,3.227,0.141,1.821
PDY00008,experience_sampling_research_context,5,2.583,5.876,2.408,3.046,5.857,1.000,5.747,3.531,3.696,1.000,3.962,1.182,1.859,5.718,0.061,1.607
PDY00008,experience_sampling_research_context,6,2.583,5.876,2.408,2.907,5.553,1.270,5.112,1.593,3.599,2.641,3.028,1.482,2.547,4.397,0.238,1.563
PDY00008,experience_sampling_research_context,7,2.583,5.876,2.408,3.506,6.393,1.000,5.243,3.709,4.151,1.082,3.631,1.000,2.619,3.034,0.570,2.065
PDY00008,experience_sampling_research_context,8,2.583,5.876,2.408,3.425,5.353,1.000,5.089,3.872,1.392,1.000,4.311,1.000,1.078,4.540,0.373,2.460
PDY00008,experience_sampling_research_context,9,2.583,5.876,2.408,2.926,5.876,1.000,3.696,2.958,3.642,2.602,3.644,1.356,2.815,4.585,0.341,1.599
PDY00008,experience_sampling_research_context,10,2.583,5.876,2.408,2.006,5.832,1.136,4.684,1.450,3.635,2.843,2.203,2.152,3.867,4.411,0.367,1.680
PDY00008,experience_sampling_research_context,11,2.583,5.876,2.408,2.258,5.427,2.078,3.346,2.325,1.978,2.015,2.874,2.502,2.548,4.077,0.533,1.715
PDY00008,experience_sampling_research_context,12,2.583,5.876,2.408,2.669,5.629,1.000,6.126,4.507,2.349,1.000,3.500,1.000,2.683,3.849,0.564,1.978
PDY00008,experience_sampling_research_context,13,2.583,5.876,2.408,2.142,6.502,1.160,3.969,2.092,4.193,3.470,2.609,2.511,4.266,3.967,0.520,1.878
PDY00008,experience_sampling_research_context,14,2.583,5.876,2.408,2.449,5.726,1.266,4.704,1.436,2.950,3.489,3.065,1.465,2.868,3.418,0.396,1.394
PDY00008,experience_sampling_research_context,15,2.583,5.876,2.408,2.625,5.908,1.000,3.592,2.772,1.242,2.672,3.747,2.211,2.166,4.700,0.208,1.974
PDY00008,experience_sampling_research_context,16,2.583,5.876,2.408,2.968,5.564,1.000,5.315,2.818,3.373,1.000,3.049,1.000,2.554,3.540,0.229,1.635
PDY00009,experience_sampling_research_context,1,4.109,6.037,3.404,3.770,5.944,2.867,3.094,3.985,2.167,4.678,4.049,3.138,3.158,4.120,0.778,1.529
PDY00009,experience_sampling_research_context,2,4.109,6.037,3.404,3.916,6.840,2.082,4.205,3.211,3.517,1.000,4.025,1.000,2.628,5.293,0.609,1.965
PDY00009,experience_sampling_research_context,3,4.109,6.037,3.404,3.292,6.748,1.881,5.719,3.388,3.966,2.007,3.119,1.504,2.645,3.681,0.306,1.774
PDY00009,experience_sampling_research_context,4,4.109,6.037,3.404,3.035,6.912,1.868,6.517,2.703,3.385,3.881,4.065,1.544,2.950,5.169,0.144,2.147
PDY00009,experience_sampling_research_context,5,4.109,6.037,3.404,3.015,7.000,1.000,6.127,4.471,4.826,1.000,3.187,1.168,2.206,4.984,0.326,2.226
PDY00009,experience_sampling_research_context,6,4.109,6.037,3.404,4.182,7.000,1.462,6.008,3.467,3.191,1.397,4.188,1.489,3.059,2.867,0.543,2.052
PDY00009,experience_sampling_research_context,7,4.109,6.037,3.404,3.697,6.680,1.863,5.165,4.348,2.863,4.248,4.325,2.467,3.407,6.496,0.402,1.752
PDY00009,experience_sampling_research_context,8,4.109,6.037,3.404,3.893,6.215,2.402,4.929,1.721,2.787,1.989,3.848,1.029,2.048,5.142,0.400,1.530
PDY00009,experience_sampling_research_context,9,4.109,6.037,3.404,3.493,6.292,1.680,4.828,4.850,1.975,1.000,2.676,1.159,2.259,3.869,0.400,2.429
PDY00009,experience_sampling_research_context,10,4.109,6.037,3.404,3.388,5.717,1.181,5.277,1.706,2.194,1.229,2.839,1.468,1.292,5.145,0.393,2.518
PDY00009,experience_sampling_research_context,11,4.109,6.037,3.404,3.502,5.384,1.939,3.575,4.343,1.056,3.629,3.161,2.248,1.000,5.601,0.402,2.331
PDY00009,experience_sampling_research_context,12,4.109,6.037,3.404,4.128,5.119,1.243,6.274,2.525,2.172,1.593,3.641,1.000,1.907,5.033,0.529,2.152
PDY00009,experience_sampling_research_context,13,4.109,6.037,3.404,4.196,6.377,1.464,4.697,3.587,2.905,1.754,3.493,1.592,2.553,6.183,0.515,1.922
PDY00009,experience_sampling_research_context,14,4.109,6.037,3.404,3.588,5.607,1.176,5.122,5.358,2.977,1.060,3.300,1.983,2.336,4.104,0.555,2.183
PDY00009,experience_sampling_research_context,15,4.109,6.037,3.404,4.138,6.496,1.801,4.961,1.629,2.507,1.010,3.863,1.000,1.015,4.205,0.688,1.803
PDY00009,experience_sampling_research_context,16,4.109,6.037,3.404,3.139,6.440,1.177,5.369,2.823,2.312,2.221,4.098,2.172,1.564,5.079,0.560,2.343
PDY00010,experience_sampling_research_context,1,4.200,6.002,3.262,4.743,5.887,1.430,4.906,4.326,1.000,1.000,4.773,1.204,1.202,6.346,1.035,2.694
PDY00010,experience_sampling_research_context,2,4.200,6.002,3.262,3.845,6.530,1.521,4.850,1.779,2.687,1.000,4.678,1.000,1.779,5.683,0.544,1.925
PDY00010,experience_sampling_research_context,3,4.200,6.002,3.262,3.362,6.472,1.766,4.232,1.183,3.202,1.000,2.669,1.526,3.624,4.778,0.262,1.962
PDY00010,experience_sampling_research_context,4,4.200,6.002,3.262,3.398,7.000,2.034,4.420,2.116,5.398,1.656,3.530,2.733,2.878,3.773,0.277,2.443
PDY00010,experience_sampling_research_context,5,4.200,6.002,3.262,3.264,6.686,1.417,5.076,5.750,2.152,2.756,3.646,1.906,1.294,3.778,0.355,1.882
PDY00010,experience_sampling_research_context,6,4.200,6.002,3.262,3.192,7.000,1.072,4.265,2.482,3.536,1.460,2.680,1.417,3.088,4.658,0.243,2.687
PDY00010,experience_sampling_research_context,7,4.200,6.002,3.262,4.386,6.442,1.189,5.865,2.881,2.725,1.994,3.877,1.000,3.962,5.100,0.623,2.106
PDY00010,experience_sampling_research_context,8,4.200,6.002,3.262,3.270,7.000,2.687,2.178,3.362,3.220,3.424,1.980,2.778,3.584,5.622,1.057,1.977
PDY00010,experience_sampling_research_context,9,4.200,6.002,3.262,3.389,6.365,1.545,4.718,1.923,1.267,1.496,3.191,2.216,1.963,4.908,0.632,2.129
PDY00010,experience_sampling_research_context,10,4.200,6.002,3.262,4.381,5.749,2.543,3.072,3.157,3.377,2.249,3.165,2.016,2.949,3.516,0.869,1.610
PDY00010,experience_sampling_research_context,11,4.200,6.002,3.262,3.828,7.000,1.167,3.605,4.932,3.062,3.161,3.831,1.540,2.949,5.412,1.060,2.379
PDY00010,experience_sampling_research_context,12,4.200,6.002,3.262,2.947,7.000,1.849,4.833,3.969,4.018,1.000,3.370,1.000,2.743,5.723,0.521,2.263
PDY00010,experience_sampling_research_context,13,4.200,6.002,3.262,4.009,6.076,1.289,5.703,4.852,3.897,1.000,5.290,1.167,2.030,6.423,0.849,1.500
PDY00010,experience_sampling_research_context,14,4.200,6.002,3.262,3.384,6.595,1.668,4.595,2.963,2.785,3.208,3.360,2.789,3.318,3.563,0.508,2.301
PDY00010,experience_sampling_research_context,15,4.200,6.002,3.262,3.285,6.732,1.813,5.036,3.417,2.593,1.640,3.281,1.848,1.532,3.995,0.127,1.959
PDY00010,experience_sampling_research_context,16,4.200,6.002,3.262,4.001,5.674,1.603,3.954,1.892,2.253,2.972,3.673,1.324,1.334,4.000,0.662,2.005
PDY00011,experience_sampling_research_context,1,3.866,5.827,3.449,3.361,7.000,2.256,4.328,4.609,4.029,1.079,3.772,1.841,2.885,4.137,1.315,1.964
PDY00011,experience_sampling_research_context,2,3.866,5.827,3.449,3.356,6.872,1.225,4.292,3.361,3.751,2.436,3.459,1.783,3.130,4.058,0.388,2.369
PDY00011,experience_sampling_research_context,3,3.866,5.827,3.449,2.983,7.000,1.097,5.371,1.518,3.370,1.993,3.084,1.523,3.397,5.127,0.210,2.541
PDY00011,experience_sampling_research_context,4,3.866,5.827,3.449,4.066,7.000,1.572,5.157,3.803,4.266,1.212,3.654,1.094,4.096,3.936,0.519,2.144
PDY00011,experience_sampling_research_context,5,3.866,5.827,3.449,3.580,7.000,2.182,4.599,4.092,2.874,2.123,3.933,2.746,3.253,5.803,0.366,1.954
