person_id,occasion,situation_type,behavior_score,trait_score,situation_strength,trait_x_situation,observed_regulation,contextual_constraint
PER00003,8,ambiguous_conflict,4.580,3.521,5.212,2.622,3.510,3.065
PER00003,9,deadline_pressure,4.409,3.881,5.914,3.279,3.377,5.485
PER00003,10,social_event,2.699,3.021,3.878,1.673,2.981,3.061
PER00003,11,family_obligation,3.609,2.622,3.653,1.368,5.228,5.999
PER00003,12,family_obligation,4.373,3.431,4.328,2.121,3.689,4.329
PER00003,13,team_meeting,3.824,2.357,4.604,1.551,3.688,4.406
PER00003,14,ambiguous_conflict,4.562,2.913,5.202,2.164,3.928,3.632
PER00004,1,public_presentation,3.985,2.841,4.574,1.856,2.728,4.637
PER00004,2,deadline_pressure,3.645,3.936,5.097,2.866,3.441,5.223
PER00004,3,ambiguous_conflict,3.880,2.758,4.700,1.852,3.469,3.941
PER00004,4,ambiguous_conflict,3.970,3.289,4.666,2.192,3.105,3.162
PER00004,5,family_obligation,3.319,2.935,3.886,1.629,3.283,4.542
PER00004,6,creative_exploration,3.458,2.801,3.703,1.482,2.657,1.451
PER00004,7,team_meeting,4.777,3.671,7.000,3.671,3.730,4.179
PER00004,8,family_obligation,3.203,3.166,3.485,1.576,2.743,4.519
PER00004,9,creative_exploration,3.007,3.070,1.933,0.848,2.343,3.024
PER00004,10,team_meeting,2.434,1.672,2.990,0.714,3.884,4.139
PER00004,11,family_obligation,4.063,2.492,5.261,1.873,3.737,4.828
PER00004,12,team_meeting,4.191,2.621,4.015,1.503,3.506,4.458
PER00004,13,social_event,3.456,3.055,3.231,1.410,3.173,3.709
PER00004,14,team_meeting,3.311,3.585,5.520,2.827,2.725,5.063
PER00005,1,deadline_pressure,4.040,3.855,5.673,3.124,4.549,5.909
PER00005,2,deadline_pressure,5.440,3.323,5.873,2.788,3.404,5.444
PER00005,3,quiet_work,2.854,4.147,2.436,1.443,3.466,5.703
PER00005,4,public_presentation,4.619,3.906,5.713,3.188,4.295,5.783
PER00005,5,team_meeting,3.887,4.229,5.901,3.564,3.882,4.497
PER00005,6,family_obligation,4.696,4.105,5.705,3.346,4.992,5.324
PER00005,7,family_obligation,3.825,3.560,4.366,2.220,3.656,4.406
PER00005,8,quiet_work,3.184,3.928,2.898,1.626,4.823,5.589
PER00005,9,quiet_work,3.663,3.564,4.136,2.106,4.331,6.079
PER00005,10,quiet_work,4.110,4.135,4.169,2.462,3.709,5.536
PER00005,11,deadline_pressure,3.958,3.902,4.606,2.567,4.069,4.574
PER00005,12,team_meeting,3.953,3.803,5.453,2.963,3.646,4.705
PER00005,13,social_event,4.488,3.698,3.785,1.999,4.649,3.850
PER00005,14,family_obligation,4.205,4.144,4.753,2.814,4.096,4.190
PER00006,1,public_presentation,6.328,5.606,7.000,5.606,4.688,4.822
PER00006,2,quiet_work,5.262,4.228,5.096,3.078,4.803,5.875
PER00006,3,ambiguous_conflict,4.297,4.296,3.645,2.237,4.940,2.842
PER00006,4,deadline_pressure,4.009,4.763,5.119,3.483,4.441,5.053
PER00006,5,deadline_pressure,4.015,4.156,5.287,3.139,3.175,4.476
PER00006,6,ambiguous_conflict,4.070,4.492,3.572,2.292,3.895,3.725
PER00006,7,ambiguous_conflict,5.368,5.012,5.139,3.680,4.136,3.649
PER00006,8,social_event,4.999,5.160,4.589,3.383,4.131,2.604
PER00006,9,family_obligation,5.152,4.625,5.244,3.464,4.476,5.008
PER00006,10,team_meeting,4.833,4.676,4.589,3.066,4.146,4.223
PER00006,11,social_event,4.571,4.620,3.997,2.638,3.981,1.561
PER00006,12,public_presentation,5.179,4.761,5.139,3.495,4.692,5.017
PER00006,13,deadline_pressure,4.843,4.915,5.591,3.926,4.361,6.029
PER00006,14,ambiguous_conflict,5.662,5.426,6.040,4.682,4.828,4.767
PER00007,1,creative_exploration,5.092,4.152,4.390,2.603,3.677,2.322
PER00007,2,creative_exploration,4.991,4.389,3.878,2.432,4.956,2.391
PER00007,3,public_presentation,5.485,4.463,5.836,3.721,5.518,5.677
PER00007,4,creative_exploration,4.039,3.916,4.674,2.615,3.715,2.637
PER00007,5,quiet_work,4.608,4.883,2.787,1.944,4.512,5.799
PER00007,6,ambiguous_conflict,4.347,4.145,3.722,2.204,5.014,4.087
PER00007,7,ambiguous_conflict,4.305,4.098,4.115,2.409,4.864,4.409
PER00007,8,deadline_pressure,5.056,4.212,5.846,3.518,4.765,5.955
PER00007,9,family_obligation,4.747,4.480,4.795,3.068,5.294,4.815
PER00007,10,deadline_pressure,4.877,4.984,5.472,3.896,4.474,5.371
PER00007,11,quiet_work,4.162,3.927,4.780,2.681,4.395,4.764
PER00007,12,quiet_work,5.351,4.743,6.137,4.158,4.898,5.751
PER00007,13,social_event,4.589,4.554,5.084,3.308,4.252,2.465
PER00007,14,ambiguous_conflict,4.544,4.161,4.230,2.514,5.123,4.066
PER00008,1,deadline_pressure,3.840,3.993,3.674,2.096,4.724,6.280
PER00008,2,deadline_pressure,3.878,3.366,5.943,2.857,3.717,5.281
PER00008,3,family_obligation,3.377,3.862,5.317,2.934,4.437,5.307
PER00008,4,quiet_work,4.212,4.492,4.621,2.965,4.347,6.071
PER00008,5,public_presentation,4.918,4.065,4.829,2.804,4.039,5.501
PER00008,6,family_obligation,3.514,3.364,3.364,1.617,3.255,4.901
PER00008,7,ambiguous_conflict,3.826,4.068,5.209,3.027,3.864,3.993
PER00008,8,team_meeting,5.021,4.454,4.583,2.916,3.714,3.615
PER00008,9,quiet_work,3.643,3.858,3.554,1.959,3.651,5.758
PER00008,10,creative_exploration,4.423,4.809,2.952,2.028,3.852,2.565
PER00008,11,public_presentation,4.422,3.790,6.076,3.290,3.716,4.252
PER00008,12,team_meeting,4.694,4.262,4.377,2.665,3.946,3.280
PER00008,13,team_meeting,3.212,3.671,4.724,2.478,3.487,4.370
PER00008,14,ambiguous_conflict,3.520,3.998,3.449,1.970,4.027,3.788
PER00009,1,ambiguous_conflict,4.044,3.268,4.213,1.967,3.374,3.017
PER00009,2,quiet_work,2.446,3.216,2.854,1.311,3.580,5.654
PER00009,3,creative_exploration,3.906,2.913,4.376,1.821,3.599,2.666
PER00009,4,public_presentation,4.497,2.857,6.629,2.706,3.807,4.279
PER00009,5,team_meeting,4.045,3.313,5.191,2.457,2.553,3.146
PER00009,6,deadline_pressure,4.790,3.541,5.512,2.788,3.898,6.087
PER00009,7,family_obligation,3.762,3.196,6.035,2.755,2.699,4.334
PER00009,8,quiet_work,4.530,3.105,4.189,1.858,3.352,6.676
PER00009,9,creative_exploration,3.778,3.100,4.556,2.018,2.434,2.751
PER00009,10,public_presentation,3.471,2.611,5.209,1.943,3.087,5.270
PER00009,11,social_event,3.282,2.493,4.800,1.709,3.003,2.148
PER00009,12,public_presentation,3.874,2.255,6.099,1.965,3.190,5.123
PER00009,13,ambiguous_conflict,3.471,3.530,3.917,1.975,3.447,4.096
PER00009,14,family_obligation,4.070,3.546,4.042,2.047,3.507,4.081
PER00010,1,social_event,3.414,3.687,5.089,2.681,3.491,3.584
PER00010,2,ambiguous_conflict,4.286,3.123,5.061,2.258,2.763,2.814
PER00010,3,family_obligation,3.712,4.181,3.405,2.034,3.015,4.854
PER00010,4,social_event,4.798,3.801,3.138,1.704,4.644,4.202
PER00010,5,social_event,3.056,3.361,2.649,1.272,2.868,2.271
PER00010,6,team_meeting,4.331,3.853,4.291,2.362,2.958,4.678
PER00010,7,quiet_work,4.018,3.565,4.561,2.322,3.816,6.056
PER00010,8,team_meeting,2.909,3.245,3.969,1.840,2.725,3.908
PER00010,9,quiet_work,4.830,3.469,5.063,2.509,3.885,5.779
PER00010,10,deadline_pressure,3.136,3.935,4.383,2.464,2.364,5.386
PER00010,11,deadline_pressure,3.255,3.285,4.136,1.941,4.037,6.187
PER00010,12,creative_exploration,3.671,3.504,3.760,1.882,3.025,2.121
PER00010,13,deadline_pressure,3.336,3.016,4.362,1.879,3.569,5.177
PER00010,14,creative_exploration,2.857,3.472,1.599,0.793,2.443,1.971
PER00011,1,social_event,4.291,3.817,4.510,2.459,3.495,3.277
PER00011,2,deadline_pressure,3.608,4.019,3.887,2.232,3.525,4.547
PER00011,3,team_meeting,5.197,3.323,4.773,2.266,3.436,4.312
PER00011,4,deadline_pressure,3.885,4.830,3.950,2.726,4.405,5.467
PER00011,5,social_event,3.370,3.907,3.540,1.976,3.702,3.546
PER00011,6,quiet_work,4.024,3.757,3.404,1.827,4.342,6.964
PER00011,7,social_event,4.631,3.902,4.029,2.246,3.623,2.426
PER00011,8,social_event,4.424,4.045,4.601,2.659,2.889,2.557
PER00011,9,creative_exploration,2.830,3.723,2.703,1.437,3.486,3.202
PER00011,10,team_meeting,4.539,4.369,5.036,3.143,4.037,4.440
PER00011,11,deadline_pressure,3.175,3.633,3.965,2.058,3.374,4.709
PER00011,12,deadline_pressure,3.347,4.133,5.530,3.265,2.676,6.309
PER00011,13,creative_exploration,3.150,3.607,3.705,1.909,3.663,2.488
PER00011,14,social_event,3.452,3.316,4.804,2.276,2.074,2.860
PER00012,1,social_event,4.360,4.078,5.475,3.189,4.381,4.013
PER00012,2,team_meeting,4.026,3.160,3.991,1.802,2.751,5.342
PER00012,3,team_meeting,3.663,3.497,4.775,2.385,1.772,3.098
PER00012,4,family_obligation,3.126,3.204,2.603,1.191,4.631,5.936
PER00012,5,deadline_pressure,4.127,3.688,4.930,2.597,2.830,5.304
PER00012,6,team_meeting,3.687,3.132,4.749,2.125,3.504,4.521
PER00012,7,quiet_work,3.287,3.220,3.446,1.585,3.928,5.594
PER00012,8,deadline_pressure,2.706,3.046,4.430,1.928,4.424,5.965
PER00012,9,deadline_pressure,3.022,2.743,5.501,2.156,3.359,5.337
PER00012,10,deadline_pressure,3.790,2.811,6.741,2.707,2.984,5.901
PER00012,11,social_event,4.418,3.392,4.060,1.968,4.000,2.577
PER00012,12,team_meeting,4.633,3.842,4.325,2.373,3.701,3.051
PER00012,13,social_event,4.317,2.672,4.539,1.733,3.022,2.052
PER00012,14,team_meeting,3.757,3.294,5.157,2.427,3.097,4.756
PER00013,1,public_presentation,5.141,3.879,5.941,3.292,3.628,3.964
PER00013,2,social_event,3.984,3.264,4.694,2.189,2.522,2.230
PER00013,3,deadline_pressure,4.604,4.204,5.532,3.322,3.184,5.048
PER00013,4,family_obligation,3.676,3.650,4.468,2.330,2.126,5.080
PER00013,5,family_obligation,3.296,2.800,4.581,1.832,3.337,4.670
PER00013,6,social_event,4.418,4.250,4.245,2.577,2.444,2.925
PER00013,7,ambiguous_conflict,3.052,3.328,4.296,2.042,3.505,3.799
PER00013,8,social_event,3.727,3.355,4.967,2.381,2.334,2.514
PER00013,9,public_presentation,4.821,3.882,6.423,3.562,3.601,5.236
PER00013,10,ambiguous_conflict,3.859,3.380,4.525,2.185,3.513,3.490
PER00013,11,quiet_work,3.719,3.998,4.318,2.466,4.819,6.759
PER00013,12,creative_exploration,4.030,4.069,2.621,1.524,2.579,2.118
PER00013,13,social_event,4.748,3.784,4.801,2.595,3.264,3.318
PER00013,14,quiet_work,3.216,3.252,3.343,1.553,3.483,5.091
PER00014,1,family_obligation,3.785,3.882,5.133,2.847,3.306,4.262
PER00014,2,team_meeting,3.726,3.808,4.839,2.633,4.690,4.157
PER00014,3,family_obligation,4.114,3.808,4.349,2.366,4.591,5.275
PER00014,4,family_obligation,3.991,3.525,4.168,2.099,3.676,4.957
PER00014,5,family_obligation,3.900,3.573,4.940,2.522,4.287,5.172
PER00014,6,creative_exploration,4.361,3.683,3.559,1.873,3.522,3.136
PER00014,7,family_obligation,4.156,4.386,3.853,2.414,3.780,5.746
PER00014,8,team_meeting,3.682,4.365,4.623,2.883,3.717,5.392
PER00014,9,ambiguous_conflict,4.246,4.036,3.609,2.081,4.104,3.431
PER00014,10,deadline_pressure,4.167,4.028,4.171,2.400,3.252,5.296
PER00014,11,public_presentation,4.969,3.654,5.781,3.017,3.997,4.584
PER00014,12,family_obligation,3.850,3.952,5.227,2.951,4.077,4.950
PER00014,13,quiet_work,3.408,3.011,3.175,1.366,3.919,5.249
PER00014,14,ambiguous_conflict,4.709,3.981,4.209,2.394,4.168,4.786
PER00015,1,ambiguous_conflict,4.860,3.134,4.823,2.159,3.287,2.878
PER00015,2,creative_exploration,4.603,4.069,3.621,2.104,2.063,2.023
PER00015,3,family_obligation,3.352,3.062,3.870,1.693,3.225,4.844
PER00015,4,quiet_work,3.816,3.193,4.328,1.974,3.512,6.235
PER00015,5,ambiguous_conflict,3.022,3.149,3.877,1.744,2.293,2.658
PER00015,6,family_obligation,4.762,4.484,5.491,3.518,3.301,4.366
PER00015,7,family_obligation,4.727,3.992,4.686,2.673,4.159,4.633
PER00015,8,ambiguous_conflict,4.099,3.643,4.513,2.349,3.146,2.845
PER00015,9,social_event,3.659,3.822,3.823,2.088,2.317,3.252
PER00015,10,social_event,2.996,3.761,3.037,1.632,2.729,2.400
PER00015,11,public_presentation,4.312,3.182,4.746,2.157,3.357,5.347
PER00015,12,social_event,3.582,2.322,3.398,1.127,2.296,1.802
PER00015,13,quiet_work,3.724,3.682,3.870,2.036,3.671,5.474
PER00015,14,creative_exploration,2.869,3.397,4.544,2.206,2.877,3.140
PER00016,1,team_meeting,4.272,3.807,4.218,2.294,3.766,4.421
PER00016,2,quiet_work,4.565,3.993,3.252,1.855,4.480,5.330
PER00016,3,quiet_work,2.940,3.922,2.340,1.311,3.556,6.094
PER00016,4,quiet_work,3.484,4.009,3.029,1.735,4.333,5.763
PER00016,5,team_meeting,4.455,4.118,5.576,3.280,4.570,4.608
PER00016,6,quiet_work,4.322,3.953,3.215,1.815,4.677,5.971
PER00016,7,family_obligation,3.789,3.449,3.941,1.942,4.496,5.581
PER00016,8,creative_exploration,3.887,4.434,3.139,1.988,3.489,1.870
PER00016,9,team_meeting,3.782,3.313,3.774,1.786,4.859,3.577
PER00016,10,quiet_work,3.582,3.695,4.225,2.230,3.518,6.204
PER00016,11,creative_exploration,2.942,3.639,3.559,1.850,3.389,2.743
PER00016,12,ambiguous_conflict,4.885,4.067,5.046,2.932,4.237,3.254
PER00016,13,public_presentation,4.228,4.530,4.025,2.605,4.333,4.925
PER00016,14,public_presentation,4.654,3.744,5.353,2.863,4.828,5.107
PER00017,1,quiet_work,2.694,3.003,4.388,1.882,3.375,5.449
PER00017,2,quiet_work,3.461,3.097,4.468,1.977,3.702,6.273
PER00017,3,creative_exploration,3.936,3.265,5.059,2.359,1.924,3.396
PER00017,4,quiet_work,3.284,3.274,3.406,1.593,3.307,5.939
PER00017,5,team_meeting,4.228,3.274,6.588,3.081,3.376,4.035
PER00017,6,creative_exploration,3.639,3.311,4.072,1.926,3.958,2.693
PER00017,7,creative_exploration,4.162,2.654,4.847,1.837,3.293,3.784
PER00017,8,creative_exploration,3.961,2.728,4.888,1.905,2.023,2.118
PER00017,9,ambiguous_conflict,3.683,3.050,5.252,2.288,3.274,4.345
PER00017,10,quiet_work,2.306,2.713,3.968,1.538,3.809,7.000
PER00017,11,public_presentation,4.850,3.481,5.431,2.701,4.219,5.688
PER00017,12,creative_exploration,3.528,3.088,3.858,1.702,2.809,1.808
PER00017,13,deadline_pressure,3.993,2.766,5.126,2.026,2.539,6.282
PER00017,14,quiet_work,2.616,3.421,3.203,1.565,3.617,6.439
PER00018,1,creative_exploration,4.288,4.439,3.099,1.965,3.119,2.490
PER00018,2,public_presentation,4.428,3.405,6.060,2.947,2.833,4.666
PER00018,3,deadline_pressure,3.866,4.677,3.622,2.420,4.253,5.243
PER00018,4,public_presentation,4.237,3.726,5.498,2.926,4.574,4.345
PER00018,5,family_obligation,4.950,4.700,5.628,3.778,4.374,5.628
PER00018,6,social_event,2.945,3.804,3.530,1.918,2.753,2.561
PER00018,7,deadline_pressure,4.624,3.527,5.397,2.719,3.240,5.285
PER00018,8,creative_exploration,3.271,3.652,4.200,2.191,3.718,2.078
PER00018,9,team_meeting,4.503,4.789,4.291,2.936,4.677,3.417
PER00018,10,public_presentation,5.989,4.743,6.390,4.329,4.743,5.141
PER00018,11,ambiguous_conflict,4.491,4.487,3.644,2.336,3.594,2.853
PER00018,12,team_meeting,4.188,4.585,4.952,3.244,3.693,4.594
PER00018,13,team_meeting,4.213,4.256,4.799,2.918,4.385,3.828
PER00018,14,public_presentation,5.020,4.489,5.084,3.260,3.542,5.226
PER00019,1,public_presentation,4.277,3.555,5.093,2.587,2.420,3.478
PER00019,2,family_obligation,5.094,3.712,5.235,2.776,3.409,4.573
PER00019,3,social_event,3.302,3.718,3.721,1.976,3.605,2.797
PER00019,4,team_meeting,3.985,3.562,4.765,2.425,3.680,3.982
PER00019,5,team_meeting,3.674,3.813,4.500,2.451,3.787,4.204
PER00019,6,team_meeting,4.435,3.986,4.131,2.352,3.144,4.448
PER00019,7,public_presentation,4.688,4.001,4.251,2.430,4.600,3.922
PER00019,8,deadline_pressure,3.550,3.518,5.381,2.705,4.266,5.544
PER00019,9,quiet_work,2.910,3.387,4.189,2.027,3.020,5.834
PER00019,10,ambiguous_conflict,4.250,3.186,4.262,1.940,3.516,2.933
PER00019,11,deadline_pressure,3.812,4.465,4.636,2.957,3.850,5.703
PER00019,12,public_presentation,4.145,3.015,6.610,2.847,4.196,6.370
PER00019,13,quiet_work,2.984,3.767,3.696,1.989,2.986,5.906
PER00019,14,family_obligation,3.524,2.516,5.003,1.798,2.922,4.724
PER00020,1,deadline_pressure,4.658,4.404,4.372,2.751,5.248,5.551
PER00020,2,social_event,3.850,2.968,4.565,1.935,4.025,2.632
PER00020,3,social_event,4.163,3.952,3.524,1.990,4.300,2.590
PER00020,4,team_meeting,4.735,3.928,5.045,2.831,4.167,4.061
PER00020,5,quiet_work,4.593,3.794,4.798,2.600,4.430,5.712
PER00020,6,deadline_pressure,3.483,2.988,3.151,1.345,4.219,5.542
PER00020,7,social_event,4.563,3.985,5.158,2.936,3.678,3.598
PER00020,8,family_obligation,4.188,3.796,5.477,2.970,4.226,4.718
PER00020,9,quiet_work,3.581,3.813,3.630,1.978,4.681,5.824
PER00020,10,social_event,4.463,3.765,4.083,2.196,4.324,1.539
PER00020,11,family_obligation,3.756,4.726,3.440,2.322,4.942,4.363
PER00020,12,quiet_work,4.549,4.320,4.765,2.940,4.861,5.117
PER00020,13,deadline_pressure,4.398,3.656,4.255,2.222,3.855,5.179
PER00020,14,quiet_work,4.529,4.913,5.163,3.623,4.552,6.170
PER00021,1,creative_exploration,2.276,2.290,3.779,1.236,2.693,2.613
PER00021,2,family_obligation,3.462,2.634,4.408,1.658,2.683,5.062
PER00021,3,quiet_work,3.408,2.511,4.202,1.508,3.063,5.824
PER00021,4,quiet_work,2.714,2.352,3.117,1.047,3.094,5.696
PER00021,5,ambiguous_conflict,3.273,2.353,4.794,1.612,2.928,3.993
PER00021,6,quiet_work,2.988,2.396,3.429,1.174,3.702,6.419
PER00021,7,public_presentation,4.199,2.850,5.209,2.121,3.035,5.428
PER00021,8,family_obligation,3.400,2.475,3.519,1.244,1.705,3.995
PER00021,9,family_obligation,3.705,2.588,4.718,1.744,2.670,5.081
PER00021,10,ambiguous_conflict,3.380,2.873,4.344,1.783,2.517,3.817
PER00021,11,social_event,2.227,1.988,3.880,1.102,2.472,3.362
PER00021,12,quiet_work,2.788,2.992,3.758,1.606,2.654,5.204
PER00021,13,deadline_pressure,4.105,2.809,3.881,1.557,3.234,5.383
PER00021,14,deadline_pressure,3.694,2.504,4.795,1.715,2.070,5.372
PER00022,1,quiet_work,2.545,2.689,3.555,1.366,2.139,5.705
PER00022,2,social_event,4.148,2.745,5.418,2.125,3.682,3.256
PER00022,3,family_obligation,2.721,1.958,4.921,1.376,3.419,5.647
PER00022,4,public_presentation,3.775,2.050,6.327,1.853,3.977,5.361
PER00022,5,family_obligation,3.502,2.981,4.597,1.958,3.604,4.906
PER00022,6,social_event,3.009,2.195,3.316,1.040,3.618,2.200
PER00022,7,deadline_pressure,2.938,2.560,4.600,1.682,3.339,5.134
PER00022,8,social_event,3.994,2.083,4.697,1.397,3.166,3.676
PER00022,9,team_meeting,3.894,3.070,5.725,2.511,3.389,3.341
PER00022,10,quiet_work,3.313,2.596,4.267,1.582,3.078,5.858
PER00022,11,public_presentation,3.808,3.034,4.521,1.959,3.183,5.087
PER00022,12,ambiguous_conflict,4.663,3.250,5.700,2.646,4.185,4.193
PER00022,13,ambiguous_conflict,1.808,2.537,3.827,1.387,1.795,3.679
PER00022,14,family_obligation,3.191,2.222,3.620,1.149,2.531,5.461
PER00023,1,ambiguous_conflict,4.647,3.442,4.209,2.070,4.552,3.388
PER00023,2,creative_exploration,3.645,2.907,3.279,1.362,2.535,2.439
PER00023,3,team_meeting,2.807,3.075,3.591,1.578,2.675,4.139
PER00023,4,ambiguous_conflict,3.658,3.730,3.871,2.063,3.580,4.515
PER00023,5,team_meeting,4.073,3.662,4.053,2.120,2.616,4.783
PER00023,6,quiet_work,4.225,3.334,4.057,1.932,3.722,5.853
PER00023,7,team_meeting,4.922,3.665,4.916,2.574,3.711,4.623
PER00023,8,ambiguous_conflict,3.178,2.972,4.492,1.907,2.697,3.195
PER00023,9,creative_exploration,2.817,3.568,4.021,2.050,2.793,2.173
PER00023,10,team_meeting,4.961,3.792,3.745,2.029,3.252,4.021
PER00023,11,ambiguous_conflict,3.158,3.166,3.970,1.795,2.779,3.632
PER00023,12,team_meeting,3.263,2.939,4.551,1.911,3.250,3.728
PER00023,13,quiet_work,3.805,4.072,4.532,2.637,3.622,6.315
PER00023,14,deadline_pressure,2.626,2.953,4.983,2.102,2.809,5.870
PER00024,1,ambiguous_conflict,3.714,3.682,4.572,2.404,3.642,3.200
PER00024,2,ambiguous_conflict,3.614,3.807,2.714,1.476,4.253,3.801
PER00024,3,team_meeting,3.903,3.636,5.115,2.657,3.966,2.858
PER00024,4,public_presentation,4.135,3.966,5.255,2.977,3.805,4.919
PER00024,5,creative_exploration,4.313,3.800,4.048,2.197,3.355,3.157
PER00024,6,public_presentation,4.173,3.799,5.101,2.768,4.888,5.751
PER00024,7,ambiguous_conflict,4.143,3.760,3.702,1.989,4.420,3.437
PER00024,8,deadline_pressure,4.783,3.628,4.851,2.514,4.440,6.197
PER00024,9,social_event,4.659,3.915,3.611,2.019,3.504,2.768
PER00024,10,deadline_pressure,3.838,4.130,5.460,3.221,3.852,5.713
PER00024,11,quiet_work,3.429,3.617,4.573,2.363,4.870,5.154
PER00024,12,public_presentation,4.791,4.406,4.930,3.103,3.838,5.045
PER00024,13,public_presentation,4.349,3.905,4.605,2.569,4.057,4.962
PER00024,14,public_presentation,4.222,4.245,4.939,2.995,3.466,4.604
PER00025,1,social_event,4.646,3.766,4.250,2.287,3.755,2.154
PER00025,2,creative_exploration,3.103,3.044,1.979,0.861,3.676,2.772
PER00025,3,deadline_pressure,3.974,3.492,4.210,2.100,4.527,5.839
PER00025,4,quiet_work,3.610,3.411,3.298,1.607,3.590,6.454
PER00025,5,team_meeting,4.632,3.456,4.506,2.224,3.650,4.125
PER00025,6,team_meeting,4.419,4.312,5.272,3.248,3.798,3.951
PER00025,7,deadline_pressure,4.171,3.865,4.837,2.671,3.722,5.412
PER00025,8,quiet_work,3.881,3.732,4.155,2.215,5.040,7.000
PER00025,9,ambiguous_conflict,2.823,3.164,4.613,2.085,4.424,5.447
PER00025,10,family_obligation,4.791,3.702,4.920,2.602,4.254,4.423
PER00025,11,deadline_pressure,4.012,3.321,5.108,2.423,3.850,4.474
PER00025,12,team_meeting,4.268,3.014,3.204,1.380,4.310,4.104
PER00025,13,creative_exploration,4.719,4.031,5.039,2.902,3.057,2.051
PER00025,14,deadline_pressure,2.328,3.734,3.350,1.787,4.081,4.394
PER00026,1,family_obligation,4.372,3.870,3.416,1.888,3.847,4.853
PER00026,2,creative_exploration,4.878,4.404,3.726,2.344,3.683,2.675
PER00026,3,deadline_pressure,3.345,3.946,3.340,1.883,3.625,6.031
PER00026,4,family_obligation,3.714,3.813,4.067,2.215,3.452,4.727
PER00026,5,team_meeting,4.330,3.333,4.429,2.109,3.327,4.218
PER00026,6,public_presentation,4.118,4.068,5.688,3.306,4.504,5.717
PER00026,7,deadline_pressure,4.126,3.781,4.617,2.494,4.649,5.869
PER00026,8,family_obligation,3.198,3.525,4.068,2.048,3.860,5.224
PER00026,9,quiet_work,4.059,3.599,4.207,2.163,4.577,5.271
PER00026,10,social_event,4.602,3.523,3.898,1.962,3.865,2.745
PER00026,11,quiet_work,3.971,3.709,3.324,1.761,4.296,5.230
PER00026,12,deadline_pressure,3.728,3.992,5.141,2.932,4.492,5.667
PER00026,13,ambiguous_conflict,4.072,3.504,3.556,1.780,3.586,3.077
PER00026,14,public_presentation,3.362,3.444,6.398,3.147,3.867,5.193
PER00027,1,ambiguous_conflict,3.302,3.474,4.024,1.997,3.628,2.993
PER00027,2,social_event,3.619,3.044,3.498,1.521,2.982,3.148
PER00027,3,team_meeting,4.427,3.312,4.769,2.256,3.440,5.185
PER00027,4,public_presentation,4.750,3.017,5.677,2.446,3.690,4.954
PER00027,5,team_meeting,3.804,2.982,4.469,1.904,2.947,4.320
