person_id,conscientiousness_score,extraversion_score,neuroticism_score,identity_coherence,life_satisfaction,social_functioning,developmental_integration,measurement_reliability_index,identity_trait_alignment_index,person_situation_sensitivity_index,responsible_interpretation_index,mean_behavior_score,mean_situation_strength,mean_observed_regulation,mean_contextual_constraint
PER00040,4.702,4.812,3.950,3.589,3.243,3.559,3.551,7.601,3.715,4.668,5.430,4.602,4.801,3.734,4.277
PER00041,3.046,5.008,3.517,2.306,2.254,3.537,1.811,7.484,2.960,4.335,4.560,3.880,4.528,3.312,3.826
PER00042,3.304,4.455,5.661,2.735,2.062,3.311,2.245,7.859,3.170,4.939,5.200,3.892,4.489,2.936,4.480
PER00043,4.269,4.016,4.152,2.321,2.451,3.916,3.167,8.653,2.899,4.204,5.114,4.048,4.745,3.593,4.777
PER00044,3.270,4.422,2.742,2.746,2.235,3.433,2.144,7.902,3.319,4.723,4.944,4.221,4.589,3.611,4.121
PER00045,3.913,3.227,3.103,2.991,2.363,2.442,4.749,7.063,4.165,4.713,5.667,3.970,4.274,3.755,3.845
PER00046,4.369,4.798,4.588,3.157,3.291,3.839,3.711,7.971,4.285,4.319,4.971,4.130,4.340,3.802,3.840
PER00047,3.036,5.005,4.045,1.680,1.543,3.198,1.532,7.498,2.796,4.994,5.057,3.942,4.237,3.480,4.162
PER00048,5.516,4.459,3.762,2.895,2.800,3.254,2.898,7.614,3.466,4.716,4.793,4.436,4.645,4.166,4.352
PER00049,1.076,3.482,4.127,1.918,1.082,2.756,1.923,7.817,2.547,4.841,4.854,3.323,4.540,2.482,4.364
PER00050,6.129,4.419,3.051,3.227,3.844,4.143,3.525,7.912,3.791,5.240,5.089,4.771,4.622,4.593,4.183
PER00051,2.605,4.108,3.859,2.756,2.359,3.225,1.887,7.700,3.222,4.598,4.961,3.695,4.564,3.288,4.380
PER00052,4.310,3.977,4.331,2.052,2.046,2.556,3.037,7.372,3.402,4.299,5.049,3.648,4.643,3.949,5.122
PER00053,2.889,4.175,5.490,2.711,1.899,2.753,3.277,8.207,3.183,4.571,5.113,3.630,4.712,2.866,3.669
PER00054,4.761,6.004,2.503,3.684,4.021,4.275,3.183,7.656,3.729,4.413,5.207,4.443,4.418,4.247,3.839
PER00055,3.237,3.798,3.692,2.261,1.965,3.911,1.968,7.013,3.551,4.376,5.480,3.899,4.671,3.578,4.728
PER00056,5.468,3.573,4.335,4.437,2.963,3.856,4.132,7.859,4.420,4.488,5.403,4.353,4.562,4.010,4.313
PER00057,5.565,3.085,3.071,3.034,2.236,3.555,4.190,7.824,4.015,5.484,5.289,4.508,4.505,4.583,4.455
PER00058,5.201,4.339,5.388,2.421,2.788,3.533,2.560,7.354,3.376,4.506,5.015,4.066,4.172,4.008,4.511
PER00059,3.649,4.935,4.467,2.547,1.989,3.200,2.768,7.127,3.455,4.127,4.809,3.745,4.405,3.237,4.391
PER00060,3.397,3.964,3.425,1.341,2.028,3.942,2.497,7.541,2.575,4.470,4.764,3.815,4.613,3.565,4.234
PER00061,3.865,1.562,4.489,2.660,2.016,2.781,2.230,7.511,3.086,4.318,5.456,3.528,4.066,3.393,3.574
PER00062,3.095,1.766,3.745,2.193,1.000,2.161,2.357,7.676,3.158,4.533,5.144,3.343,4.416,3.654,4.115
PER00063,4.384,4.846,2.583,3.627,3.378,4.183,2.404,8.004,3.742,4.798,5.391,4.376,4.681,3.958,5.041
PER00064,4.648,4.701,3.253,2.976,2.531,3.527,3.055,7.918,4.210,4.708,5.561,4.314,4.264,4.052,4.686
PER00065,3.258,3.093,4.079,2.954,2.006,3.447,2.257,8.029,3.218,4.712,4.885,3.846,4.816,3.569,4.473
PER00066,4.651,4.211,3.609,3.262,3.010,3.821,4.289,7.541,4.455,4.395,5.371,4.261,4.478,3.984,4.184
PER00067,3.553,2.870,4.665,2.695,2.105,3.275,2.668,6.942,3.310,3.944,5.036,3.780,4.447,3.278,4.145
PER00068,5.456,3.651,5.169,2.669,1.551,2.654,3.061,8.267,4.098,5.190,5.835,4.370,4.858,3.889,4.512
PER00069,4.894,4.314,5.155,3.402,2.367,3.336,3.600,7.735,4.053,4.667,5.534,4.112,4.864,3.876,4.717
PER00070,4.134,5.012,2.998,3.654,2.463,3.282,2.861,7.626,4.101,4.026,5.535,4.229,4.653,3.904,4.450
PER00071,5.508,4.839,3.926,4.256,2.395,3.025,3.990,7.694,4.494,4.595,5.759,4.467,4.379,3.958,4.097
PER00072,3.358,4.649,3.079,2.315,3.031,4.108,2.700,8.051,3.552,4.430,5.018,4.212,4.512,3.683,3.982
PER00073,5.617,5.675,3.543,3.687,3.181,3.837,3.532,8.175,4.525,4.883,5.682,4.739,4.586,4.519,4.647
PER00074,5.266,3.161,2.950,4.438,3.148,3.631,3.890,7.894,4.488,4.593,5.577,4.229,4.135,4.444,3.932
PER00075,5.804,4.400,3.301,3.678,3.035,4.439,3.127,7.749,4.324,4.727,5.212,4.407,4.348,4.474,4.514
PER00076,4.567,2.749,5.261,2.664,2.808,3.470,4.005,7.958,3.722,4.300,5.286,3.871,4.870,3.570,4.504
PER00077,3.216,4.742,4.418,1.210,2.674,4.352,2.265,7.752,2.405,4.889,5.005,4.139,4.561,3.297,4.551
PER00078,4.043,1.956,3.858,3.146,2.050,2.527,3.477,8.259,3.394,4.645,5.687,4.301,4.781,3.628,4.111
PER00079,3.097,4.299,1.974,2.893,2.077,2.425,3.026,7.031,3.362,4.428,5.030,3.920,4.109,3.611,4.303
PER00080,4.022,1.160,3.745,2.301,2.035,2.062,3.695,8.072,3.826,4.816,5.170,3.772,4.831,3.893,4.688
PER00081,3.044,3.672,5.556,1.681,2.330,3.757,2.347,7.894,1.984,4.197,5.159,3.703,4.999,3.314,5.131
PER00082,5.023,3.546,3.754,1.693,2.849,3.148,3.187,8.464,3.513,4.554,5.149,3.952,4.245,4.106,3.815
PER00083,5.161,3.905,4.001,3.092,2.722,3.571,3.718,7.543,3.605,4.858,5.483,3.995,4.231,4.070,3.920
PER00084,4.442,4.960,3.241,3.026,3.532,4.223,4.253,6.959,3.865,5.063,5.652,4.637,5.331,3.977,4.223
PER00085,3.794,4.164,5.136,3.128,1.405,2.556,3.227,7.981,3.242,4.674,5.574,3.919,4.998,3.476,4.471
PER00086,6.658,3.682,4.576,2.751,2.681,4.295,3.389,7.710,4.134,4.905,5.441,4.359,4.215,4.486,3.522
PER00087,5.262,4.470,4.048,2.996,2.255,3.748,2.967,8.172,4.015,4.779,4.880,4.135,4.174,3.883,3.215
PER00088,2.747,2.998,4.755,1.954,1.253,2.264,2.259,8.147,3.270,4.632,4.955,3.632,4.255,2.967,3.678
PER00089,2.563,2.322,4.117,1.502,1.401,3.182,2.407,7.845,2.795,4.003,4.932,3.187,4.424,3.166,3.919
PER00090,2.251,3.024,3.793,1.575,1.237,1.745,2.489,7.096,2.383,3.862,4.226,3.536,4.380,2.891,3.798
PER00091,4.025,4.337,2.259,2.718,2.436,3.529,3.446,7.678,4.044,4.646,5.703,4.268,4.527,4.022,4.188
PER00092,4.479,5.436,4.905,2.883,3.147,3.398,3.132,7.978,3.829,4.377,5.775,3.920,4.479,3.721,4.647
PER00093,5.616,3.820,4.180,3.592,2.191,3.065,3.804,8.429,4.104,4.972,5.731,4.094,4.890,4.360,4.820
PER00094,3.998,5.029,4.470,3.608,2.408,4.241,2.886,8.128,3.802,4.171,5.385,4.080,4.139,3.782,4.318
PER00095,2.732,2.917,3.413,2.799,2.267,3.516,2.139,8.261,3.669,3.905,5.390,3.419,3.954,3.156,4.296
PER00096,4.843,5.700,3.498,3.205,3.347,4.081,2.921,6.940,3.471,4.888,5.389,4.565,4.130,4.245,4.716
PER00097,3.884,2.266,3.695,2.572,1.841,3.225,3.655,8.718,3.301,4.096,5.577,3.822,4.134,3.586,3.426
PER00098,5.290,6.351,4.871,3.333,3.425,4.029,4.345,7.789,4.343,4.487,5.692,4.197,4.342,4.061,4.424
PER00099,4.612,4.348,4.716,3.372,2.048,4.124,3.332,7.568,3.807,4.191,5.290,4.298,4.603,3.791,4.376
PER00100,2.263,3.864,3.623,2.872,2.112,3.257,2.643,8.287,2.726,4.429,5.107,3.515,4.659,2.751,3.794
PER00101,5.045,4.573,5.425,3.088,2.318,4.348,4.028,7.433,3.929,4.421,5.456,4.048,4.432,3.659,3.776
PER00102,2.816,5.967,3.178,3.806,3.428,3.731,3.158,7.964,4.167,4.260,5.871,3.715,4.360,3.452,4.649
PER00103,1.650,4.509,5.362,2.715,1.000,1.447,3.218,7.880,2.521,3.271,4.711,3.096,4.296,2.362,3.896
PER00104,4.338,3.071,4.029,2.459,3.043,3.277,3.558,7.524,3.259,4.724,5.846,4.237,4.878,3.885,4.233
PER00105,3.607,4.878,3.141,3.444,2.607,4.065,2.678,8.028,3.749,4.751,5.558,4.093,4.753,3.662,4.095
PER00106,3.545,3.752,4.132,3.151,2.552,3.367,2.776,7.612,3.699,4.727,5.128,3.531,4.411,3.521,4.388
PER00107,4.368,4.939,3.533,3.297,3.501,3.342,3.572,7.871,4.017,4.763,5.929,4.163,4.375,3.751,3.894
PER00108,3.928,4.784,3.547,3.083,2.908,4.907,3.054,6.931,4.413,4.801,5.728,4.247,5.013,3.661,4.447
PER00109,5.090,3.167,2.816,3.391,4.090,3.046,3.120,7.838,4.327,5.201,5.847,4.207,4.010,4.046,4.117
PER00110,3.284,3.337,5.122,2.332,1.967,1.565,3.266,8.427,2.945,3.831,5.147,3.256,4.244,3.359,4.481
PER00111,4.897,2.543,4.899,2.925,2.363,2.437,2.991,8.447,3.023,4.566,5.518,3.768,4.257,3.688,3.863
PER00112,4.638,3.262,2.838,3.189,2.200,3.158,2.219,8.242,3.928,4.808,5.355,4.015,4.606,4.248,4.657
PER00113,4.261,4.651,1.702,2.891,3.410,3.367,2.964,7.647,4.242,5.149,5.246,4.362,4.265,4.230,4.147
PER00114,4.041,2.847,4.692,3.272,1.304,3.137,2.977,7.813,4.078,4.128,5.327,3.816,4.781,3.379,4.388
PER00115,5.420,4.384,2.611,3.492,3.136,5.021,4.242,7.714,4.465,4.576,5.481,4.373,4.132,4.622,4.688
PER00116,4.514,5.993,3.218,3.633,3.243,4.032,3.536,8.174,4.867,4.904,5.807,4.393,4.196,3.941,4.269
PER00117,5.447,3.075,1.418,4.032,3.255,4.113,3.844,7.504,4.775,5.206,5.375,4.639,4.335,4.612,4.072
PER00118,3.730,3.371,2.285,2.903,3.167,4.599,2.258,8.384,3.365,4.459,5.441,4.083,4.586,4.034,3.972
PER00119,4.414,4.023,1.831,3.094,2.881,3.906,3.233,7.707,4.262,4.643,5.448,4.513,5.015,4.420,4.572
PER00120,4.268,4.855,3.680,2.685,3.034,3.061,2.991,8.002,3.796,4.527,5.926,4.139,4.295,3.758,4.355
PER00121,4.335,3.857,1.836,3.049,3.203,3.526,3.355,8.303,3.495,5.162,5.568,4.295,4.467,3.990,4.036
PER00122,5.780,2.767,3.474,3.532,2.521,2.856,3.781,7.738,3.912,4.413,5.156,4.359,4.329,4.542,4.550
PER00123,5.786,3.091,4.533,3.548,3.252,3.209,3.427,8.244,4.413,4.582,5.470,4.421,4.703,4.314,4.635
PER00124,2.252,3.618,3.968,1.382,2.874,3.143,1.663,8.282,1.975,4.054,4.597,3.897,4.674,2.954,3.323
PER00125,5.816,2.799,3.253,3.148,3.603,3.056,4.961,7.627,4.849,5.017,6.244,4.049,4.455,4.463,4.436
PER00126,6.176,5.797,2.715,3.799,3.665,4.864,4.057,8.748,4.660,5.083,6.116,4.922,4.647,4.715,4.622
PER00127,1.959,5.693,4.387,2.613,2.533,4.622,1.819,7.808,2.995,4.120,4.525,3.770,4.431,2.810,4.015
PER00128,2.758,2.714,3.385,3.410,1.713,2.406,2.710,8.104,3.502,3.820,5.150,3.369,4.260,3.527,4.911
PER00129,6.384,2.403,3.367,3.972,2.540,3.436,3.774,8.136,5.344,4.659,5.993,4.491,4.613,4.878,4.419
PER00130,4.780,4.006,4.077,3.495,1.861,2.467,3.452,7.451,3.825,4.460,5.238,4.002,4.626,4.078,4.424
PER00131,4.208,5.379,6.224,2.233,1.893,3.186,2.738,7.797,3.554,4.838,5.240,3.819,4.607,3.361,4.518
PER00132,2.512,3.170,4.007,2.227,1.091,1.691,3.019,8.178,3.234,4.510,4.887,3.224,4.723,3.127,4.728
PER00133,2.236,4.739,3.224,2.112,2.741,2.892,2.489,7.942,2.717,4.639,5.229,3.710,4.691,3.209,4.130
PER00134,3.430,4.521,3.674,1.809,2.903,3.560,1.835,7.432,3.053,4.613,5.253,3.824,4.541,3.489,4.335
PER00135,3.998,3.264,6.113,1.984,1.539,2.161,1.831,8.478,2.793,4.257,4.955,3.720,4.298,3.106,3.884
PER00136,5.290,4.960,4.396,3.137,3.045,2.944,3.140,7.954,4.085,4.181,4.807,4.525,4.610,3.987,4.051
PER00137,2.612,3.806,2.100,3.190,2.390,3.361,2.652,8.092,3.658,3.934,5.073,3.475,4.377,3.688,4.484
PER00138,2.437,3.749,6.199,1.804,1.099,2.972,1.381,7.972,2.157,4.142,4.689,3.590,4.450,2.799,3.913
PER00139,3.831,3.546,3.940,2.342,2.290,3.390,2.816,7.680,3.004,4.016,4.634,3.890,4.867,3.857,4.534
PER00140,2.705,4.399,5.628,1.859,1.541,2.442,2.683,8.041,2.409,4.204,4.964,3.480,4.122,2.600,4.075
PER00141,5.245,1.726,4.325,2.125,1.768,1.858,3.277,7.590,3.272,5.190,5.062,3.939,4.569,4.251,4.233
PER00142,4.840,5.524,5.689,3.573,1.763,3.343,2.745,8.086,3.809,4.615,4.890,4.108,4.795,3.622,4.426
PER00143,6.351,5.036,5.620,3.501,3.842,4.604,3.903,8.871,4.604,5.066,5.976,5.160,5.007,4.461,4.652
PER00144,5.344,3.929,4.327,3.266,3.040,3.351,3.401,8.344,4.295,5.522,5.778,4.296,5.033,4.072,4.079
PER00145,3.172,4.533,4.853,1.908,3.202,3.380,2.170,7.322,2.868,4.397,4.862,3.776,4.948,3.161,4.834
PER00146,4.907,4.321,4.065,3.861,3.070,4.024,3.614,8.194,4.044,5.116,5.280,4.173,4.361,4.138,4.149
PER00147,4.617,4.442,3.474,2.474,3.219,4.909,3.227,7.902,3.259,4.996,5.188,4.323,4.367,4.152,4.764
PER00148,3.281,4.602,3.206,2.548,2.306,2.899,3.035,7.935,3.111,4.296,5.188,4.287,4.312,3.491,4.585
PER00149,4.235,5.655,2.835,4.029,3.064,2.973,4.007,8.066,4.083,5.329,5.896,4.807,4.392,4.118,4.092
PER00150,4.181,4.369,2.071,2.902,2.659,2.968,3.351,7.903,3.881,4.125,5.033,4.231,4.484,3.974,4.306
PER00151,3.892,2.854,3.243,2.011,1.617,2.862,2.004,8.482,3.819,4.725,5.844,4.180,4.689,4.004,4.261
PER00152,4.342,4.836,3.632,3.133,2.740,2.898,3.447,8.078,3.953,4.676,5.943,4.196,4.341,3.676,3.972
PER00153,1.586,1.952,3.225,1.369,1.913,2.521,2.187,8.366,1.747,3.696,4.667,3.085,4.080,2.677,3.854
PER00154,6.408,4.453,3.719,4.255,3.866,3.652,3.275,7.981,4.216,4.814,6.039,4.793,4.311,4.657,4.314
PER00155,2.934,4.297,3.510,2.416,2.163,3.493,2.159,7.045,3.103,4.390,4.333,3.765,4.494,3.532,5.087
PER00156,4.610,2.140,4.457,2.452,1.330,2.903,3.031,8.276,3.226,4.259,5.086,4.020,4.628,3.917,4.551
PER00157,4.187,4.068,3.308,3.269,3.654,2.708,3.334,8.377,4.097,4.602,5.535,4.200,4.139,3.807,4.374
PER00158,4.013,4.508,4.994,2.227,2.024,4.160,1.632,6.516,2.171,4.130,4.017,4.012,4.596,3.369,4.923
PER00159,6.760,3.063,4.021,3.873,2.743,2.728,3.772,8.384,4.686,5.371,6.535,4.563,4.852,4.812,5.086
PER00160,3.863,4.730,3.557,2.635,2.332,3.687,2.939,7.332,3.496,4.872,5.141,4.141,4.473,3.763,4.354
PER00161,3.060,3.024,3.973,2.170,2.415,3.841,2.253,8.408,3.004,4.603,5.323,3.606,4.627,3.260,4.322
PER00162,3.185,3.847,5.224,2.566,1.518,1.868,2.158,7.254,2.715,4.192,5.299,3.502,4.485,3.139,4.591
PER00163,4.245,3.404,3.225,3.238,1.583,3.289,3.410,7.649,3.948,4.330,5.262,3.922,4.116,4.138,4.394
PER00164,3.594,2.866,2.750,3.522,3.022,4.012,3.517,7.593,3.570,4.797,5.195,3.815,4.444,3.809,4.360
PER00165,4.569,5.267,4.769,4.484,2.355,3.380,3.782,8.310,4.892,4.363,5.991,4.128,4.551,3.848,4.062
PER00166,2.089,4.560,4.131,1.680,2.675,2.780,2.604,8.347,3.027,4.461,5.213,3.673,5.017,3.109,4.719
PER00167,4.874,4.257,4.747,3.313,3.655,4.914,3.027,7.925,4.109,4.748,5.384,4.543,4.540,3.862,4.036
PER00168,4.152,4.503,3.895,3.765,2.555,3.343,3.534,8.493,4.528,4.569,5.472,4.498,4.997,3.902,4.401
PER00169,3.828,3.787,4.191,3.335,2.170,3.224,3.838,7.354,4.050,4.452,5.478,4.269,4.586,3.607,4.772
PER00170,4.418,1.102,5.475,2.750,1.607,2.112,3.106,9.025,3.343,4.167,5.979,3.533,4.531,3.334,4.251
PER00171,4.203,5.649,3.430,3.508,3.260,3.516,3.702,8.486,4.376,4.442,5.846,4.320,4.560,3.684,4.612
PER00172,4.120,2.447,3.540,2.237,2.577,2.475,3.447,7.060,3.460,4.503,5.171,3.984,4.438,3.943,4.276
PER00173,3.164,3.897,2.877,2.648,3.765,3.128,3.175,7.055,3.775,4.840,5.238,3.803,4.621,3.576,4.071
PER00174,4.725,2.819,2.409,4.113,2.367,3.020,4.180,8.108,4.354,5.098,5.520,4.488,4.696,4.253,4.107
PER00175,3.985,5.133,1.322,3.959,3.545,4.527,4.020,7.900,3.940,4.386,5.259,4.544,4.894,4.028,4.133
PER00176,5.378,3.539,3.686,2.672,2.585,4.353,2.818,7.805,3.884,5.133,5.722,4.124,4.404,4.367,4.620
PER00177,5.180,3.383,4.837,3.430,2.994,3.283,4.301,7.942,4.583,4.808,5.516,4.202,4.296,4.163,4.451
PER00178,2.554,5.442,4.373,3.045,2.880,3.581,3.270,7.030,3.152,4.232,5.427,4.008,4.517,2.802,3.951
PER00179,6.667,4.422,3.530,3.588,2.824,3.667,3.498,7.854,4.324,5.030,5.890,4.730,3.880,4.749,3.755
PER00180,3.771,3.978,4.276,2.832,2.489,2.825,3.411,8.131,4.048,4.001,5.199,4.103,4.406,3.396,4.096
PER00181,5.231,5.412,3.818,3.413,3.349,4.023,3.216,6.317,3.954,4.857,4.867,4.515,4.522,4.283,4.713
PER00182,4.311,3.618,4.169,3.213,2.785,3.486,3.439,8.538,3.874,4.626,5.289,4.052,4.186,3.864,4.151
PER00183,2.801,3.935,2.751,3.059,2.131,2.606,2.913,8.248,3.449,3.977,5.514,3.593,4.103,3.671,4.543
PER00184,5.122,3.447,5.852,2.198,1.518,2.612,2.923,7.976,3.261,4.314,5.143,3.845,4.422,3.700,3.918
PER00185,5.426,2.245,2.491,4.021,2.423,2.880,3.828,7.385,4.815,4.535,6.143,4.067,4.094,4.465,4.133
PER00186,4.278,3.946,5.319,2.157,2.070,2.501,3.284,8.208,3.307,4.225,5.768,3.946,4.835,3.295,4.352
PER00187,6.391,3.226,2.847,2.887,2.283,3.241,3.378,8.330,4.592,4.664,6.000,4.443,4.364,4.905,4.069
PER00188,3.611,3.240,4.172,2.643,1.191,2.710,2.339,8.155,3.542,4.881,5.047,4.304,4.692,3.653,4.574
PER00189,2.936,4.107,4.052,2.420,1.583,3.659,3.178,6.953,3.105,4.498,5.174,3.732,4.460,3.427,4.355
PER00190,3.466,1.927,3.892,2.451,1.740,1.924,3.272,8.389,3.019,4.280,5.807,3.403,4.552,3.528,4.384
PER00191,3.729,3.036,5.366,1.921,2.025,2.686,1.995,7.305,2.547,4.319,4.835,3.595,4.837,3.265,4.443
PER00192,4.141,5.644,2.785,3.255,2.238,3.428,3.280,8.431,4.051,4.885,6.106,4.236,4.685,4.068,4.275
PER00193,4.724,2.663,3.047,3.445,2.323,3.903,3.283,7.887,4.523,4.907,5.121,4.432,4.944,4.343,4.518
PER00194,3.961,3.649,5.125,2.048,2.092,2.947,2.605,7.746,3.472,4.279,5.035,3.862,4.402,3.806,5.105
PER00195,3.711,2.374,2.587,3.050,2.573,4.447,3.289,8.392,4.046,4.624,5.787,4.141,4.319,3.970,3.564
PER00196,3.481,3.753,4.005,2.698,1.634,2.964,2.980,7.953,3.188,5.060,6.308,3.887,4.486,3.556,4.707
PER00197,3.961,4.834,3.557,3.102,2.480,3.483,3.244,8.170,3.860,4.586,5.092,4.298,4.386,3.944,4.721
PER00198,3.830,6.304,3.752,2.909,3.703,3.432,2.531,8.347,4.030,4.478,5.430,4.508,4.343,3.562,4.288
PER00199,4.798,5.433,4.376,3.593,3.506,4.335,2.141,7.777,3.756,4.304,4.889,4.454,4.290,3.861,4.237
PER00200,3.940,4.152,4.568,1.942,3.054,4.202,3.060,8.018,2.630,4.672,4.920,4.160,4.574,3.685,4.810
PER00201,5.485,4.228,4.146,2.430,3.300,3.664,3.550,8.306,3.967,5.058,5.387,4.433,4.312,4.215,4.092
PER00202,4.953,5.289,3.533,3.873,2.515,3.700,3.735,7.870,3.972,4.961,6.019,4.516,4.404,4.041,4.321
PER00203,4.937,4.345,3.503,4.091,3.211,4.186,2.549,8.096,4.485,5.002,5.890,4.596,4.126,4.229,4.248
PER00204,3.403,2.167,4.460,3.183,2.695,3.832,3.409,7.394,3.251,4.629,6.032,3.920,4.822,3.385,4.494
PER00205,5.979,2.536,4.067,2.105,1.959,3.824,3.300,7.419,3.368,4.868,4.931,4.425,4.404,4.550,4.324
PER00206,2.961,2.926,5.050,1.400,1.478,2.675,2.275,8.019,2.722,4.357,5.148,3.526,4.763,3.268,4.584
PER00207,3.279,3.606,2.882,3.258,1.668,3.007,3.138,7.949,4.168,3.902,5.257,4.083,4.921,3.629,4.172
PER00208,3.275,5.114,3.795,3.826,1.720,2.864,3.693,7.389,3.203,4.394,5.051,3.891,4.354,3.525,4.595
PER00209,2.474,5.156,2.967,3.159,3.145,3.007,2.752,7.803,3.245,4.572,5.054,3.704,4.443,3.374,4.606
PER00210,2.905,4.117,3.378,2.443,1.702,3.018,3.555,7.650,3.879,4.627,5.627,3.957,4.628,3.587,4.734
PER00211,5.251,2.759,3.429,3.775,2.491,2.767,3.000,7.350,4.460,4.837,5.757,3.917,3.965,4.566,5.064
