participant_id,social_context,relationship_domain,extraversion,agreeableness,conscientiousness,neuroticism,openness,empathy,self_regulation,attachment_security,perceived_support,relationship_satisfaction,social_functioning,loneliness,conflict_frequency,reciprocity_quality,reputation_trust
RS0151,mobile_fragmented,romantic,3.337,3.956,3.134,3.945,3.178,3.962,2.691,1.969,3.596,2.873,2.326,6.202,3.499,3.038,2.350
RS0152,mobile_fragmented,romantic,5.431,3.894,5.274,4.099,4.148,3.644,3.844,2.643,3.917,3.662,4.612,6.093,2.988,3.542,2.684
RS0153,mobile_fragmented,friendship,3.785,5.792,3.927,4.602,2.698,4.668,2.536,1.478,3.632,3.458,3.834,6.221,2.851,4.020,3.765
RS0154,mobile_fragmented,friendship,2.802,4.442,3.571,4.058,4.479,4.262,3.597,2.020,3.489,3.498,3.038,7.000,3.408,4.916,4.314
RS0155,mobile_fragmented,friendship,3.502,4.780,4.163,3.967,3.421,4.082,3.471,2.874,3.754,3.210,3.906,6.097,3.622,3.701,3.258
RS0156,mobile_fragmented,friendship,3.402,3.449,3.326,2.966,3.987,2.897,2.601,2.275,3.280,2.372,3.169,6.616,2.920,3.525,2.892
RS0157,mobile_fragmented,friendship,3.353,3.781,3.330,5.153,4.509,3.497,3.018,1.543,2.591,1.787,2.279,7.000,4.006,3.776,3.198
RS0158,mobile_fragmented,friendship,4.032,4.185,4.257,4.357,4.874,3.334,3.208,2.502,3.935,3.454,3.760,6.592,2.889,2.850,3.680
RS0159,mobile_fragmented,friendship,4.629,4.476,4.615,3.105,4.536,3.367,4.542,3.331,2.757,3.344,3.743,6.725,3.404,4.243,3.745
RS0160,mobile_fragmented,friendship,4.056,3.986,4.159,3.823,3.062,4.024,3.228,2.167,2.527,3.185,4.222,6.419,2.688,2.929,2.987
RS0161,mobile_fragmented,family,4.829,4.722,4.471,3.969,3.569,4.001,3.922,2.560,4.098,3.674,4.341,6.334,2.424,3.755,4.525
RS0162,mobile_fragmented,family,5.031,5.000,5.231,3.960,4.385,5.250,3.514,2.336,3.486,4.238,4.578,6.413,2.822,4.402,4.114
RS0163,mobile_fragmented,family,2.921,2.956,4.730,2.688,4.438,2.806,4.544,2.169,2.937,2.726,3.261,6.999,2.441,4.404,3.755
RS0164,mobile_fragmented,family,3.030,5.371,3.187,3.741,2.921,4.883,3.400,1.975,3.463,3.003,3.684,6.292,2.889,3.893,3.791
RS0165,mobile_fragmented,family,2.498,4.331,4.749,4.066,4.968,4.675,3.668,3.044,3.596,3.475,3.854,5.720,3.640,3.447,4.328
RS0166,mobile_fragmented,family,3.808,4.810,4.189,3.046,4.044,3.736,3.670,2.302,3.262,3.549,3.846,6.004,2.441,3.869,3.989
RS0167,mobile_fragmented,family,4.260,5.873,4.918,5.481,2.746,4.567,3.689,1.297,3.717,3.338,3.662,6.950,3.974,5.153,4.530
RS0168,mobile_fragmented,family,3.942,3.702,3.662,4.516,3.963,3.347,4.375,2.158,3.761,2.840,3.627,6.562,3.853,2.978,2.881
RS0169,mobile_fragmented,workplace,5.524,3.968,4.856,3.961,3.269,3.549,4.042,1.904,2.995,2.349,3.665,6.125,3.531,2.873,3.556
RS0170,mobile_fragmented,workplace,5.265,4.183,3.610,4.945,3.542,2.932,3.139,2.640,2.824,2.747,3.553,6.798,3.797,3.287,3.563
RS0171,mobile_fragmented,workplace,3.340,4.141,4.555,4.353,4.246,4.057,4.526,2.625,2.660,2.733,2.442,6.733,2.936,4.488,4.516
RS0172,mobile_fragmented,workplace,3.178,4.446,3.827,3.902,4.864,4.157,2.602,1.754,3.335,2.737,3.536,6.666,4.423,3.379,3.756
RS0173,mobile_fragmented,workplace,2.993,3.724,4.617,2.624,3.850,2.546,4.602,2.415,2.791,3.093,3.177,6.117,2.691,4.038,3.839
RS0174,mobile_fragmented,workplace,4.088,4.575,5.170,5.088,4.201,3.784,4.036,2.298,3.560,3.055,3.530,7.000,3.068,3.456,4.446
RS0175,mobile_fragmented,workplace,3.110,3.428,3.891,2.818,5.220,3.040,3.977,3.215,2.025,2.375,3.277,5.806,2.495,2.840,3.620
RS0176,mobile_fragmented,workplace,3.723,3.247,3.354,3.349,4.127,3.048,3.509,1.885,2.844,2.514,3.032,5.546,3.261,3.017,3.190
RS0177,mobile_fragmented,community,4.593,4.815,3.953,1.175,4.641,3.530,4.262,3.409,3.199,4.415,4.931,5.108,1.480,3.814,4.537
RS0178,mobile_fragmented,community,3.731,3.352,3.650,3.862,4.285,3.931,3.726,2.005,3.363,3.314,3.081,6.190,2.839,3.373,3.416
RS0179,mobile_fragmented,community,3.867,3.607,3.921,4.003,4.386,3.910,3.179,1.706,3.301,3.935,4.437,6.949,3.473,2.894,3.030
