person_id,assessment_context,extraversion,agreeableness,conscientiousness,neuroticism,openness,extraversion_category,conscientiousness_category,neuroticism_category,profile_type,synthetic_cluster,nearest_threshold_distance,near_threshold_boundary,cluster_boundary_margin,near_cluster_boundary,dimensional_signal_strength,information_loss_index,well_being,collaboration_score,reflective_utility_score
TTD00081,research_methods_context,3.410,4.502,3.793,4.093,5.771,lower,moderate,moderate,open_reflective_introverted_type,open_reflective_introverted_profile,0.123,1,1.083,0,0.632,1.813,3.251,3.407,1.289
TTD00082,research_methods_context,3.115,3.668,4.063,3.983,5.970,lower,moderate,moderate,open_reflective_introverted_type,open_reflective_introverted_profile,0.002,1,1.306,0,0.653,1.780,3.074,4.473,1.562
TTD00083,research_methods_context,2.580,4.246,3.054,4.298,5.685,lower,lower,moderate,open_reflective_introverted_type,open_reflective_introverted_profile,0.032,1,1.220,0,0.919,1.461,2.403,3.242,1.639
TTD00084,research_methods_context,1.882,4.011,3.396,4.332,5.994,lower,lower,higher,open_reflective_introverted_type,open_reflective_introverted_profile,0.002,1,1.746,0,1.012,1.382,3.017,3.212,1.152
TTD00085,research_methods_context,2.429,4.263,3.332,4.289,5.489,lower,lower,moderate,open_reflective_introverted_type,open_reflective_introverted_profile,0.041,1,1.243,0,0.856,1.521,3.018,2.969,1.104
TTD00086,research_methods_context,2.373,5.182,3.731,4.018,7.000,lower,moderate,moderate,open_reflective_introverted_type,open_reflective_introverted_profile,0.061,1,1.923,0,1.219,1.246,3.025,3.836,1.974
TTD00087,research_methods_context,1.567,4.205,3.938,4.432,4.881,lower,moderate,higher,mixed_dimensional_profile,open_reflective_introverted_profile,0.102,1,0.645,0,0.803,1.579,2.673,2.793,1.335
TTD00088,research_methods_context,2.633,3.408,4.445,4.645,6.438,lower,higher,higher,open_reflective_introverted_type,open_reflective_introverted_profile,0.115,1,1.443,0,1.097,1.321,3.380,2.462,1.157
TTD00089,research_methods_context,6.563,4.416,5.015,3.641,5.156,higher,higher,lower,mixed_dimensional_profile,social_collaborative_profile,0.029,1,0.584,0,1.102,1.318,3.674,5.951,1.521
TTD00090,research_methods_context,6.746,5.343,4.490,3.511,5.685,higher,higher,lower,social_collaborative_type,social_collaborative_profile,0.159,1,1.008,0,1.351,1.178,4.070,5.139,1.585
TTD00091,research_methods_context,6.534,6.010,4.860,3.523,3.926,higher,higher,lower,social_collaborative_type,social_collaborative_profile,0.147,1,1.131,0,1.191,1.262,3.010,4.943,1.439
TTD00092,research_methods_context,6.128,5.740,4.198,3.746,4.652,higher,moderate,moderate,social_collaborative_type,social_collaborative_profile,0.076,1,1.434,0,0.995,1.396,3.429,5.961,1.573
TTD00093,research_methods_context,6.241,4.541,4.933,3.990,5.283,higher,higher,moderate,mixed_dimensional_profile,social_collaborative_profile,0.211,0,0.640,0,1.002,0.971,3.797,4.563,1.911
TTD00094,research_methods_context,6.033,5.872,4.955,2.988,4.694,higher,higher,lower,resilient_regulated_type,social_collaborative_profile,0.364,0,1.011,0,1.313,0.776,3.278,5.020,1.733
TTD00095,research_methods_context,6.155,5.967,4.538,3.388,4.986,higher,higher,lower,social_collaborative_type,social_collaborative_profile,0.208,0,1.381,0,1.251,0.808,4.442,5.016,1.396
TTD00096,research_methods_context,7.000,6.830,4.425,3.123,4.509,higher,higher,lower,social_collaborative_type,social_collaborative_profile,0.095,1,1.192,0,1.528,1.104,3.188,5.472,1.892
TTD00097,research_methods_context,5.732,5.526,4.597,4.645,5.288,higher,higher,higher,social_collaborative_type,social_collaborative_profile,0.267,0,0.966,0,1.157,0.862,3.493,5.175,1.325
TTD00098,research_methods_context,5.762,5.617,3.759,2.442,4.647,higher,moderate,lower,social_collaborative_type,social_collaborative_profile,0.089,1,0.827,0,1.165,1.277,2.910,5.569,1.166
TTD00099,research_methods_context,5.092,5.519,4.396,3.663,3.499,higher,higher,lower,mixed_dimensional_profile,social_collaborative_profile,0.007,1,0.414,1,0.769,1.979,3.975,3.951,1.821
TTD00100,research_methods_context,6.367,5.883,4.403,2.483,5.668,higher,higher,lower,social_collaborative_type,social_collaborative_profile,0.073,1,0.714,0,1.568,1.089,4.507,4.454,1.451
TTD00101,research_methods_context,5.738,4.908,4.451,3.376,4.252,higher,higher,lower,mixed_dimensional_profile,social_collaborative_profile,0.078,1,0.817,0,0.795,1.588,2.432,4.641,1.904
TTD00102,research_methods_context,6.943,5.612,4.764,4.137,5.747,higher,higher,moderate,social_collaborative_type,social_collaborative_profile,0.193,0,1.036,0,1.440,0.718,4.001,5.514,1.740
TTD00103,research_methods_context,5.858,5.572,4.517,3.527,5.261,higher,higher,lower,social_collaborative_type,social_collaborative_profile,0.143,1,1.152,0,1.136,1.295,2.452,5.921,1.000
TTD00104,research_methods_context,5.514,5.863,4.964,2.943,4.765,higher,higher,lower,resilient_regulated_type,social_collaborative_profile,0.435,0,0.617,0,1.232,0.818,3.976,5.856,1.753
TTD00105,research_methods_context,5.318,6.025,5.285,3.435,5.535,higher,higher,lower,social_collaborative_type,social_collaborative_profile,0.235,0,0.245,1,1.345,1.121,3.234,5.738,1.642
TTD00106,research_methods_context,5.824,4.982,4.485,2.870,4.271,higher,higher,lower,mixed_dimensional_profile,social_collaborative_profile,0.059,1,0.665,0,0.938,1.443,3.505,5.113,1.901
TTD00107,research_methods_context,6.448,5.113,4.579,4.245,4.363,higher,higher,moderate,social_collaborative_type,social_collaborative_profile,0.033,1,1.138,0,0.950,1.433,3.151,4.870,1.591
TTD00108,research_methods_context,6.102,5.414,4.843,3.697,4.521,higher,higher,moderate,social_collaborative_type,social_collaborative_profile,0.027,1,1.141,0,1.036,1.364,3.177,5.300,1.058
TTD00109,research_methods_context,5.840,6.859,5.079,3.058,3.895,higher,higher,lower,resilient_regulated_type,social_collaborative_profile,0.225,0,0.697,0,1.365,0.752,3.319,5.656,2.146
TTD00110,research_methods_context,5.601,5.039,5.139,3.010,4.453,higher,higher,lower,resilient_regulated_type,social_collaborative_profile,0.123,1,0.187,1,1.045,1.718,4.432,4.825,2.036
TTD00111,research_methods_context,3.224,4.141,3.876,3.736,4.131,lower,moderate,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.066,1,1.187,0,0.287,2.814,2.527,3.879,2.368
TTD00112,research_methods_context,4.113,3.983,4.051,3.886,4.274,moderate,moderate,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.056,1,1.873,0,0.114,4.203,2.201,3.176,1.198
TTD00113,research_methods_context,3.745,3.751,3.953,3.816,4.183,moderate,moderate,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.075,1,1.798,0,0.184,3.485,2.111,3.602,2.205
TTD00114,research_methods_context,4.163,4.473,3.729,4.027,3.702,moderate,moderate,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.032,1,1.600,0,0.246,3.039,2.198,3.462,1.281
TTD00115,research_methods_context,4.028,3.573,3.838,4.183,3.637,moderate,moderate,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.033,1,1.318,0,0.233,3.126,1.409,3.920,1.951
TTD00116,research_methods_context,4.165,4.665,3.670,3.808,4.043,moderate,moderate,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.000,1,1.598,0,0.279,2.857,2.752,4.047,1.851
TTD00117,research_methods_context,4.477,3.788,4.296,3.997,4.562,higher,moderate,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.034,1,1.297,0,0.310,2.704,2.060,4.295,1.743
TTD00118,research_methods_context,3.613,4.001,4.050,3.723,4.129,lower,moderate,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.053,1,1.683,0,0.169,3.615,3.151,4.352,2.932
TTD00119,research_methods_context,3.901,4.567,4.331,4.442,3.860,moderate,higher,higher,mixed_dimensional_profile,mixed_boundary_profile,0.001,1,1.210,0,0.316,2.680,2.736,3.895,1.527
TTD00120,research_methods_context,4.011,4.087,3.528,3.358,4.612,moderate,lower,lower,mixed_dimensional_profile,mixed_boundary_profile,0.142,1,1.206,0,0.365,2.479,2.986,3.804,1.991
TTD00121,research_methods_context,4.013,4.393,4.023,3.715,4.177,moderate,moderate,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.045,1,1.788,0,0.178,3.529,1.917,3.947,1.654
TTD00122,research_methods_context,3.901,4.253,3.729,4.537,3.628,moderate,moderate,higher,mixed_dimensional_profile,mixed_boundary_profile,0.042,1,1.372,0,0.306,2.722,2.527,3.654,2.407
TTD00123,research_methods_context,3.364,3.324,3.751,4.056,4.050,lower,moderate,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.081,1,1.330,0,0.333,2.603,2.117,2.613,1.545
TTD00124,research_methods_context,4.835,3.780,3.682,4.084,4.307,higher,moderate,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.012,1,0.522,1,0.353,2.884,2.057,4.576,1.659
TTD00125,research_methods_context,4.241,3.576,4.246,4.435,3.777,moderate,moderate,higher,mixed_dimensional_profile,mixed_boundary_profile,0.084,1,1.250,0,0.314,2.687,1.880,3.239,1.562
TTD00126,research_methods_context,4.469,3.013,4.487,4.002,4.154,higher,higher,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.139,1,0.926,0,0.420,2.293,2.703,3.755,1.154
TTD00127,research_methods_context,4.062,3.933,4.336,4.108,4.112,moderate,higher,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.006,1,1.921,0,0.137,3.930,2.349,3.518,2.313
TTD00128,research_methods_context,4.038,3.861,4.111,3.693,3.690,moderate,moderate,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.020,1,1.901,0,0.181,3.506,2.314,3.118,2.513
TTD00129,research_methods_context,4.762,4.151,3.381,4.536,4.596,higher,lower,higher,undercontrolled_reactive_type,mixed_boundary_profile,0.179,1,0.156,1,0.533,2.363,2.437,4.614,3.043
TTD00130,research_methods_context,3.930,4.153,3.942,3.733,3.836,moderate,moderate,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.063,1,2.039,0,0.143,3.870,1.937,4.428,1.525
TTD00131,research_methods_context,3.882,3.606,3.877,3.910,4.149,moderate,moderate,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.064,1,1.625,0,0.175,3.560,1.573,3.477,1.934
TTD00132,research_methods_context,4.256,4.276,3.940,3.358,3.931,moderate,moderate,lower,mixed_dimensional_profile,mixed_boundary_profile,0.054,1,1.651,0,0.261,2.955,2.098,5.121,1.802
TTD00133,professional_workshop_context,4.406,5.610,5.307,2.756,4.769,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.076,1,0.778,0,1.067,1.390,3.654,5.045,2.077
TTD00134,professional_workshop_context,4.429,4.345,5.419,2.967,5.762,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.015,1,0.844,0,0.997,1.442,3.363,5.035,1.764
TTD00135,professional_workshop_context,5.313,4.375,5.575,3.411,5.359,higher,higher,lower,mixed_dimensional_profile,resilient_high_regulation_profile,0.045,1,0.382,1,1.042,1.768,3.778,4.803,1.410
TTD00136,professional_workshop_context,5.294,4.935,5.543,3.237,4.924,higher,higher,lower,mixed_dimensional_profile,resilient_high_regulation_profile,0.433,0,0.374,1,1.092,1.313,3.189,4.881,1.839
TTD00137,professional_workshop_context,4.663,5.530,5.184,2.755,5.465,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.333,0,0.694,0,1.217,0.875,3.800,4.967,2.154
