person_id,self_system_context,self_warmth,self_conscientiousness,self_emotional_stability,self_openness,other_warmth,other_conscientiousness,other_emotional_stability,other_openness,actual_self,ideal_self,ought_self,self_esteem,social_recognition,external_devaluation,well_being,warmth_gap,conscientiousness_gap,emotional_stability_gap,openness_gap,self_other_gap_mean,self_knowledge_accuracy,actual_ideal_discrepancy,actual_ought_discrepancy,total_self_discrepancy,self_concept_positivity
SCS0011,recognized_secure_self_context,5.971,6.070,5.970,5.912,4.512,4.980,4.675,4.863,6.113,7.000,7.000,4.462,4.752,1.751,3.845,1.459,1.090,1.295,1.049,1.223,0.796,0.887,0.887,0.887,5.981
SCS0012,recognized_secure_self_context,6.537,6.342,6.764,5.942,4.837,4.848,6.279,4.336,6.182,7.000,7.000,4.881,5.395,1.000,2.718,1.700,1.493,0.485,1.606,1.321,0.780,0.818,0.818,0.818,6.396
SCS0013,recognized_secure_self_context,4.491,4.811,4.159,4.489,4.522,4.850,4.022,4.753,4.518,6.314,6.152,2.800,5.356,1.814,2.398,0.031,0.039,0.137,0.264,0.118,0.980,1.796,1.633,1.715,4.487
SCS0014,recognized_secure_self_context,4.029,4.400,4.573,4.671,4.092,4.185,4.402,4.532,3.819,5.810,5.721,3.660,5.660,1.025,2.381,0.063,0.215,0.171,0.139,0.147,0.976,1.992,1.902,1.947,4.418
SCS0015,recognized_secure_self_context,4.813,5.090,4.826,5.099,5.520,4.574,4.285,5.308,5.650,7.000,7.000,2.715,5.478,1.197,2.227,0.707,0.515,0.541,0.209,0.493,0.918,1.350,1.350,1.350,4.957
SCS0016,recognized_secure_self_context,4.348,4.126,4.269,3.545,3.957,3.616,4.142,3.856,4.018,5.981,5.763,2.896,4.923,1.000,2.640,0.391,0.510,0.127,0.311,0.335,0.944,1.964,1.745,1.855,4.072
SCS0017,recognized_secure_self_context,3.970,4.511,3.722,4.193,3.512,4.541,3.298,4.778,3.940,6.811,5.616,2.955,4.515,1.326,2.357,0.458,0.029,0.424,0.585,0.374,0.938,2.871,1.676,2.274,4.099
SCS0018,recognized_secure_self_context,4.186,4.306,4.255,4.277,4.018,4.171,4.386,3.290,4.290,6.018,5.863,2.201,4.392,1.430,1.631,0.168,0.135,0.131,0.987,0.355,0.941,1.729,1.573,1.651,4.256
SCS0019,recognized_secure_self_context,5.774,5.253,5.162,5.631,4.925,5.494,5.115,5.243,5.224,7.000,6.689,3.985,5.064,1.116,2.337,0.849,0.241,0.047,0.388,0.381,0.936,1.776,1.465,1.621,5.455
SCS0020,recognized_secure_self_context,5.376,5.238,4.963,5.962,5.077,4.728,4.765,5.796,5.867,7.000,7.000,3.763,4.698,1.172,2.660,0.299,0.510,0.198,0.166,0.293,0.951,1.133,1.133,1.133,5.385
SCS0021,recognized_secure_self_context,5.347,5.542,4.407,4.972,4.389,5.620,4.260,4.590,4.764,7.000,6.931,3.101,4.195,1.188,2.501,0.957,0.079,0.147,0.382,0.391,0.935,2.236,2.167,2.201,5.067
SCS0022,recognized_secure_self_context,6.584,5.238,4.883,5.391,5.585,4.717,4.356,5.482,5.244,6.892,7.000,3.321,5.053,1.438,2.401,0.999,0.521,0.527,0.090,0.534,0.911,1.648,1.756,1.702,5.524
SCS0023,recognized_secure_self_context,5.349,5.444,5.434,5.179,5.374,5.294,5.219,4.662,5.177,7.000,6.688,3.648,5.174,1.111,2.545,0.026,0.150,0.214,0.517,0.227,0.962,1.823,1.510,1.666,5.351
SCS0024,recognized_secure_self_context,4.810,4.752,5.641,5.160,4.868,4.898,5.328,5.311,4.983,7.000,6.276,3.559,4.790,1.376,3.088,0.057,0.146,0.313,0.151,0.167,0.972,2.017,1.293,1.655,5.091
SCS0025,recognized_secure_self_context,6.237,5.453,5.143,6.316,5.371,4.774,4.344,5.776,5.412,7.000,5.856,4.289,4.733,1.153,3.235,0.866,0.679,0.798,0.539,0.721,0.880,1.588,0.443,1.016,5.787
SCS0026,recognized_secure_self_context,5.447,6.051,5.328,5.892,5.368,5.456,4.679,4.688,5.992,7.000,7.000,4.273,5.224,1.191,2.988,0.078,0.594,0.650,1.204,0.632,0.895,1.008,1.008,1.008,5.679
SCS0027,recognized_secure_self_context,6.243,6.384,5.470,5.639,5.199,5.572,4.899,4.683,5.904,7.000,6.846,4.097,5.635,1.320,2.272,1.044,0.812,0.571,0.955,0.846,0.859,1.096,0.942,1.019,5.934
SCS0028,recognized_secure_self_context,6.424,5.545,5.523,6.658,5.812,4.750,4.812,6.476,5.939,7.000,7.000,4.361,5.290,1.000,3.838,0.612,0.795,0.711,0.182,0.575,0.904,1.061,1.061,1.061,6.038
SCS0029,recognized_secure_self_context,5.953,5.497,5.091,5.915,4.695,5.441,4.853,5.066,5.257,7.000,6.264,2.728,4.879,1.005,2.805,1.258,0.056,0.238,0.848,0.600,0.900,1.743,1.007,1.375,5.614
SCS0030,recognized_secure_self_context,6.769,6.139,5.400,6.510,6.391,4.913,5.073,5.468,6.360,7.000,7.000,3.645,4.731,2.128,2.104,0.378,1.226,0.327,1.041,0.743,0.876,0.640,0.640,0.640,6.204
SCS0031,recognized_secure_self_context,4.739,4.733,4.992,5.929,5.278,4.959,5.407,6.091,4.774,5.986,5.698,3.376,5.277,1.000,2.716,0.539,0.226,0.415,0.162,0.335,0.944,1.212,0.924,1.068,5.098
SCS0032,recognized_secure_self_context,5.148,5.872,4.532,6.046,5.523,6.078,4.337,5.734,5.562,7.000,7.000,3.548,5.208,1.425,2.588,0.375,0.206,0.195,0.312,0.272,0.955,1.438,1.438,1.438,5.400
SCS0033,recognized_secure_self_context,4.578,5.034,5.212,5.879,5.052,5.141,5.745,6.748,5.492,7.000,6.935,2.966,4.443,1.354,2.083,0.474,0.107,0.533,0.869,0.496,0.917,1.508,1.443,1.476,5.176
SCS0034,recognized_secure_self_context,4.903,5.356,4.505,5.172,5.729,6.100,4.704,4.471,5.215,6.334,6.062,3.567,5.615,1.000,2.733,0.826,0.744,0.199,0.700,0.617,0.897,1.119,0.847,0.983,4.984
SCS0035,recognized_secure_self_context,5.239,6.144,4.611,5.870,6.248,6.971,4.935,6.485,5.256,7.000,6.127,3.809,5.042,1.420,3.033,1.009,0.827,0.324,0.616,0.694,0.884,1.744,0.872,1.308,5.466
SCS0036,recognized_secure_self_context,4.450,5.495,5.292,5.593,4.508,5.718,5.997,5.802,5.034,6.523,6.483,3.557,5.014,1.000,2.711,0.058,0.224,0.705,0.209,0.299,0.950,1.489,1.449,1.469,5.208
SCS0037,recognized_secure_self_context,6.388,5.612,5.564,5.714,6.522,5.226,5.512,5.874,5.783,7.000,7.000,4.193,5.510,1.000,3.024,0.135,0.386,0.052,0.161,0.183,0.969,1.217,1.217,1.217,5.819
SCS0038,recognized_secure_self_context,5.365,5.622,5.909,4.481,5.028,5.596,5.607,4.211,5.228,6.220,6.087,3.798,5.245,1.132,3.057,0.337,0.026,0.302,0.270,0.234,0.961,0.992,0.859,0.926,5.344
SCS0039,recognized_secure_self_context,6.257,5.095,5.193,5.520,6.118,4.290,5.039,5.532,5.472,7.000,6.905,3.531,5.338,1.858,2.732,0.139,0.805,0.153,0.012,0.277,0.954,1.528,1.433,1.481,5.516
SCS0040,recognized_secure_self_context,6.014,6.121,5.641,6.321,5.959,5.429,5.524,5.782,6.077,7.000,7.000,4.091,5.659,1.000,3.234,0.055,0.692,0.117,0.540,0.351,0.941,0.923,0.923,0.923,6.024
SCS0041,recognized_secure_self_context,5.680,5.411,5.421,5.818,5.771,5.996,5.213,5.341,5.314,6.832,6.347,3.411,5.047,2.338,2.783,0.091,0.586,0.208,0.477,0.340,0.943,1.518,1.033,1.276,5.583
SCS0042,recognized_secure_self_context,6.031,4.865,5.643,5.692,6.220,4.961,5.449,5.565,5.539,6.630,6.374,3.820,5.357,1.000,2.531,0.189,0.096,0.193,0.127,0.151,0.975,1.092,0.836,0.964,5.558
SCS0043,high_devaluation_low_recognition_context,2.596,2.978,2.757,3.841,1.251,2.477,2.962,3.259,3.223,3.920,4.031,1.340,1.279,4.908,1.000,1.345,0.500,0.205,0.582,0.658,0.890,0.697,0.808,0.753,3.043
SCS0044,high_devaluation_low_recognition_context,2.867,3.214,2.765,3.540,3.975,3.015,1.000,4.313,2.945,3.805,3.520,1.692,1.438,5.854,1.000,1.108,0.199,1.765,0.773,0.961,0.840,0.859,0.575,0.717,3.097
SCS0045,high_devaluation_low_recognition_context,2.901,3.295,2.878,3.323,2.927,2.717,3.986,2.585,3.450,4.179,4.445,1.804,1.000,4.496,1.000,0.026,0.578,1.108,0.737,0.613,0.898,0.728,0.994,0.861,3.099
SCS0046,high_devaluation_low_recognition_context,2.857,2.201,2.999,3.301,2.278,2.107,4.608,4.391,2.970,3.878,3.352,1.856,1.232,4.663,1.000,0.579,0.095,1.609,1.090,0.843,0.859,0.908,0.383,0.645,2.840
SCS0047,high_devaluation_low_recognition_context,4.018,2.833,3.180,2.864,3.265,2.942,1.734,5.624,2.925,3.915,3.477,2.348,1.462,4.533,1.383,0.753,0.109,1.447,2.760,1.267,0.789,0.990,0.551,0.771,3.224
SCS0048,high_devaluation_low_recognition_context,2.362,2.316,2.727,3.886,2.738,1.000,3.142,2.852,2.891,3.181,2.710,2.005,1.000,4.803,1.338,0.376,1.316,0.415,1.033,0.785,0.869,0.289,0.182,0.235,2.823
SCS0049,high_devaluation_low_recognition_context,3.754,3.369,3.237,3.413,1.552,2.791,1.445,4.065,2.735,4.119,2.993,1.503,1.166,5.375,1.000,2.202,0.578,1.793,0.652,1.306,0.782,1.385,0.259,0.822,3.443
SCS0050,high_devaluation_low_recognition_context,4.169,4.166,3.035,3.571,3.175,2.368,2.706,2.411,3.656,5.310,4.367,1.531,1.794,5.135,1.000,0.994,1.797,0.330,1.161,1.070,0.822,1.654,0.711,1.183,3.735
SCS0051,high_devaluation_low_recognition_context,3.660,3.471,3.412,3.595,1.985,1.739,1.000,1.000,3.049,4.473,3.637,1.483,1.139,5.248,1.071,1.676,1.732,2.412,2.595,2.104,0.649,1.424,0.588,1.006,3.534
SCS0052,high_devaluation_low_recognition_context,3.893,3.816,3.368,2.592,3.485,3.978,1.935,1.434,2.881,4.111,4.040,1.326,1.634,5.276,1.656,0.408,0.162,1.432,1.158,0.790,0.868,1.230,1.160,1.195,3.417
SCS0053,high_devaluation_low_recognition_context,2.882,3.447,2.975,3.294,1.000,3.346,1.893,2.198,2.779,3.723,3.253,1.337,1.275,5.233,1.000,1.882,0.101,1.083,1.096,1.040,0.827,0.944,0.474,0.709,3.150
SCS0054,high_devaluation_low_recognition_context,2.790,3.523,3.112,3.089,3.883,2.370,1.493,1.399,3.417,4.561,3.921,1.387,1.790,4.731,1.000,1.093,1.153,1.618,1.690,1.389,0.769,1.145,0.504,0.824,3.128
SCS0055,high_devaluation_low_recognition_context,1.062,1.574,1.067,2.203,1.000,1.868,1.000,3.601,1.059,3.335,2.897,1.000,1.031,5.519,1.000,0.062,0.294,0.067,1.398,0.455,0.924,2.276,1.838,2.057,1.476
SCS0056,high_devaluation_low_recognition_context,1.600,1.442,1.174,1.308,2.294,1.000,1.000,1.692,1.164,3.413,2.357,1.000,1.079,4.858,1.000,0.694,0.442,0.174,0.384,0.424,0.929,2.249,1.193,1.721,1.381
SCS0057,high_devaluation_low_recognition_context,1.543,1.739,1.610,2.218,2.367,2.121,1.392,3.069,1.817,3.619,4.385,1.000,1.224,5.058,1.000,0.824,0.383,0.218,0.851,0.569,0.905,1.802,2.568,2.185,1.778
SCS0058,high_devaluation_low_recognition_context,1.467,1.535,1.000,1.022,2.679,1.000,1.000,1.000,1.633,3.831,3.161,1.000,1.317,5.208,1.000,1.212,0.535,0.000,0.022,0.442,0.926,2.198,1.528,1.863,1.256
SCS0059,high_devaluation_low_recognition_context,1.156,1.257,1.015,2.005,2.458,1.181,1.112,2.309,1.364,3.172,3.598,1.000,1.581,5.186,1.000,1.302,0.076,0.097,0.304,0.445,0.926,1.808,2.234,2.021,1.358
SCS0060,high_devaluation_low_recognition_context,1.727,2.016,1.097,2.636,1.016,1.000,1.045,1.968,1.870,3.808,2.919,1.000,1.869,4.967,1.000,0.711,1.016,0.052,0.668,0.612,0.898,1.938,1.049,1.493,1.869
SCS0061,high_devaluation_low_recognition_context,2.845,2.854,2.228,2.816,3.396,2.501,1.789,2.895,2.462,4.968,3.349,1.009,1.590,5.311,1.050,0.551,0.353,0.439,0.079,0.355,0.941,2.505,0.887,1.696,2.686
SCS0062,high_devaluation_low_recognition_context,2.595,3.021,1.992,2.858,2.428,2.226,1.075,2.554,2.518,4.691,3.917,1.000,1.665,5.062,1.000,0.167,0.795,0.917,0.304,0.546,0.909,2.174,1.400,1.787,2.616
SCS0063,high_devaluation_low_recognition_context,2.449,2.359,2.032,3.133,3.720,1.601,1.303,2.477,2.678,4.675,3.815,1.000,1.000,5.454,1.000,1.271,0.758,0.729,0.656,0.853,0.858,1.996,1.137,1.567,2.493
SCS0064,high_devaluation_low_recognition_context,3.017,1.891,2.259,2.265,1.295,1.000,1.000,2.243,2.009,4.755,3.608,1.000,1.548,5.262,1.000,1.721,0.891,1.259,0.022,0.973,0.838,2.746,1.600,2.173,2.358
SCS0065,high_devaluation_low_recognition_context,2.089,1.967,2.246,3.011,1.000,1.721,2.054,4.226,2.856,5.191,5.338,1.000,1.605,5.068,1.000,1.089,0.246,0.192,1.215,0.686,0.886,2.335,2.482,2.409,2.328
SCS0066,high_devaluation_low_recognition_context,2.273,3.511,1.584,3.143,1.000,6.173,2.846,2.097,2.945,4.981,5.066,1.000,1.253,4.979,1.000,1.273,2.662,1.262,1.046,1.561,0.740,2.037,2.122,2.079,2.628
SCS0067,high_devaluation_low_recognition_context,3.013,3.334,2.459,3.617,2.283,2.717,1.119,2.748,3.552,5.190,5.353,1.520,1.552,5.061,1.000,0.730,0.617,1.340,0.870,0.889,0.852,1.638,1.801,1.720,3.106
SCS0068,high_devaluation_low_recognition_context,2.712,3.731,2.569,3.202,1.637,2.064,1.603,3.760,3.001,4.334,3.873,1.672,2.043,5.726,1.000,1.076,1.667,0.966,0.558,1.067,0.822,1.333,0.872,1.103,3.054
SCS0069,high_devaluation_low_recognition_context,3.350,3.483,2.375,2.601,2.957,2.914,1.832,1.740,3.251,5.092,4.525,1.000,1.560,5.738,1.000,0.392,0.569,0.543,0.862,0.592,0.901,1.842,1.274,1.558,2.952
SCS0070,high_devaluation_low_recognition_context,2.944,3.573,2.565,3.367,2.617,3.036,1.980,3.438,3.767,4.990,5.447,1.876,1.802,4.659,1.000,0.328,0.537,0.585,0.071,0.380,0.937,1.223,1.680,1.452,3.112
SCS0071,high_devaluation_low_recognition_context,3.198,3.258,2.436,2.826,2.933,2.823,1.561,4.380,2.354,3.622,2.993,1.956,1.781,4.696,1.000,0.265,0.435,0.875,1.553,0.782,0.870,1.268,0.640,0.954,2.930
SCS0072,high_devaluation_low_recognition_context,3.914,2.856,2.742,2.797,1.999,2.066,3.197,1.000,2.449,3.603,4.023,1.000,1.071,4.696,1.000,1.915,0.790,0.455,1.797,1.239,0.794,1.154,1.574,1.364,3.077
SCS0073,high_devaluation_low_recognition_context,2.028,3.540,1.740,2.211,2.513,5.703,3.370,1.212,2.557,4.947,3.967,1.000,2.326,5.272,1.000,0.485,2.164,1.631,0.999,1.319,0.780,2.390,1.410,1.900,2.380
SCS0074,high_devaluation_low_recognition_context,2.372,2.688,1.635,2.481,2.829,2.320,1.447,1.820,1.949,2.874,3.201,1.202,1.378,5.553,1.000,0.457,0.369,0.188,0.661,0.419,0.930,0.925,1.252,1.089,2.294
SCS0075,high_devaluation_low_recognition_context,1.489,2.735,1.928,3.072,1.065,4.208,2.987,2.839,1.978,3.314,2.698,1.088,1.967,4.595,1.000,0.424,1.473,1.059,0.233,0.798,0.867,1.336,0.720,1.028,2.306
SCS0076,high_devaluation_low_recognition_context,2.293,2.177,1.998,3.427,2.408,1.474,1.605,2.291,3.013,5.260,4.370,1.000,1.579,5.356,1.000,0.115,0.703,0.393,1.136,0.587,0.902,2.247,1.357,1.802,2.474
SCS0077,high_devaluation_low_recognition_context,1.611,2.632,1.126,3.115,1.806,2.606,1.000,3.185,2.466,4.554,3.738,1.000,1.674,5.413,1.000,0.195,0.025,0.126,0.070,0.104,0.983,2.087,1.272,1.680,2.121
SCS0078,high_devaluation_low_recognition_context,1.813,2.852,2.224,3.609,2.847,2.894,2.126,2.959,2.909,4.373,3.588,1.000,1.294,5.485,1.000,1.034,0.043,0.098,0.649,0.456,0.924,1.463,0.678,1.071,2.624
SCS0079,high_devaluation_low_recognition_context,2.951,2.598,2.044,2.827,2.194,2.156,1.480,2.513,2.939,2.956,3.489,1.319,1.469,4.372,1.000,0.757,0.442,0.564,0.314,0.519,0.913,0.017,0.550,0.284,2.605
SCS0080,high_devaluation_low_recognition_context,2.170,2.039,2.179,2.703,2.494,1.960,1.782,1.000,2.484,4.059,3.301,1.000,1.000,5.393,1.000,0.324,0.079,0.397,1.703,0.626,0.896,1.576,0.817,1.197,2.273
SCS0081,high_devaluation_low_recognition_context,3.462,3.276,3.011,3.276,2.290,3.138,2.179,3.936,3.591,5.972,4.209,1.313,1.238,4.641,1.000,1.172,0.138,0.833,0.660,0.701,0.883,2.382,0.619,1.500,3.256
SCS0082,high_devaluation_low_recognition_context,2.275,2.839,2.558,2.171,2.017,3.612,2.081,1.825,2.782,3.990,3.904,1.000,1.495,4.936,1.235,0.258,0.773,0.477,0.346,0.464,0.923,1.208,1.122,1.165,2.461
SCS0083,high_devaluation_low_recognition_context,2.712,2.825,2.806,3.151,2.126,3.607,3.202,4.019,3.190,4.340,3.907,1.000,1.951,5.071,1.000,0.586,0.782,0.396,0.869,0.658,0.890,1.150,0.717,0.934,2.873
SCS0084,high_devaluation_low_recognition_context,2.836,2.449,1.922,2.913,2.707,3.220,2.224,1.914,2.680,3.612,3.151,1.201,1.180,5.734,1.000,0.128,0.772,0.302,0.999,0.550,0.908,0.932,0.472,0.702,2.530
SCS0085,contingent_performance_context,4.189,4.194,4.292,4.203,4.327,4.831,3.980,4.546,4.158,4.732,4.639,3.382,3.576,3.804,1.593,0.138,0.637,0.312,0.343,0.357,0.940,0.574,0.481,0.527,4.219
SCS0086,contingent_performance_context,4.236,4.086,3.661,3.777,3.230,3.841,3.397,3.145,4.197,5.217,5.779,2.963,3.329,3.452,1.956,1.005,0.244,0.264,0.632,0.537,0.911,1.020,1.582,1.301,3.940
SCS0087,contingent_performance_context,4.216,3.946,4.535,3.848,4.053,4.636,4.318,4.012,3.640,5.067,3.846,2.583,3.645,3.311,2.233,0.163,0.690,0.217,0.164,0.308,0.949,1.428,0.207,0.817,4.136
SCS0088,contingent_performance_context,3.975,3.653,3.715,3.821,3.637,4.000,3.237,2.201,4.552,4.898,5.440,2.500,3.159,3.782,1.888,0.338,0.346,0.478,1.620,0.696,0.884,0.346,0.888,0.617,3.791
SCS0089,contingent_performance_context,4.082,3.933,3.773,3.708,3.562,3.909,3.952,3.526,3.420,3.671,3.308,2.364,3.354,3.974,2.091,0.520,0.024,0.178,0.182,0.226,0.962,0.251,0.112,0.181,3.874
SCS0090,contingent_performance_context,4.308,4.012,3.699,3.640,3.159,2.521,4.183,3.355,3.904,5.267,3.975,2.906,2.976,2.884,1.861,1.149,1.491,0.483,0.285,0.852,0.858,1.363,0.070,0.717,3.915
SCS0091,contingent_performance_context,4.343,3.862,3.671,4.131,3.063,3.173,1.906,3.552,4.334,5.038,5.738,2.196,3.445,3.542,2.047,1.280,0.690,1.765,0.579,1.079,0.820,0.704,1.404,1.054,4.002
SCS0092,contingent_performance_context,4.439,4.155,5.165,3.798,4.818,3.291,2.807,4.073,4.568,5.110,5.630,3.244,3.623,3.465,2.113,0.379,0.864,2.357,0.275,0.969,0.839,0.542,1.062,0.802,4.389
SCS0093,contingent_performance_context,4.024,4.248,4.164,3.930,3.072,2.557,2.473,2.248,3.997,5.810,4.677,2.413,2.820,3.258,1.844,0.952,1.691,1.691,1.682,1.504,0.749,1.813,0.679,1.246,4.092
SCS0094,contingent_performance_context,4.183,4.323,4.367,5.114,2.619,3.380,3.443,4.857,5.091,6.388,5.788,2.673,3.742,2.700,1.642,1.564,0.942,0.925,0.257,0.922,0.846,1.297,0.697,0.997,4.497
SCS0095,contingent_performance_context,4.677,4.140,4.010,5.030,4.490,2.944,2.817,4.357,4.363,5.220,5.673,2.806,3.357,3.531,1.574,0.187,1.196,1.193,0.673,0.812,0.865,0.858,1.310,1.084,4.464
SCS0096,contingent_performance_context,5.000,4.757,4.433,4.191,4.003,4.206,3.502,3.732,4.644,6.066,5.570,2.994,3.605,2.966,2.589,0.998,0.551,0.931,0.459,0.734,0.878,1.422,0.926,1.174,4.595
SCS0097,contingent_performance_context,3.332,2.446,2.432,3.453,3.197,2.524,2.257,3.086,2.785,5.062,3.843,1.168,3.806,3.675,1.752,0.135,0.079,0.175,0.368,0.189,0.969,2.278,1.058,1.668,2.916
SCS0098,contingent_performance_context,3.292,2.744,2.692,2.414,3.118,3.362,2.166,2.782,2.996,4.526,5.009,1.100,3.873,3.638,1.115,0.174,0.619,0.526,0.368,0.422,0.930,1.529,2.013,1.771,2.786
SCS0099,contingent_performance_context,2.401,1.760,2.087,3.327,1.735,1.650,2.886,3.073,2.113,4.409,3.863,1.474,2.984,2.960,1.312,0.666,0.110,0.798,0.254,0.457,0.924,2.296,1.750,2.023,2.394
SCS0100,contingent_performance_context,2.752,3.119,2.482,2.458,2.560,3.407,1.558,1.721,2.727,5.168,4.387,1.077,3.091,3.738,1.000,0.192,0.287,0.924,0.737,0.535,0.911,2.442,1.660,2.051,2.703
SCS0101,contingent_performance_context,2.874,3.177,2.562,3.160,2.275,3.288,2.688,3.251,2.619,5.040,4.008,1.682,3.321,3.112,1.514,0.600,0.111,0.126,0.091,0.232,0.961,2.420,1.389,1.905,2.944
SCS0102,contingent_performance_context,3.821,2.319,2.043,2.941,2.605,1.749,1.664,2.578,2.960,5.561,4.351,1.000,3.381,3.438,1.000,1.216,0.571,0.379,0.363,0.632,0.895,2.601,1.391,1.996,2.781
SCS0103,contingent_performance_context,2.993,3.836,2.949,3.560,2.572,3.055,2.772,3.523,3.029,5.848,5.165,1.809,3.115,2.749,1.407,0.422,0.782,0.177,0.038,0.354,0.941,2.819,2.136,2.477,3.335
SCS0104,contingent_performance_context,3.576,3.708,2.242,3.953,3.567,3.635,2.220,4.333,3.153,5.501,5.393,1.450,3.374,2.864,1.479,0.009,0.073,0.021,0.381,0.121,0.980,2.348,2.241,2.295,3.369
SCS0105,contingent_performance_context,3.474,3.083,2.924,2.734,4.529,2.212,3.303,2.222,3.429,5.602,4.966,1.486,3.027,3.539,1.000,1.056,0.871,0.379,0.512,0.704,0.883,2.173,1.537,1.855,3.054
SCS0106,contingent_performance_context,3.756,3.710,2.210,4.195,4.677,3.510,3.205,4.639,3.572,6.578,6.157,2.662,3.909,3.562,1.858,0.921,0.200,0.995,0.444,0.640,0.893,3.006,2.585,2.796,3.468
SCS0107,contingent_performance_context,3.170,3.660,3.204,3.709,2.325,3.462,2.400,4.125,2.888,4.736,4.358,1.654,3.625,3.426,1.981,0.845,0.198,0.804,0.415,0.565,0.906,1.848,1.469,1.659,3.436
SCS0108,contingent_performance_context,4.264,2.485,2.599,3.652,3.344,2.071,1.758,4.092,2.704,5.296,4.167,1.802,4.312,3.626,1.414,0.920,0.414,0.842,0.441,0.654,0.891,2.592,1.462,2.027,3.250
SCS0109,contingent_performance_context,3.785,3.922,3.375,4.228,2.440,2.538,2.268,3.873,3.150,5.542,4.295,2.462,3.402,3.623,1.387,1.346,1.384,1.107,0.355,1.048,0.825,2.391,1.145,1.768,3.828
SCS0110,contingent_performance_context,4.631,3.404,2.533,3.638,3.491,3.066,1.000,3.925,3.982,5.236,5.217,1.959,3.914,3.777,1.778,1.140,0.338,1.533,0.287,0.824,0.863,1.255,1.235,1.245,3.551
SCS0111,contingent_performance_context,4.356,4.589,3.500,4.258,2.753,5.038,1.717,3.563,4.366,6.034,5.170,2.678,3.835,2.751,2.287,1.603,0.450,1.782,0.695,1.133,0.811,1.667,0.804,1.236,4.176
SCS0112,contingent_performance_context,4.311,4.535,2.925,3.936,3.942,3.683,2.483,2.938,4.214,6.019,5.570,3.165,2.913,3.303,1.550,0.369,0.851,0.442,0.997,0.665,0.889,1.806,1.357,1.581,3.927
SCS0113,contingent_performance_context,4.951,4.325,4.081,4.131,4.162,2.842,1.929,3.652,4.083,5.672,5.481,1.949,3.318,3.502,1.000,0.789,1.483,2.152,0.480,1.226,0.796,1.589,1.398,1.494,4.372
SCS0114,contingent_performance_context,4.183,3.753,3.423,4.092,4.047,2.301,1.824,4.319,3.868,5.307,5.627,2.273,3.427,3.714,1.170,0.137,1.452,1.599,0.227,0.854,0.858,1.439,1.760,1.599,3.863
SCS0115,contingent_performance_context,3.262,3.269,3.484,4.069,3.680,4.272,3.966,4.531,3.669,5.599,5.069,1.748,3.575,3.330,1.319,0.418,1.003,0.482,0.462,0.591,0.901,1.929,1.399,1.664,3.521
