person_id,narrative_context,redemption,contamination,coherence,agency,communion,meaning_making,narrative_flexibility,defensive_rigidity,self_continuity,well_being,narrative_growth_orientation,narrative_burden,narrative_integration,redemptive_agency_balance
NIS0022,recognized_life_story_context,4.088,1.000,5.739,5.715,6.768,6.249,5.514,1.577,4.820,4.725,5.351,1.288,5.358,7.227
NIS0023,recognized_life_story_context,4.913,1.538,5.515,6.396,5.838,6.151,6.089,1.736,4.402,4.881,5.820,1.637,5.335,8.035
NIS0024,recognized_life_story_context,4.482,1.000,5.652,5.199,6.159,6.696,6.365,1.636,5.146,5.340,5.459,1.318,5.721,7.046
NIS0025,recognized_life_story_context,3.141,2.136,4.606,3.800,4.435,5.014,4.469,2.212,3.449,3.370,3.985,2.174,4.175,2.593
NIS0026,recognized_life_story_context,3.388,1.858,3.837,4.596,5.237,4.833,4.219,3.237,3.712,3.646,4.272,2.547,3.923,2.889
NIS0027,recognized_life_story_context,2.914,3.190,4.611,4.502,4.891,4.973,4.336,3.089,4.012,4.080,4.130,3.140,4.319,1.137
NIS0028,recognized_life_story_context,2.813,2.455,4.492,4.442,5.174,4.943,3.485,3.124,3.567,4.281,4.066,2.790,3.848,1.676
NIS0029,recognized_life_story_context,3.867,3.129,3.638,3.990,5.129,4.721,3.725,2.604,3.358,3.236,4.192,2.866,3.574,2.123
NIS0030,recognized_life_story_context,3.524,1.857,4.732,3.983,4.202,5.008,4.699,3.132,3.934,3.486,4.172,2.494,4.455,2.518
NIS0031,recognized_life_story_context,4.608,1.211,5.533,5.805,5.356,5.925,5.394,1.521,5.078,5.521,5.446,1.366,5.335,7.681
NIS0032,recognized_life_story_context,4.669,1.667,5.733,5.131,5.295,6.688,6.346,1.216,4.732,5.039,5.496,1.441,5.604,6.918
NIS0033,recognized_life_story_context,5.046,1.184,6.008,6.500,5.230,7.000,6.765,1.000,5.225,4.941,6.182,1.092,5.999,9.363
NIS0034,recognized_life_story_context,4.622,1.000,5.870,5.372,5.461,6.588,6.860,1.101,5.528,5.589,5.527,1.050,6.086,7.893
NIS0035,recognized_life_story_context,4.705,1.000,5.687,6.051,5.877,6.467,6.594,1.557,5.267,4.914,5.741,1.279,5.849,8.198
NIS0036,recognized_life_story_context,4.640,1.545,5.988,5.594,4.920,6.841,6.344,1.490,4.860,5.008,5.692,1.517,5.731,7.200
NIS0037,recognized_life_story_context,3.654,1.784,5.159,4.953,5.432,5.348,5.812,1.937,4.558,5.151,4.651,1.860,5.176,4.886
NIS0038,recognized_life_story_context,4.041,2.141,5.225,5.201,5.355,5.458,5.911,2.109,4.037,4.561,4.900,2.125,5.057,4.993
NIS0039,recognized_life_story_context,4.592,1.763,6.043,5.623,5.242,6.028,5.573,2.271,5.324,4.553,5.415,2.017,5.646,6.181
NIS0040,recognized_life_story_context,4.099,1.146,5.083,6.062,5.372,6.029,6.139,1.880,4.067,4.286,5.397,1.513,5.097,7.134
NIS0041,recognized_life_story_context,3.753,2.165,6.081,5.880,4.723,5.884,6.475,2.128,4.822,4.442,5.172,2.147,5.793,5.340
NIS0042,recognized_life_story_context,4.744,2.244,5.489,4.334,5.404,6.295,5.969,2.933,4.716,4.363,5.124,2.589,5.391,3.900
NIS0043,trauma_rupture_context,2.498,4.129,2.783,2.180,3.431,4.128,2.895,4.416,1.926,1.876,2.935,4.272,2.534,-3.867
NIS0044,trauma_rupture_context,3.040,3.283,3.471,3.757,3.663,3.753,2.237,3.943,2.840,2.802,3.516,3.613,2.850,-0.430
NIS0045,trauma_rupture_context,2.170,4.118,3.049,3.282,2.694,4.294,2.948,3.560,2.101,2.330,3.249,3.839,2.699,-2.227
NIS0046,trauma_rupture_context,2.346,3.504,3.558,4.318,3.222,3.931,2.484,4.764,1.887,2.416,3.532,4.134,2.643,-1.603
NIS0047,trauma_rupture_context,3.258,4.250,3.302,4.302,3.109,4.839,3.353,3.574,3.229,2.528,4.133,3.912,3.295,-0.264
NIS0048,trauma_rupture_context,2.465,3.764,3.680,3.236,4.041,5.098,3.655,5.039,3.060,2.537,3.599,4.401,3.465,-3.102
NIS0049,trauma_rupture_context,1.211,5.801,1.472,1.000,2.861,2.642,1.904,4.497,1.111,1.000,1.618,5.149,1.496,-8.087
NIS0050,trauma_rupture_context,1.000,5.837,1.765,1.749,2.321,3.010,1.209,5.413,1.000,1.000,1.920,5.625,1.325,-8.501
NIS0051,trauma_rupture_context,1.280,5.691,2.208,2.128,2.800,2.998,1.685,4.998,1.000,1.413,2.135,5.344,1.631,-7.280
NIS0052,trauma_rupture_context,1.177,5.871,1.365,1.721,2.668,3.339,1.591,5.519,1.238,1.000,2.079,5.695,1.398,-8.492
NIS0053,trauma_rupture_context,1.690,5.796,1.433,1.566,2.950,2.197,2.089,5.849,1.000,1.000,1.818,5.823,1.507,-8.389
NIS0054,trauma_rupture_context,1.358,5.745,2.906,1.779,3.098,3.032,1.302,5.724,1.368,1.218,2.056,5.734,1.859,-8.332
NIS0055,trauma_rupture_context,2.594,4.626,3.252,3.087,2.305,3.832,1.221,6.123,1.000,1.104,3.171,5.375,1.824,-5.068
NIS0056,trauma_rupture_context,2.335,4.519,3.154,2.888,3.258,3.967,2.294,6.394,1.182,1.713,3.063,5.456,2.210,-5.690
NIS0057,trauma_rupture_context,2.085,4.791,3.915,3.061,2.066,3.889,2.499,6.381,1.420,1.871,3.012,5.586,2.612,-6.026
NIS0058,trauma_rupture_context,2.120,4.426,3.313,2.680,2.719,3.334,1.774,5.617,1.672,1.720,2.711,5.022,2.253,-5.243
NIS0059,trauma_rupture_context,1.460,4.140,3.557,2.028,2.947,4.089,1.956,5.908,2.168,1.243,2.526,5.024,2.560,-6.560
NIS0060,trauma_rupture_context,1.439,4.564,4.066,3.212,2.807,3.656,2.211,5.960,1.805,1.745,2.769,5.262,2.694,-5.873
NIS0061,trauma_rupture_context,2.360,4.836,2.717,3.547,3.773,4.131,3.252,4.270,2.681,2.392,3.346,4.553,2.883,-3.199
NIS0062,trauma_rupture_context,2.655,3.907,2.405,2.357,3.952,4.260,2.890,3.675,2.581,2.219,3.091,3.791,2.625,-2.569
NIS0063,trauma_rupture_context,2.544,4.115,2.334,3.050,4.283,3.946,2.468,4.625,1.396,1.621,3.180,4.370,2.066,-3.146
NIS0064,trauma_rupture_context,2.482,3.755,2.794,3.235,3.759,4.372,3.443,3.485,2.655,2.666,3.363,3.620,2.964,-1.523
NIS0065,trauma_rupture_context,2.233,4.777,3.443,2.528,4.533,4.521,2.619,4.182,1.733,1.394,3.094,4.480,2.598,-4.198
NIS0066,trauma_rupture_context,2.137,4.261,2.826,2.848,4.651,4.475,3.420,4.093,2.031,1.586,3.153,4.177,2.759,-3.369
NIS0067,trauma_rupture_context,1.679,5.634,1.506,1.000,1.980,2.980,1.000,6.117,1.000,1.000,1.886,5.876,1.169,-9.072
NIS0068,trauma_rupture_context,1.000,5.307,1.506,1.766,1.833,2.815,1.413,5.438,1.000,1.322,1.860,5.373,1.306,-7.980
NIS0069,trauma_rupture_context,1.000,4.676,2.011,2.655,2.798,3.264,1.474,5.098,1.695,1.999,2.306,4.887,1.727,-6.120
NIS0070,trauma_rupture_context,1.000,5.620,1.493,2.011,2.762,2.698,1.000,5.375,1.000,1.058,1.903,5.497,1.164,-7.984
NIS0071,trauma_rupture_context,1.000,5.228,1.274,1.323,2.170,1.740,1.500,5.310,1.000,1.000,1.354,5.269,1.258,-8.215
NIS0072,trauma_rupture_context,1.000,5.647,2.010,1.860,2.623,2.987,1.474,5.326,1.000,1.000,1.949,5.487,1.495,-8.113
NIS0073,trauma_rupture_context,3.030,3.787,3.100,2.707,3.793,4.971,3.465,3.798,2.587,3.007,3.569,3.793,3.051,-1.848
NIS0074,trauma_rupture_context,3.192,4.619,3.614,2.147,3.808,5.362,3.934,3.326,2.520,2.922,3.567,3.973,3.356,-2.607
NIS0075,trauma_rupture_context,2.140,3.814,3.158,3.117,3.152,4.652,4.081,4.173,2.676,2.769,3.303,3.993,3.305,-2.730
NIS0076,trauma_rupture_context,2.855,4.769,3.084,3.703,2.917,4.244,3.309,4.012,2.473,2.408,3.601,4.391,2.955,-2.223
NIS0077,trauma_rupture_context,1.448,3.514,2.842,3.072,4.096,4.831,4.088,3.696,2.718,1.836,3.117,3.605,3.216,-2.690
NIS0078,trauma_rupture_context,2.469,3.108,3.075,3.765,2.796,4.882,4.226,3.761,2.626,2.398,3.705,3.434,3.309,-0.634
NIS0079,trauma_rupture_context,1.274,4.556,2.508,2.338,3.075,3.477,3.649,4.840,2.312,1.831,2.363,4.698,2.823,-5.784
NIS0080,trauma_rupture_context,1.916,5.055,3.456,2.446,4.049,4.194,2.899,3.956,2.184,2.677,2.852,4.506,2.846,-4.650
NIS0081,trauma_rupture_context,2.041,5.393,2.831,1.930,2.196,4.658,3.371,4.111,1.628,1.225,2.876,4.752,2.610,-5.533
NIS0082,trauma_rupture_context,1.588,4.406,2.731,2.926,3.323,3.862,3.263,4.709,2.138,1.937,2.792,4.557,2.710,-4.601
NIS0083,trauma_rupture_context,1.636,4.764,2.965,3.015,3.259,4.371,2.661,4.965,2.733,2.546,3.007,4.865,2.786,-5.078
NIS0084,trauma_rupture_context,2.244,4.336,3.191,2.742,3.703,4.277,3.741,4.128,2.559,2.032,3.088,4.232,3.164,-3.478
NIS0085,migration_transition_context,3.786,2.347,3.810,4.739,4.708,5.177,4.448,3.023,3.490,3.552,4.567,2.685,3.916,3.155
NIS0086,migration_transition_context,4.174,2.622,3.727,4.165,3.837,4.688,4.224,2.537,3.507,3.879,4.342,2.579,3.819,3.180
NIS0087,migration_transition_context,3.937,2.675,4.725,5.020,3.986,5.260,4.399,3.382,3.737,3.302,4.739,3.028,4.287,2.900
NIS0088,migration_transition_context,3.221,2.662,3.704,4.444,3.815,4.985,4.582,2.433,3.719,3.948,4.217,2.547,4.002,2.570
NIS0089,migration_transition_context,3.447,2.636,4.117,4.298,3.547,4.659,3.216,3.219,2.898,3.068,4.135,2.928,3.410,1.890
NIS0090,migration_transition_context,2.682,2.772,4.179,4.640,3.945,4.609,4.281,2.520,3.572,3.218,3.977,2.646,4.011,2.030
NIS0091,migration_transition_context,1.484,4.429,2.443,2.839,4.275,3.199,2.813,3.994,2.379,2.059,2.508,4.211,2.545,-4.099
NIS0092,migration_transition_context,1.834,4.560,2.806,2.474,3.167,3.436,3.471,4.439,1.879,2.302,2.581,4.499,2.719,-4.690
NIS0093,migration_transition_context,2.418,5.448,2.899,2.844,2.886,3.711,1.922,4.604,1.877,2.056,2.991,5.026,2.233,-4.790
NIS0094,migration_transition_context,1.914,4.526,2.744,2.605,4.149,3.622,3.150,4.544,1.699,1.000,2.714,4.535,2.531,-4.550
NIS0095,migration_transition_context,2.053,4.799,3.292,2.358,3.584,3.880,3.050,3.725,2.549,1.758,2.764,4.262,2.963,-4.112
NIS0096,migration_transition_context,2.226,3.831,2.542,3.345,3.372,3.799,2.211,4.231,2.287,1.783,3.123,4.031,2.347,-2.491
NIS0097,migration_transition_context,3.194,3.897,4.612,3.537,3.503,4.339,2.922,4.029,2.609,2.934,3.690,3.963,3.381,-1.194
NIS0098,migration_transition_context,2.553,3.523,4.258,4.145,3.743,4.409,3.200,4.853,2.538,2.522,3.703,4.188,3.332,-1.677
NIS0099,migration_transition_context,3.067,3.143,4.455,3.505,4.206,4.691,3.128,3.802,2.462,3.238,3.754,3.472,3.348,-0.373
NIS0100,migration_transition_context,2.624,4.082,4.629,3.503,4.371,4.841,2.837,5.297,2.361,2.204,3.656,4.690,3.276,-3.252
NIS0101,migration_transition_context,3.637,4.167,4.662,3.470,3.544,4.682,2.794,4.511,2.959,2.578,3.930,4.339,3.472,-1.570
NIS0102,migration_transition_context,2.491,3.269,4.846,3.446,4.054,4.205,2.856,5.252,1.866,3.067,3.381,4.260,3.189,-2.584
NIS0103,migration_transition_context,3.197,2.875,3.730,4.354,4.805,4.648,4.209,3.319,2.943,3.103,4.066,3.097,3.627,1.356
NIS0104,migration_transition_context,2.518,2.399,3.745,3.968,5.275,4.558,3.778,3.498,3.300,3.568,3.681,2.949,3.608,0.588
NIS0105,migration_transition_context,2.976,3.126,4.300,3.501,4.255,4.543,4.273,3.336,3.282,3.001,3.674,3.231,3.952,0.016
NIS0106,migration_transition_context,2.048,2.908,4.519,4.259,5.212,5.094,4.701,2.659,4.180,4.036,3.800,2.784,4.467,0.740
NIS0107,migration_transition_context,2.852,3.985,3.394,4.001,4.744,4.668,4.183,3.494,3.028,3.720,3.840,3.740,3.535,-0.627
NIS0108,migration_transition_context,3.648,3.353,4.027,3.946,5.494,4.926,4.487,2.596,3.393,3.525,4.173,2.974,3.969,1.646
NIS0109,migration_transition_context,1.420,4.255,2.976,3.690,2.947,2.846,2.575,4.191,1.809,1.690,2.652,4.223,2.453,-3.336
NIS0110,migration_transition_context,2.138,3.746,2.162,3.114,3.383,3.116,2.440,5.203,1.752,1.818,2.790,4.475,2.118,-3.697
NIS0111,migration_transition_context,2.337,4.284,2.221,2.312,3.513,3.500,2.362,4.014,1.841,2.174,2.716,4.149,2.141,-3.649
NIS0112,migration_transition_context,2.290,3.642,1.888,3.239,3.300,3.236,2.296,4.262,2.477,2.114,2.921,3.952,2.220,-2.375
NIS0113,migration_transition_context,2.325,3.982,2.758,2.796,3.560,4.301,3.060,3.900,2.417,2.509,3.141,3.941,2.745,-2.761
NIS0114,migration_transition_context,2.713,4.152,2.452,3.178,3.899,3.714,3.116,3.947,2.734,1.885,3.202,4.050,2.768,-2.209
NIS0115,migration_transition_context,3.183,3.043,4.442,3.543,3.844,5.272,4.276,2.737,3.539,3.464,3.999,2.890,4.086,0.945
NIS0116,migration_transition_context,2.584,2.466,3.143,4.857,4.310,5.501,4.411,2.507,3.580,3.557,4.314,2.487,3.711,2.468
NIS0117,migration_transition_context,4.159,2.792,3.653,4.468,3.954,5.364,4.246,3.062,3.433,3.685,4.664,2.927,3.778,2.773
NIS0118,migration_transition_context,3.411,3.000,3.898,4.499,4.600,5.258,4.440,2.798,3.375,3.522,4.389,2.899,3.904,2.112
NIS0119,migration_transition_context,3.597,2.507,3.563,4.469,4.013,4.939,4.162,2.791,3.433,3.568,4.335,2.649,3.719,2.768
NIS0120,migration_transition_context,3.035,3.011,3.264,4.429,4.895,5.100,4.751,2.527,3.585,3.393,4.188,2.769,3.867,1.926
NIS0121,migration_transition_context,2.536,4.070,3.594,3.289,3.825,4.680,4.312,4.179,3.242,2.524,3.502,4.124,3.716,-2.423
NIS0122,migration_transition_context,2.320,3.398,4.102,4.055,3.783,4.852,4.726,3.581,3.152,2.997,3.742,3.489,3.993,-0.603
NIS0123,migration_transition_context,2.338,3.628,3.446,3.093,3.651,4.583,4.350,2.893,3.384,2.833,3.338,3.261,3.727,-1.090
NIS0124,migration_transition_context,2.951,3.442,3.424,3.961,4.429,4.398,4.144,3.236,3.312,3.532,3.770,3.339,3.627,0.234
NIS0125,migration_transition_context,2.756,3.590,4.050,4.159,4.193,4.726,3.927,3.508,3.253,2.849,3.880,3.549,3.743,-0.182
NIS0126,migration_transition_context,2.500,3.531,4.429,4.777,3.455,4.744,3.911,3.636,2.964,2.545,4.007,3.584,3.768,0.110
NIS0127,community_memory_context,4.993,1.000,4.711,5.502,5.405,5.899,4.482,1.777,4.586,4.759,5.465,1.389,4.593,7.718
NIS0128,community_memory_context,4.794,1.000,5.851,5.591,5.257,6.447,5.340,1.000,5.216,5.408,5.611,1.000,5.469,8.386
NIS0129,community_memory_context,4.768,1.523,5.254,4.711,5.764,6.731,5.634,1.564,4.477,4.510,5.403,1.543,5.122,6.392
NIS0130,community_memory_context,5.058,1.632,5.876,6.447,5.669,5.855,5.160,1.351,4.915,4.906,5.787,1.491,5.317,8.522
NIS0131,community_memory_context,4.452,1.218,5.386,6.453,6.084,5.779,4.837,2.240,4.460,5.144,5.561,1.729,4.894,7.447
NIS0132,community_memory_context,4.626,1.459,5.206,5.774,5.992,6.519,5.885,1.243,4.474,4.705,5.640,1.351,5.188,7.699
NIS0133,community_memory_context,2.563,2.673,4.575,4.254,5.137,4.728,3.500,3.499,3.777,3.288,3.848,3.086,3.951,0.645
NIS0134,community_memory_context,3.250,3.032,4.403,4.868,5.248,4.774,3.342,3.350,2.857,3.569,4.297,3.191,3.534,1.735
NIS0135,community_memory_context,2.944,3.249,3.747,3.804,4.676,4.893,5.011,3.705,3.652,3.308,3.880,3.477,4.137,-0.206
NIS0136,community_memory_context,3.332,2.997,4.072,3.638,5.827,4.306,3.239,3.267,3.577,3.851,3.759,3.132,3.629,0.706
NIS0137,community_memory_context,2.817,3.311,3.796,3.744,5.716,4.348,3.915,3.362,3.033,2.817,3.636,3.336,3.581,-0.112
NIS0138,community_memory_context,2.927,2.682,4.044,4.516,5.300,4.724,4.566,3.296,3.130,3.143,4.056,2.989,3.913,1.465
NIS0139,community_memory_context,4.542,2.451,6.492,4.161,6.313,5.081,4.141,3.896,4.472,4.389,4.595,3.174,5.035,2.356
NIS0140,community_memory_context,4.745,2.435,5.907,4.261,5.603,6.165,4.350,3.383,4.257,4.325,5.057,2.909,4.838,3.187
NIS0141,community_memory_context,4.369,1.776,5.380,5.056,5.440,5.513,4.739,3.804,4.906,3.744,4.980,2.790,5.008,3.845
NIS0142,community_memory_context,3.936,2.331,5.436,5.351,5.900,5.542,4.080,3.338,4.310,4.708,4.943,2.835,4.609,3.617
NIS0143,community_memory_context,4.693,2.138,5.642,5.288,6.085,4.908,4.812,3.795,3.689,4.035,4.963,2.967,4.715,4.048
NIS0144,community_memory_context,3.975,2.044,5.231,4.565,5.474,5.681,4.302,3.817,3.819,3.960,4.741,2.930,4.451,2.680
NIS0145,community_memory_context,4.387,1.995,4.832,4.814,6.263,5.911,5.276,1.785,4.757,4.161,5.037,1.890,4.955,5.420
NIS0146,community_memory_context,4.070,1.033,5.478,5.283,6.677,5.161,4.566,1.967,4.921,4.835,4.838,1.500,4.989,6.353
NIS0147,community_memory_context,3.949,1.985,6.054,4.871,6.297,6.269,5.353,2.336,5.144,4.664,5.030,2.161,5.517,4.499
NIS0148,community_memory_context,4.353,1.769,5.664,5.276,6.612,5.699,5.036,2.082,4.952,4.299,5.109,1.925,5.217,5.779
NIS0149,community_memory_context,3.617,1.586,5.367,5.514,6.338,6.435,5.538,2.378,4.491,4.726,5.189,1.982,5.132,5.167
NIS0150,community_memory_context,3.887,1.647,4.413,4.971,6.516,5.756,5.010,1.809,5.026,4.674,4.871,1.728,4.816,5.403
NIS0151,community_memory_context,2.634,2.422,4.436,4.138,4.666,4.492,3.175,3.445,3.556,3.515,3.754,2.934,3.723,0.905
NIS0152,community_memory_context,3.418,2.574,3.292,3.671,4.731,3.882,3.759,2.974,2.962,2.732,3.657,2.774,3.338,1.541
NIS0153,community_memory_context,2.790,2.336,3.736,3.907,5.196,4.860,3.691,3.180,3.626,3.775,3.853,2.758,3.684,1.182
NIS0154,community_memory_context,3.060,2.640,3.656,3.524,4.211,5.116,3.185,3.982,3.020,3.144,3.900,3.311,3.287,-0.039
NIS0155,community_memory_context,3.238,2.567,4.362,3.359,5.149,4.240,3.890,3.245,3.588,3.368,3.612,2.906,3.946,0.784
NIS0156,community_memory_context,2.677,2.970,4.213,3.817,4.367,4.769,3.257,3.153,3.846,4.022,3.754,3.061,3.772,0.371
NIS0157,community_memory_context,4.087,1.802,5.140,5.491,6.390,6.128,5.418,2.303,4.846,4.186,5.236,2.053,5.135,5.473
NIS0158,community_memory_context,4.018,1.909,5.427,5.124,5.397,6.121,5.419,1.634,4.671,4.483,5.088,1.771,5.172,5.600
NIS0159,community_memory_context,4.557,2.447,5.110,5.611,6.746,6.609,6.259,1.148,5.316,5.411,5.592,1.798,5.562,6.573
NIS0160,community_memory_context,4.752,2.096,4.733,5.147,5.412,6.267,5.839,2.318,4.201,4.079,5.389,2.207,4.924,5.485
NIS0161,community_memory_context,4.842,2.117,5.628,4.944,5.864,6.343,5.491,2.362,4.776,4.073,5.376,2.240,5.299,5.307
NIS0162,community_memory_context,3.768,2.392,5.221,5.082,6.956,5.699,5.159,2.170,4.995,4.057,4.850,2.281,5.125,4.288
NIS0163,community_memory_context,3.522,2.097,4.907,4.934,5.784,6.398,6.320,1.872,5.217,4.412,4.951,1.985,5.481,4.486
NIS0164,community_memory_context,3.591,2.960,4.809,4.756,6.270,5.990,6.050,2.361,3.915,4.059,4.779,2.660,4.925,3.027
NIS0165,community_memory_context,3.909,2.884,5.070,5.222,5.731,5.993,5.441,2.175,4.490,3.685,5.041,2.530,5.000,4.071
NIS0166,community_memory_context,3.636,2.837,5.015,5.158,5.721,5.981,5.508,2.738,4.384,4.317,4.925,2.788,4.969,3.218
NIS0167,community_memory_context,3.813,2.737,4.676,4.853,5.857,6.358,5.645,1.828,4.947,5.256,5.008,2.282,5.089,4.102
NIS0168,community_memory_context,3.264,2.572,4.836,4.010,5.367,5.813,5.228,2.850,3.799,3.881,4.362,2.711,4.621,1.852
NIS0169,institutional_silencing_context,3.030,4.550,3.069,3.262,3.220,4.047,3.327,4.421,1.619,1.952,3.446,4.486,2.672,-2.679
NIS0170,institutional_silencing_context,2.565,3.824,2.827,3.118,2.062,4.023,2.753,4.521,2.472,2.298,3.235,4.173,2.684,-2.662
NIS0171,institutional_silencing_context,2.188,3.604,3.448,3.920,2.386,4.378,2.587,5.118,2.311,1.922,3.496,4.361,2.782,-2.613
NIS0172,institutional_silencing_context,2.403,4.398,2.925,3.323,2.297,3.675,1.774,4.239,1.768,1.598,3.134,4.318,2.156,-2.910
NIS0173,institutional_silencing_context,2.453,4.527,2.843,3.015,2.901,4.036,2.752,4.181,1.997,2.446,3.168,4.354,2.531,-3.240
NIS0174,institutional_silencing_context,1.926,4.121,2.810,3.538,2.084,4.189,2.959,3.909,1.852,2.395,3.218,4.015,2.540,-2.567
NIS0175,institutional_silencing_context,1.240,5.571,2.211,1.216,2.478,3.690,1.085,6.243,1.000,1.000,2.049,5.907,1.432,-9.359
NIS0176,institutional_silencing_context,1.426,4.852,1.726,1.002,2.134,2.523,1.267,5.303,1.000,1.000,1.651,5.078,1.331,-7.727
NIS0177,institutional_silencing_context,1.006,6.493,1.237,1.066,2.383,3.372,1.000,6.084,1.000,1.000,1.815,6.288,1.079,-10.504
NIS0178,institutional_silencing_context,1.000,5.972,1.228,1.601,1.605,3.125,1.068,5.940,1.000,1.000,1.909,5.956,1.099,-9.310
NIS0179,institutional_silencing_context,1.000,5.980,2.370,1.867,1.858,2.508,1.529,5.798,1.000,1.000,1.792,5.889,1.633,-8.911
NIS0180,institutional_silencing_context,1.000,5.898,2.567,1.621,2.026,2.251,1.550,5.336,1.333,1.000,1.624,5.617,1.817,-8.613
NIS0181,institutional_silencing_context,1.522,4.976,3.427,2.606,2.519,4.055,1.997,5.671,1.996,1.828,2.728,5.323,2.474,-6.519
NIS0182,institutional_silencing_context,1.180,5.038,3.139,2.701,2.044,3.353,1.387,6.205,1.277,1.000,2.411,5.621,1.934,-7.362
NIS0183,institutional_silencing_context,2.048,4.944,3.424,2.106,2.385,3.414,1.275,6.497,1.232,1.235,2.522,5.720,1.977,-7.287
NIS0184,institutional_silencing_context,1.861,4.764,3.121,2.540,2.940,3.479,1.833,6.437,1.788,1.399,2.627,5.601,2.247,-6.800
NIS0185,institutional_silencing_context,1.838,4.912,3.763,2.818,3.162,3.537,1.299,6.264,1.631,1.320,2.731,5.588,2.231,-6.520
NIS0186,institutional_silencing_context,1.844,4.885,2.882,2.911,2.080,3.589,1.465,5.426,1.267,1.000,2.781,5.155,1.871,-5.556
NIS0187,institutional_silencing_context,1.272,4.951,2.635,2.471,3.464,3.657,3.168,4.012,2.139,1.442,2.467,4.481,2.648,-5.220
NIS0188,institutional_silencing_context,1.295,4.840,2.443,1.813,3.292,4.127,3.198,4.360,1.875,1.694,2.412,4.600,2.506,-6.092
NIS0189,institutional_silencing_context,1.678,5.180,2.069,2.356,4.720,4.585,2.449,4.114,2.105,1.273,2.873,4.647,2.208,-5.261
NIS0190,institutional_silencing_context,1.619,5.012,2.719,1.803,3.435,4.391,3.031,3.757,1.893,1.522,2.604,4.384,2.548,-5.347
NIS0191,institutional_silencing_context,1.168,4.797,2.081,1.666,3.763,3.610,2.913,5.349,1.474,1.226,2.148,5.073,2.156,-7.313
NIS0192,institutional_silencing_context,1.402,3.927,2.880,2.592,3.602,3.980,2.815,4.386,2.723,2.141,2.658,4.156,2.806,-4.319
NIS0193,institutional_silencing_context,1.000,5.586,1.000,1.793,1.341,2.686,1.420,5.701,1.000,1.464,1.826,5.643,1.140,-8.494
