person_id,wave,wave_numeric,age,life_stage,cohort,cultural_context,neuroticism,extraversion,conscientiousness,openness,agreeableness,role_investment,state_practice_frequency,perceived_support
PLS0017,childhood,1,8.6,childhood,older_cohort,institutionally_supported,4.019,5.222,3.306,3.704,3.856,3.487,3.579,4.886
PLS0017,adolescence,2,14.9,adolescence,older_cohort,institutionally_supported,3.740,5.564,2.581,4.476,3.219,2.615,3.736,4.584
PLS0017,emerging_adulthood,3,23.5,emerging_adulthood,older_cohort,institutionally_supported,3.763,5.244,3.642,4.737,4.222,3.773,4.386,5.419
PLS0017,adulthood,4,37.3,adulthood,older_cohort,institutionally_supported,3.470,4.943,4.670,3.598,4.631,4.249,5.097,4.684
PLS0017,midlife,5,51.8,midlife,older_cohort,institutionally_supported,2.425,5.426,5.267,4.139,5.110,5.685,5.687,5.497
PLS0017,later_life,6,71.1,later_life,older_cohort,institutionally_supported,2.381,5.880,5.636,3.253,5.357,5.500,6.366,4.821
PLS0018,childhood,1,8.7,childhood,middle_cohort,communal_mixed,4.440,4.489,3.989,5.105,4.608,2.313,3.410,4.808
PLS0018,adolescence,2,16.4,adolescence,middle_cohort,communal_mixed,4.586,3.707,3.779,5.415,4.270,3.434,4.022,4.129
PLS0018,emerging_adulthood,3,24.5,emerging_adulthood,middle_cohort,communal_mixed,3.849,3.551,4.650,5.607,5.117,3.385,4.476,4.410
PLS0018,adulthood,4,38.2,adulthood,middle_cohort,communal_mixed,3.620,4.709,5.163,5.058,5.366,4.229,5.370,5.025
PLS0018,midlife,5,52.0,midlife,middle_cohort,communal_mixed,3.838,3.771,5.176,5.629,6.215,4.988,5.853,4.975
PLS0018,later_life,6,70.3,later_life,middle_cohort,communal_mixed,3.572,4.186,6.424,4.661,6.160,5.270,6.350,5.299
PLS0019,childhood,1,9.8,childhood,middle_cohort,high_transition_context,4.616,4.655,2.797,5.406,4.336,2.155,2.899,4.300
PLS0019,adolescence,2,16.8,adolescence,middle_cohort,high_transition_context,4.212,3.914,3.294,5.423,4.366,3.591,3.233,3.770
PLS0019,emerging_adulthood,3,24.4,emerging_adulthood,middle_cohort,high_transition_context,4.483,4.912,4.204,5.981,4.449,3.274,4.086,3.542
PLS0019,adulthood,4,39.2,adulthood,middle_cohort,high_transition_context,3.818,4.547,4.528,5.078,5.270,3.844,4.841,4.161
PLS0019,midlife,5,51.1,midlife,middle_cohort,high_transition_context,3.759,4.812,5.024,5.183,5.236,4.949,5.571,4.518
PLS0019,later_life,6,69.8,later_life,middle_cohort,high_transition_context,4.067,4.587,5.274,5.046,5.773,4.757,6.273,3.371
PLS0020,childhood,1,8.1,childhood,older_cohort,institutionally_supported,2.870,4.385,3.145,3.891,3.928,2.818,3.314,5.426
PLS0020,adolescence,2,16.2,adolescence,older_cohort,institutionally_supported,3.557,4.973,3.302,4.358,3.168,3.456,3.727,4.668
PLS0020,emerging_adulthood,3,23.4,emerging_adulthood,older_cohort,institutionally_supported,3.332,4.846,4.550,4.687,3.085,3.627,4.125,4.778
PLS0020,adulthood,4,38.5,adulthood,older_cohort,institutionally_supported,3.395,5.151,5.110,4.197,3.689,3.964,4.869,5.109
PLS0020,midlife,5,51.9,midlife,older_cohort,institutionally_supported,3.290,5.139,5.210,3.960,4.652,5.592,5.392,4.537
PLS0020,later_life,6,69.2,later_life,older_cohort,institutionally_supported,2.947,5.328,5.972,3.836,4.498,5.776,6.665,5.182
PLS0021,childhood,1,10.1,childhood,middle_cohort,high_transition_context,4.692,3.891,3.069,4.990,4.184,2.505,3.649,5.070
PLS0021,adolescence,2,15.2,adolescence,middle_cohort,high_transition_context,5.125,3.761,3.726,5.133,3.395,2.889,3.560,4.144
PLS0021,emerging_adulthood,3,23.0,emerging_adulthood,middle_cohort,high_transition_context,4.054,4.493,4.160,5.373,4.123,3.868,3.920,3.985
PLS0021,adulthood,4,38.6,adulthood,middle_cohort,high_transition_context,4.177,4.423,5.602,5.226,4.351,4.203,5.533,3.301
PLS0021,midlife,5,51.0,midlife,middle_cohort,high_transition_context,4.185,4.467,5.528,5.233,4.680,5.288,5.749,4.674
PLS0021,later_life,6,69.1,later_life,middle_cohort,high_transition_context,3.478,4.166,6.006,5.109,4.503,5.567,6.421,3.684
PLS0022,childhood,1,8.0,childhood,middle_cohort,high_transition_context,3.898,4.445,3.600,3.962,4.512,2.825,3.379,3.690
PLS0022,adolescence,2,17.0,adolescence,middle_cohort,high_transition_context,3.834,3.514,3.083,3.871,4.384,2.545,3.430,3.899
PLS0022,emerging_adulthood,3,23.6,emerging_adulthood,middle_cohort,high_transition_context,4.096,4.405,4.193,4.498,4.742,3.222,4.291,3.020
PLS0022,adulthood,4,37.3,adulthood,middle_cohort,high_transition_context,3.969,4.547,4.886,3.097,5.056,4.420,5.476,3.170
PLS0022,midlife,5,52.7,midlife,middle_cohort,high_transition_context,3.636,4.356,5.671,3.492,5.657,5.343,5.749,3.720
PLS0022,later_life,6,69.1,later_life,middle_cohort,high_transition_context,3.533,3.875,6.311,3.404,5.310,5.918,6.022,3.428
PLS0023,childhood,1,9.5,childhood,middle_cohort,individualist_urban,5.228,3.879,2.343,4.906,4.408,3.324,2.762,4.009
PLS0023,adolescence,2,16.2,adolescence,middle_cohort,individualist_urban,4.805,4.377,2.750,4.443,4.562,2.955,3.442,4.582
PLS0023,emerging_adulthood,3,23.2,emerging_adulthood,middle_cohort,individualist_urban,4.496,4.052,3.040,5.090,4.452,4.022,4.385,3.706
PLS0023,adulthood,4,37.1,adulthood,middle_cohort,individualist_urban,4.466,4.262,3.994,4.508,4.225,3.643,4.312,3.586
PLS0023,midlife,5,53.1,midlife,middle_cohort,individualist_urban,3.770,4.450,4.794,4.586,4.932,4.681,5.195,3.631
PLS0023,later_life,6,71.1,later_life,middle_cohort,individualist_urban,4.101,4.426,5.283,4.874,5.217,5.494,5.520,3.865
PLS0024,childhood,1,8.2,childhood,older_cohort,institutionally_supported,4.286,4.249,3.757,3.997,3.102,3.024,4.222,4.967
PLS0024,adolescence,2,15.1,adolescence,older_cohort,institutionally_supported,3.317,4.577,4.456,4.209,3.373,3.272,4.365,5.238
PLS0024,emerging_adulthood,3,24.4,emerging_adulthood,older_cohort,institutionally_supported,3.697,4.824,5.364,4.361,3.708,3.979,4.817,5.481
PLS0024,adulthood,4,38.2,adulthood,older_cohort,institutionally_supported,3.624,5.341,5.957,3.408,3.978,4.362,5.094,5.089
PLS0024,midlife,5,51.9,midlife,older_cohort,institutionally_supported,3.270,5.073,6.587,4.439,4.105,5.142,5.973,5.569
PLS0024,later_life,6,69.4,later_life,older_cohort,institutionally_supported,3.288,4.956,6.969,3.535,5.453,6.247,7.000,5.862
PLS0025,childhood,1,8.3,childhood,middle_cohort,high_transition_context,5.114,3.688,3.970,4.853,3.726,3.561,3.976,4.152
PLS0025,adolescence,2,16.5,adolescence,middle_cohort,high_transition_context,5.146,4.523,3.791,5.127,3.784,3.065,3.773,4.103
PLS0025,emerging_adulthood,3,24.6,emerging_adulthood,middle_cohort,high_transition_context,4.932,3.970,4.852,5.169,3.610,3.022,4.623,4.030
PLS0025,adulthood,4,39.1,adulthood,middle_cohort,high_transition_context,4.152,4.866,5.156,4.341,4.947,4.366,5.235,4.445
PLS0025,midlife,5,53.2,midlife,middle_cohort,high_transition_context,4.475,4.764,6.310,5.121,4.487,4.232,6.265,4.123
PLS0025,later_life,6,70.9,later_life,middle_cohort,high_transition_context,4.523,4.888,6.402,4.444,4.712,5.077,6.629,3.776
PLS0026,childhood,1,9.6,childhood,older_cohort,institutionally_supported,4.530,5.279,3.914,4.777,3.746,2.839,2.745,5.186
PLS0026,adolescence,2,15.3,adolescence,older_cohort,institutionally_supported,4.733,4.964,2.523,5.181,3.685,2.851,3.805,4.856
PLS0026,emerging_adulthood,3,24.7,emerging_adulthood,older_cohort,institutionally_supported,4.101,5.298,3.556,5.286,3.390,4.206,4.580,5.308
PLS0026,adulthood,4,39.0,adulthood,older_cohort,institutionally_supported,3.688,5.121,4.335,4.977,4.192,4.465,3.933,4.337
PLS0026,midlife,5,53.0,midlife,older_cohort,institutionally_supported,4.084,4.737,6.049,4.527,4.610,4.942,5.336,4.819
PLS0026,later_life,6,70.7,later_life,older_cohort,institutionally_supported,3.870,5.768,6.492,4.865,4.663,5.313,6.197,4.216
PLS0027,childhood,1,9.3,childhood,younger_cohort,high_transition_context,4.647,3.315,3.567,5.081,4.426,2.556,4.002,4.001
PLS0027,adolescence,2,15.2,adolescence,younger_cohort,high_transition_context,5.689,3.839,4.414,5.233,4.129,2.458,3.749,3.756
PLS0027,emerging_adulthood,3,23.6,emerging_adulthood,younger_cohort,high_transition_context,5.462,3.859,4.689,5.948,4.715,3.630,4.827,4.006
PLS0027,adulthood,4,39.0,adulthood,younger_cohort,high_transition_context,4.799,3.688,5.268,6.273,4.095,4.044,5.014,4.439
PLS0027,midlife,5,51.5,midlife,younger_cohort,high_transition_context,4.358,4.373,5.391,4.607,5.184,4.751,5.461,4.265
PLS0027,later_life,6,70.7,later_life,younger_cohort,high_transition_context,4.637,4.570,6.406,5.356,5.910,5.196,6.284,3.489
PLS0028,childhood,1,10.1,childhood,middle_cohort,institutionally_supported,3.858,5.309,2.959,4.794,4.854,2.576,3.325,5.197
PLS0028,adolescence,2,16.5,adolescence,middle_cohort,institutionally_supported,4.097,5.251,3.323,5.618,4.651,3.072,3.342,5.315
PLS0028,emerging_adulthood,3,24.0,emerging_adulthood,middle_cohort,institutionally_supported,3.651,5.311,3.424,5.794,4.343,3.006,3.412,4.944
PLS0028,adulthood,4,37.3,adulthood,middle_cohort,institutionally_supported,3.407,5.317,4.416,5.298,4.512,4.339,5.033,5.490
PLS0028,midlife,5,51.4,midlife,middle_cohort,institutionally_supported,2.861,4.911,4.741,4.858,5.439,5.386,5.748,4.962
PLS0028,later_life,6,70.3,later_life,middle_cohort,institutionally_supported,3.056,5.300,6.214,5.073,5.175,5.592,6.723,5.287
PLS0029,childhood,1,9.2,childhood,older_cohort,high_transition_context,4.367,5.264,4.247,4.112,4.095,2.762,3.836,4.468
PLS0029,adolescence,2,15.2,adolescence,older_cohort,high_transition_context,4.184,5.347,4.432,4.794,3.829,2.948,4.780,4.072
PLS0029,emerging_adulthood,3,24.1,emerging_adulthood,older_cohort,high_transition_context,4.331,5.410,5.218,4.538,5.059,3.079,4.150,4.406
PLS0029,adulthood,4,38.2,adulthood,older_cohort,high_transition_context,3.611,5.203,5.158,4.365,4.765,4.258,5.413,4.177
PLS0029,midlife,5,52.0,midlife,older_cohort,high_transition_context,3.832,5.732,6.196,3.973,4.721,4.482,6.543,5.149
PLS0029,later_life,6,70.2,later_life,older_cohort,high_transition_context,3.538,5.314,6.762,3.835,5.743,5.534,6.545,4.826
PLS0030,childhood,1,9.8,childhood,older_cohort,communal_mixed,4.719,4.565,4.232,4.271,4.946,3.828,4.376,4.511
PLS0030,adolescence,2,16.8,adolescence,older_cohort,communal_mixed,4.250,4.601,4.265,4.866,4.776,3.265,3.844,5.055
PLS0030,emerging_adulthood,3,24.1,emerging_adulthood,older_cohort,communal_mixed,3.969,5.043,4.801,4.822,5.405,3.953,5.514,5.139
PLS0030,adulthood,4,36.8,adulthood,older_cohort,communal_mixed,4.264,5.012,5.729,4.197,5.512,3.568,5.065,4.906
PLS0030,midlife,5,52.3,midlife,older_cohort,communal_mixed,3.928,5.700,6.589,4.052,5.848,4.655,6.234,4.880
PLS0030,later_life,6,71.0,later_life,older_cohort,communal_mixed,3.196,5.455,7.000,3.597,5.578,5.195,5.784,4.506
PLS0031,childhood,1,9.9,childhood,older_cohort,high_transition_context,4.375,4.727,4.181,4.010,4.376,2.996,3.572,4.096
PLS0031,adolescence,2,16.2,adolescence,older_cohort,high_transition_context,4.402,4.257,4.038,4.488,3.786,2.815,2.774,4.251
PLS0031,emerging_adulthood,3,24.2,emerging_adulthood,older_cohort,high_transition_context,3.777,4.110,3.794,4.238,4.437,3.411,4.074,4.160
PLS0031,adulthood,4,37.8,adulthood,older_cohort,high_transition_context,3.373,5.089,4.987,3.885,4.826,3.762,4.962,4.179
PLS0031,midlife,5,50.8,midlife,older_cohort,high_transition_context,3.601,4.786,5.561,4.097,5.101,4.888,5.797,4.557
PLS0031,later_life,6,69.6,later_life,older_cohort,high_transition_context,3.281,5.228,6.139,3.302,5.457,5.508,6.477,4.296
PLS0032,childhood,1,8.8,childhood,middle_cohort,communal_mixed,5.400,4.247,3.220,4.956,3.916,3.273,3.850,3.834
PLS0032,adolescence,2,15.3,adolescence,middle_cohort,communal_mixed,4.441,3.751,3.192,4.732,4.709,3.242,3.510,4.599
PLS0032,emerging_adulthood,3,24.4,emerging_adulthood,middle_cohort,communal_mixed,4.452,4.220,4.497,4.864,5.118,3.848,4.755,4.003
PLS0032,adulthood,4,38.6,adulthood,middle_cohort,communal_mixed,4.540,4.465,3.841,4.782,4.951,5.155,5.396,4.204
PLS0032,midlife,5,51.7,midlife,middle_cohort,communal_mixed,3.935,4.400,4.310,4.787,5.258,4.747,5.797,4.505
PLS0032,later_life,6,70.9,later_life,middle_cohort,communal_mixed,3.339,4.613,5.885,4.342,5.704,5.890,6.401,4.283
PLS0033,childhood,1,8.1,childhood,older_cohort,communal_mixed,5.507,4.641,2.844,4.479,3.417,2.866,3.853,4.847
PLS0033,adolescence,2,15.0,adolescence,older_cohort,communal_mixed,4.058,5.145,3.557,4.878,4.001,2.642,3.506,4.982
PLS0033,emerging_adulthood,3,24.3,emerging_adulthood,older_cohort,communal_mixed,4.931,4.515,4.482,4.562,3.941,3.140,3.808,4.617
PLS0033,adulthood,4,38.8,adulthood,older_cohort,communal_mixed,3.927,5.062,4.775,4.105,4.528,4.543,5.461,4.787
PLS0033,midlife,5,52.7,midlife,older_cohort,communal_mixed,4.293,4.951,5.536,4.826,4.496,5.042,5.722,4.731
PLS0033,later_life,6,70.4,later_life,older_cohort,communal_mixed,4.139,5.234,6.400,4.352,5.066,5.561,6.134,4.562
PLS0034,childhood,1,8.3,childhood,middle_cohort,communal_mixed,3.938,4.781,3.032,3.643,4.290,2.802,3.185,4.415
PLS0034,adolescence,2,15.3,adolescence,middle_cohort,communal_mixed,4.530,4.704,3.629,4.321,3.425,2.934,3.314,4.926
PLS0034,emerging_adulthood,3,24.7,emerging_adulthood,middle_cohort,communal_mixed,3.572,4.696,3.706,3.892,5.053,4.087,4.176,5.579
PLS0034,adulthood,4,38.7,adulthood,middle_cohort,communal_mixed,2.875,4.897,4.212,4.074,4.269,4.608,4.956,5.283
