pair_id,zygosity,genetic_relatedness,twin1_trait,twin2_trait,twin1_temperament_reactivity,twin2_temperament_reactivity,twin1_effortful_control,twin2_effortful_control,family_stress,social_support,socioeconomic_security,educational_stability,shared_environment_index,nonshared_environment_index,trait_mean,trait_difference,gxe_marker,rge_marker,developmental_context_score
BGP00043,MZ,1.000,4.817,4.233,4.554,4.215,4.733,4.282,4.679,5.001,5.409,4.688,4.546,2.793,4.525,0.584,1.340,3.691,4.609
BGP00044,MZ,1.000,5.131,5.502,5.225,5.552,4.763,4.938,5.318,5.591,4.707,3.559,4.340,1.719,5.317,0.372,2.026,3.970,4.537
BGP00045,MZ,1.000,3.940,4.702,3.814,3.343,5.348,4.445,3.095,3.499,3.271,5.108,4.174,3.402,4.321,0.762,1.383,3.328,4.273
BGP00046,MZ,1.000,3.083,3.502,3.275,3.252,4.389,4.016,3.312,3.786,3.026,3.969,3.576,2.503,3.292,0.419,1.269,2.577,3.448
BGP00047,MZ,1.000,3.674,4.687,5.005,5.571,2.173,2.192,5.578,3.423,5.557,2.526,3.579,3.476,4.180,1.013,2.220,2.762,3.862
BGP00048,MZ,1.000,4.209,4.271,3.713,3.715,4.530,3.830,4.798,6.745,5.472,2.285,4.680,1.976,4.240,0.062,1.648,3.524,4.694
BGP00049,MZ,1.000,4.269,4.387,3.786,4.759,3.972,2.960,4.067,2.154,3.709,4.637,3.115,2.208,4.328,0.117,1.426,2.750,3.386
BGP00050,MZ,1.000,3.880,3.620,5.401,5.311,3.229,3.065,6.367,1.782,2.991,4.475,2.732,1.104,3.750,0.260,3.090,2.385,2.775
BGP00051,MZ,1.000,4.123,3.956,4.443,3.416,4.709,4.675,4.086,4.341,5.626,5.373,4.629,2.402,4.040,0.167,0.868,3.551,5.148
BGP00052,MZ,1.000,4.418,4.248,4.339,4.660,3.848,4.293,5.170,3.656,5.133,5.167,3.690,1.032,4.333,0.170,1.658,3.101,4.553
BGP00053,MZ,1.000,4.037,3.582,3.588,3.349,3.491,4.185,3.140,2.591,5.612,5.738,4.634,2.471,3.810,0.455,1.399,2.963,4.615
BGP00054,MZ,1.000,2.598,3.409,1.436,2.115,3.059,2.958,1.063,4.045,5.435,3.464,4.796,2.919,3.004,0.811,1.553,3.772,4.686
BGP00055,MZ,1.000,3.817,3.542,4.984,3.548,4.462,4.232,2.476,2.595,2.937,5.181,3.943,1.767,3.680,0.276,1.564,2.740,3.858
BGP00056,MZ,1.000,4.901,5.323,3.415,3.982,4.632,4.779,1.675,2.681,3.801,6.030,4.668,2.174,5.112,0.422,1.508,4.278,4.536
BGP00057,MZ,1.000,4.385,4.820,3.263,4.441,4.983,5.379,3.666,4.325,3.875,4.625,4.104,2.513,4.602,0.434,1.531,3.018,4.149
BGP00058,MZ,1.000,4.499,3.805,2.651,2.802,3.534,3.008,3.176,4.523,4.701,3.121,4.572,2.876,4.152,0.694,0.941,3.605,4.392
BGP00059,MZ,1.000,4.419,4.419,3.902,3.617,4.456,4.825,4.827,5.328,3.612,4.033,4.171,1.220,4.419,0.000,1.335,3.664,4.118
BGP00060,MZ,1.000,3.555,2.291,3.229,2.432,2.258,3.070,2.614,2.807,3.164,4.838,4.178,3.664,2.923,1.264,1.730,2.690,3.993
BGP00061,MZ,1.000,5.454,5.485,4.406,4.721,6.468,6.291,3.708,7.000,5.873,4.501,5.457,1.524,5.470,0.031,1.327,4.500,5.783
BGP00062,MZ,1.000,4.399,3.908,5.332,4.536,3.464,3.841,5.559,1.389,4.659,5.383,3.037,3.531,4.153,0.491,2.819,2.067,3.174
BGP00063,MZ,1.000,4.002,4.006,4.110,3.927,3.430,4.321,2.776,4.784,5.719,5.365,5.071,2.330,4.004,0.004,1.330,4.008,5.029
BGP00064,MZ,1.000,3.042,3.370,4.648,3.946,3.548,4.337,5.363,7.000,4.747,1.563,4.265,2.546,3.206,0.328,1.674,3.593,4.446
BGP00065,MZ,1.000,3.001,2.664,2.841,2.858,4.049,3.466,4.269,3.850,3.270,4.341,3.591,1.968,2.832,0.338,1.307,2.087,3.685
BGP00066,MZ,1.000,4.002,4.550,4.447,3.742,4.496,4.572,4.831,3.598,3.326,5.651,3.817,2.414,4.276,0.548,1.490,2.712,3.390
BGP00067,MZ,1.000,2.651,3.080,3.080,3.373,1.643,2.152,5.792,4.114,3.662,1.938,2.922,1.866,2.865,0.429,1.857,2.194,3.019
BGP00068,MZ,1.000,3.818,3.655,3.425,4.501,3.980,3.912,5.171,4.672,4.508,4.423,4.289,1.924,3.736,0.163,1.635,2.830,4.205
BGP00069,MZ,1.000,4.140,3.471,4.205,4.658,3.856,2.750,4.043,2.518,4.744,4.562,4.153,2.633,3.805,0.669,2.006,2.875,4.135
BGP00070,MZ,1.000,3.019,2.647,2.313,3.504,4.232,3.149,3.215,3.827,2.248,4.290,4.009,3.035,2.833,0.371,1.195,2.504,3.666
BGP00071,MZ,1.000,4.186,4.527,3.471,3.151,4.469,4.790,3.167,4.660,3.235,5.430,4.672,2.142,4.357,0.341,1.010,3.310,4.747
BGP00072,MZ,1.000,6.124,5.599,4.265,5.015,5.550,4.879,1.955,3.427,4.031,3.565,4.504,1.847,5.862,0.525,1.118,3.795,3.989
BGP00073,MZ,1.000,4.317,4.472,4.154,3.033,5.092,4.901,3.513,3.097,2.595,6.741,4.017,2.601,4.395,0.155,1.615,3.105,4.513
BGP00074,MZ,1.000,3.533,3.491,2.970,2.535,2.624,2.901,4.160,4.197,4.986,3.378,4.250,1.278,3.512,0.042,1.009,3.177,4.342
BGP00075,MZ,1.000,2.486,2.361,2.386,2.019,3.547,2.887,2.486,3.441,4.937,3.732,4.630,1.406,2.424,0.125,1.349,2.905,4.514
BGP00076,MZ,1.000,3.968,4.083,3.969,3.687,4.573,5.768,3.286,4.546,5.258,5.138,5.133,2.505,4.026,0.115,0.722,3.688,5.073
BGP00077,MZ,1.000,3.034,3.399,2.099,1.721,3.887,4.887,2.067,6.278,4.447,3.350,5.287,1.743,3.216,0.364,1.043,3.365,5.232
BGP00078,MZ,1.000,4.300,4.423,5.016,5.105,2.915,4.032,5.093,2.403,2.844,4.621,3.218,2.131,4.362,0.122,1.844,2.209,3.171
BGP00079,MZ,1.000,4.400,4.221,3.111,2.901,3.343,3.083,2.734,4.070,4.797,3.697,4.850,1.491,4.311,0.178,0.975,3.628,4.350
BGP00080,MZ,1.000,4.980,4.474,4.500,4.071,4.715,4.670,4.158,4.444,5.083,3.340,4.361,2.768,4.727,0.506,1.414,3.534,4.585
BGP00081,MZ,1.000,5.950,5.125,4.041,4.512,5.978,6.011,2.485,3.771,4.424,6.146,4.766,2.508,5.537,0.825,1.020,3.753,4.813
BGP00082,MZ,1.000,4.036,4.253,2.724,2.757,5.143,4.653,2.970,4.890,4.074,6.150,4.789,2.031,4.144,0.217,0.884,3.493,5.172
BGP00083,MZ,1.000,3.626,3.631,3.539,2.700,3.391,4.100,3.837,5.727,3.815,4.734,4.535,1.730,3.628,0.005,1.419,3.333,4.454
BGP00084,MZ,1.000,5.199,5.373,3.484,3.821,5.392,4.447,1.162,4.906,5.393,4.344,5.498,1.979,5.286,0.174,1.126,4.723,5.496
BGP00085,MZ,1.000,5.728,5.777,6.025,4.869,4.823,4.936,4.171,4.239,5.871,4.981,5.053,1.297,5.753,0.049,0.993,4.110,4.755
BGP00086,MZ,1.000,3.514,4.086,3.708,4.230,2.465,3.354,4.555,4.319,4.555,2.996,3.819,2.378,3.800,0.572,1.460,3.251,4.154
BGP00087,MZ,1.000,4.955,3.806,3.989,3.782,4.643,4.024,3.534,3.804,3.731,4.136,3.726,3.658,4.381,1.149,1.579,3.197,3.765
BGP00088,MZ,1.000,4.941,4.004,4.600,4.561,2.504,3.273,4.628,1.525,5.950,3.703,3.871,3.745,4.473,0.937,2.323,3.287,3.684
BGP00089,MZ,1.000,3.783,4.226,4.532,3.324,3.467,4.204,4.186,4.056,5.429,3.017,3.872,2.418,4.005,0.444,0.997,2.917,3.934
BGP00090,MZ,1.000,4.371,4.748,2.986,3.103,5.470,5.873,1.455,6.210,3.473,4.437,5.520,1.583,4.560,0.377,0.954,3.698,5.778
BGP00091,MZ,1.000,3.497,3.887,4.660,4.280,2.735,3.012,4.557,3.373,4.995,4.497,4.136,1.799,3.692,0.390,1.801,2.466,4.132
BGP00092,MZ,1.000,4.051,3.530,3.676,2.885,3.371,3.672,3.157,5.838,3.308,3.742,4.629,2.339,3.791,0.522,1.313,3.846,4.985
BGP00093,MZ,1.000,2.575,3.260,3.966,3.345,3.071,2.979,4.808,3.783,4.079,3.680,3.763,2.243,2.918,0.685,1.489,2.387,3.807
BGP00094,MZ,1.000,4.486,4.774,2.863,3.704,4.771,5.073,3.500,6.001,5.131,3.864,5.194,2.311,4.630,0.289,1.162,4.265,4.475
BGP00095,MZ,1.000,4.084,3.230,3.983,3.703,3.269,2.505,5.004,3.332,2.989,3.790,2.969,2.848,3.657,0.854,2.050,2.565,3.407
BGP00096,MZ,1.000,3.523,3.362,4.033,3.393,4.401,4.625,2.156,3.831,3.856,4.204,4.369,2.218,3.442,0.161,0.795,3.143,4.411
BGP00097,MZ,1.000,4.266,4.003,4.157,4.857,4.292,4.697,3.459,1.492,3.913,5.698,3.663,2.073,4.135,0.263,1.839,3.281,3.046
BGP00098,MZ,1.000,5.153,3.873,4.246,4.339,3.922,3.097,4.967,3.749,3.435,3.802,3.902,3.704,4.513,1.280,1.896,2.655,3.342
BGP00099,MZ,1.000,4.255,3.971,4.236,4.264,4.455,4.753,2.636,3.718,3.960,4.860,4.490,2.030,4.113,0.284,1.745,3.325,4.466
BGP00100,MZ,1.000,4.023,4.036,4.599,3.718,2.102,1.295,4.468,2.352,3.946,2.727,2.904,1.463,4.030,0.014,1.692,2.461,3.273
BGP00101,MZ,1.000,2.858,4.049,4.284,3.718,4.981,3.382,4.605,2.896,4.281,4.861,3.534,3.982,3.453,1.190,1.789,2.541,3.939
BGP00102,MZ,1.000,5.501,5.131,3.931,4.700,4.357,5.221,2.448,4.481,4.295,3.855,4.767,2.345,5.316,0.371,1.427,3.935,4.495
BGP00103,MZ,1.000,5.024,5.114,5.855,5.013,4.472,3.944,4.788,3.906,5.439,3.119,4.006,1.252,5.069,0.090,1.298,3.687,4.037
BGP00104,MZ,1.000,4.501,5.085,4.943,4.815,4.694,4.175,4.243,3.480,5.741,3.255,3.776,3.148,4.793,0.584,1.368,3.167,4.261
BGP00105,MZ,1.000,3.403,3.899,3.989,3.700,4.350,3.124,3.700,3.996,3.794,3.723,4.072,2.727,3.651,0.496,0.884,2.767,3.951
BGP00106,MZ,1.000,4.952,4.806,5.019,4.150,5.003,5.589,5.930,4.617,4.349,6.135,3.918,2.055,4.879,0.146,2.353,3.546,4.386
BGP00107,MZ,1.000,3.893,4.257,3.994,3.426,3.423,4.219,4.460,3.912,3.586,4.238,3.654,2.250,4.075,0.364,1.615,2.860,3.664
BGP00108,MZ,1.000,4.826,4.951,3.917,4.774,4.818,5.571,2.411,3.863,3.307,6.693,4.882,2.020,4.888,0.125,1.558,3.311,4.600
BGP00109,MZ,1.000,4.108,5.378,3.131,2.842,4.478,5.072,2.760,5.145,5.663,6.085,5.178,4.092,4.743,1.271,1.311,4.337,5.745
BGP00110,MZ,1.000,4.393,5.287,5.378,6.207,4.687,4.608,6.986,5.344,4.058,4.624,3.747,2.839,4.840,0.894,3.187,3.293,4.043
BGP00111,MZ,1.000,4.196,4.578,4.593,4.120,4.714,4.324,3.725,4.463,3.759,3.943,4.571,2.681,4.387,0.382,1.080,2.904,4.429
BGP00112,MZ,1.000,4.715,3.652,4.838,4.809,4.085,4.013,4.457,3.953,3.132,3.081,3.725,3.532,4.184,1.063,1.039,2.042,3.794
BGP00113,MZ,1.000,3.410,3.119,2.969,4.120,3.798,2.322,4.708,2.782,4.276,6.422,4.054,1.834,3.265,0.291,2.059,2.459,3.897
BGP00114,MZ,1.000,3.969,4.363,2.554,3.391,4.807,4.909,1.807,4.889,4.706,4.900,5.531,2.228,4.166,0.394,1.023,4.011,5.158
BGP00115,MZ,1.000,3.853,3.202,5.272,5.311,2.788,4.226,7.000,5.075,4.852,5.499,3.897,2.373,3.528,0.651,2.829,2.847,4.564
BGP00116,MZ,1.000,4.995,4.789,4.162,3.357,5.420,4.837,2.758,4.681,5.454,4.826,4.778,1.349,4.892,0.206,1.319,4.470,5.119
BGP00117,MZ,1.000,2.869,3.274,1.939,3.058,3.660,3.317,3.131,3.512,4.051,3.910,4.063,2.520,3.072,0.405,1.258,2.668,4.632
BGP00118,MZ,1.000,3.948,3.341,5.433,5.180,3.423,3.710,6.795,4.801,3.626,3.777,3.083,2.479,3.644,0.606,3.010,2.398,3.632
BGP00119,MZ,1.000,3.453,3.217,2.044,2.967,4.314,3.239,1.345,3.684,5.525,2.787,4.832,2.018,3.335,0.237,1.342,3.867,4.572
BGP00120,MZ,1.000,3.011,2.681,3.767,3.002,4.294,3.469,5.494,5.294,3.024,4.014,3.848,1.909,2.846,0.330,2.009,2.677,3.719
BGP00121,MZ,1.000,3.535,4.398,3.239,3.899,4.915,6.131,3.415,6.316,2.739,4.657,4.750,3.298,3.967,0.863,1.294,3.849,4.518
BGP00122,MZ,1.000,3.733,4.972,3.971,4.663,4.955,4.161,3.201,4.068,4.319,3.964,4.627,3.759,4.352,1.239,1.090,3.457,4.556
BGP00123,MZ,1.000,5.502,4.813,4.220,4.397,5.254,5.580,2.725,4.372,4.419,3.236,4.264,3.048,5.157,0.689,0.897,3.774,4.095
BGP00124,MZ,1.000,3.421,2.795,4.035,4.266,3.650,3.229,4.838,4.124,2.925,4.810,3.811,3.433,3.108,0.626,1.539,2.704,4.063
BGP00125,MZ,1.000,4.139,4.238,5.048,5.319,4.174,4.328,4.764,4.001,5.078,5.723,4.432,1.802,4.188,0.100,1.659,3.211,4.925
BGP00126,MZ,1.000,4.257,5.181,4.836,4.690,3.777,3.974,3.567,2.949,4.492,3.826,4.049,3.144,4.719,0.924,1.513,3.170,3.868
BGP00127,MZ,1.000,3.642,4.002,3.795,3.328,4.264,3.056,4.004,3.469,4.094,4.475,4.050,1.990,3.822,0.359,0.866,2.898,4.220
BGP00128,MZ,1.000,4.204,4.665,6.006,5.352,4.098,3.545,6.002,2.558,5.474,5.182,3.160,3.174,4.434,0.461,2.455,2.419,3.907
BGP00129,MZ,1.000,6.394,5.882,4.277,5.075,5.313,5.450,1.000,3.475,2.770,3.108,4.111,2.708,6.138,0.512,1.053,4.053,3.798
BGP00130,MZ,1.000,4.722,4.033,4.332,5.288,4.420,4.707,5.551,5.539,4.598,3.640,4.046,2.181,4.377,0.689,2.078,3.275,4.011
BGP00131,MZ,1.000,4.398,5.055,4.161,4.888,4.201,3.884,3.006,4.142,3.320,3.331,4.291,2.659,4.726,0.657,1.248,3.006,4.070
BGP00132,MZ,1.000,2.760,2.572,1.644,2.646,2.705,3.142,3.841,2.387,4.129,5.560,3.489,1.985,2.666,0.187,1.553,1.986,3.596
BGP00133,MZ,1.000,3.400,4.294,5.573,5.163,3.077,3.456,6.183,1.841,5.167,4.750,3.067,3.311,3.847,0.895,3.287,2.611,3.684
BGP00134,MZ,1.000,4.106,3.971,3.981,4.697,3.782,4.555,3.279,3.948,3.875,3.427,3.707,1.519,4.038,0.135,1.103,3.480,3.859
BGP00135,MZ,1.000,4.005,4.884,3.944,5.358,5.164,4.923,3.239,4.592,2.969,4.395,4.165,2.946,4.445,0.879,1.159,3.300,3.892
BGP00136,MZ,1.000,4.436,3.382,4.528,3.860,4.670,4.758,3.719,2.850,5.590,5.195,4.473,3.897,3.909,1.054,2.158,3.229,4.625
BGP00137,MZ,1.000,3.687,4.095,4.128,3.437,5.095,5.952,2.909,3.777,3.746,6.378,4.682,2.370,3.891,0.409,1.315,3.120,4.920
BGP00138,MZ,1.000,4.507,4.210,5.033,4.215,4.652,4.009,2.227,2.460,2.764,4.982,3.858,1.525,4.359,0.297,0.946,3.097,3.792
BGP00139,MZ,1.000,4.055,3.339,4.217,3.162,4.354,4.831,3.569,5.111,3.002,3.540,4.283,2.928,3.697,0.716,1.640,3.198,4.100
BGP00140,MZ,1.000,2.185,2.553,4.353,5.026,3.130,3.091,6.195,3.132,4.951,4.566,3.384,1.480,2.369,0.367,3.086,2.111,3.661
BGP00141,MZ,1.000,2.554,2.549,3.635,3.682,3.576,2.966,3.920,2.376,3.529,4.541,3.741,2.298,2.552,0.005,1.728,1.728,3.512
BGP00142,MZ,1.000,4.633,5.111,4.610,5.138,4.041,3.831,4.094,2.962,4.785,4.386,3.995,2.446,4.872,0.478,1.695,2.920,3.706
BGP00143,MZ,1.000,4.122,3.928,4.428,5.462,3.608,5.359,4.417,3.769,3.094,3.692,3.371,2.743,4.025,0.194,1.710,3.015,3.696
BGP00144,MZ,1.000,4.436,4.781,4.362,4.218,3.822,4.496,4.623,5.195,5.186,3.892,4.887,2.231,4.609,0.345,0.904,3.940,4.462
BGP00145,MZ,1.000,2.904,2.686,3.036,2.123,2.931,2.821,3.709,4.495,3.986,4.201,4.152,1.827,2.795,0.218,1.202,3.280,4.315
BGP00146,MZ,1.000,3.224,3.464,2.004,3.921,3.687,2.872,4.800,4.874,5.116,3.475,4.414,2.610,3.344,0.240,1.000,3.011,4.480
BGP00147,MZ,1.000,3.929,3.249,2.992,4.054,3.264,3.501,4.529,3.400,3.303,3.591,3.243,2.950,3.589,0.679,1.568,2.387,3.572
BGP00148,MZ,1.000,6.028,5.595,4.247,4.573,5.299,6.110,2.015,5.486,2.923,4.822,5.027,2.766,5.811,0.433,0.746,3.940,4.880
BGP00149,MZ,1.000,4.791,3.581,3.964,3.148,4.828,3.795,4.625,4.850,3.472,6.158,4.548,3.608,4.186,1.210,1.795,2.786,4.725
BGP00150,MZ,1.000,4.053,3.308,3.818,2.152,3.849,3.589,2.443,4.036,5.778,4.643,4.971,3.268,3.681,0.744,0.799,3.866,4.933
BGP00151,MZ,1.000,4.741,4.126,2.529,1.874,4.773,5.594,1.965,5.594,5.615,5.080,5.532,2.783,4.433,0.615,1.059,4.387,5.582
BGP00152,MZ,1.000,3.387,2.890,2.756,2.727,3.945,4.118,4.365,4.802,3.855,5.441,4.429,1.591,3.138,0.497,1.319,2.507,4.360
BGP00153,MZ,1.000,2.805,3.401,3.729,3.927,4.306,3.802,2.982,3.292,3.860,6.038,4.444,2.583,3.103,0.596,1.190,3.748,4.349
BGP00154,MZ,1.000,5.268,4.891,4.434,5.103,4.205,4.337,3.677,4.383,4.534,4.803,4.573,2.337,5.080,0.377,1.218,4.333,4.619
BGP00155,MZ,1.000,3.727,4.441,3.573,3.561,3.727,2.898,5.342,4.282,5.799,4.806,4.135,2.829,4.084,0.713,1.888,3.300,4.454
BGP00156,MZ,1.000,4.333,3.743,4.704,4.396,4.124,4.263,3.598,2.926,3.498,4.796,4.088,2.003,4.038,0.590,1.475,2.821,3.917
BGP00157,MZ,1.000,5.020,4.811,5.920,7.000,3.906,4.706,5.009,2.352,6.045,3.858,3.606,1.490,4.916,0.210,2.215,3.223,3.471
BGP00158,MZ,1.000,2.594,2.743,3.596,3.936,2.467,2.460,4.561,3.681,1.477,3.757,2.939,2.036,2.669,0.150,1.366,2.356,2.844
BGP00159,MZ,1.000,4.133,4.514,4.548,3.886,5.120,5.373,4.257,5.391,2.900,5.705,4.296,2.151,4.323,0.381,1.432,3.277,4.531
BGP00160,MZ,1.000,5.383,4.549,3.213,4.176,5.178,4.491,1.697,4.656,4.862,3.706,5.074,3.607,4.966,0.834,0.989,3.738,4.956
BGP00161,MZ,1.000,4.110,3.979,4.353,3.875,3.717,3.759,4.522,3.271,3.994,4.604,4.057,1.404,4.045,0.131,1.560,3.149,4.027
BGP00162,MZ,1.000,4.129,4.241,3.910,4.666,2.543,3.871,3.865,3.774,5.541,3.439,4.243,1.765,4.185,0.112,1.028,3.372,4.049
BGP00163,MZ,1.000,3.119,3.238,4.800,4.031,3.445,3.864,4.598,2.815,5.260,4.608,3.816,1.744,3.178,0.119,1.804,2.125,4.006
BGP00164,MZ,1.000,5.110,4.798,4.339,4.753,5.927,4.964,4.442,5.952,3.320,4.228,4.663,1.718,4.954,0.312,1.229,3.292,4.379
BGP00165,MZ,1.000,3.973,4.903,3.072,3.762,4.044,5.375,3.926,4.290,2.663,4.092,3.828,3.016,4.438,0.930,1.298,3.235,3.573
BGP00166,MZ,1.000,3.344,2.798,2.948,3.389,3.661,2.396,4.537,4.110,4.528,4.064,3.896,2.769,3.071,0.546,1.442,2.923,4.051
