person_id,wave,wave_numeric,intervention_group,age,neuroticism,extraversion,conscientiousness,openness,agreeableness,role_investment,state_practice_frequency,perceived_support
PCP0009,followup_12_months,4,intervention,61.5,3.388,4.957,4.127,3.924,6.119,6.172,4.901,5.014
PCP0010,baseline,1,intervention,27.0,3.385,3.795,3.977,3.817,4.053,4.196,2.468,4.244
PCP0010,post_intervention,2,intervention,27.5,3.089,3.994,4.091,3.430,4.033,4.567,3.063,4.667
PCP0010,followup_6_months,3,intervention,28.0,2.464,4.426,4.226,3.752,4.470,4.233,3.509,5.399
PCP0010,followup_12_months,4,intervention,28.5,1.924,4.392,4.466,3.649,4.902,4.862,4.214,5.376
PCP0011,baseline,1,intervention,63.0,4.777,4.757,2.690,3.929,4.126,4.958,4.370,4.922
PCP0011,post_intervention,2,intervention,63.5,4.268,4.427,2.888,3.499,4.045,5.627,4.378,5.716
PCP0011,followup_6_months,3,intervention,64.0,4.011,4.443,3.551,3.803,4.473,5.627,5.467,5.562
PCP0011,followup_12_months,4,intervention,64.5,4.229,4.948,3.266,4.083,4.108,5.999,6.428,5.375
PCP0012,baseline,1,intervention,61.0,2.386,1.888,5.386,2.428,4.317,3.004,3.351,2.847
PCP0012,post_intervention,2,intervention,61.5,2.390,1.795,5.289,2.647,4.449,3.320,2.484,3.240
PCP0012,followup_6_months,3,intervention,62.0,2.032,2.344,5.474,2.505,4.653,3.823,3.401,4.212
PCP0012,followup_12_months,4,intervention,62.5,1.657,2.437,5.945,2.576,4.724,4.396,3.839,3.453
PCP0013,baseline,1,intervention,29.0,4.725,3.784,4.823,4.304,3.487,3.397,3.863,3.090
PCP0013,post_intervention,2,intervention,29.5,4.398,3.647,4.933,4.357,3.601,3.750,4.326,3.886
PCP0013,followup_6_months,3,intervention,30.0,4.419,4.136,5.338,4.769,4.137,3.419,4.491,3.791
PCP0013,followup_12_months,4,intervention,30.5,4.140,3.994,5.322,4.594,4.297,3.383,5.658,4.117
PCP0014,baseline,1,intervention,52.0,3.824,3.341,5.163,3.825,4.223,3.652,4.348,3.452
PCP0014,post_intervention,2,intervention,52.5,3.634,4.001,5.390,3.812,3.936,3.750,4.636,2.821
PCP0014,followup_6_months,3,intervention,53.0,3.444,4.211,5.666,3.554,4.789,4.389,5.254,3.342
PCP0014,followup_12_months,4,intervention,53.5,3.151,4.554,6.031,3.683,4.694,4.631,5.174,4.150
PCP0015,baseline,1,intervention,55.0,4.069,5.228,4.768,5.079,4.226,4.360,2.344,5.222
PCP0015,post_intervention,2,intervention,55.5,3.987,5.528,4.905,5.029,4.554,4.402,3.586,5.682
PCP0015,followup_6_months,3,intervention,56.0,3.477,5.422,5.061,5.056,4.778,4.696,3.561,5.980
PCP0015,followup_12_months,4,intervention,56.5,3.381,5.976,4.941,5.107,4.370,4.746,4.896,5.837
PCP0016,baseline,1,intervention,46.0,4.107,2.638,3.942,4.759,3.951,5.546,3.094,2.990
PCP0016,post_intervention,2,intervention,46.5,3.869,3.339,4.478,4.872,3.999,5.024,2.543,3.709
PCP0016,followup_6_months,3,intervention,47.0,3.726,3.152,5.239,5.521,4.450,6.352,3.675,3.563
PCP0016,followup_12_months,4,intervention,47.5,2.981,3.649,5.251,5.498,4.358,6.052,4.543,4.231
PCP0017,baseline,1,intervention,33.0,3.790,3.829,4.940,4.384,4.318,6.036,3.576,3.684
PCP0017,post_intervention,2,intervention,33.5,3.761,3.430,5.103,4.459,4.533,5.451,3.973,4.127
PCP0017,followup_6_months,3,intervention,34.0,3.641,4.125,5.636,4.509,4.874,5.454,4.844,4.337
PCP0017,followup_12_months,4,intervention,34.5,3.203,4.743,6.098,5.011,4.474,5.608,4.757,5.083
PCP0018,baseline,1,intervention,19.0,3.402,4.087,5.163,4.772,5.890,3.751,4.414,4.829
PCP0018,post_intervention,2,intervention,19.5,3.307,4.065,5.423,4.858,5.504,4.162,4.944,5.228
PCP0018,followup_6_months,3,intervention,20.0,2.746,4.319,5.625,4.994,6.035,4.447,4.535,4.779
PCP0018,followup_12_months,4,intervention,20.5,2.964,5.231,6.210,5.583,6.131,5.133,5.727,5.893
PCP0019,baseline,1,intervention,25.0,2.969,3.904,4.412,3.645,4.089,4.455,4.084,2.876
PCP0019,post_intervention,2,intervention,25.5,2.623,4.451,4.728,3.250,4.218,5.054,5.284,3.602
PCP0019,followup_6_months,3,intervention,26.0,2.450,4.350,4.289,3.321,3.856,4.802,6.068,2.893
PCP0019,followup_12_months,4,intervention,26.5,2.242,4.693,5.137,3.769,4.350,5.029,6.756,3.679
PCP0020,baseline,1,intervention,56.0,5.299,3.279,5.341,4.812,3.877,5.010,5.418,2.443
PCP0020,post_intervention,2,intervention,56.5,5.264,3.059,6.009,4.839,4.074,4.483,5.851,2.996
PCP0020,followup_6_months,3,intervention,57.0,4.970,3.671,5.630,5.242,4.401,4.572,5.087,3.396
PCP0020,followup_12_months,4,intervention,57.5,4.604,3.192,5.710,5.354,4.792,4.789,5.771,3.391
PCP0021,baseline,1,intervention,58.0,5.581,3.773,4.638,4.321,4.394,2.829,4.372,3.120
PCP0021,post_intervention,2,intervention,58.5,5.089,3.803,4.626,4.381,5.139,3.459,5.117,3.571
PCP0021,followup_6_months,3,intervention,59.0,4.978,3.973,5.080,4.738,5.292,3.238,5.416,4.041
PCP0021,followup_12_months,4,intervention,59.5,4.249,4.240,5.311,4.776,4.967,3.919,5.231,4.481
PCP0022,baseline,1,intervention,41.0,4.245,2.716,3.650,3.130,4.288,3.656,3.460,3.861
PCP0022,post_intervention,2,intervention,41.5,4.057,2.518,4.028,4.057,4.093,4.064,4.509,4.014
PCP0022,followup_6_months,3,intervention,42.0,3.534,2.570,4.553,3.818,4.226,4.245,5.018,4.105
PCP0022,followup_12_months,4,intervention,42.5,3.040,3.394,4.877,3.824,4.930,4.232,5.156,4.841
PCP0023,baseline,1,intervention,36.0,2.770,4.659,4.514,3.335,5.553,4.698,5.186,4.706
PCP0023,post_intervention,2,intervention,36.5,3.157,4.573,4.275,3.602,5.938,4.873,4.617,5.502
PCP0023,followup_6_months,3,intervention,37.0,2.227,5.182,4.936,3.565,5.707,5.641,5.074,5.233
PCP0023,followup_12_months,4,intervention,37.5,2.007,5.251,4.963,3.560,6.135,5.687,5.594,6.240
PCP0024,baseline,1,intervention,60.0,3.012,3.860,5.226,4.161,4.928,2.590,4.098,5.678
PCP0024,post_intervention,2,intervention,60.5,3.410,3.979,5.301,4.668,5.002,2.737,3.877,4.956
PCP0024,followup_6_months,3,intervention,61.0,3.196,3.851,5.714,4.583,5.095,2.832,4.471,5.023
PCP0024,followup_12_months,4,intervention,61.5,2.694,4.039,5.417,4.439,5.123,3.382,4.393,6.048
PCP0025,baseline,1,intervention,48.0,3.073,3.389,4.783,2.649,4.780,3.949,3.639,5.038
PCP0025,post_intervention,2,intervention,48.5,2.566,3.669,4.800,3.070,4.846,3.895,4.110,5.036
PCP0025,followup_6_months,3,intervention,49.0,2.736,4.366,4.985,3.190,5.068,3.885,4.201,4.702
PCP0025,followup_12_months,4,intervention,49.5,2.321,4.533,5.811,3.138,5.477,4.186,4.111,5.763
PCP0026,baseline,1,intervention,42.0,2.859,4.563,3.609,3.765,3.889,5.116,3.642,3.938
PCP0026,post_intervention,2,intervention,42.5,2.568,4.539,4.007,3.787,4.056,4.728,5.484,3.847
PCP0026,followup_6_months,3,intervention,43.0,2.521,4.892,4.358,3.388,3.834,5.562,4.845,3.164
PCP0026,followup_12_months,4,intervention,43.5,2.617,4.853,4.105,3.543,3.957,5.379,6.257,3.196
PCP0027,baseline,1,intervention,46.0,2.864,4.218,5.120,3.030,4.682,4.576,4.201,3.763
PCP0027,post_intervention,2,intervention,46.5,2.676,4.726,5.461,2.676,4.431,4.263,4.115,4.228
PCP0027,followup_6_months,3,intervention,47.0,2.459,4.566,5.984,3.318,5.001,4.854,4.414,4.945
PCP0027,followup_12_months,4,intervention,47.5,2.276,4.908,5.991,2.946,4.911,4.650,5.417,4.722
PCP0028,baseline,1,intervention,47.0,4.418,3.282,4.199,5.559,4.732,4.656,3.436,3.203
PCP0028,post_intervention,2,intervention,47.5,3.707,4.047,3.560,5.441,4.469,4.936,4.309,3.151
PCP0028,followup_6_months,3,intervention,48.0,3.968,3.971,3.968,5.378,4.768,4.362,4.066,3.398
PCP0028,followup_12_months,4,intervention,48.5,3.399,4.367,4.000,5.470,4.788,5.435,4.565,3.221
PCP0029,baseline,1,intervention,45.0,5.264,4.229,4.147,5.659,4.844,4.296,4.018,3.151
PCP0029,post_intervention,2,intervention,45.5,5.182,3.906,4.563,5.565,4.893,4.798,4.622,2.742
PCP0029,followup_6_months,3,intervention,46.0,4.851,4.504,4.603,6.308,5.210,5.157,4.921,3.513
PCP0029,followup_12_months,4,intervention,46.5,4.211,4.487,5.248,6.061,4.823,5.571,5.146,3.685
PCP0030,baseline,1,intervention,38.0,4.488,5.108,5.470,4.718,4.879,5.034,3.992,4.465
PCP0030,post_intervention,2,intervention,38.5,4.093,5.175,5.033,4.923,4.775,4.915,5.205,5.270
PCP0030,followup_6_months,3,intervention,39.0,3.468,5.297,6.088,4.845,5.441,4.548,5.408,4.311
PCP0030,followup_12_months,4,intervention,39.5,3.700,5.805,5.943,5.223,4.918,5.735,5.219,5.344
PCP0031,baseline,1,intervention,47.0,5.135,5.051,4.513,4.264,5.294,2.730,3.419,2.748
PCP0031,post_intervention,2,intervention,47.5,5.085,4.950,5.147,4.160,5.153,3.273,4.119,3.255
PCP0031,followup_6_months,3,intervention,48.0,5.081,5.622,5.449,4.639,5.320,3.885,4.179,3.841
PCP0031,followup_12_months,4,intervention,48.5,4.877,5.643,5.442,4.674,5.080,3.218,4.377,3.078
PCP0032,baseline,1,intervention,30.0,2.847,5.285,3.995,4.623,4.067,3.484,3.067,4.551
PCP0032,post_intervention,2,intervention,30.5,3.141,5.304,3.998,4.191,3.702,3.598,3.485,4.128
PCP0032,followup_6_months,3,intervention,31.0,2.465,5.721,5.043,4.625,4.425,4.407,4.420,4.752
PCP0032,followup_12_months,4,intervention,31.5,2.044,5.687,4.974,4.859,4.410,4.377,3.739,5.058
PCP0033,baseline,1,intervention,51.0,3.998,3.594,4.662,3.614,4.355,5.663,3.203,3.447
PCP0033,post_intervention,2,intervention,51.5,3.453,3.857,4.658,3.951,4.641,4.690,3.212,3.866
PCP0033,followup_6_months,3,intervention,52.0,3.457,4.592,5.358,3.708,4.428,5.341,3.917,3.923
PCP0033,followup_12_months,4,intervention,52.5,2.970,4.290,5.262,4.247,4.725,5.071,4.477,4.466
PCP0034,baseline,1,intervention,24.0,4.158,4.958,3.371,3.253,5.597,4.388,4.631,4.505
PCP0034,post_intervention,2,intervention,24.5,4.065,5.696,3.586,3.553,6.007,4.401,4.762,4.898
PCP0034,followup_6_months,3,intervention,25.0,3.601,5.534,3.765,4.023,5.874,5.103,4.695,4.590
PCP0034,followup_12_months,4,intervention,25.5,3.504,5.613,4.081,3.955,6.300,5.179,5.226,5.140
PCP0035,baseline,1,intervention,34.0,3.167,4.477,3.326,4.538,3.510,3.314,4.632,3.234
PCP0035,post_intervention,2,intervention,34.5,2.701,4.216,3.771,4.549,3.573,3.296,4.452,3.248
PCP0035,followup_6_months,3,intervention,35.0,2.827,4.417,3.771,4.352,3.422,3.676,4.739,3.633
PCP0035,followup_12_months,4,intervention,35.5,2.750,4.590,4.088,4.571,3.833,3.976,5.448,3.997
PCP0036,baseline,1,intervention,43.0,3.655,5.268,3.220,4.448,4.463,4.403,2.861,5.932
PCP0036,post_intervention,2,intervention,43.5,3.190,5.016,3.283,4.727,4.196,4.427,3.328,5.606
PCP0036,followup_6_months,3,intervention,44.0,3.227,4.932,3.818,4.562,4.644,4.021,4.083,5.913
PCP0036,followup_12_months,4,intervention,44.5,3.465,5.261,3.804,4.892,4.603,4.393,4.546,5.883
PCP0037,baseline,1,intervention,48.0,5.160,4.223,2.627,3.370,5.134,4.183,4.496,4.404
PCP0037,post_intervention,2,intervention,48.5,4.698,3.917,2.602,3.809,5.548,3.738,4.695,4.164
PCP0037,followup_6_months,3,intervention,49.0,4.625,4.286,3.157,3.850,6.102,3.897,5.531,4.494
PCP0037,followup_12_months,4,intervention,49.5,4.111,4.704,3.099,4.014,5.641,4.332,5.617,5.330
PCP0038,baseline,1,intervention,29.0,3.799,2.930,5.235,3.767,5.117,3.597,4.687,3.376
PCP0038,post_intervention,2,intervention,29.5,3.568,2.961,5.436,3.500,4.632,3.537,4.685,3.120
PCP0038,followup_6_months,3,intervention,30.0,3.669,3.679,5.589,3.648,4.966,3.921,4.988,3.576
PCP0038,followup_12_months,4,intervention,30.5,3.135,3.793,5.921,4.131,4.760,4.575,5.336,3.859
PCP0039,baseline,1,intervention,53.0,4.049,2.810,3.486,4.169,2.959,3.072,4.520,4.116
PCP0039,post_intervention,2,intervention,53.5,3.225,2.968,3.689,4.624,3.637,3.840,4.075,4.189
PCP0039,followup_6_months,3,intervention,54.0,3.713,3.227,4.136,4.236,3.324,3.996,4.920,5.292
PCP0039,followup_12_months,4,intervention,54.5,3.314,3.374,4.243,4.474,3.636,4.343,5.127,4.272
PCP0040,baseline,1,intervention,59.0,3.260,3.565,4.349,3.813,4.860,3.013,3.955,4.253
PCP0040,post_intervention,2,intervention,59.5,3.715,3.671,4.129,4.294,4.721,3.574,4.751,4.808
PCP0040,followup_6_months,3,intervention,60.0,3.160,4.162,5.099,4.237,5.083,3.432,4.795,5.081
PCP0040,followup_12_months,4,intervention,60.5,2.823,3.486,4.515,4.292,4.987,3.990,4.923,4.796
PCP0041,baseline,1,intervention,20.0,3.909,3.949,2.774,3.447,2.264,3.211,3.514,2.930
PCP0041,post_intervention,2,intervention,20.5,3.862,4.079,3.111,3.231,3.004,3.338,4.507,3.202
PCP0041,followup_6_months,3,intervention,21.0,3.193,4.368,3.352,3.403,3.316,3.545,4.467,2.805
PCP0041,followup_12_months,4,intervention,21.5,3.297,4.896,4.008,3.849,3.186,4.254,5.013,3.684
PCP0042,baseline,1,intervention,57.0,2.822,5.074,3.402,4.156,4.129,3.827,3.073,4.480
PCP0042,post_intervention,2,intervention,57.5,2.464,5.392,3.069,4.195,4.188,3.933,2.821,5.269
PCP0042,followup_6_months,3,intervention,58.0,2.813,5.895,3.659,4.445,3.935,4.251,4.426,5.468
PCP0042,followup_12_months,4,intervention,58.5,2.077,5.637,4.101,4.110,4.158,4.926,4.206,6.365
PCP0043,baseline,1,intervention,29.0,3.686,3.978,3.409,4.530,3.926,5.095,2.241,4.251
PCP0043,post_intervention,2,intervention,29.5,3.846,4.009,3.020,4.288,4.201,4.423,2.249,4.287
PCP0043,followup_6_months,3,intervention,30.0,3.269,3.920,3.435,4.653,4.249,5.292,3.216,5.046
PCP0043,followup_12_months,4,intervention,30.5,2.774,4.491,3.356,4.676,4.255,5.252,4.019,5.284
PCP0044,baseline,1,intervention,28.0,4.596,1.446,4.365,4.621,5.052,3.560,3.615,4.049
PCP0044,post_intervention,2,intervention,28.5,4.583,1.790,4.009,5.090,5.098,3.431,3.981,4.652
PCP0044,followup_6_months,3,intervention,29.0,4.615,2.557,4.585,5.074,4.899,3.726,4.162,5.059
PCP0044,followup_12_months,4,intervention,29.5,3.798,2.099,5.252,4.824,5.403,4.317,5.503,5.473
PCP0045,baseline,1,intervention,43.0,5.112,4.705,4.884,3.918,4.742,3.102,5.223,2.772
PCP0045,post_intervention,2,intervention,43.5,4.856,4.627,4.771,3.564,4.260,3.769,4.894,3.293
PCP0045,followup_6_months,3,intervention,44.0,4.189,5.178,5.492,3.641,4.873,3.549,6.001,3.378
PCP0045,followup_12_months,4,intervention,44.5,4.184,5.288,5.983,4.194,4.505,3.529,5.672,3.651
PCP0046,baseline,1,intervention,61.0,3.249,3.931,3.865,3.939,4.127,4.018,3.776,4.596
PCP0046,post_intervention,2,intervention,61.5,2.583,3.988,4.353,4.471,3.271,4.161,4.052,4.990
PCP0046,followup_6_months,3,intervention,62.0,2.595,4.027,4.331,4.468,3.544,4.768,3.895,5.066
PCP0046,followup_12_months,4,intervention,62.5,2.296,4.272,4.153,4.323,3.628,4.839,4.943,6.343
PCP0047,baseline,1,intervention,29.0,3.195,2.370,4.619,4.143,5.096,4.023,2.505,3.925
PCP0047,post_intervention,2,intervention,29.5,3.024,2.467,4.645,4.305,4.301,3.966,3.334,3.976
PCP0047,followup_6_months,3,intervention,30.0,2.624,2.652,5.242,4.329,4.655,4.316,2.878,4.083
PCP0047,followup_12_months,4,intervention,30.5,2.620,2.621,5.370,4.394,4.644,4.934,4.121,5.166
PCP0048,baseline,1,intervention,32.0,4.172,4.420,4.006,3.023,4.712,3.261,4.863,4.791
PCP0048,post_intervention,2,intervention,32.5,3.739,4.694,4.377,3.691,4.989,3.534,4.680,5.099
PCP0048,followup_6_months,3,intervention,33.0,3.729,4.867,4.201,3.622,4.822,3.763,5.294,5.340
PCP0048,followup_12_months,4,intervention,33.5,3.378,4.819,4.696,3.437,4.753,4.042,5.433,5.563
PCP0049,baseline,1,comparison,32.0,3.258,2.553,4.285,4.508,2.872,3.837,4.326,3.863
PCP0049,post_intervention,2,comparison,32.5,3.151,2.884,3.838,4.542,3.219,3.966,4.057,4.184
PCP0049,followup_6_months,3,comparison,33.0,3.031,2.855,4.631,4.088,3.316,3.619,4.494,4.501
PCP0049,followup_12_months,4,comparison,33.5,2.415,2.783,4.504,4.381,3.771,3.878,4.400,4.774
PCP0050,baseline,1,comparison,23.0,3.488,5.512,3.418,3.565,3.611,4.211,4.021,4.431
PCP0050,post_intervention,2,comparison,23.5,3.046,5.423,3.504,3.733,4.503,4.185,4.341,3.907
PCP0050,followup_6_months,3,comparison,24.0,2.964,6.000,3.331,3.745,4.633,4.044,5.324,4.246
PCP0050,followup_12_months,4,comparison,24.5,2.877,5.570,3.556,3.509,4.253,4.697,4.065,4.758
PCP0051,baseline,1,comparison,29.0,4.315,3.588,3.144,3.658,4.731,4.813,5.380,4.112
PCP0051,post_intervention,2,comparison,29.5,4.188,4.333,3.125,4.398,4.385,5.561,5.182,5.120
PCP0051,followup_6_months,3,comparison,30.0,4.070,4.204,2.732,3.941,4.298,4.710,5.236,4.682
PCP0051,followup_12_months,4,comparison,30.5,3.931,4.412,3.468,4.279,4.243,4.865,6.397,4.726
PCP0052,baseline,1,comparison,46.0,4.172,5.208,5.641,3.602,4.464,3.299,3.711,4.318
PCP0052,post_intervention,2,comparison,46.5,5.359,4.571,5.399,3.899,4.763,2.980,4.301,5.069
PCP0052,followup_6_months,3,comparison,47.0,4.326,4.808,5.738,3.634,4.839,2.850,4.299,4.932
PCP0052,followup_12_months,4,comparison,47.5,4.374,4.773,5.685,4.090,5.068,2.776,4.967,5.175
PCP0053,baseline,1,comparison,33.0,3.795,5.181,5.019,5.334,4.026,3.336,4.450,4.783
PCP0053,post_intervention,2,comparison,33.5,3.553,5.464,4.492,5.332,4.410,3.164,4.559,5.752
PCP0053,followup_6_months,3,comparison,34.0,3.644,6.014,4.160,5.923,4.071,3.524,4.618,5.394
PCP0053,followup_12_months,4,comparison,34.5,3.402,5.760,4.486,5.611,4.063,3.323,5.087,5.592
PCP0054,baseline,1,comparison,58.0,4.006,4.230,3.556,5.014,4.760,3.991,4.690,3.565
PCP0054,post_intervention,2,comparison,58.5,4.164,4.067,3.393,4.872,4.623,3.892,4.728,3.465
PCP0054,followup_6_months,3,comparison,59.0,3.762,4.349,3.540,5.066,5.208,3.909,4.456,3.839
PCP0054,followup_12_months,4,comparison,59.5,4.002,4.367,3.610,5.663,5.332,3.578,4.749,3.918
PCP0055,baseline,1,comparison,44.0,2.996,3.348,3.059,3.236,2.327,3.251,2.017,3.747
PCP0055,post_intervention,2,comparison,44.5,2.512,3.707,3.213,3.601,2.528,3.330,2.380,3.932
PCP0055,followup_6_months,3,comparison,45.0,2.004,3.554,3.840,4.018,2.331,3.632,3.018,4.122
PCP0055,followup_12_months,4,comparison,45.5,2.338,3.743,3.997,3.583,2.741,3.020,2.373,3.995
PCP0056,baseline,1,comparison,41.0,3.592,3.589,4.646,4.173,3.758,4.732,4.681,4.716
PCP0056,post_intervention,2,comparison,41.5,3.283,3.722,4.271,4.208,3.734,4.698,4.835,4.288
PCP0056,followup_6_months,3,comparison,42.0,3.415,4.222,4.469,4.149,4.022,4.819,5.071,4.729
PCP0056,followup_12_months,4,comparison,42.5,3.683,3.983,4.672,4.099,3.790,5.261,4.860,5.179
PCP0057,baseline,1,comparison,29.0,4.646,2.453,3.987,3.938,4.414,3.547,2.409,4.889
PCP0057,post_intervention,2,comparison,29.5,4.686,2.714,4.293,4.408,5.068,3.036,3.125,5.387
PCP0057,followup_6_months,3,comparison,30.0,4.427,2.851,4.336,4.177,5.082,3.035,2.914,5.314
PCP0057,followup_12_months,4,comparison,30.5,3.893,2.703,4.439,3.751,5.082,2.982,2.546,4.724
PCP0058,baseline,1,comparison,41.0,5.151,5.449,4.559,3.692,3.628,4.620,5.773,3.366
PCP0058,post_intervention,2,comparison,41.5,4.919,5.466,4.425,3.283,4.063,4.491,4.808,3.147
PCP0058,followup_6_months,3,comparison,42.0,5.181,5.622,4.726,3.406,4.039,4.668,4.936,3.587
PCP0058,followup_12_months,4,comparison,42.5,5.096,5.958,4.987,3.679,3.991,4.700,4.756,3.331
PCP0059,baseline,1,comparison,38.0,5.490,3.093,2.864,4.497,4.899,5.182,4.180,3.861
PCP0059,post_intervention,2,comparison,38.5,4.911,3.123,2.908,4.264,5.192,5.218,4.314,4.695
PCP0059,followup_6_months,3,comparison,39.0,5.361,2.961,2.575,4.846,5.153,5.233,4.157,3.560
PCP0059,followup_12_months,4,comparison,39.5,4.497,3.030,3.400,4.271,5.425,5.345,4.512,4.364
PCP0060,baseline,1,comparison,27.0,4.860,3.860,4.449,3.677,5.729,3.026,3.572,2.575
PCP0060,post_intervention,2,comparison,27.5,4.807,3.730,4.923,4.013,5.972,3.073,4.260,3.251
PCP0060,followup_6_months,3,comparison,28.0,5.135,3.836,4.537,3.978,6.086,2.701,3.994,2.521
PCP0060,followup_12_months,4,comparison,28.5,4.749,4.057,5.076,4.263,6.391,3.261,3.665,3.512
PCP0061,baseline,1,comparison,40.0,4.650,4.018,5.091,3.907,5.493,3.528,4.711,4.355
PCP0061,post_intervention,2,comparison,40.5,4.124,4.603,5.178,3.885,5.729,3.685,4.146,4.548
PCP0061,followup_6_months,3,comparison,41.0,4.171,4.103,4.885,3.965,5.703,3.250,4.192,4.173
PCP0061,followup_12_months,4,comparison,41.5,4.336,4.245,4.816,4.226,5.623,3.562,5.093,4.950
PCP0062,baseline,1,comparison,25.0,3.594,1.897,3.650,2.609,3.544,4.382,3.907,3.054
PCP0062,post_intervention,2,comparison,25.5,3.627,2.264,3.228,2.477,3.574,4.441,4.898,2.961
PCP0062,followup_6_months,3,comparison,26.0,3.441,2.624,3.343,2.700,4.197,4.157,4.099,3.041
PCP0062,followup_12_months,4,comparison,26.5,2.617,2.491,3.405,2.741,3.840,4.294,4.111,3.909
PCP0063,baseline,1,comparison,30.0,4.384,2.761,5.072,4.909,4.356,3.207,3.463,2.991
PCP0063,post_intervention,2,comparison,30.5,4.500,3.494,5.255,5.400,4.608,3.213,5.262,3.595
PCP0063,followup_6_months,3,comparison,31.0,4.319,3.259,5.689,4.835,4.675,2.976,4.223,3.291
PCP0063,followup_12_months,4,comparison,31.5,3.774,3.221,5.482,5.529,4.720,3.171,4.056,3.344
PCP0064,baseline,1,comparison,47.0,3.340,3.706,4.408,4.300,3.638,3.755,4.667,5.421
PCP0064,post_intervention,2,comparison,47.5,3.593,3.753,4.262,4.268,4.260,3.472,4.860,5.097
PCP0064,followup_6_months,3,comparison,48.0,3.727,3.751,4.497,3.703,3.980,3.850,4.976,4.932
PCP0064,followup_12_months,4,comparison,48.5,3.549,4.125,4.568,4.432,4.015,3.717,4.774,5.409
