participant_id,role_family,organizational_context,extraversion,agreeableness,conscientiousness,neuroticism,openness,emotional_stability,dark_trait_pressure,role_fit,accountability,job_performance,leadership_emergence,leadership_effectiveness,counterproductive_work_behavior,teamwork_quality,burnout_risk
WL0038,individual_contributor,collaborative_learning,3.298,4.531,3.543,2.656,4.415,4.593,1.000,3.339,4.331,3.814,4.096,5.115,4.276,3.886,4.072
WL0039,individual_contributor,collaborative_learning,4.143,4.425,3.702,3.885,3.895,3.308,1.000,3.969,4.627,3.914,4.078,4.819,4.387,3.740,4.164
WL0040,individual_contributor,collaborative_learning,5.316,2.303,3.122,2.721,5.091,4.377,1.623,3.867,4.812,3.550,5.088,3.965,4.627,3.973,3.511
WL0041,team_lead,stewardship_culture,4.338,2.991,5.072,3.629,4.334,3.775,1.033,3.695,4.677,4.325,4.473,5.174,4.725,3.767,4.274
WL0042,team_lead,stewardship_culture,3.767,4.112,4.858,4.087,4.410,3.548,1.284,3.863,5.434,4.692,4.412,5.134,4.971,4.190,4.898
WL0043,team_lead,stewardship_culture,5.317,3.235,5.462,4.455,3.608,2.621,1.000,4.169,5.046,3.644,5.308,4.523,3.771,3.632,5.135
WL0044,team_lead,stewardship_culture,3.210,5.436,3.748,3.831,4.890,4.061,1.154,3.865,5.469,4.513,4.221,5.579,4.095,4.518,5.020
WL0045,team_lead,stewardship_culture,2.664,4.512,4.219,4.495,5.458,3.124,1.425,3.783,5.171,4.842,4.538,4.930,3.897,4.261,5.744
WL0046,team_lead,stewardship_culture,3.912,4.020,4.303,4.989,4.648,2.795,1.000,3.644,4.971,3.432,4.974,3.781,3.907,3.372,5.007
WL0047,team_lead,stewardship_culture,4.087,5.437,3.770,4.035,3.725,2.984,1.000,3.174,5.034,3.194,4.419,5.129,4.273,3.532,4.869
WL0048,team_lead,stewardship_culture,4.693,3.862,5.090,3.394,3.471,4.093,1.000,3.693,5.107,3.671,4.493,4.856,4.384,3.434,4.170
WL0049,team_lead,high_growth_competitive,5.274,5.223,3.493,3.576,3.511,3.948,1.000,3.344,3.792,3.962,5.600,4.687,4.075,3.891,4.594
WL0050,team_lead,high_growth_competitive,4.886,2.795,4.180,3.688,3.227,3.516,1.758,3.256,3.276,2.846,5.275,4.148,4.939,3.345,5.168
WL0051,team_lead,high_growth_competitive,3.361,3.888,4.545,4.050,4.305,3.498,1.277,3.107,3.642,3.998,4.608,4.353,4.607,4.115,5.124
WL0052,team_lead,high_growth_competitive,4.120,3.824,3.443,3.024,4.552,4.444,1.479,3.686,4.189,3.903,4.753,4.423,4.608,3.644,4.224
WL0053,team_lead,high_growth_competitive,3.760,4.120,4.368,3.844,4.217,3.594,1.000,3.322,3.419,3.802,4.457,4.337,5.553,2.595,5.565
WL0054,team_lead,high_growth_competitive,3.917,4.446,3.431,4.284,3.949,3.381,1.000,3.962,3.428,3.817,5.618,4.289,4.683,3.795,5.326
WL0055,team_lead,high_growth_competitive,3.789,4.777,4.775,4.210,4.365,3.070,1.846,3.590,3.907,3.699,4.492,4.803,4.932,4.301,5.148
WL0056,team_lead,high_growth_competitive,4.040,4.839,4.316,4.950,3.911,2.343,1.000,3.218,3.816,3.505,4.718,3.942,4.749,3.350,5.340
WL0057,team_lead,procedural_bureaucratic,5.161,4.684,3.670,2.835,4.572,4.435,1.000,3.381,4.763,3.521,5.105,4.613,3.594,3.238,4.711
WL0058,team_lead,procedural_bureaucratic,4.079,3.389,3.476,3.541,2.076,4.239,1.448,3.466,5.003,2.773,3.887,4.715,4.899,3.054,4.528
WL0059,team_lead,procedural_bureaucratic,3.135,4.428,5.228,5.188,3.675,2.176,2.074,4.274,5.312,3.573,4.221,4.109,5.459,3.411,4.886
WL0060,team_lead,procedural_bureaucratic,4.480,3.796,3.998,4.189,4.559,3.479,1.000,3.211,4.982,4.346,4.993,4.835,4.831,3.058,4.446
WL0061,team_lead,procedural_bureaucratic,3.469,3.916,2.981,3.057,2.176,4.295,1.287,4.045,5.010,3.881,3.953,4.701,4.140,2.990,4.274
WL0062,team_lead,procedural_bureaucratic,3.712,4.234,3.890,3.353,3.311,4.148,1.917,3.950,5.081,3.431,4.190,4.438,4.052,3.729,4.387
WL0063,team_lead,procedural_bureaucratic,4.633,2.749,4.055,3.818,4.908,3.566,1.000,3.146,4.616,3.606,4.537,3.916,5.805,3.200,5.214
WL0064,team_lead,procedural_bureaucratic,3.672,4.160,4.647,2.871,5.034,4.417,1.000,4.689,4.899,3.851,4.115,5.406,4.249,4.315,5.163
WL0065,team_lead,low_accountability_political,3.767,3.611,4.667,5.412,3.783,1.920,1.185,3.720,2.997,3.461,4.599,3.965,4.821,3.771,5.055
WL0066,team_lead,low_accountability_political,4.499,5.060,5.538,3.561,4.647,3.852,1.135,3.781,2.738,4.011,4.716,4.359,4.387,4.154,5.209
WL0067,team_lead,low_accountability_political,3.868,2.875,2.356,2.876,4.426,4.141,1.927,3.393,2.408,2.386,3.930,3.818,5.741,3.548,4.410
WL0068,team_lead,low_accountability_political,4.595,4.858,5.544,3.149,3.507,4.102,1.724,4.059,2.034,4.406,4.793,4.348,4.614,3.656,5.335
WL0069,team_lead,low_accountability_political,2.934,4.160,5.004,3.825,3.623,3.677,1.000,3.551,2.932,4.828,3.936,4.783,4.597,3.663,4.659
WL0070,team_lead,low_accountability_political,4.798,4.813,3.540,3.940,3.741,3.358,2.259,3.539,2.471,3.605,4.666,3.593,5.626,2.992,4.623
WL0071,team_lead,low_accountability_political,4.416,3.871,3.583,4.452,4.549,2.605,1.775,3.881,3.597,3.535,4.153,3.570,4.444,2.843,5.118
WL0072,team_lead,low_accountability_political,5.177,3.314,4.697,2.968,4.604,4.236,2.314,5.198,2.975,4.244,4.543,4.287,4.871,3.999,5.118
WL0073,team_lead,collaborative_learning,3.572,4.663,3.413,2.903,4.655,4.482,1.000,4.069,4.694,3.645,4.980,5.094,4.247,4.036,4.308
WL0074,team_lead,collaborative_learning,4.813,4.559,4.988,3.091,3.405,4.224,1.583,4.061,3.792,4.459,4.275,4.751,4.377,3.978,4.608
WL0075,team_lead,collaborative_learning,3.897,3.538,3.666,4.304,4.822,3.188,1.523,3.073,4.685,2.951,4.540,4.087,4.991,3.268,5.670
WL0076,team_lead,collaborative_learning,2.934,4.923,4.664,4.348,5.366,2.814,1.000,3.558,4.639,4.202,3.430,5.110,4.426,4.074,5.306
WL0077,team_lead,collaborative_learning,5.498,5.159,3.762,3.755,3.623,3.981,1.000,3.664,4.614,3.229,5.699,5.201,4.183,4.400,4.836
WL0078,team_lead,collaborative_learning,3.138,4.728,5.083,1.647,3.969,5.516,1.176,4.041,4.472,4.287,4.288,5.347,4.130,4.037,2.542
WL0079,team_lead,collaborative_learning,4.868,5.322,4.530,3.841,3.881,3.653,1.166,4.373,4.537,3.561,4.623,5.163,4.258,4.169,4.258
WL0080,team_lead,collaborative_learning,5.300,3.980,2.700,5.034,4.319,2.404,1.511,2.927,4.414,3.427,5.161,4.237,4.661,3.198,4.721
WL0081,manager,stewardship_culture,4.323,4.336,4.728,3.876,4.259,3.128,1.000,3.934,4.402,4.099,4.419,5.110,3.750,3.482,5.664
WL0082,manager,stewardship_culture,5.306,4.653,3.707,2.276,4.079,5.144,1.491,3.610,5.631,4.092,4.964,4.306,3.155,4.191,4.162
WL0083,manager,stewardship_culture,4.860,3.254,4.446,3.657,3.738,3.621,1.000,3.609,5.347,3.817,5.318,4.548,4.127,3.689,4.473
WL0084,manager,stewardship_culture,3.871,5.020,4.044,4.324,3.496,2.902,1.000,3.367,4.844,3.867,4.816,4.273,3.780,4.631,4.111
WL0085,manager,stewardship_culture,4.856,4.491,4.449,4.347,3.124,2.879,1.643,3.245,5.060,3.606,4.473,4.436,4.878,3.236,4.961
WL0086,manager,stewardship_culture,3.230,5.302,4.802,2.710,4.484,4.742,1.000,4.055,4.964,4.133,4.616,5.585,3.162,3.748,5.618
WL0087,manager,stewardship_culture,4.271,4.478,4.400,2.814,5.101,4.257,2.334,4.263,5.208,3.883,5.139,5.439,4.613,3.293,4.714
WL0088,manager,stewardship_culture,4.734,4.216,4.995,4.322,3.419,2.888,1.318,3.257,5.215,3.817,5.007,4.958,5.173,2.475,4.395
WL0089,manager,high_growth_competitive,5.413,4.810,4.163,4.047,5.046,3.393,1.433,4.012,3.830,2.934,5.462,3.875,4.340,4.435,5.766
WL0090,manager,high_growth_competitive,4.076,3.807,5.439,3.922,5.530,3.232,1.000,3.836,3.704,4.598,5.802,5.415,6.075,4.142,4.395
WL0091,manager,high_growth_competitive,4.759,3.633,3.205,4.937,4.281,2.437,1.987,3.924,3.989,2.848,4.886,4.298,5.129,2.713,4.741
WL0092,manager,high_growth_competitive,4.561,5.460,3.542,3.582,3.742,3.944,1.047,3.309,3.930,4.013,4.772,4.947,3.352,4.638,4.538
WL0093,manager,high_growth_competitive,2.883,4.414,4.563,5.654,4.506,1.809,1.170,3.287,3.566,3.631,4.146,4.179,4.455,3.559,5.354
WL0094,manager,high_growth_competitive,3.331,4.889,4.259,2.798,3.564,4.775,1.857,4.051,3.711,4.744,4.602,4.748,5.449,3.943,4.469
WL0095,manager,high_growth_competitive,4.849,4.728,3.947,5.035,3.518,2.431,1.000,2.362,3.371,3.019,4.314,3.925,4.453,3.722,5.088
WL0096,manager,high_growth_competitive,5.169,4.356,3.800,3.275,3.549,4.109,1.000,3.886,3.835,4.727,4.666,4.204,4.087,3.893,4.524
WL0097,manager,procedural_bureaucratic,3.871,4.623,5.770,4.797,4.661,2.907,1.000,4.026,4.546,4.417,5.788,4.484,4.467,4.202,5.339
WL0098,manager,procedural_bureaucratic,2.956,4.606,4.860,4.696,4.978,2.459,1.927,3.414,5.136,3.884,4.991,4.672,5.093,3.044,4.541
WL0099,manager,procedural_bureaucratic,3.922,3.657,4.329,3.796,2.785,3.396,1.165,3.603,4.158,4.464,4.298,5.199,4.356,3.529,4.312
WL0100,manager,procedural_bureaucratic,2.892,3.556,3.449,2.347,3.688,4.964,1.000,3.686,4.385,4.223,3.965,4.529,4.259,4.619,4.463
WL0101,manager,procedural_bureaucratic,3.021,2.903,4.034,2.215,5.266,5.124,1.042,3.872,5.079,4.121,5.132,5.300,4.688,3.172,3.645
WL0102,manager,procedural_bureaucratic,4.172,4.665,4.866,3.943,4.805,3.289,1.338,5.328,4.773,3.981,4.683,4.794,4.255,4.742,5.607
WL0103,manager,procedural_bureaucratic,3.672,3.379,5.417,2.930,4.119,4.576,1.000,3.870,4.966,5.047,4.524,4.728,4.117,4.327,3.069
WL0104,manager,procedural_bureaucratic,5.094,4.074,4.812,3.929,4.243,3.026,2.061,3.096,4.491,3.451,5.558,4.058,4.842,3.958,5.234
WL0105,manager,low_accountability_political,3.583,2.660,4.638,4.270,4.493,3.138,1.742,3.529,2.877,3.974,4.218,3.871,5.400,3.319,4.666
WL0106,manager,low_accountability_political,3.976,3.924,4.145,3.875,3.926,3.796,1.186,3.628,2.620,3.981,5.283,4.329,5.080,3.950,4.882
WL0107,manager,low_accountability_political,4.562,4.356,3.738,3.983,2.664,3.502,1.000,3.545,2.934,3.691,4.979,3.971,4.254,3.275,5.029
WL0108,manager,low_accountability_political,4.206,4.847,5.093,4.492,4.907,3.164,1.265,4.441,3.178,4.496,5.083,5.144,3.961,3.611,5.022
WL0109,manager,low_accountability_political,2.613,5.638,3.149,3.381,5.028,4.125,1.000,3.556,2.924,4.451,5.258,4.991,4.555,3.965,4.256
WL0110,manager,low_accountability_political,4.213,3.387,5.195,3.591,3.532,3.571,1.000,3.854,2.204,4.980,5.139,4.656,3.621,3.385,5.007
WL0111,manager,low_accountability_political,4.270,3.753,2.699,3.909,4.298,3.431,1.000,2.657,2.887,2.868,4.527,4.064,4.057,3.847,5.213
WL0112,manager,low_accountability_political,4.587,4.658,3.793,4.291,3.551,3.120,1.000,3.588,2.617,3.385,3.892,4.173,4.382,3.233,5.584
WL0113,manager,collaborative_learning,3.627,2.764,4.284,3.559,5.323,3.963,1.858,3.099,4.368,4.458,4.368,3.870,5.990,3.915,4.480
WL0114,manager,collaborative_learning,4.019,4.143,4.331,3.842,3.889,3.776,1.811,3.406,5.126,3.525,5.231,5.006,4.260,3.388,4.276
WL0115,manager,collaborative_learning,4.264,4.330,4.431,3.630,3.899,3.730,1.000,3.259,4.694,3.865,3.911,4.857,3.787,3.682,4.665
WL0116,manager,collaborative_learning,5.712,3.689,5.056,3.239,3.031,3.799,1.472,3.529,4.270,4.338,5.787,5.397,3.779,3.372,4.426
WL0117,manager,collaborative_learning,4.314,4.511,4.635,4.105,5.150,3.423,1.863,3.424,4.343,3.830,5.176,4.539,4.924,3.417,5.758
WL0118,manager,collaborative_learning,3.338,3.978,4.524,3.452,4.471,4.090,1.555,3.952,4.835,3.323,4.970,5.250,4.777,4.126,3.796
WL0119,manager,collaborative_learning,4.632,4.320,4.429,2.172,4.864,5.536,1.000,4.121,4.512,4.229,5.471,6.295,4.580,4.362,3.924
WL0120,manager,collaborative_learning,3.357,4.425,4.971,3.380,4.375,3.931,2.168,3.422,4.586,3.968,4.795,4.946,3.920,4.730,4.525
WL0121,executive,stewardship_culture,4.109,3.413,4.664,3.511,5.312,3.968,1.000,4.071,5.225,4.541,4.523,5.099,4.655,3.419,3.946
WL0122,executive,stewardship_culture,3.965,3.218,4.439,3.823,3.894,3.925,1.083,3.743,4.667,3.709,5.110,4.496,4.820,3.734,4.427
WL0123,executive,stewardship_culture,4.034,4.462,5.877,3.278,3.745,3.783,1.463,3.927,5.310,4.482,5.918,4.685,3.871,4.592,4.530
WL0124,executive,stewardship_culture,3.247,3.902,5.549,3.399,4.701,3.825,1.319,5.063,5.220,4.637,5.063,3.579,4.686,4.989,4.216
WL0125,executive,stewardship_culture,4.289,5.234,4.881,3.508,2.738,3.961,1.404,3.847,4.940,3.758,5.843,5.491,3.868,4.120,4.297
WL0126,executive,stewardship_culture,4.993,3.144,4.207,3.985,4.086,3.562,1.361,3.591,4.677,3.344,4.972,4.819,4.693,3.194,4.965
WL0127,executive,stewardship_culture,4.703,5.015,4.955,1.885,4.370,5.146,1.000,4.225,5.341,3.913,4.453,5.598,2.618,4.854,2.745
WL0128,executive,stewardship_culture,3.471,4.051,3.258,4.892,4.095,2.201,1.036,3.404,5.362,3.282,5.711,3.961,4.990,4.444,4.490
WL0129,executive,high_growth_competitive,4.151,4.458,3.832,2.560,4.055,4.751,1.000,3.975,3.731,3.161,4.377,4.966,3.440,4.115,3.703
WL0130,executive,high_growth_competitive,2.747,4.660,4.566,4.017,3.779,3.447,1.000,3.568,3.536,3.781,3.712,3.770,3.315,3.376,5.072
WL0131,executive,high_growth_competitive,4.649,3.607,4.670,4.178,5.303,3.257,1.000,4.484,3.448,4.551,6.266,4.917,4.661,3.196,5.144
WL0132,executive,high_growth_competitive,3.730,4.539,3.526,2.636,4.094,4.336,1.055,2.949,2.896,3.438,4.524,4.274,4.609,4.444,2.689
WL0133,executive,high_growth_competitive,4.108,3.656,3.894,4.807,4.432,2.778,1.000,2.864,3.397,3.560,4.755,3.785,4.192,3.345,5.917
WL0134,executive,high_growth_competitive,4.887,4.507,4.323,4.051,4.126,3.330,1.691,3.005,2.624,4.087,5.600,4.415,5.396,3.410,4.788
WL0135,executive,high_growth_competitive,3.919,4.971,4.561,3.170,3.503,4.358,1.287,2.655,3.508,3.696,4.843,5.267,3.191,4.751,6.048
WL0136,executive,high_growth_competitive,4.588,5.145,4.851,2.680,5.410,4.472,1.000,3.842,3.689,3.989,5.245,5.617,4.100,3.719,4.763
WL0137,executive,procedural_bureaucratic,4.569,5.166,4.791,3.723,5.063,3.660,1.895,3.736,4.939,3.387,5.579,5.298,3.977,4.262,3.716
WL0138,executive,procedural_bureaucratic,3.693,3.739,3.917,3.595,5.643,3.959,1.000,4.913,4.489,3.402,4.552,5.029,4.117,3.566,3.788
WL0139,executive,procedural_bureaucratic,3.900,4.553,3.531,4.944,3.563,2.217,1.000,3.028,5.196,2.873,4.933,3.962,4.496,3.285,5.565
WL0140,executive,procedural_bureaucratic,2.488,4.138,4.754,4.908,3.016,2.505,1.000,3.963,5.353,3.162,4.209,5.085,4.753,4.101,4.835
WL0141,executive,procedural_bureaucratic,3.905,4.245,3.428,3.408,4.748,4.251,2.155,4.177,4.734,3.884,4.825,5.069,4.077,3.265,4.545
WL0142,executive,procedural_bureaucratic,4.408,3.908,3.062,3.074,3.549,4.512,1.841,3.383,4.288,3.365,4.653,4.425,4.455,3.369,5.264
WL0143,executive,procedural_bureaucratic,3.516,4.741,3.651,2.559,5.152,4.791,1.000,3.195,4.861,4.641,5.220,5.064,3.703,3.908,4.403
WL0144,executive,procedural_bureaucratic,4.048,2.911,5.466,4.884,3.853,2.126,1.954,3.896,5.227,2.748,4.416,3.545,5.149,2.801,5.759
WL0145,executive,low_accountability_political,2.605,4.240,4.847,2.546,4.095,4.811,1.000,3.624,2.712,4.616,5.891,4.999,4.296,4.344,4.346
WL0146,executive,low_accountability_political,4.404,3.352,3.510,2.186,3.694,5.216,1.663,4.005,2.658,3.968,5.152,3.725,5.233,3.270,4.405
WL0147,executive,low_accountability_political,2.854,4.118,4.129,4.052,3.920,3.063,1.000,3.037,2.837,3.639,5.032,3.375,4.654,3.251,5.357
WL0148,executive,low_accountability_political,2.917,4.198,5.051,2.680,4.796,4.801,1.286,4.152,2.803,5.646,4.116,4.900,4.327,3.743,4.275
WL0149,executive,low_accountability_political,3.812,5.070,3.789,3.423,1.902,3.860,1.793,3.537,2.361,3.518,3.952,4.154,4.682,4.419,4.771
WL0150,executive,low_accountability_political,5.265,3.873,3.331,4.014,5.372,3.871,1.306,3.931,2.789,3.719,6.042,3.658,4.898,4.146,6.253
WL0151,executive,low_accountability_political,4.431,3.589,3.706,3.448,4.230,3.747,2.484,3.576,2.893,4.186,5.173,3.676,5.192,3.117,4.772
WL0152,executive,low_accountability_political,3.335,3.433,2.565,2.915,3.604,4.587,1.163,2.420,3.238,3.522,4.573,3.383,4.373,3.143,6.080
WL0153,executive,collaborative_learning,3.662,3.141,3.037,3.997,4.569,2.942,2.979,3.242,4.146,3.431,4.333,3.826,6.237,2.612,5.175
WL0154,executive,collaborative_learning,3.322,5.557,2.268,3.953,5.550,3.381,1.000,3.814,4.863,3.682,5.259,4.188,3.712,4.411,4.612
WL0155,executive,collaborative_learning,3.954,5.527,3.262,4.269,3.709,3.145,1.000,3.068,4.021,2.845,4.835,4.165,4.906,3.794,5.300
WL0156,executive,collaborative_learning,4.659,4.813,4.061,4.147,4.567,3.072,1.000,4.368,4.343,5.154,4.219,5.258,4.256,4.385,5.182
WL0157,executive,collaborative_learning,4.675,3.955,5.615,3.473,5.051,3.846,1.000,3.792,4.262,4.060,5.234,4.741,3.923,3.465,4.523
WL0158,executive,collaborative_learning,4.130,3.129,4.073,4.337,4.724,3.145,1.009,3.703,4.338,4.090,5.187,4.327,5.377,3.676,4.692
WL0159,executive,collaborative_learning,3.876,4.753,4.949,4.423,4.452,3.288,1.072,4.077,3.809,4.066,6.128,4.435,4.971,3.978,5.150
WL0160,executive,collaborative_learning,3.105,4.030,3.379,4.162,4.780,3.382,1.301,3.555,3.909,3.853,3.973,4.228,3.879,3.866,5.612
WL0161,technical_specialist,stewardship_culture,5.162,3.997,5.315,3.849,4.289,3.653,1.774,4.772,5.537,5.466,5.058,4.609,4.315,3.748,4.359
WL0162,technical_specialist,stewardship_culture,3.153,4.949,3.179,2.942,3.499,4.233,1.000,3.307,5.162,3.463,4.271,5.144,3.254,4.279,4.233
WL0163,technical_specialist,stewardship_culture,3.408,4.479,4.809,2.965,6.371,4.582,1.000,4.872,4.847,4.749,5.338,5.176,4.043,4.160,3.965
WL0164,technical_specialist,stewardship_culture,3.462,5.234,3.820,4.171,5.093,3.146,1.168,2.914,4.896,3.035,4.114,4.432,4.422,3.096,3.919
WL0165,technical_specialist,stewardship_culture,4.343,4.092,4.741,2.620,2.640,4.770,1.000,4.037,5.555,3.125,4.144,5.729,4.342,4.380,3.643
WL0166,technical_specialist,stewardship_culture,4.140,3.951,4.831,4.088,5.449,3.555,1.187,4.016,5.353,4.180,4.670,4.856,4.536,4.137,4.767
WL0167,technical_specialist,stewardship_culture,4.332,3.838,5.592,3.973,3.626,3.407,2.786,3.330,5.006,4.315,4.133,3.870,4.682,4.053,4.937
WL0168,technical_specialist,stewardship_culture,4.012,3.623,4.567,3.765,5.531,3.992,1.437,4.216,4.926,4.621,4.074,5.276,4.466,4.371,3.721
WL0169,technical_specialist,high_growth_competitive,4.634,4.004,4.818,3.624,4.065,3.529,1.000,4.040,3.863,4.710,4.713,4.806,4.092,3.812,4.307
WL0170,technical_specialist,high_growth_competitive,4.909,4.558,4.446,3.113,4.639,4.679,1.112,3.190,4.125,3.628,5.720,4.571,3.569,3.404,4.025
WL0171,technical_specialist,high_growth_competitive,4.611,3.601,5.046,3.577,5.025,3.695,1.578,4.191,3.437,4.094,4.866,4.572,4.736,3.416,5.071
WL0172,technical_specialist,high_growth_competitive,4.059,3.368,4.852,4.430,5.161,2.709,1.000,3.753,3.285,3.511,4.317,4.077,3.815,3.600,5.278
WL0173,technical_specialist,high_growth_competitive,4.218,4.980,3.910,3.761,4.430,3.655,1.000,3.880,3.839,3.446,3.609,4.284,3.955,3.964,5.000
WL0174,technical_specialist,high_growth_competitive,5.105,3.226,3.971,4.589,4.128,3.022,1.621,3.950,3.307,3.765,4.826,4.556,5.361,3.426,3.973
WL0175,technical_specialist,high_growth_competitive,3.830,4.418,4.522,2.587,5.061,4.792,1.402,3.950,3.681,4.073,4.703,4.873,4.685,3.619,3.826
