person_id,assessment_context,latent_ei,latent_sn,latent_tf,latent_jp,observed_ei,observed_sn,observed_tf,observed_jp,retest_ei,retest_sn,retest_tf,retest_jp,ei_letter,sn_letter,tf_letter,jp_letter,type_code,retest_type_code,type_changed_on_retest,min_absolute_distance_to_boundary,near_boundary,continuous_signal_strength,boundary_risk_score,information_loss_index,collaboration_score,reflective_utility_score
MBTI00024,workplace_team_reflection_context,0.1148,0.2639,-1.0263,0.0391,0.6049,0.2423,-0.7396,-0.1437,0.0381,0.1288,-1.0892,-0.0836,E,S,F,P,ESFP,ESFP,0,0.1437,1,0.4326,4.4696,2.0307,46.7597,58.2358
MBTI00025,workplace_team_reflection_context,1.4256,1.9197,-0.9527,-1.7413,1.0935,0.9994,0.0460,-2.0968,1.4196,1.2686,-1.5076,-1.8143,E,S,T,P,ESTP,ESFP,1,0.0460,1,1.0589,7.9334,1.5443,44.2291,51.5588
MBTI00026,workplace_team_reflection_context,0.6958,0.8456,-1.2059,-1.0540,0.3900,1.1201,-0.9514,-0.8083,0.4688,0.7948,-0.7901,-0.7487,E,S,F,P,ESFP,ESFP,0,0.3900,0,0.8174,2.1277,0.9829,53.8444,44.6910
MBTI00027,workplace_team_reflection_context,-0.2494,0.6717,-0.7661,-0.0204,-0.4793,0.3575,-0.7069,0.4741,-0.3565,0.0320,-0.9927,0.3703,I,S,F,J,ISFJ,ISFJ,0,0.3575,0,0.5045,2.2856,1.4195,42.6903,51.6738
MBTI00028,workplace_team_reflection_context,0.7227,1.2748,-0.7330,0.3805,0.3049,1.4367,-0.6309,1.0590,0.8301,1.4969,-0.3613,0.9343,E,S,F,J,ESFJ,ESFJ,0,0.3049,0,0.8579,2.5978,0.9453,54.5550,42.2276
MBTI00029,workplace_team_reflection_context,0.6882,-1.4065,0.6860,-0.5111,0.8500,-1.4003,0.4977,-0.1329,0.8240,-1.4626,0.7943,-0.4911,E,N,T,P,ENTP,ENTP,0,0.1329,1,0.7202,4.6975,1.5367,52.1021,51.0124
MBTI00030,workplace_team_reflection_context,1.5979,-0.9170,0.8192,-0.7652,1.8913,-1.0681,0.7453,-0.9948,1.5838,-0.8370,1.6612,-0.5197,E,N,T,P,ENTP,ENTP,0,0.7453,0,1.1749,1.2117,0.7273,42.3582,53.2108
MBTI00031,workplace_team_reflection_context,1.3825,-0.3808,0.5917,-0.8061,1.3827,-0.7070,0.0845,-1.1949,1.7257,-0.1095,0.5072,-0.8918,E,N,T,P,ENTP,ENTP,0,0.0845,1,0.8423,6.0775,1.4095,53.7144,52.2138
MBTI00032,workplace_team_reflection_context,0.7318,-1.4618,0.1124,-1.0204,0.7577,-1.7684,0.5087,-0.7241,1.3710,-1.5353,-0.6257,-1.2145,E,N,T,P,ENTP,ENFP,1,0.5087,0,0.9397,1.6986,1.1774,54.6578,49.7168
MBTI00033,workplace_team_reflection_context,1.6692,-0.3602,0.5958,-1.3867,1.4942,-0.3760,1.2044,-2.0642,1.6165,-0.7185,0.1170,-1.4246,E,N,T,P,ENTP,ENTP,0,0.3760,0,1.2847,2.1931,0.6735,58.1183,53.0843
MBTI00034,workplace_team_reflection_context,0.8311,-1.1432,0.0246,-1.3667,1.0882,-1.0694,-0.5047,-2.1525,0.7425,-0.7943,-0.0122,-1.5480,E,N,F,P,ENFP,ENFP,0,0.5047,0,1.2037,1.7101,0.7124,41.6567,51.8174
MBTI00035,workplace_team_reflection_context,0.3805,-0.5980,1.3498,-0.0656,1.0825,-0.3021,1.5879,0.2152,0.9950,-0.7584,2.2095,0.5623,E,N,T,J,ENTJ,ENTJ,0,0.2152,0,0.7969,3.3873,1.0031,56.0945,56.5640
MBTI00036,workplace_team_reflection_context,1.4796,-1.6708,0.9395,-1.2061,1.5734,-1.3850,0.6807,-1.6582,1.0281,-1.0959,0.8596,-1.0735,E,N,T,P,ENTP,ENTP,0,0.6807,0,1.3243,1.3146,0.6560,53.2874,59.7006
MBTI00037,workplace_team_reflection_context,0.9488,-1.2394,0.8740,-1.2913,0.7607,-1.3739,0.7604,-1.0696,1.2777,-1.1437,0.2909,-1.5695,E,N,T,P,ENTP,ENTP,0,0.7604,0,0.9912,1.1898,0.8395,46.4323,54.5176
MBTI00038,workplace_team_reflection_context,0.5567,-1.2063,1.2299,-1.1492,1.1056,-1.3057,1.2044,-1.1067,-0.1479,-1.8301,1.2542,-1.1044,E,N,T,P,ENTP,INTP,1,1.1056,0,1.1806,0.8434,1.0243,47.1616,52.8933
MBTI00039,workplace_team_reflection_context,1.1470,-1.0574,0.9847,-0.1170,1.2816,-0.9485,1.3905,-0.6710,1.3912,-1.2236,0.9517,-0.5115,E,N,T,P,ENTP,ENTP,0,0.6710,0,1.0729,1.3315,0.7856,55.7439,46.7548
MBTI00040,workplace_team_reflection_context,0.8059,-0.4671,2.4540,0.5833,1.8588,-0.4975,1.9813,0.5873,1.0216,-0.4166,1.9494,0.2768,E,N,T,J,ENTJ,ENTJ,0,0.4975,0,1.2313,1.7315,0.6987,52.7813,54.3393
MBTI00041,workplace_team_reflection_context,0.4458,-1.3074,0.3782,-0.9572,0.1010,-1.5715,0.5179,-0.5959,0.0939,-1.1419,0.8125,-0.9646,E,N,T,P,ENTP,ENTP,0,0.1010,1,0.6966,5.5246,1.5654,48.8300,49.1531
MBTI00042,workplace_team_reflection_context,1.6646,-0.7421,0.7895,-0.0966,1.7671,-0.9834,0.7868,-0.7892,1.8260,-1.1156,0.3843,0.3868,E,N,T,P,ENTP,ENTJ,1,0.7868,0,1.0816,1.1537,1.0803,53.3496,48.6695
MBTI00043,workplace_team_reflection_context,1.5102,-0.7249,-0.8293,1.0434,1.8600,-1.1311,-1.5738,1.0799,1.4538,-0.2350,-0.3344,0.9595,E,N,F,J,ENFJ,ENFJ,0,1.0799,0,1.4112,0.8621,0.6207,59.0251,50.3437
MBTI00044,workplace_team_reflection_context,0.3896,-0.2638,-0.4791,1.9511,-0.3556,-0.9678,0.0190,1.5350,0.7633,-0.4202,-0.6847,2.1937,I,N,T,J,INTJ,ENFJ,1,0.0190,1,0.7194,10.0000,1.8377,45.4794,58.5171
MBTI00045,workplace_team_reflection_context,0.4372,-1.2681,-1.0729,0.6418,1.3257,-2.0901,-0.5045,0.6128,0.5981,-1.8512,-0.6440,0.4883,E,N,F,J,ENFJ,ENFJ,0,0.5045,0,1.1333,1.7109,0.7500,49.7634,56.7097
MBTI00046,workplace_team_reflection_context,0.5832,-1.1067,-1.0430,0.1707,0.5845,-1.4859,-0.8481,-0.0223,0.8198,-1.7248,-1.2318,0.2278,E,N,F,P,ENFP,ENFJ,1,0.0223,1,0.7352,9.7783,1.8193,48.4563,52.4240
MBTI00047,workplace_team_reflection_context,0.5757,-0.8691,-1.5647,0.9252,0.9107,-0.6905,-1.0988,1.2142,0.6752,-0.6539,-2.2812,1.4375,E,N,F,J,ENFJ,ENFJ,0,0.6905,0,0.9785,1.2979,0.8485,63.5927,51.3338
MBTI00048,workplace_team_reflection_context,1.2671,-1.5900,-0.7855,1.4617,1.5262,-1.3758,-0.4993,1.7835,1.3198,-2.2620,-0.5896,1.9093,E,N,F,J,ENFJ,ENFJ,0,0.4993,0,1.2962,1.7261,0.6684,55.4558,51.8550
MBTI00049,workplace_team_reflection_context,0.5363,-0.9204,-1.3230,-0.0152,0.6599,-1.2621,-0.8271,0.7978,1.4459,-0.8707,-1.5567,0.1401,E,N,F,J,ENFJ,ENFJ,0,0.6599,0,0.8867,1.3516,0.9202,43.8245,43.5150
MBTI00050,workplace_team_reflection_context,0.6649,-0.2110,-0.9543,0.1866,0.2845,0.6320,-0.1558,0.0530,0.0817,-0.8328,-0.6411,-0.0489,E,S,F,J,ESFJ,ENFP,1,0.0530,1,0.2813,7.5184,2.8276,55.5180,54.3040
MBTI00051,workplace_team_reflection_context,1.5003,-1.5719,0.1471,-0.1938,1.5918,-1.7433,0.4909,-0.5352,1.0543,-1.4900,0.2708,-0.6138,E,N,T,P,ENTP,ENTP,0,0.4909,0,1.0903,1.7516,0.7750,44.8845,48.8261
MBTI00052,workplace_team_reflection_context,0.6769,-0.8225,-0.7986,0.0222,0.6342,-0.9256,-1.0431,0.6954,0.8683,-1.4757,-0.4954,-0.0786,E,N,F,J,ENFJ,ENFP,1,0.6342,0,0.8246,1.4001,1.2760,46.5138,48.2667
MBTI00053,workplace_team_reflection_context,0.1234,-1.6684,-1.6824,0.5089,-0.1490,-1.4898,-2.1666,0.8495,-0.0677,-0.7250,-1.3607,0.7436,I,N,F,J,INFJ,INFJ,0,0.1490,1,1.1637,4.3667,1.1833,46.1169,61.5150
MBTI00054,workplace_team_reflection_context,1.5954,-0.3331,-0.2157,0.4037,1.2650,-0.4588,-0.0233,0.1414,1.8245,-0.5955,0.1883,1.0238,E,N,F,J,ENFJ,ENTJ,1,0.0233,1,0.4721,9.6840,2.2379,41.6619,60.2697
MBTI00055,workplace_team_reflection_context,1.0182,-0.9181,-1.2574,1.4459,0.7311,-0.6772,-1.5562,2.0890,1.1012,-1.1407,-1.6538,1.1569,E,N,F,J,ENFJ,ENFJ,0,0.6772,0,1.2634,1.3206,0.6834,53.8119,52.1018
MBTI00056,workplace_team_reflection_context,1.2597,-0.2398,-0.2029,0.3278,1.4202,0.0211,0.1612,-0.1195,0.5836,-0.4430,0.6519,-0.2309,E,S,T,P,ESTP,ENTP,1,0.0211,1,0.4305,9.8950,2.3361,50.6046,52.7818
MBTI00057,workplace_team_reflection_context,-1.5177,1.4837,0.3546,0.5324,-0.8671,1.9800,0.7507,0.5343,-1.0124,1.0550,0.7526,0.4709,I,S,T,J,ISTJ,ISTJ,0,0.5343,0,1.0330,1.6279,0.8110,57.9674,49.0611
MBTI00058,workplace_team_reflection_context,-0.6630,0.9075,1.1575,0.6813,-0.7895,0.9310,0.2604,1.4183,-0.2113,1.5251,1.3271,0.8174,I,S,T,J,ISTJ,ISTJ,0,0.2604,0,0.8498,2.9374,0.9526,31.1971,50.3207
MBTI00059,workplace_team_reflection_context,-0.5947,0.6538,0.6341,0.3828,-0.4091,1.1787,0.2032,0.8104,-0.5789,0.3457,1.1163,0.9500,I,S,T,J,ISTJ,ISTJ,0,0.2032,0,0.6504,3.5312,1.1760,42.3339,54.6740
MBTI00060,workplace_team_reflection_context,-1.5929,0.0285,0.8772,0.7646,-1.3142,0.1245,1.1021,0.8212,-0.9033,0.5748,0.5448,1.1614,I,S,T,J,ISTJ,ISTJ,0,0.1245,1,0.8405,4.8895,1.4111,43.0592,56.5607
MBTI00061,workplace_team_reflection_context,-1.3354,0.7157,1.1455,1.0137,-1.7263,1.0914,1.1204,0.9358,-1.5046,0.9857,0.9495,0.9204,I,S,T,J,ISTJ,ISTJ,0,0.9358,0,1.2185,0.9845,0.7050,38.7456,67.6657
MBTI00062,workplace_team_reflection_context,-0.9020,0.6041,0.3705,1.1029,-1.0716,0.2392,0.3975,1.1615,-0.2732,0.0056,-0.0368,1.0191,I,S,T,J,ISTJ,ISFJ,1,0.2392,0,0.7174,3.1327,1.3900,46.6071,50.0645
MBTI00063,workplace_team_reflection_context,-0.7493,1.6133,0.5890,1.1209,-0.7383,2.2771,0.3374,1.6419,-0.8031,1.4913,0.2225,0.8768,I,S,T,J,ISTJ,ISTJ,0,0.3374,0,1.2487,2.3959,0.6903,54.3030,57.2801
MBTI00064,workplace_team_reflection_context,-1.5368,1.6564,0.6917,1.3600,-1.9562,2.2532,0.2790,1.6701,-0.9898,1.5754,0.4709,1.6948,I,S,T,J,ISTJ,ISTJ,0,0.2790,0,1.5396,2.7857,0.5748,45.8051,48.6617
MBTI00065,workplace_team_reflection_context,-1.4135,0.3357,0.0357,-0.2420,-1.8921,0.6664,0.3955,-0.2378,-1.0871,0.9406,0.1495,-0.3101,I,S,T,P,ISTP,ISTP,0,0.2378,0,0.7980,3.1463,1.0020,45.1565,53.3349
MBTI00066,workplace_team_reflection_context,-1.7183,0.3885,0.0733,1.4486,-1.3157,0.9946,-0.7608,1.7745,-1.8206,-0.6303,0.3307,1.4966,I,S,F,J,ISFJ,INTJ,1,0.7608,0,1.2114,1.1894,1.0085,51.1848,42.9245
MBTI00067,workplace_team_reflection_context,-0.7498,0.9658,0.3459,0.4348,-0.4592,0.7068,0.2162,0.2976,-0.7522,0.6611,0.3768,-0.0154,I,S,T,J,ISTJ,ISTP,1,0.2162,0,0.4200,3.3760,1.9130,44.0489,44.4949
MBTI00068,workplace_team_reflection_context,-0.8178,1.2069,0.8675,0.2152,-0.3632,1.2485,0.4893,0.1656,-0.8152,0.7841,-0.0112,0.0307,I,S,T,J,ISTJ,ISFJ,1,0.1656,1,0.5666,4.0722,2.0544,47.2756,56.4910
MBTI00069,workplace_team_reflection_context,-0.8965,1.1932,0.1527,0.3548,-1.0774,1.2744,-0.5520,0.2757,-0.7373,1.1359,0.0175,0.3525,I,S,F,J,ISFJ,ISTJ,1,0.2757,0,0.7949,2.8110,1.3052,43.7230,55.8316
MBTI00070,workplace_team_reflection_context,-0.7252,1.5747,-0.0515,0.4305,-0.8071,1.7468,-0.4520,0.7288,-1.5139,0.8106,-0.3531,0.6593,I,S,F,J,ISFJ,ISFJ,0,0.4520,0,0.9337,1.8796,0.8821,46.9193,52.0140
MBTI00071,workplace_team_reflection_context,-0.1994,-0.0778,-0.7747,-1.0665,0.0942,-0.3908,-0.9455,-0.5885,-0.3365,-0.3945,-1.0304,-1.8203,E,N,F,P,ENFP,INFP,1,0.0942,1,0.5047,5.7406,2.1690,46.9304,43.6579
MBTI00072,workplace_team_reflection_context,0.2432,0.9996,-1.3949,-1.2827,-0.4847,1.1405,-1.8496,-1.1756,0.4515,1.1366,-0.9572,-1.6358,I,S,F,P,ISFP,ESFP,1,0.4847,0,1.1626,1.7709,1.0339,51.5608,50.8244
MBTI00073,workplace_team_reflection_context,-1.4636,-0.3975,-0.0451,-1.8500,-1.2101,-0.0557,0.2655,-2.3484,-1.9624,-0.1652,-0.2550,-1.5566,I,N,T,P,INTP,INFP,1,0.0557,1,0.9699,7.3714,1.6048,40.0994,49.0753
MBTI00074,workplace_team_reflection_context,0.1534,0.6615,-1.4278,-0.8100,0.5206,0.6988,-1.5509,-0.7599,0.1827,0.7927,-0.9008,-1.0880,E,S,F,P,ESFP,ESFP,0,0.5206,0,0.8826,1.6649,0.9237,47.6747,49.1155
MBTI00075,workplace_team_reflection_context,-0.9636,0.9020,-1.2360,-0.5068,-0.7910,1.1520,-1.1417,-0.0936,-0.6684,0.4450,-1.3276,-0.7756,I,S,F,P,ISFP,ISFP,0,0.0936,1,0.7946,5.7610,1.4554,50.3226,58.1470
MBTI00076,workplace_team_reflection_context,-0.7052,0.7767,-0.1209,-0.8873,-0.8745,1.0788,0.1047,-0.8955,-0.9122,1.2262,0.7241,-2.1373,I,S,T,P,ISTP,ISTP,0,0.1047,1,0.7384,5.4130,1.5157,49.4735,53.4106
MBTI00077,workplace_team_reflection_context,-1.1703,0.2055,-0.7234,0.0967,-1.8703,0.4198,-0.4263,-0.4028,-2.2307,0.5346,-1.2305,0.6929,I,S,F,P,ISFP,ISFJ,1,0.4028,0,0.7798,2.0714,1.3206,43.4156,51.3866
MBTI00078,workplace_team_reflection_context,-0.5468,0.7936,-0.5596,0.3556,-0.3114,1.4864,0.2099,1.0709,-0.8273,0.2673,-0.7517,-0.1985,I,S,T,J,ISTJ,ISFP,1,0.2099,0,0.7697,3.4489,1.3313,50.0153,51.2582
MBTI00079,workplace_team_reflection_context,-0.2031,0.6944,-0.0302,-0.4695,-0.7456,0.4626,-0.5154,-0.1131,0.9493,1.1516,0.1119,-0.5501,I,S,F,P,ISFP,ESTP,1,0.1131,1,0.4591,5.1792,2.2671,46.1134,49.9223
MBTI00080,workplace_team_reflection_context,-1.1583,0.5176,-0.9820,-0.8558,-1.3486,0.8697,-0.8787,-1.2721,-0.9254,0.5048,-0.2021,-0.9511,I,S,F,P,ISFP,ISFP,0,0.8697,0,1.0923,1.0530,0.7738,42.5962,50.5996
MBTI00081,workplace_team_reflection_context,-1.2718,1.0123,-0.4666,-0.9955,-1.4517,1.1855,-0.2888,-0.7114,-1.7347,0.6065,-0.5060,-1.2196,I,S,F,P,ISFP,ISFP,0,0.2888,0,0.9094,2.7113,0.9014,53.6771,51.9267
MBTI00082,workplace_team_reflection_context,-0.7225,0.4436,-0.9144,-0.8692,-0.6770,0.1298,-1.7182,-1.1526,-0.6801,0.0917,-1.1842,-0.6683,I,S,F,P,ISFP,ISFP,0,0.1298,1,0.9194,4.7670,1.3433,48.7334,54.6960
MBTI00083,workplace_team_reflection_context,-1.9572,0.7441,0.1371,-0.6658,-2.2711,0.7869,0.3554,-0.4512,-2.0600,0.3448,0.4787,-0.8925,I,S,T,P,ISTP,ISTP,0,0.3554,0,0.9661,2.2968,0.8575,43.1141,47.6012
MBTI00084,workplace_team_reflection_context,-1.3385,1.0029,-1.8920,-0.1622,-1.1595,1.3373,-1.7508,-0.4099,-1.4392,0.5426,-1.7734,0.0535,I,S,F,P,ISFP,ISFJ,1,0.4099,0,1.1644,2.0411,1.0329,57.5851,58.4381
MBTI00085,workplace_team_reflection_context,-0.4251,-0.9833,0.7544,0.3441,-0.6448,-0.6713,1.1332,0.8522,-0.7926,-0.9626,-0.1885,0.4184,I,N,T,J,INTJ,INFJ,1,0.6448,0,0.8254,1.3796,1.2753,45.5908,60.2946
MBTI00086,workplace_team_reflection_context,-0.4722,-1.7605,1.6945,-0.8932,0.1498,-2.0128,1.7809,-1.3330,-0.0932,-2.4158,1.6287,-1.4067,E,N,T,P,ENTP,INTP,1,0.1498,1,1.3191,4.3514,1.4083,48.2658,55.7187
MBTI00087,workplace_team_reflection_context,-0.5911,0.1664,0.5964,-0.8486,-0.7532,-0.1090,0.1063,-0.8694,-1.2092,-0.3192,0.1408,-0.6618,I,N,T,P,INTP,INTP,0,0.1063,1,0.4595,5.3690,1.9663,43.7697,62.5989
MBTI00088,workplace_team_reflection_context,-0.9001,-1.4231,0.1895,-0.7573,-0.5732,-1.7004,-0.0354,-1.0751,-0.2338,-1.8093,-0.1441,-0.9575,I,N,F,P,INFP,INFP,0,0.0354,1,0.8460,8.6645,1.4060,41.0916,49.6951
MBTI00089,workplace_team_reflection_context,0.0862,0.1211,-0.7565,0.2381,0.1521,-0.0396,-1.1992,-0.0068,0.3306,0.2612,-0.7974,-0.0247,E,N,F,P,ENFP,ESFP,1,0.0068,1,0.3494,10.0000,2.5701,52.4469,44.7963
MBTI00090,workplace_team_reflection_context,-1.0746,-0.4690,1.6818,-0.3854,-1.5168,-1.2330,1.3636,-0.9829,-1.4162,-0.9241,1.7416,0.0307,I,N,T,P,INTP,INTJ,1,0.9829,0,1.2741,0.9408,0.9784,42.3251,49.7479
MBTI00091,workplace_team_reflection_context,-0.7428,-0.6118,1.1172,-1.1377,-1.3863,-0.5819,0.8908,-1.5203,-0.4991,-0.2135,1.0682,-0.2884,I,N,T,P,INTP,INTP,0,0.5819,0,1.0948,1.5107,0.7723,42.3428,55.1154
MBTI00092,workplace_team_reflection_context,-0.9533,-0.9680,1.1222,-0.8700,-1.3797,-1.2865,0.8413,-1.1605,-0.7772,-0.8311,1.4423,-0.4815,I,N,T,P,INTP,INTP,0,0.8413,0,1.1670,1.0854,0.7315,38.4457,42.6460
MBTI00093,workplace_team_reflection_context,-1.9432,-1.4235,1.0285,-1.0132,-2.2747,-1.9017,1.3136,-1.1513,-1.8439,-1.9992,1.4805,-1.7092,I,N,T,P,INTP,INTP,0,1.1513,0,1.6603,0.8122,0.5375,37.8120,57.9003
MBTI00094,workplace_team_reflection_context,-0.6408,-0.5616,1.3882,-0.7277,-0.3986,-0.2154,1.1008,-1.2027,0.4731,-0.4888,0.7410,-1.1791,I,N,T,P,INTP,ENTP,1,0.2154,0,0.7294,3.3848,1.3760,45.6008,56.9792
MBTI00095,workplace_team_reflection_context,-1.5504,-0.1721,0.8050,-0.8140,-1.7947,-0.1026,0.7273,-1.0281,-1.3815,-0.7554,1.0661,-0.5804,I,N,T,P,INTP,INTP,0,0.1026,1,0.9132,5.4753,1.3483,39.0197,48.2656
MBTI00096,workplace_team_reflection_context,-0.5712,-1.3079,1.5122,-1.7041,-0.5211,-0.9924,1.3889,-1.7993,-0.8991,-1.4426,1.8986,-1.3711,I,N,T,P,INTP,INTP,0,0.5211,0,1.1754,1.6636,0.7271,42.2652,51.5088
MBTI00097,workplace_team_reflection_context,-0.3272,-1.4629,1.0162,-0.9679,-0.7882,-2.4410,1.2141,-1.0062,-0.4657,-1.9870,0.9549,-1.0396,I,N,T,P,INTP,INTP,0,0.7882,0,1.3624,1.1518,0.6401,38.7720,56.5678
MBTI00098,workplace_team_reflection_context,-0.3745,-0.1345,0.6708,-1.5487,-0.2652,0.2582,1.1218,-0.9293,-0.7942,0.0760,0.7065,-1.8887,I,S,T,P,ISTP,ISTP,0,0.2582,0,0.6436,2.9570,1.1854,49.6532,49.5566
MBTI00099,workplace_team_reflection_context,-0.6556,-0.1091,-1.3723,0.3217,-0.3513,-0.0455,-0.9351,0.5057,-0.4147,-0.3426,-1.4942,0.8199,I,N,F,J,INFJ,INFJ,0,0.0455,1,0.4594,7.9664,1.9666,50.7711,55.9939
