respondent_id,extraversion_score,agreeableness_score,conscientiousness_score,neuroticism_score,openness_score,sociability_score,assertiveness_score,compassion_score,politeness_score,orderliness_score,industriousness_score,anxiety_score,volatility_score,aesthetics_score,intellect_score,outcome_score,broad_life_functioning,relationship_functioning,creative_engagement,emotional_distress,facet_profile_dispersion,hierarchy_consistency_index,bandwidth_fidelity_gap,domain_facet_alignment
FFM00039,4.523,5.782,3.646,5.104,4.192,4.609,4.140,5.619,4.891,4.205,4.294,5.235,4.686,3.315,3.573,3.325,3.954,5.226,5.121,5.550,0.419,6.198,1.640,6.411
FFM00040,3.253,3.713,4.222,3.118,3.516,3.371,3.587,3.185,3.288,4.350,4.550,3.284,2.952,3.513,3.568,4.455,4.032,3.532,5.576,2.918,0.181,5.970,1.946,6.588
FFM00041,2.667,4.567,4.458,4.987,1.161,3.868,3.169,4.723,3.677,5.056,5.861,4.050,5.069,2.376,2.602,4.041,3.357,3.111,3.541,4.786,0.759,5.223,2.554,4.986
FFM00042,4.597,4.913,3.340,3.542,3.969,4.322,5.018,4.711,4.443,3.843,3.029,4.027,3.542,3.733,4.880,3.109,4.251,4.335,4.962,3.833,0.682,6.009,1.869,6.668
FFM00043,3.907,3.842,3.770,3.017,3.871,3.877,3.857,4.158,4.287,3.800,3.575,2.988,2.696,2.918,4.174,2.846,3.959,4.234,5.030,3.376,0.384,6.431,2.437,6.970
FFM00044,3.282,3.976,3.364,3.281,3.413,2.576,3.146,3.438,4.841,4.167,2.417,4.209,2.925,3.355,2.212,3.458,4.190,4.048,3.891,3.939,1.230,5.816,1.884,6.331
FFM00045,5.071,4.192,3.883,3.603,2.574,4.903,3.643,4.332,4.074,3.375,4.317,4.214,3.759,3.204,3.411,4.118,2.462,4.461,3.909,4.020,0.624,5.819,2.216,5.901
FFM00046,4.903,2.528,3.588,3.237,3.133,3.492,5.489,2.940,3.095,3.359,3.905,3.358,2.007,3.542,2.586,2.938,3.277,3.801,3.763,3.212,1.001,5.788,2.387,6.032
FFM00047,5.656,5.128,3.174,6.095,3.494,5.907,4.978,5.019,4.421,2.746,4.644,4.797,4.950,3.628,3.244,3.508,3.483,4.671,5.138,5.817,0.793,5.440,2.078,5.740
FFM00048,3.770,2.926,4.758,4.981,5.436,3.023,4.249,3.008,1.942,4.817,4.214,3.152,5.005,4.766,5.291,3.392,4.138,3.249,5.687,5.381,1.054,6.711,2.949,6.515
FFM00049,4.899,6.035,5.298,2.791,4.434,5.516,4.801,6.141,5.108,4.873,3.953,3.481,3.650,3.812,4.386,4.112,4.532,5.745,3.911,3.492,0.682,5.616,2.911,5.468
FFM00050,3.210,5.281,4.041,3.617,2.326,4.337,4.453,4.634,4.523,3.322,3.806,4.707,3.972,3.277,1.824,2.996,3.517,4.526,3.227,4.607,0.580,5.363,2.546,5.589
FFM00051,4.072,2.947,2.588,4.104,3.950,3.533,3.881,2.844,3.053,3.678,2.524,4.491,5.381,4.122,4.972,2.789,3.046,2.945,5.350,4.813,0.690,5.586,2.442,6.022
FFM00052,4.345,2.842,3.475,5.186,4.370,4.711,4.680,3.192,2.482,4.365,3.088,5.026,5.922,4.085,4.299,2.942,3.579,4.037,4.389,5.845,0.626,6.394,1.787,6.450
FFM00053,5.401,3.771,3.297,3.966,3.740,4.652,5.178,4.363,3.276,3.358,3.725,4.251,3.732,3.643,3.513,3.068,3.425,4.682,4.542,4.308,0.526,5.347,1.818,6.297
FFM00054,3.338,5.270,3.114,4.322,3.656,3.230,4.315,5.525,4.324,3.534,2.341,5.063,5.209,3.514,2.974,2.504,3.156,3.852,4.425,4.199,0.833,5.555,1.684,6.024
FFM00055,3.169,4.105,4.471,3.728,5.187,3.785,3.743,4.110,3.600,3.911,4.556,4.203,3.993,4.259,5.081,4.717,4.052,4.015,6.033,4.566,0.446,5.786,1.856,6.124
FFM00056,4.141,4.792,2.465,3.705,2.780,3.878,3.772,3.964,4.382,4.428,3.910,4.160,4.056,3.082,2.789,3.262,2.967,4.300,4.087,4.625,0.288,5.604,2.395,5.725
FFM00057,5.434,4.597,4.934,4.969,5.009,5.461,4.362,3.565,4.696,4.215,4.580,5.306,5.059,4.857,4.333,3.067,4.295,5.187,5.674,4.767,0.673,6.348,2.792,6.166
FFM00058,4.595,2.854,3.189,5.207,4.733,4.597,5.247,3.168,3.950,3.689,2.957,4.736,3.503,4.250,5.223,2.746,2.767,3.332,5.699,5.787,0.874,5.593,2.047,6.321
FFM00059,3.844,4.394,2.342,4.825,4.825,4.016,3.911,4.331,4.437,2.518,3.321,3.417,5.848,4.286,5.068,2.227,3.128,3.948,5.048,4.687,0.845,5.837,1.316,6.670
FFM00060,5.108,1.506,3.906,3.906,5.346,4.495,4.742,2.780,1.322,3.910,4.660,3.417,4.039,5.212,4.584,4.590,2.870,3.370,4.803,4.622,0.741,5.880,1.593,5.901
FFM00061,3.636,3.343,4.747,4.255,3.563,2.481,3.149,3.819,3.586,3.953,5.013,3.849,2.554,4.758,3.334,4.458,4.236,4.216,4.344,4.495,0.936,6.329,1.750,5.973
FFM00062,2.416,3.300,4.388,4.401,4.729,2.758,2.770,3.265,4.793,3.612,4.648,4.504,5.372,4.340,3.387,3.353,2.554,3.147,5.323,4.324,0.879,5.325,2.819,5.835
FFM00063,5.159,2.759,7.000,3.619,3.546,3.981,4.197,3.349,2.611,6.790,6.283,4.264,4.920,3.634,4.040,6.379,4.678,3.991,4.416,4.454,0.505,5.472,2.171,5.537
FFM00064,3.429,4.139,3.980,3.664,3.978,3.887,3.238,4.306,4.286,4.320,3.545,3.774,4.357,3.990,3.256,3.665,4.414,4.849,4.656,3.749,0.552,6.044,1.564,6.140
FFM00065,3.064,4.069,3.665,4.729,7.000,3.453,3.982,3.927,4.722,3.879,4.288,4.461,5.548,5.631,6.170,3.192,3.592,3.012,7.000,4.681,0.672,5.684,1.347,5.646
FFM00066,4.827,3.512,4.588,2.537,3.573,4.955,3.809,2.780,3.032,4.662,3.798,3.557,3.376,3.725,3.013,3.168,3.628,4.571,4.665,3.204,0.631,5.557,2.936,5.746
FFM00067,3.776,3.587,2.090,4.297,3.683,3.751,2.869,3.012,2.220,2.055,1.752,3.790,5.002,4.690,3.530,2.284,2.241,3.753,4.148,5.403,0.870,5.907,1.607,6.296
FFM00068,4.424,4.815,3.428,5.072,5.088,4.444,4.542,5.753,4.789,3.944,3.612,4.695,3.937,4.677,5.329,3.092,3.632,5.242,5.446,4.778,0.561,5.518,1.706,5.752
FFM00069,4.091,2.105,3.976,4.761,3.448,3.120,4.614,2.291,2.686,3.414,3.005,3.385,3.085,3.082,3.729,2.944,3.727,2.969,5.372,4.930,0.649,5.510,3.315,5.754
FFM00070,4.249,4.291,4.281,5.224,4.684,3.495,3.641,3.812,4.688,3.228,4.796,5.266,4.525,5.820,4.520,3.611,2.648,3.807,5.607,5.176,0.926,6.378,2.280,6.379
FFM00071,4.909,4.220,4.495,4.451,3.369,4.929,4.967,3.831,3.298,4.119,5.693,3.386,4.598,3.816,3.321,2.778,4.420,3.165,4.890,4.202,0.771,6.053,3.722,6.402
FFM00072,3.118,3.554,4.300,4.354,2.847,2.935,3.479,3.998,4.817,4.059,3.579,4.463,3.814,3.138,3.376,4.934,3.903,3.943,4.218,3.929,0.546,5.954,2.448,5.958
FFM00073,4.322,3.219,2.149,5.472,5.841,3.588,3.052,3.148,3.037,3.498,2.483,4.441,4.728,4.903,5.372,2.079,3.478,4.326,6.586,5.397,0.483,5.206,1.823,5.378
FFM00074,4.331,4.308,4.315,5.776,4.470,5.274,5.119,5.212,3.528,4.247,3.796,4.652,4.866,3.525,3.590,2.637,2.728,4.541,4.775,5.901,0.514,5.385,2.758,5.434
FFM00075,4.243,4.027,3.590,3.388,4.020,3.355,3.785,4.442,4.156,3.696,3.954,3.519,3.425,4.257,3.495,3.988,4.742,4.338,4.985,3.913,0.366,6.157,1.468,6.515
FFM00076,5.773,4.076,5.413,4.291,3.877,6.624,5.364,3.984,4.473,4.609,4.936,5.406,5.071,3.227,4.302,4.583,4.640,4.708,6.060,4.935,0.697,5.949,3.471,5.943
FFM00077,3.679,5.464,3.970,4.158,3.362,3.941,3.050,4.762,3.351,3.436,4.118,3.934,4.197,3.254,3.635,3.564,2.673,4.039,4.044,4.191,0.725,5.773,2.362,5.678
FFM00078,3.614,3.995,4.406,3.502,4.876,3.599,3.769,3.677,3.048,3.525,4.932,3.474,4.204,4.359,4.758,3.399,4.234,3.778,5.835,4.395,0.667,6.001,2.151,6.259
FFM00079,3.293,6.021,3.262,5.446,3.760,3.819,3.450,5.220,5.034,4.441,3.096,5.192,4.546,4.034,3.796,2.288,2.798,4.866,3.993,4.912,0.557,5.625,2.239,6.271
FFM00080,5.094,4.672,3.888,4.662,3.953,4.757,4.659,4.169,3.193,3.986,4.020,4.801,3.913,3.687,3.286,2.881,3.926,4.627,4.635,4.820,0.479,5.653,2.734,6.149
FFM00081,6.222,2.769,4.669,5.169,5.141,5.377,5.032,3.276,3.302,4.002,5.483,5.089,4.423,3.724,4.518,2.986,3.045,4.852,6.261,5.040,0.662,5.645,3.714,5.728
FFM00082,3.189,4.829,6.138,4.706,5.444,3.790,3.439,4.723,3.944,5.522,5.843,4.253,3.704,4.405,4.750,4.502,4.674,4.109,5.683,4.933,0.469,5.887,2.730,5.727
FFM00083,2.861,3.879,3.190,4.055,3.639,3.740,3.668,3.115,3.953,3.043,3.619,4.286,4.532,4.056,3.551,1.746,2.376,3.726,4.439,4.229,0.447,5.849,3.088,6.413
FFM00084,2.442,5.223,2.885,4.915,3.087,2.671,1.967,4.212,5.449,3.471,3.279,4.571,5.154,3.436,2.116,2.836,4.009,4.525,3.496,5.135,0.807,6.800,1.869,6.552
FFM00085,4.768,4.319,3.875,3.633,3.973,3.600,3.812,3.964,4.356,4.067,3.367,3.623,3.744,3.556,3.382,3.199,4.612,3.957,5.144,4.231,0.320,6.277,2.347,6.363
FFM00086,4.350,3.836,4.114,3.743,4.636,3.830,4.476,3.518,3.587,3.833,3.341,3.981,4.273,4.245,4.533,3.897,4.073,4.209,5.310,4.087,0.357,5.833,1.346,6.509
FFM00087,5.358,6.011,2.480,3.933,2.258,4.508,4.008,5.208,4.067,3.334,3.932,3.477,4.268,2.987,2.949,2.981,2.614,4.776,3.898,4.317,0.614,5.177,2.764,4.913
FFM00088,2.994,3.567,5.589,5.064,4.529,3.808,3.605,4.131,2.612,4.884,6.058,4.517,4.444,4.878,5.225,4.394,3.020,4.407,5.698,5.474,0.663,5.911,3.178,6.266
FFM00089,3.535,5.011,3.627,3.476,5.005,3.203,3.472,4.151,4.341,3.102,3.620,3.466,3.936,4.079,5.597,3.487,5.329,4.338,5.017,2.943,0.593,5.890,0.997,6.133
FFM00090,3.617,4.917,4.341,3.914,5.788,3.924,3.756,4.338,4.992,4.712,3.523,4.861,3.038,4.778,6.291,3.416,4.316,4.150,5.552,4.455,1.069,6.215,2.414,6.630
FFM00091,4.470,3.796,4.318,4.285,3.865,4.578,4.944,3.571,3.070,3.954,5.012,3.699,3.647,3.708,3.531,4.340,3.086,4.161,3.817,3.952,0.431,6.012,0.736,6.267
FFM00092,5.618,3.120,4.344,2.911,3.840,5.054,5.167,3.464,4.393,4.808,5.329,3.381,1.352,4.146,3.637,4.236,4.048,4.668,4.982,2.596,0.820,5.861,2.046,5.911
FFM00093,3.063,3.991,2.066,5.474,4.228,2.935,3.399,4.372,3.207,3.438,4.042,4.085,5.689,3.406,3.140,2.754,2.411,4.173,5.698,5.485,0.820,5.291,2.690,5.699
FFM00094,2.725,2.755,5.925,4.048,5.148,2.550,3.905,3.669,3.946,6.396,5.513,3.836,4.592,4.828,3.759,4.103,3.600,3.987,5.007,4.884,0.868,6.173,3.013,6.104
FFM00095,4.545,2.509,5.954,3.187,3.181,3.878,4.416,3.698,2.279,5.516,5.213,4.141,3.448,4.572,3.355,4.846,4.269,3.913,5.355,4.905,0.834,6.166,3.403,5.790
FFM00096,2.080,3.572,4.589,4.260,4.529,2.263,3.039,3.244,3.339,3.426,4.159,4.263,3.547,4.575,4.192,3.343,3.367,3.373,5.397,4.321,0.541,6.235,2.531,6.031
FFM00097,4.147,4.341,3.716,4.692,5.594,4.837,4.857,4.430,5.219,3.779,3.475,4.222,4.043,4.002,5.065,2.808,3.910,5.167,5.274,4.794,0.471,6.141,1.857,5.889
FFM00098,4.055,4.115,2.889,4.681,4.554,3.511,3.764,3.430,4.697,3.838,3.026,4.608,4.371,3.580,4.125,2.123,3.213,4.065,4.280,4.558,0.623,5.432,2.008,6.052
FFM00099,4.743,3.290,6.046,2.815,3.593,3.980,4.237,3.392,3.562,5.109,5.830,3.592,2.990,3.615,4.352,4.949,3.458,4.088,4.558,2.982,0.497,5.766,2.410,6.146
FFM00100,3.479,3.751,5.213,4.305,2.990,3.825,4.298,4.626,3.959,4.511,3.728,5.504,3.515,3.098,2.730,3.545,2.958,4.471,3.612,4.573,0.856,6.008,2.855,5.862
FFM00101,2.204,5.885,2.821,2.525,5.541,2.530,1.733,5.984,4.842,3.432,3.715,3.009,3.363,5.369,5.451,3.529,3.771,5.149,6.260,2.602,0.532,5.717,2.068,5.799
FFM00102,2.376,5.691,2.934,3.455,5.413,3.980,3.044,5.480,5.266,3.494,3.105,2.887,4.395,4.112,5.259,2.911,3.420,5.657,5.370,3.533,0.839,5.668,1.380,5.660
FFM00103,5.517,3.939,3.298,5.104,4.654,4.435,4.514,4.226,3.720,4.844,4.506,4.497,5.647,4.326,2.994,3.372,3.430,4.118,5.625,5.311,0.681,5.493,1.514,5.454
FFM00104,3.382,5.160,4.879,4.309,3.202,3.473,3.914,5.095,5.075,4.326,4.928,4.767,3.435,3.739,3.565,3.348,3.529,3.925,4.532,3.983,0.514,6.836,3.346,6.518
FFM00105,2.380,2.919,4.484,3.901,2.954,3.219,3.244,2.944,3.260,4.816,5.040,4.171,4.175,2.855,3.616,3.440,2.770,3.655,4.582,4.440,0.266,6.018,3.090,6.384
FFM00106,6.365,3.546,3.579,2.545,5.649,5.436,4.950,3.968,3.228,3.976,2.742,2.595,3.943,4.898,4.720,3.835,4.875,4.872,5.335,3.072,0.797,5.135,1.740,5.354
FFM00107,2.431,3.679,4.313,4.079,4.385,3.082,4.218,3.382,3.377,3.561,4.766,4.823,3.240,4.401,4.532,4.333,3.177,3.151,5.359,4.299,0.812,5.460,1.912,5.958
FFM00108,3.955,2.778,3.650,4.730,4.057,3.524,4.649,2.383,2.906,4.397,3.500,5.378,5.399,3.960,4.506,2.580,2.703,3.647,4.742,5.035,0.622,5.926,2.265,6.205
FFM00109,4.612,4.277,4.977,3.381,4.965,3.577,4.446,4.424,3.199,4.743,4.036,3.446,4.175,4.580,4.575,3.841,4.102,4.187,5.719,3.918,0.707,5.740,2.764,6.075
FFM00110,5.111,4.970,5.353,3.075,5.330,6.198,5.214,4.339,5.481,5.588,5.113,3.579,3.573,4.621,5.475,4.348,4.515,5.605,6.784,3.754,0.692,6.201,2.825,6.405
FFM00111,3.383,3.998,4.763,4.867,3.947,3.523,3.219,4.560,3.222,5.132,5.032,4.322,3.717,4.447,3.919,4.676,3.920,3.973,5.074,5.352,0.575,6.015,1.681,6.029
FFM00112,3.071,3.159,6.056,5.074,2.304,3.719,3.976,3.773,3.892,6.299,4.983,4.890,5.549,3.050,2.205,3.938,3.195,4.584,4.272,5.089,0.640,6.047,4.330,6.185
FFM00113,5.129,3.209,5.497,3.370,5.004,4.866,5.386,2.571,3.823,4.825,5.199,3.817,4.492,3.212,5.030,5.149,4.873,3.106,5.182,3.667,0.928,5.868,1.937,6.109
FFM00114,5.416,7.000,2.278,4.343,2.466,5.094,4.773,5.456,4.206,2.319,2.737,4.107,3.808,2.110,3.079,1.973,4.573,5.677,3.233,3.183,0.652,6.098,1.486,5.727
FFM00115,2.852,3.506,2.358,3.467,5.651,2.696,3.623,3.597,2.457,2.600,3.471,3.465,3.150,4.977,5.435,2.009,2.515,4.419,6.067,3.780,0.742,5.611,1.034,5.929
FFM00116,4.029,4.570,4.041,5.508,4.166,3.724,4.647,4.585,4.565,4.499,4.590,5.912,5.837,2.796,4.593,3.169,3.820,4.408,4.568,5.466,0.581,6.276,2.388,6.351
FFM00117,3.001,5.697,5.631,4.318,3.536,3.531,2.834,4.892,4.146,5.240,5.118,4.929,3.730,4.360,3.846,4.028,3.288,3.791,4.727,4.162,0.656,6.109,3.327,5.652
FFM00118,4.563,3.710,4.476,5.116,3.868,3.568,4.754,3.750,3.610,3.825,4.663,5.526,3.690,4.031,3.817,3.601,4.165,3.783,5.149,5.955,0.843,6.174,2.949,6.619
FFM00119,3.520,3.293,3.423,1.000,4.169,4.039,3.657,3.122,3.963,3.450,3.818,2.093,1.917,2.746,4.083,3.664,4.418,3.789,4.475,2.300,0.621,6.053,1.496,5.997
FFM00120,4.862,4.296,4.898,3.551,3.948,4.991,4.352,4.766,4.326,3.657,4.683,4.120,3.152,3.891,4.261,4.105,4.237,5.172,4.265,3.655,0.689,6.152,2.120,6.547
FFM00121,4.069,3.946,4.759,4.069,2.536,4.257,3.675,3.945,4.227,5.165,3.592,3.590,3.507,2.440,3.817,3.194,3.718,3.992,2.671,2.928,0.779,6.124,2.498,6.427
FFM00122,4.177,1.000,5.079,3.780,4.714,4.049,3.886,3.751,1.557,5.771,6.102,4.371,2.443,4.667,4.979,4.816,3.481,3.328,5.148,4.422,0.985,5.396,1.822,5.606
FFM00123,3.702,5.130,3.182,4.416,7.000,3.952,3.287,5.207,4.844,3.544,2.961,3.836,4.840,5.815,5.411,2.518,2.868,5.010,7.000,4.271,0.604,6.199,1.696,6.079
FFM00124,5.727,5.828,4.710,1.255,4.648,4.548,4.471,5.218,5.215,5.587,4.866,2.247,2.167,2.842,4.370,4.711,5.840,7.000,4.192,1.203,0.482,5.647,1.328,5.479
FFM00125,2.471,5.352,4.344,4.654,3.940,3.077,2.330,5.005,4.517,4.350,5.062,4.609,3.952,4.075,3.341,4.444,3.937,4.001,4.699,5.273,0.668,6.119,1.279,6.303
FFM00126,3.476,4.810,3.888,3.627,4.519,4.321,3.121,5.059,3.406,2.927,4.321,3.335,2.482,3.736,4.441,3.073,3.751,4.807,5.297,3.431,1.161,5.997,2.451,5.930
FFM00127,5.530,4.881,3.610,4.157,2.776,5.323,4.629,4.282,6.169,4.173,3.644,4.669,3.960,3.557,3.022,3.315,4.469,4.319,3.882,4.363,0.871,5.658,2.193,6.348
FFM00128,6.186,5.308,2.743,2.044,3.815,4.761,5.954,4.533,5.196,2.101,2.555,2.500,2.931,3.737,4.217,2.396,4.735,5.350,5.767,2.417,0.644,5.964,2.173,5.973
FFM00129,5.081,3.661,2.830,2.714,4.439,5.415,5.137,4.499,4.284,3.462,3.895,3.260,4.124,4.705,4.229,2.328,3.498,3.846,5.561,3.477,0.453,4.967,2.440,5.374
FFM00130,3.807,2.202,3.665,3.742,3.604,3.699,4.435,2.378,3.545,3.685,3.547,3.286,2.331,3.639,3.305,3.214,3.323,2.459,4.889,3.239,0.666,5.816,2.118,5.791
FFM00131,5.055,3.647,3.703,2.687,4.495,4.379,3.356,3.933,3.823,3.199,3.473,2.293,3.787,4.688,4.310,3.808,5.024,4.318,5.972,4.099,0.656,5.712,2.105,5.963
FFM00132,4.886,5.738,5.002,5.458,3.195,4.591,3.926,5.057,5.122,4.409,4.620,4.699,4.745,3.016,2.644,4.035,3.487,4.925,4.241,4.460,0.272,5.691,2.088,5.480
FFM00133,5.869,2.963,5.348,3.550,4.491,5.069,6.105,3.736,4.472,4.331,5.500,2.694,3.425,3.075,4.304,3.754,4.115,4.813,4.228,3.850,0.980,5.277,3.162,5.607
