participant_id,extraversion_score,agreeableness_score,conscientiousness_score,neuroticism_score,openness_score,conscientiousness_t1,conscientiousness_t2,behavior_score,trait_score,situation_strength,person_situation_interaction,characterology_typology_index,psychometric_structure_index,person_situation_index,narrative_identity_index,measurement_invariance_caution_index,historical_method_maturity_index
HIST00017,3.919,4.152,2.842,4.340,3.931,2.727,2.324,3.609,2.704,2.890,1.116,7.025,4.617,3.294,4.542,3.541,4.630
HIST00018,4.306,4.230,5.861,5.367,5.796,6.187,5.685,6.014,4.787,5.312,3.633,6.138,7.034,5.391,4.732,3.879,5.540
HIST00019,3.530,1.930,5.913,3.050,3.409,6.196,5.050,3.688,4.785,3.003,2.053,6.736,6.081,3.542,2.989,3.136,3.900
HIST00020,4.956,4.827,4.850,3.108,4.045,4.748,4.650,4.997,4.587,4.800,3.146,5.706,6.534,4.701,4.568,3.442,5.270
HIST00021,2.910,5.704,5.171,3.996,6.606,4.774,5.008,4.559,4.616,3.523,2.323,5.415,7.521,4.511,4.804,5.140,5.681
HIST00022,3.613,3.482,5.449,3.125,6.435,5.351,5.140,3.241,3.832,2.455,1.344,6.427,6.307,3.355,6.243,4.154,5.535
HIST00023,2.411,4.169,3.523,3.376,6.272,3.796,3.791,4.927,4.598,5.192,3.410,5.658,6.513,4.098,5.673,4.291,5.745
HIST00024,2.935,5.058,4.654,2.001,5.069,4.653,4.830,4.533,5.207,5.330,3.964,5.579,6.689,5.085,5.228,4.613,6.108
HIST00025,6.275,5.327,3.256,4.633,5.690,3.063,3.447,3.858,3.497,3.509,1.753,6.425,6.166,4.295,5.898,4.557,5.036
HIST00026,3.684,5.952,1.886,4.110,4.672,1.468,2.390,3.672,3.187,3.581,1.631,7.112,5.359,3.972,5.887,4.708,5.492
HIST00027,3.553,4.177,3.901,3.321,3.464,3.896,3.160,3.726,4.065,4.454,2.587,6.086,5.502,3.379,4.089,3.608,4.711
HIST00028,1.911,4.766,4.026,5.678,5.445,4.289,3.435,3.511,3.424,3.624,1.773,5.930,6.380,3.183,5.209,5.078,5.990
HIST00029,4.609,4.050,5.506,3.382,4.804,5.339,5.409,5.108,3.971,5.411,3.069,6.131,6.485,5.578,5.617,4.169,6.451
HIST00030,4.101,4.444,3.145,4.308,5.339,3.196,3.228,3.610,2.849,3.336,1.358,6.504,6.083,3.615,5.064,4.442,4.661
HIST00031,2.834,4.391,4.729,2.049,1.655,4.510,4.649,5.452,4.321,6.262,3.865,6.058,5.263,5.859,4.759,3.243,5.515
HIST00032,5.039,3.281,3.619,2.466,3.916,3.622,3.609,3.120,3.011,3.162,1.360,6.811,4.879,3.359,4.564,3.575,4.500
HIST00033,5.140,4.809,2.808,3.047,5.709,2.569,2.808,4.550,3.913,6.523,3.646,5.322,5.821,5.270,4.668,4.007,5.641
HIST00034,2.761,3.838,4.711,3.393,2.593,4.419,5.557,3.773,4.033,4.742,2.732,6.904,6.192,4.464,3.334,4.069,5.416
HIST00035,3.729,2.805,4.552,2.810,3.715,5.004,5.205,5.068,3.391,6.100,2.955,7.184,5.210,4.762,4.018,4.371,4.914
HIST00036,2.392,4.871,4.248,4.586,4.502,4.469,3.966,4.654,3.833,5.376,2.944,7.818,5.931,3.931,4.557,4.511,5.732
HIST00037,3.244,4.502,3.900,3.457,3.779,3.946,3.922,4.498,3.207,5.099,2.336,6.628,5.575,4.132,4.813,4.157,4.966
HIST00038,4.417,4.355,5.249,2.669,2.429,4.907,4.385,3.575,4.352,1.815,1.129,6.284,6.139,3.629,3.491,3.408,4.791
HIST00039,3.548,3.173,5.760,2.680,4.933,5.569,5.827,3.317,3.525,3.911,1.969,6.049,6.214,3.555,4.215,4.231,5.009
HIST00040,3.855,5.686,3.596,4.075,3.476,3.573,3.644,4.516,3.828,4.407,2.410,6.767,6.331,4.734,4.581,3.350,5.046
HIST00041,4.665,5.559,2.835,4.189,6.074,2.723,2.808,3.615,3.648,4.583,2.388,5.698,6.266,4.471,5.278,4.473,5.348
HIST00042,3.905,3.457,5.864,2.750,3.664,5.646,6.399,4.682,4.388,3.686,2.311,6.360,5.136,4.793,4.101,4.551,5.927
HIST00043,3.107,6.252,6.615,5.579,3.508,6.894,6.543,4.867,5.113,4.673,3.413,5.239,7.510,4.696,5.074,5.020,6.513
HIST00044,4.919,2.683,4.892,5.608,5.573,4.809,4.918,4.729,3.939,5.178,2.914,6.620,5.625,5.352,4.813,5.077,4.996
HIST00045,4.468,3.855,4.247,2.454,4.246,4.612,5.816,3.904,3.430,3.063,1.501,5.806,5.841,4.341,3.711,3.270,5.325
HIST00046,4.501,4.151,4.408,1.821,2.816,4.688,4.428,4.423,3.963,4.769,2.700,6.455,4.910,4.374,4.655,3.097,4.847
HIST00047,4.022,5.266,4.514,4.455,3.635,4.765,4.663,3.072,3.495,2.996,1.496,6.197,6.105,3.142,4.398,5.017,5.164
HIST00048,2.672,4.148,3.019,2.211,4.101,2.648,3.339,3.879,3.056,4.233,1.848,6.413,5.587,3.730,4.249,4.947,5.059
HIST00049,4.097,4.875,5.221,4.464,3.595,5.660,5.774,5.210,4.185,4.626,2.766,6.083,6.035,4.541,4.509,4.255,5.425
HIST00050,5.355,5.231,4.988,4.469,2.851,4.763,4.844,4.820,3.947,4.256,2.400,6.644,5.836,3.974,4.308,4.116,5.166
HIST00051,2.847,4.119,4.851,4.462,5.806,4.783,4.874,3.849,3.863,3.482,1.922,7.266,6.182,4.174,5.498,4.683,5.668
HIST00052,3.003,1.366,4.583,4.374,3.116,4.545,4.103,4.503,4.338,3.400,2.107,6.811,5.090,3.850,3.177,3.094,4.750
HIST00053,4.681,3.260,5.159,3.707,3.403,5.042,4.402,4.556,3.961,5.136,2.906,6.914,5.680,4.863,4.309,4.290,5.171
HIST00054,4.774,5.497,5.494,4.270,5.777,5.060,5.013,5.250,4.043,7.000,4.043,6.360,6.948,6.124,5.797,4.501,6.166
HIST00055,3.426,3.138,5.207,3.135,4.783,5.016,4.439,4.020,4.271,5.534,3.376,6.253,5.375,4.900,5.822,2.831,5.271
HIST00056,2.613,2.082,3.652,4.212,5.420,3.770,3.671,3.449,3.238,4.175,1.932,7.439,4.963,4.862,4.528,4.914,5.342
HIST00057,4.013,5.081,5.369,3.493,3.258,5.384,5.166,5.668,4.773,6.617,4.512,5.787,7.166,5.743,4.208,4.547,5.925
HIST00058,3.127,4.189,3.709,5.286,5.677,3.701,2.615,4.644,3.507,4.873,2.441,7.522,5.646,4.418,3.941,5.149,5.377
HIST00059,2.933,4.682,2.660,3.808,3.417,2.749,2.837,4.457,3.016,5.074,2.186,7.574,4.590,4.887,4.722,4.062,4.988
HIST00060,3.982,3.833,4.106,3.443,4.657,3.856,3.903,3.859,3.473,4.780,2.371,6.256,6.339,4.443,5.261,3.449,4.902
HIST00061,2.306,5.475,4.696,3.663,3.752,5.178,4.750,4.652,3.541,5.214,2.638,6.117,6.464,4.888,4.094,4.776,5.371
HIST00062,2.849,3.974,6.323,2.753,4.056,6.185,6.132,5.543,4.922,6.874,4.834,5.714,6.706,6.876,4.187,4.152,5.821
HIST00063,4.090,2.778,3.998,3.388,4.513,3.877,2.828,4.408,3.418,7.000,3.418,6.287,6.352,5.899,4.914,4.394,5.623
HIST00064,2.715,5.286,5.807,2.828,2.752,6.094,5.967,4.539,4.370,1.000,0.624,6.490,6.190,3.480,4.038,4.397,4.560
HIST00065,5.324,6.581,2.822,4.902,3.759,2.655,2.561,3.743,3.724,3.458,1.839,6.992,5.614,3.261,5.125,4.585,4.880
HIST00066,4.063,5.129,5.846,4.386,1.723,5.890,6.137,4.200,4.150,5.846,3.466,6.528,5.379,4.978,4.005,4.279,5.604
HIST00067,4.791,3.819,2.936,1.460,5.139,3.132,2.949,3.112,3.818,2.423,1.322,6.706,5.748,2.824,5.371,3.872,4.534
HIST00068,4.164,3.745,4.855,2.840,4.948,4.856,4.618,4.916,3.751,4.519,2.421,7.033,6.195,3.779,4.348,3.939,4.752
HIST00069,4.718,4.015,4.337,4.847,4.742,3.865,3.731,2.831,3.451,2.957,1.458,6.817,5.731,3.016,5.623,5.175,5.000
HIST00070,4.513,3.037,3.011,3.468,3.048,3.391,3.742,3.351,2.547,3.932,1.431,6.562,5.598,3.031,3.503,4.445,4.780
HIST00071,4.127,5.622,4.413,4.003,3.942,4.410,3.726,4.492,3.487,3.535,1.761,7.312,6.468,4.376,4.398,3.825,5.230
HIST00072,3.882,3.840,2.789,3.319,4.459,2.743,2.655,4.099,2.733,3.462,1.351,6.710,5.725,4.634,5.402,5.096,5.822
HIST00073,4.250,5.403,3.493,3.807,5.178,3.560,3.958,4.437,3.009,5.439,2.338,6.131,6.256,4.080,4.570,4.059,5.478
HIST00074,4.325,3.365,3.714,3.309,3.926,4.033,3.542,4.811,3.378,4.766,2.300,6.484,5.796,5.026,4.523,3.543,5.090
HIST00075,5.844,4.042,4.416,2.936,2.242,4.246,4.222,3.617,3.537,3.727,1.883,6.359,5.712,4.476,3.351,4.030,5.321
HIST00076,2.851,4.197,4.234,2.864,4.944,3.711,3.412,3.348,3.146,2.659,1.195,5.797,6.135,3.307,5.332,4.201,5.323
HIST00077,4.699,4.013,5.814,4.589,3.426,6.121,6.308,5.286,4.566,4.781,3.119,6.500,5.588,5.103,5.175,3.740,5.854
HIST00078,4.597,3.689,4.112,3.688,4.574,3.398,3.773,3.653,3.633,5.308,2.754,6.752,6.613,4.004,3.598,4.567,4.852
HIST00079,4.780,4.932,3.973,3.092,6.824,3.664,3.795,3.736,3.764,4.613,2.480,5.663,7.531,4.835,6.998,4.449,6.264
HIST00080,5.201,2.379,2.981,4.133,5.168,3.104,3.796,3.523,2.849,3.297,1.342,7.198,5.649,3.127,4.290,4.727,4.759
HIST00081,4.169,3.645,1.352,6.914,3.643,1.330,1.983,3.006,2.237,3.481,1.113,7.900,5.214,3.755,4.178,5.698,4.641
HIST00082,4.055,2.565,3.536,5.649,2.782,3.135,3.889,3.789,3.654,3.558,1.857,7.074,5.528,3.821,4.282,4.935,5.894
HIST00083,4.483,3.717,3.773,5.866,5.051,4.225,4.362,4.497,3.254,3.937,1.830,6.746,5.461,4.492,4.740,4.658,5.475
HIST00084,3.420,5.059,5.286,2.154,3.924,5.225,5.380,4.445,4.825,3.738,2.576,6.101,6.837,4.683,4.318,3.640,5.339
HIST00085,4.387,4.729,4.328,3.605,3.028,4.082,4.511,4.721,4.204,4.200,2.523,6.387,5.894,4.142,4.959,3.313,5.436
HIST00086,4.624,3.736,4.226,1.952,7.000,4.212,4.498,4.294,5.072,4.447,3.222,5.131,6.305,4.877,6.614,5.424,6.295
HIST00087,4.587,3.217,4.030,2.245,4.673,3.884,4.355,3.561,3.115,4.371,1.945,6.029,6.329,4.637,5.420,3.654,5.630
HIST00088,3.974,4.110,4.658,4.527,3.494,4.375,4.140,4.205,4.237,2.241,1.356,6.831,5.594,3.905,4.657,3.691,5.141
HIST00089,4.509,4.010,3.754,6.354,4.640,3.895,3.592,4.857,3.188,6.426,2.927,6.543,5.745,5.037,4.464,5.295,5.747
HIST00090,3.838,3.728,2.027,4.062,6.598,1.902,2.180,3.097,2.719,3.862,1.500,6.328,5.907,3.879,5.213,4.661,5.222
HIST00091,4.691,4.660,2.818,3.161,4.033,3.230,3.550,4.459,3.403,7.000,3.403,6.398,5.108,4.557,5.158,3.133,5.092
HIST00092,3.671,4.261,4.331,2.903,4.727,4.276,4.015,3.824,3.545,2.720,1.378,6.307,4.950,3.711,5.096,4.886,5.228
HIST00093,4.973,4.308,4.706,3.950,4.815,4.684,5.357,4.230,3.656,5.172,2.701,7.524,5.963,4.793,4.817,4.918,5.088
HIST00094,3.306,3.291,3.490,3.075,4.714,3.826,3.706,3.301,2.765,4.697,1.855,7.099,5.527,4.029,4.323,3.499,4.398
HIST00095,1.803,3.733,4.630,5.490,4.497,4.552,4.993,3.583,3.383,4.588,2.217,6.642,6.168,3.687,4.698,4.752,5.748
HIST00096,4.281,4.226,4.161,3.670,5.357,4.081,4.467,3.957,2.816,4.098,1.649,6.209,5.697,4.845,4.714,4.619,5.087
HIST00097,3.473,3.418,3.212,3.615,4.480,3.149,2.538,3.954,3.391,4.379,2.121,7.317,4.218,4.471,4.941,5.190,4.609
HIST00098,4.387,4.327,6.053,4.119,3.717,5.903,5.738,5.803,4.904,4.673,3.274,6.872,6.898,5.792,4.522,3.937,5.254
HIST00099,4.768,4.412,4.321,3.693,4.906,4.235,4.720,4.718,4.664,4.226,2.816,5.580,6.281,4.282,5.034,4.578,5.503
HIST00100,3.061,5.491,3.074,2.012,4.744,3.657,2.845,4.572,3.741,5.118,2.735,6.322,5.845,4.281,5.626,4.159,5.560
HIST00101,3.907,4.419,3.964,2.970,1.797,3.629,4.312,3.854,3.943,3.005,1.692,6.780,5.001,3.285,4.413,3.639,4.857
HIST00102,2.900,5.868,5.182,2.480,5.166,5.363,4.182,5.942,5.137,5.196,3.813,6.233,6.647,5.318,4.995,4.523,5.771
HIST00103,3.653,3.317,2.986,1.731,4.264,2.702,3.070,4.340,3.462,6.137,3.035,6.447,4.251,4.735,4.702,3.964,4.670
HIST00104,2.983,4.511,3.928,2.279,4.625,3.854,3.607,4.768,4.566,2.857,1.863,6.284,5.687,4.270,4.829,4.227,5.432
HIST00105,4.844,4.361,3.670,5.606,3.016,3.536,3.710,4.282,4.242,3.594,2.178,6.779,4.873,4.655,4.612,5.269,4.678
HIST00106,2.908,4.400,3.966,4.552,5.366,3.762,3.993,3.851,3.499,4.422,2.211,6.433,6.412,3.958,5.480,5.081,5.777
HIST00107,4.187,4.359,3.054,4.040,5.391,2.921,2.886,3.816,4.111,2.088,1.226,6.990,5.605,3.940,4.344,4.865,5.214
HIST00108,5.202,4.800,4.057,3.477,5.244,3.938,3.936,4.875,4.249,5.473,3.322,5.936,6.516,5.489,5.496,4.380,6.012
HIST00109,6.040,5.522,3.904,1.845,3.493,3.825,3.631,3.850,4.275,3.714,2.269,6.551,5.490,4.511,5.296,3.614,5.027
HIST00110,3.916,2.940,4.276,3.036,4.628,4.083,4.206,3.981,4.075,2.323,1.352,7.196,5.005,3.361,4.986,4.614,4.244
HIST00111,4.302,3.207,3.073,3.839,5.931,3.103,3.195,3.735,3.431,3.591,1.760,5.643,6.652,4.033,5.469,5.386,6.368
HIST00112,5.712,4.955,4.098,5.332,4.661,4.253,4.462,3.827,3.586,1.816,0.930,6.354,5.146,3.211,5.964,5.382,6.150
HIST00113,4.255,5.834,3.835,5.447,5.571,4.118,4.451,3.468,3.930,3.754,2.107,6.845,6.506,4.401,5.346,4.483,5.701
HIST00114,5.498,5.039,4.252,4.369,6.130,4.419,4.757,4.984,4.397,5.015,3.150,6.466,6.075,5.222,4.598,5.617,5.820
HIST00115,5.220,3.825,4.559,3.203,3.764,4.666,4.611,3.760,3.387,4.105,1.986,7.483,5.416,3.897,4.736,3.927,5.124
HIST00116,3.362,3.838,5.088,3.836,5.673,4.652,4.658,4.856,4.737,5.545,3.752,6.988,6.553,5.393,4.693,4.302,5.700
HIST00117,4.004,3.981,5.204,3.135,6.382,5.349,5.967,3.379,4.092,2.265,1.324,5.810,7.756,3.497,5.452,4.780,6.271
HIST00118,4.174,4.550,4.801,3.337,4.987,4.701,4.901,4.477,3.882,5.925,3.285,5.758,6.746,4.253,4.800,3.543,5.200
HIST00119,4.615,5.670,5.221,4.602,5.541,5.224,4.911,5.123,4.079,5.601,3.263,6.301,7.012,4.926,5.246,5.496,6.198
HIST00120,3.393,3.033,2.224,3.414,3.974,2.443,2.145,3.912,2.417,4.678,1.615,7.352,4.024,3.454,4.744,3.832,4.776
HIST00121,4.210,5.642,4.219,2.865,3.491,4.186,4.346,4.719,4.200,5.227,3.137,6.725,5.747,4.897,4.210,3.525,4.964
HIST00122,4.476,4.237,5.194,3.531,2.879,4.624,4.773,4.366,4.826,4.373,3.015,6.640,6.469,4.785,4.257,4.680,5.055
HIST00123,5.224,3.897,4.302,3.356,5.012,4.630,4.739,3.271,3.869,3.219,1.779,7.012,5.093,3.665,5.338,4.173,5.093
HIST00124,2.906,4.104,2.633,5.830,6.029,2.795,3.519,3.574,3.048,3.479,1.515,5.655,5.506,4.502,4.727,5.758,5.850
HIST00125,4.557,5.219,3.660,2.641,5.337,4.114,4.310,4.311,4.041,3.479,2.008,6.027,6.151,4.784,5.869,5.316,6.041
HIST00126,2.528,4.728,2.053,2.894,5.281,2.176,1.474,3.943,3.287,2.481,1.165,6.933,4.859,3.826,4.534,4.385,5.091
HIST00127,3.862,4.442,2.933,4.100,4.583,2.700,3.331,3.820,3.390,5.504,2.666,7.077,4.794,4.815,4.453,4.840,5.404
HIST00128,4.397,4.753,4.556,3.372,5.003,4.756,4.590,3.830,3.572,3.833,1.956,6.269,6.504,4.316,5.225,4.816,5.612
HIST00129,4.522,4.643,3.959,4.177,5.370,3.777,3.217,3.458,3.941,2.920,1.644,6.686,5.901,3.009,5.016,4.657,4.726
HIST00130,4.068,3.400,3.007,2.172,3.517,2.981,2.773,3.942,3.612,3.687,1.902,6.973,5.596,3.198,4.732,2.747,5.312
HIST00131,3.484,3.567,4.330,2.824,5.421,4.706,4.400,4.662,3.920,4.901,2.745,5.465,6.603,5.269,4.944,4.460,5.925
HIST00132,3.000,4.038,3.696,5.831,3.271,3.740,4.856,5.308,3.234,4.673,2.159,6.790,5.909,4.982,4.147,3.626,5.872
HIST00133,4.236,2.442,3.978,4.235,3.611,4.070,4.229,3.914,4.118,4.677,2.751,7.010,5.089,4.083,4.429,4.249,5.083
HIST00134,4.459,4.510,6.336,2.760,3.578,6.227,6.192,4.412,4.476,4.514,2.886,4.750,6.866,5.795,4.755,3.310,6.075
HIST00135,4.532,4.349,5.320,2.836,4.148,5.628,5.228,4.136,4.053,5.422,3.140,5.715,6.416,5.244,4.775,4.529,5.909
HIST00136,4.335,3.546,4.860,6.474,3.600,4.854,4.892,2.835,3.328,2.057,0.978,6.602,5.491,2.794,4.355,5.380,5.268
HIST00137,3.205,4.530,4.066,4.047,3.043,4.053,3.712,4.550,3.033,5.406,2.342,6.437,5.314,4.935,3.759,5.002,5.423
HIST00138,2.254,4.206,4.599,4.098,4.116,4.427,4.833,4.508,3.859,3.902,2.152,6.700,5.596,4.874,4.779,5.301,5.204
HIST00139,5.209,4.230,4.062,3.528,4.126,4.158,4.636,2.969,3.356,4.314,2.068,6.817,5.895,4.300,4.821,5.004,5.163
HIST00140,3.361,2.571,2.143,3.804,3.768,1.955,2.681,3.518,2.245,4.157,1.333,7.062,4.562,4.319,3.798,3.553,5.375
HIST00141,3.484,3.744,3.421,5.046,5.115,3.271,3.204,4.414,3.650,4.961,2.587,7.174,5.623,5.170,4.727,4.372,5.489
HIST00142,3.558,4.336,4.202,2.927,4.810,4.271,4.879,4.466,3.065,2.191,0.959,6.511,6.463,4.037,5.434,4.546,5.427
HIST00143,5.389,5.344,3.397,4.119,1.745,3.538,3.920,4.169,3.653,4.601,2.401,6.668,5.623,4.359,4.188,4.385,5.235
HIST00144,2.547,3.747,4.723,4.526,3.763,4.436,4.725,3.557,4.203,3.400,2.042,7.215,5.402,3.914,4.571,3.476,4.674
HIST00145,3.774,5.329,4.153,4.116,3.252,4.028,3.550,3.817,3.642,4.178,2.174,7.015,5.068,4.524,5.858,4.394,5.497
HIST00146,5.447,3.785,3.241,2.210,3.468,3.333,3.405,3.750,4.097,4.435,2.596,7.345,4.986,3.924,5.192,4.597,4.699
HIST00147,3.276,4.175,3.740,2.247,6.603,4.162,4.015,3.966,3.677,4.654,2.445,6.002,6.563,4.596,6.061,3.755,5.218
HIST00148,4.576,3.508,3.397,5.603,5.236,3.902,3.983,3.314,3.016,4.414,1.902,7.503,5.743,3.761,5.063,4.883,5.208
HIST00149,2.902,4.592,3.055,2.804,5.950,3.138,3.558,2.904,2.921,2.479,1.034,6.482,5.385,3.201,5.747,4.612,4.981
HIST00150,4.934,2.994,4.722,2.247,3.288,4.921,4.137,4.152,3.613,5.691,2.938,6.711,5.428,4.975,4.345,3.883,5.324
HIST00151,6.996,4.179,3.265,4.355,3.899,2.962,3.868,3.526,3.186,4.262,1.940,7.013,6.183,3.865,3.509,4.787,5.826
HIST00152,4.157,6.606,3.955,2.465,2.939,4.186,4.728,4.093,4.314,3.821,2.355,6.604,5.523,4.368,4.457,3.335,5.490
HIST00153,2.275,4.290,3.484,2.042,4.093,3.472,3.516,4.142,3.848,3.921,2.155,6.349,5.989,3.441,5.020,4.624,5.576
HIST00154,4.166,5.520,4.939,5.542,5.423,5.154,5.316,4.315,4.037,4.576,2.639,6.247,6.721,4.169,6.358,4.772,5.703
HIST00155,1.985,3.434,4.892,4.428,4.662,4.997,5.351,4.882,3.777,4.483,2.419,6.238,6.842,4.075,4.503,5.834,6.013
HIST00156,4.956,3.428,4.157,2.728,4.040,3.731,3.903,3.685,3.973,2.401,1.363,6.334,6.500,3.471,5.740,4.834,5.367
HIST00157,3.438,4.661,4.908,2.700,2.970,5.161,5.368,3.137,4.933,2.603,1.834,7.020,5.945,3.332,4.510,4.813,4.864
HIST00158,3.940,4.385,3.859,4.061,3.810,4.001,3.553,4.375,3.713,2.654,1.408,7.066,4.842,3.925,4.339,4.533,4.331
HIST00159,2.715,5.157,5.382,2.350,5.083,5.644,4.975,4.699,4.465,2.677,1.708,5.291,7.148,3.815,4.821,4.331,5.626
HIST00160,2.784,3.039,4.758,3.798,2.699,4.691,4.990,4.369,3.961,3.682,2.084,6.702,6.184,3.565,3.503,3.719,4.611
HIST00161,3.548,1.876,3.402,4.679,5.879,3.333,2.960,3.020,2.126,4.725,1.435,6.821,5.227,4.690,4.522,5.882,5.518
HIST00162,2.279,3.861,4.391,4.555,5.950,4.531,4.714,3.924,4.046,4.341,2.509,6.775,5.928,4.149,5.199,5.441,5.179
HIST00163,4.879,1.604,3.228,3.386,2.367,3.165,3.808,3.134,2.769,4.541,1.796,7.501,4.126,3.789,3.741,3.827,4.164
HIST00164,3.257,4.969,5.977,3.745,3.481,5.974,5.674,3.387,3.775,2.819,1.521,6.078,6.642,3.013,3.938,4.049,5.151
HIST00165,4.423,4.312,4.408,3.072,4.834,4.209,4.050,5.283,4.552,3.983,2.590,5.842,6.584,4.394,4.901,3.733,5.696
HIST00166,4.719,3.885,5.114,5.599,3.980,4.746,5.020,3.909,3.810,4.849,2.639,7.235,6.092,4.837,4.094,4.012,4.883
HIST00167,4.208,3.780,4.344,4.167,5.874,4.571,4.337,4.446,3.693,3.656,1.929,5.968,6.247,4.323,5.453,4.444,5.671
HIST00168,4.260,3.444,6.666,4.987,4.065,6.631,6.638,5.128,4.549,5.329,3.464,6.057,5.673,4.916,4.480,4.135,4.806
HIST00169,5.095,4.421,4.929,3.058,5.647,5.193,5.201,4.586,3.501,5.230,2.616,5.755,7.203,4.554,5.746,5.659,6.520
HIST00170,2.035,4.156,4.692,3.094,4.809,4.070,4.538,3.885,3.921,4.168,2.335,6.184,6.134,4.076,4.947,5.131,5.519
HIST00171,3.645,3.991,4.788,4.280,3.566,4.944,5.132,4.271,3.028,4.856,2.101,6.764,5.920,4.139,3.261,4.643,4.736
HIST00172,3.531,3.047,2.734,1.990,4.615,2.479,2.725,3.128,2.963,3.386,1.433,6.208,5.870,4.093,5.471,3.694,4.936
HIST00173,4.033,4.774,2.657,3.687,4.605,2.268,2.505,3.475,3.454,4.423,2.182,6.309,5.513,4.419,4.542,4.762,5.653
HIST00174,4.194,4.945,4.462,4.518,4.612,4.304,4.566,4.784,3.819,5.018,2.738,5.424,5.640,4.807,4.665,4.258,5.563
HIST00175,4.741,6.429,4.829,4.100,3.687,4.595,4.835,4.648,4.402,4.124,2.594,6.395,6.370,4.340,5.361,5.126,5.894
HIST00176,3.818,3.863,4.986,5.320,4.669,4.911,4.675,3.405,3.869,2.707,1.496,6.600,5.940,3.718,5.231,4.306,4.550
HIST00177,3.993,4.214,4.843,4.080,3.645,5.165,4.865,5.072,4.150,4.622,2.740,7.075,6.685,4.893,3.285,4.301,5.114
HIST00178,4.558,3.512,3.088,4.865,3.899,2.985,3.393,3.566,2.759,5.155,2.032,7.301,4.851,4.592,4.354,4.572,5.116
HIST00179,4.278,3.220,4.487,2.028,2.285,4.410,4.633,3.771,3.635,4.195,2.179,6.642,5.310,4.255,4.072,3.510,5.079
HIST00180,3.655,4.417,5.010,3.961,4.239,5.428,6.150,4.607,4.464,3.501,2.233,6.325,7.316,4.015,4.828,4.228,5.857
HIST00181,4.395,5.064,2.961,3.098,5.048,2.879,3.235,3.397,3.465,4.098,2.029,7.179,5.408,3.675,4.748,4.295,5.343
HIST00182,6.135,4.108,3.902,3.626,4.669,3.735,4.177,4.741,3.363,5.734,2.755,6.769,5.530,5.086,4.781,3.715,5.313
HIST00183,1.996,4.592,5.945,2.825,3.919,6.041,5.999,5.299,4.660,4.429,2.948,5.124,6.961,4.855,4.452,4.937,6.048
HIST00184,4.160,3.778,5.291,3.825,2.984,4.827,4.850,4.338,4.022,3.063,1.760,6.492,6.354,3.813,4.790,3.068,5.254
HIST00185,3.655,2.715,5.186,3.628,6.071,5.580,5.169,3.173,2.910,3.068,1.275,6.715,5.951,3.966,4.103,4.577,5.372
