participant_id,institutional_unit,role_type,conscientiousness,agreeableness,emotional_stability,openness,dark_trait_pressure,bureaucratic_fit,discretion_level,accountability_strength,leadership_rating,institutional_performance,institutional_trust,role_clarity
I0030,public_administration,committee_lead,4.407,3.379,3.718,3.938,2.564,4.889,4.403,4.905,3.810,4.294,4.041,4.577
I0031,public_administration,committee_lead,4.566,2.685,4.320,4.217,1.150,4.303,4.160,4.831,5.548,3.724,4.434,3.744
I0032,public_administration,committee_lead,4.877,3.563,5.144,4.151,1.496,4.501,4.980,4.898,5.700,3.767,3.922,3.647
I0033,public_administration,analyst,4.953,4.270,3.968,4.751,1.040,5.072,3.752,5.034,5.412,4.718,4.616,3.230
I0034,public_administration,analyst,4.439,3.333,4.163,4.426,1.572,3.957,3.626,4.208,5.793,4.202,4.363,4.511
I0035,public_administration,analyst,4.340,4.096,2.622,3.510,2.109,5.128,3.466,5.244,4.770,4.147,3.770,4.085
I0036,public_administration,analyst,3.145,4.585,3.820,2.922,1.198,5.119,4.659,4.754,4.979,3.868,4.768,4.244
I0037,public_administration,analyst,3.748,3.695,3.904,3.000,1.466,5.310,3.349,4.917,5.025,4.737,4.942,4.181
I0038,public_administration,analyst,4.130,3.677,4.391,4.481,1.000,4.898,3.096,4.694,4.947,4.470,3.715,3.501
I0039,public_administration,analyst,3.306,4.890,3.693,2.753,1.000,4.884,3.878,5.122,4.238,3.594,4.577,4.512
I0040,public_administration,analyst,5.331,4.176,3.651,5.267,1.665,4.956,3.906,4.697,5.233,5.394,4.127,4.542
I0041,public_administration,executive,4.582,3.802,3.430,4.155,1.609,5.353,5.509,4.733,4.698,3.898,3.922,3.335
I0042,public_administration,executive,4.246,3.396,4.671,3.761,2.157,4.537,5.450,5.092,5.761,4.490,4.372,4.658
I0043,public_administration,executive,4.071,3.839,3.552,4.394,1.465,4.330,5.919,5.580,4.702,3.950,5.370,3.969
I0044,public_administration,executive,3.595,3.431,4.216,3.341,1.013,4.254,5.598,4.720,4.316,4.166,4.324,3.915
I0045,public_administration,executive,3.247,3.885,3.753,4.264,1.000,4.413,5.352,5.644,4.654,3.883,3.914,4.110
I0046,public_administration,executive,3.660,3.565,4.363,4.207,1.000,3.599,5.653,4.965,5.366,4.476,4.204,4.267
I0047,public_administration,executive,3.770,4.391,3.721,3.192,1.000,4.225,5.277,5.565,5.468,4.288,5.318,3.847
I0048,public_administration,executive,2.414,3.651,4.475,4.712,1.913,3.383,5.633,4.394,4.529,4.219,4.094,4.178
I0049,regulatory_body,administrator,4.016,4.952,4.233,3.405,1.000,4.404,4.391,4.082,5.407,4.099,4.539,4.636
I0050,regulatory_body,administrator,3.127,2.726,4.967,4.045,2.099,4.107,4.752,4.460,4.193,4.015,4.329,4.574
I0051,regulatory_body,administrator,4.830,4.537,4.863,4.029,1.000,5.497,3.654,4.074,4.890,4.858,4.971,5.279
I0052,regulatory_body,administrator,3.364,4.749,2.786,4.734,1.361,4.553,3.801,5.194,5.023,4.572,4.819,4.677
I0053,regulatory_body,administrator,4.861,3.648,3.577,3.873,1.127,4.947,4.516,5.179,5.076,4.633,4.569,4.818
I0054,regulatory_body,administrator,5.432,5.498,3.779,1.941,1.369,4.171,3.983,4.458,5.430,4.289,4.469,4.170
I0055,regulatory_body,administrator,3.696,4.664,4.413,3.704,1.599,4.746,4.119,4.438,4.628,4.278,4.402,5.251
I0056,regulatory_body,administrator,4.472,4.129,3.567,5.712,1.647,4.588,3.513,4.794,5.079,4.490,4.280,4.700
I0057,regulatory_body,manager,4.859,5.283,2.482,3.528,1.000,4.832,4.554,4.763,5.258,4.427,4.324,4.868
I0058,regulatory_body,manager,4.124,3.671,4.731,2.717,2.091,4.742,4.806,4.489,4.716,4.660,3.332,4.779
I0059,regulatory_body,manager,3.791,4.851,2.750,4.003,1.000,4.843,4.626,4.663,5.578,4.978,4.498,4.301
I0060,regulatory_body,manager,4.912,4.871,3.084,4.965,1.145,4.977,4.325,4.933,5.913,4.649,4.503,4.789
I0061,regulatory_body,manager,4.920,4.436,3.303,4.281,1.580,4.638,4.607,4.234,5.620,3.973,4.931,4.535
I0062,regulatory_body,manager,3.336,3.674,3.845,4.403,1.890,4.793,4.849,4.438,3.985,4.201,4.736,4.904
I0063,regulatory_body,manager,3.176,4.597,3.387,3.679,1.225,4.814,4.827,4.584,4.636,4.155,3.754,5.111
I0064,regulatory_body,manager,4.577,4.105,4.272,3.888,1.386,4.811,4.732,4.190,5.104,4.050,4.437,5.612
I0065,regulatory_body,frontline_official,4.066,4.418,4.420,4.465,1.000,4.513,3.766,4.421,5.414,4.380,4.328,4.829
I0066,regulatory_body,frontline_official,4.177,3.354,3.032,3.894,2.285,3.880,4.167,4.966,4.710,4.754,4.478,4.584
I0067,regulatory_body,frontline_official,3.732,5.068,3.988,3.660,1.919,4.913,3.925,4.341,6.044,4.910,4.151,4.502
I0068,regulatory_body,frontline_official,2.576,4.381,4.941,5.692,1.696,4.143,3.867,5.346,4.933,4.221,4.960,4.074
I0069,regulatory_body,frontline_official,4.471,4.225,4.030,4.550,2.133,4.812,3.800,4.417,5.216,4.869,3.784,4.957
I0070,regulatory_body,frontline_official,3.706,4.253,3.861,3.702,1.987,4.279,4.053,4.492,4.593,4.246,3.944,4.694
I0071,regulatory_body,frontline_official,4.579,3.091,4.494,3.408,1.298,3.919,3.426,4.919,4.464,4.094,3.995,4.056
I0072,regulatory_body,frontline_official,5.031,3.991,4.428,3.488,1.745,4.925,4.278,4.548,5.781,4.510,4.927,5.071
I0073,regulatory_body,committee_lead,4.568,2.211,4.420,3.662,1.884,4.161,4.019,4.701,4.842,4.275,3.575,4.327
I0074,regulatory_body,committee_lead,4.394,4.484,4.699,3.237,1.000,4.828,4.451,4.296,4.543,4.190,5.143,4.301
I0075,regulatory_body,committee_lead,4.249,3.568,5.877,3.490,1.000,3.943,3.607,5.230,4.438,4.618,4.556,4.380
I0076,regulatory_body,committee_lead,3.464,3.434,3.215,3.636,1.000,5.057,4.657,3.934,4.948,4.834,4.081,5.274
I0077,regulatory_body,committee_lead,4.318,4.854,4.207,3.165,1.935,4.866,4.563,4.938,5.207,4.271,4.213,4.348
I0078,regulatory_body,committee_lead,3.090,4.280,5.276,3.160,1.000,4.339,4.529,4.567,5.309,4.236,4.464,4.448
I0079,regulatory_body,committee_lead,4.794,3.971,4.654,3.150,1.000,4.182,4.362,5.510,4.396,4.341,5.053,4.544
I0080,regulatory_body,committee_lead,3.947,4.317,4.859,3.312,1.302,5.204,3.986,4.336,5.306,4.769,3.756,4.060
I0081,regulatory_body,analyst,4.102,3.883,4.137,4.697,1.620,5.002,4.041,4.624,5.261,4.986,3.955,4.758
I0082,regulatory_body,analyst,4.480,3.160,4.660,4.237,1.411,4.812,3.695,3.853,4.539,3.623,4.134,4.476
I0083,regulatory_body,analyst,4.232,4.609,4.395,3.232,1.104,4.402,3.259,5.041,5.297,4.229,4.896,5.009
I0084,regulatory_body,analyst,5.825,4.330,5.053,5.016,1.000,5.945,3.541,5.037,5.996,5.458,5.242,4.509
I0085,regulatory_body,analyst,2.485,2.668,3.300,3.529,1.450,3.964,3.153,4.210,3.884,3.940,3.380,4.961
I0086,regulatory_body,analyst,3.780,4.058,5.075,4.803,1.590,4.860,3.283,4.670,4.780,4.421,4.088,5.088
I0087,regulatory_body,analyst,5.115,3.267,3.182,3.405,2.100,4.196,3.559,4.265,4.743,4.685,4.090,4.373
I0088,regulatory_body,analyst,3.751,4.619,3.859,3.820,1.688,4.753,3.722,3.537,5.330,4.406,5.014,4.684
I0089,regulatory_body,executive,5.013,4.696,5.304,3.122,1.556,5.098,5.133,4.761,6.042,5.292,4.424,5.187
I0090,regulatory_body,executive,3.362,5.074,3.918,4.196,1.463,4.448,6.285,4.837,4.874,3.852,4.672,4.447
I0091,regulatory_body,executive,4.932,4.473,5.900,5.444,2.068,5.687,5.058,4.665,6.765,5.469,4.563,4.910
I0092,regulatory_body,executive,4.603,3.421,3.384,3.569,1.744,4.605,5.923,4.851,5.064,3.852,3.963,4.606
I0093,regulatory_body,executive,3.383,4.020,3.844,3.873,1.000,4.381,5.880,4.576,5.358,4.154,4.196,4.295
I0094,regulatory_body,executive,3.147,3.678,4.332,4.348,1.000,3.593,5.223,4.762,4.101,4.372,3.567,4.457
I0095,regulatory_body,executive,3.839,4.848,4.020,4.419,1.000,4.734,5.078,4.999,5.721,3.975,4.879,4.859
I0096,regulatory_body,executive,3.421,4.200,4.720,3.273,1.489,4.208,5.908,4.724,4.857,4.651,5.191,4.353
I0097,education_system,administrator,3.250,3.653,2.339,3.221,1.731,3.894,4.669,4.192,3.379,3.928,3.413,3.628
I0098,education_system,administrator,2.719,2.517,4.883,4.281,1.913,3.748,3.961,3.558,4.269,3.817,3.582,4.522
I0099,education_system,administrator,4.328,3.659,4.619,5.700,1.572,4.579,3.481,5.182,5.938,4.629,5.016,3.999
I0100,education_system,administrator,4.591,4.407,4.069,3.665,2.065,4.767,4.244,4.411,5.289,3.516,3.904,3.878
I0101,education_system,administrator,4.530,4.019,3.680,2.588,1.508,4.901,4.608,5.042,5.751,4.011,4.087,3.601
I0102,education_system,administrator,4.857,4.502,4.430,3.783,1.000,5.146,4.232,4.215,5.891,4.439,4.894,4.103
I0103,education_system,administrator,3.807,4.939,3.450,5.373,1.000,5.093,3.948,4.423,4.230,4.180,3.788,3.756
I0104,education_system,administrator,4.728,3.627,2.904,4.913,1.246,4.649,4.856,4.757,5.287,4.519,3.870,3.814
I0105,education_system,manager,4.771,4.099,3.350,3.828,1.039,4.801,4.402,4.138,4.851,4.269,4.259,4.226
I0106,education_system,manager,4.739,4.589,4.569,4.169,1.470,4.512,4.314,4.558,5.897,3.892,4.304,4.156
I0107,education_system,manager,4.798,4.224,2.742,4.564,1.073,5.470,3.828,4.258,4.992,4.385,4.406,3.667
I0108,education_system,manager,3.339,3.608,2.968,4.172,1.169,4.202,4.261,4.126,5.276,3.356,3.117,3.601
I0109,education_system,manager,3.899,4.275,5.502,4.292,1.422,5.230,5.066,4.666,5.800,4.309,4.197,3.369
I0110,education_system,manager,3.902,4.647,4.785,4.019,1.143,5.361,4.813,4.309,5.380,4.863,4.451,3.807
I0111,education_system,manager,3.492,4.014,4.137,3.360,1.568,4.612,4.333,4.371,4.465,3.108,4.045,3.679
I0112,education_system,manager,4.662,4.662,4.991,3.909,1.268,4.825,4.807,4.220,5.658,4.030,4.086,3.016
I0113,education_system,frontline_official,3.727,3.683,3.665,2.805,1.349,4.904,3.983,4.475,4.381,4.175,4.163,4.008
I0114,education_system,frontline_official,3.620,2.824,4.140,3.464,1.796,4.284,3.658,4.419,4.339,4.300,4.453,4.435
I0115,education_system,frontline_official,4.597,3.970,4.483,4.330,2.005,4.444,3.240,4.977,5.953,4.448,3.426,4.392
I0116,education_system,frontline_official,3.430,3.147,3.776,4.012,1.702,3.937,4.001,4.248,4.111,4.478,4.067,3.963
I0117,education_system,frontline_official,2.769,3.411,4.960,4.011,1.992,4.071,3.749,4.222,5.849,3.723,4.297,3.493
I0118,education_system,frontline_official,4.345,2.364,4.166,4.008,1.037,4.036,4.003,4.689,4.049,4.598,3.696,3.453
I0119,education_system,frontline_official,4.052,3.720,4.638,4.387,2.062,4.105,3.770,3.707,4.494,3.475,3.704,3.519
I0120,education_system,frontline_official,4.291,3.661,3.358,5.236,1.301,3.990,3.743,4.312,4.083,3.876,3.622,3.297
I0121,education_system,committee_lead,5.147,4.167,3.843,3.420,2.070,4.610,4.649,4.043,5.192,3.505,4.509,3.340
I0122,education_system,committee_lead,5.885,5.952,4.711,3.705,1.138,5.901,4.114,4.638,7.000,4.643,4.937,3.979
I0123,education_system,committee_lead,4.857,4.042,3.301,5.802,1.591,4.601,4.064,4.140,5.670,3.901,4.609,4.089
I0124,education_system,committee_lead,4.300,3.830,3.121,3.431,2.084,4.647,3.742,4.591,4.491,3.711,3.758,3.770
I0125,education_system,committee_lead,4.547,3.661,2.989,3.248,1.116,4.326,4.266,3.250,5.468,3.922,4.472,4.746
I0126,education_system,committee_lead,3.872,3.535,3.857,4.104,1.050,4.778,5.298,4.110,4.074,3.836,3.653,3.219
I0127,education_system,committee_lead,3.723,3.839,3.387,4.144,1.000,4.274,4.846,4.125,4.268,4.265,4.658,3.104
I0128,education_system,committee_lead,3.593,3.915,4.602,4.096,2.012,5.688,4.868,4.118,4.110,4.224,4.292,4.189
I0129,education_system,analyst,4.850,3.717,3.448,4.269,1.417,4.866,3.819,4.231,5.877,4.312,4.107,3.786
I0130,education_system,analyst,5.245,4.324,3.730,3.876,1.255,4.920,3.838,4.033,5.446,4.719,3.427,3.843
I0131,education_system,analyst,3.140,4.516,4.636,4.346,1.000,4.950,3.816,4.253,5.581,4.519,4.283,4.036
I0132,education_system,analyst,4.523,5.460,3.658,4.737,1.000,4.458,3.324,3.898,5.617,4.319,4.961,3.788
I0133,education_system,analyst,3.440,4.370,4.306,3.946,1.591,5.124,3.376,4.468,4.604,4.235,4.990,4.000
I0134,education_system,analyst,4.519,3.328,4.129,3.877,1.000,4.283,3.587,4.163,4.839,3.967,3.922,4.596
I0135,education_system,analyst,4.090,3.533,3.751,5.184,1.858,5.012,3.761,4.483,4.874,4.392,4.394,2.744
I0136,education_system,analyst,4.676,4.131,3.580,3.667,1.037,4.087,3.142,4.023,4.363,4.814,4.180,3.793
I0137,education_system,executive,4.699,3.513,4.721,4.407,1.383,4.258,5.113,2.999,5.528,3.763,2.870,3.913
I0138,education_system,executive,4.541,3.663,4.218,3.329,2.253,4.894,4.947,4.277,5.038,4.079,4.015,4.784
I0139,education_system,executive,5.178,4.001,4.286,4.063,1.000,4.740,5.776,4.083,5.808,4.326,3.972,3.574
I0140,education_system,executive,4.393,4.950,5.042,3.703,1.039,4.949,5.608,4.465,5.482,4.737,4.381,3.995
I0141,education_system,executive,3.746,5.497,3.769,4.209,1.000,4.824,5.443,4.024,5.982,3.613,4.691,4.169
I0142,education_system,executive,3.786,3.942,3.556,3.220,1.598,4.550,5.124,5.053,4.965,4.105,4.811,3.998
I0143,education_system,executive,4.481,3.437,4.697,4.873,1.256,4.192,5.133,4.259,4.386,4.454,3.376,4.002
I0144,education_system,executive,4.193,4.345,3.874,3.679,1.851,4.933,5.377,4.742,5.080,3.656,4.499,3.701
I0145,health_administration,administrator,4.843,4.160,4.845,3.590,1.047,5.144,4.395,4.742,5.264,5.531,4.893,4.736
I0146,health_administration,administrator,3.733,3.690,3.584,3.668,1.433,3.848,4.341,4.729,4.609,4.208,4.154,4.325
I0147,health_administration,administrator,5.011,4.201,5.154,3.557,1.711,5.404,3.988,5.043,5.668,4.251,4.661,4.177
I0148,health_administration,administrator,3.271,3.072,3.790,3.749,1.000,4.308,4.343,4.728,3.731,4.401,4.649,4.272
I0149,health_administration,administrator,4.786,3.312,3.879,2.706,1.526,4.703,4.516,5.111,4.626,4.454,4.353,4.087
I0150,health_administration,administrator,3.982,4.143,4.478,3.794,1.000,4.452,4.771,4.538,4.755,4.674,4.646,3.717
I0151,health_administration,administrator,5.334,4.416,2.700,4.059,1.660,3.808,4.070,4.506,4.361,4.751,3.975,4.701
I0152,health_administration,administrator,4.612,4.762,3.770,4.210,1.712,4.876,3.925,4.114,5.411,3.683,4.897,4.405
I0153,health_administration,manager,3.694,4.141,2.935,3.386,1.709,4.667,4.592,4.758,4.632,4.228,4.755,4.593
I0154,health_administration,manager,2.868,4.425,3.706,5.239,1.436,3.716,4.009,4.976,4.952,3.989,4.514,4.523
I0155,health_administration,manager,4.170,3.650,4.339,3.731,1.560,4.675,4.965,3.792,5.110,4.117,4.426,4.485
I0156,health_administration,manager,4.451,4.292,3.422,3.838,1.894,3.601,4.953,5.177,4.822,3.746,4.277,3.724
I0157,health_administration,manager,3.004,4.354,3.780,4.280,1.838,4.648,4.766,4.476,4.769,3.869,4.374,3.985
I0158,health_administration,manager,4.413,3.810,3.883,3.445,1.317,3.880,4.669,4.552,4.942,4.166,4.289,4.157
I0159,health_administration,manager,4.731,3.666,4.807,4.307,2.192,5.177,3.690,4.354,5.357,4.604,4.128,3.774
I0160,health_administration,manager,4.459,2.700,4.447,2.322,1.455,4.562,4.358,4.771,5.071,3.657,3.904,4.808
I0161,health_administration,frontline_official,3.130,5.014,4.373,4.552,2.364,4.156,3.734,4.795,5.137,3.821,4.518,4.074
I0162,health_administration,frontline_official,4.051,4.501,4.057,4.428,1.918,4.961,4.002,4.423,4.715,4.714,4.715,4.444
I0163,health_administration,frontline_official,5.303,4.224,4.574,2.699,1.000,5.372,3.687,4.147,6.810,5.164,4.767,3.719
I0164,health_administration,frontline_official,4.843,4.672,5.051,3.379,1.000,4.096,3.804,4.798,5.498,4.484,4.004,4.150
I0165,health_administration,frontline_official,3.612,4.593,4.044,3.768,1.068,4.348,3.537,3.892,4.290,4.000,4.932,4.980
I0166,health_administration,frontline_official,4.891,3.518,2.839,4.127,2.055,5.174,3.124,4.525,4.252,4.784,3.433,4.520
I0167,health_administration,frontline_official,3.395,4.415,3.138,4.266,1.000,4.252,3.856,4.423,4.579,4.144,3.882,4.034
I0168,health_administration,frontline_official,4.452,5.426,3.193,4.329,1.000,5.153,3.663,5.176,4.791,4.318,4.736,4.607
I0169,health_administration,committee_lead,3.667,3.848,2.743,4.934,1.247,3.975,4.189,4.463,4.934,4.542,3.975,4.256
I0170,health_administration,committee_lead,4.073,5.648,3.256,3.939,1.687,4.750,4.595,4.246,5.240,3.677,4.574,4.407
I0171,health_administration,committee_lead,4.606,3.682,4.068,4.608,1.564,4.986,4.671,4.579,5.593,3.903,3.836,4.000
I0172,health_administration,committee_lead,3.850,3.902,3.976,3.573,1.000,4.373,4.937,4.074,6.080,4.406,4.350,4.423
I0173,health_administration,committee_lead,4.514,4.712,3.961,4.092,1.241,4.949,4.391,4.756,4.674,4.800,4.385,4.311
I0174,health_administration,committee_lead,4.682,3.411,6.115,5.188,1.000,6.309,4.107,4.521,6.755,4.873,4.804,4.690
I0175,health_administration,committee_lead,4.183,3.099,4.411,4.463,1.982,5.140,4.204,4.684,5.058,3.709,3.717,4.435
I0176,health_administration,committee_lead,3.598,4.105,4.268,4.839,1.093,4.531,4.425,4.360,4.366,4.987,4.896,4.422
I0177,health_administration,analyst,4.726,4.596,3.886,2.789,1.000,5.372,3.067,4.697,5.413,5.066,4.626,4.689
I0178,health_administration,analyst,4.530,4.416,4.496,3.954,2.552,4.812,3.518,4.489,4.191,4.423,3.984,4.714
I0179,health_administration,analyst,4.039,3.151,5.260,3.967,1.417,4.997,4.108,4.237,5.418,5.062,5.472,4.742
I0180,health_administration,analyst,4.634,4.010,4.109,3.853,2.311,4.606,3.953,4.079,4.788,3.633,3.650,4.063
I0181,health_administration,analyst,5.339,3.962,4.269,3.596,1.000,4.981,3.564,4.282,6.343,5.116,3.803,4.859
I0182,health_administration,analyst,3.595,4.851,4.128,3.465,1.362,4.552,3.438,5.022,4.971,3.413,4.330,3.976
I0183,health_administration,analyst,4.622,3.596,3.687,2.992,2.488,4.388,3.401,4.601,5.450,3.803,4.253,4.846
I0184,health_administration,analyst,3.201,3.956,3.553,4.506,1.001,4.649,3.273,4.203,4.626,4.643,4.890,4.516
I0185,health_administration,executive,5.006,4.097,4.467,4.987,1.245,4.964,5.338,4.450,4.302,4.726,4.294,3.457
I0186,health_administration,executive,4.787,3.798,4.282,3.642,1.830,4.251,5.276,4.476,5.210,3.908,4.130,4.518
I0187,health_administration,executive,4.085,4.358,3.831,4.275,1.000,5.334,5.073,5.103,4.828,4.382,5.243,4.632
I0188,health_administration,executive,3.235,3.665,3.772,3.865,3.108,3.973,5.825,5.013,3.678,3.420,3.766,3.963
I0189,health_administration,executive,3.271,5.542,3.782,4.600,1.614,4.464,5.807,5.081,4.639,4.433,4.371,4.713
I0190,health_administration,executive,4.161,3.093,3.535,4.163,1.000,4.657,5.544,4.060,5.371,3.998,3.778,3.936
I0191,health_administration,executive,4.359,4.830,4.434,5.216,1.260,4.960,6.541,5.015,5.164,4.931,4.549,4.175
I0192,health_administration,executive,3.370,4.040,3.542,4.690,1.000,4.074,4.846,4.407,4.722,4.109,4.928,4.422
I0193,civic_governance,administrator,4.427,4.241,4.320,3.554,1.980,5.158,4.245,4.030,4.684,4.227,3.768,3.526
I0194,civic_governance,administrator,3.767,3.524,4.637,4.473,1.000,4.677,3.878,3.890,5.209,4.133,4.427,3.942
I0195,civic_governance,administrator,4.018,5.037,3.842,3.368,2.079,5.117,4.160,3.911,4.724,3.706,3.948,3.044
I0196,civic_governance,administrator,4.706,3.169,3.887,4.074,1.208,4.963,4.916,4.458,5.221,4.245,4.263,3.737
I0197,civic_governance,administrator,4.558,2.833,4.285,2.270,1.275,4.530,4.350,3.687,5.339,4.402,4.613,3.794
I0198,civic_governance,administrator,4.035,4.322,4.194,4.553,1.000,5.312,4.369,3.439,5.432,4.005,3.048,3.511
I0199,civic_governance,administrator,4.159,4.066,4.513,4.517,1.248,4.245,4.345,4.108,4.902,3.753,4.113,4.091
I0200,civic_governance,administrator,3.753,4.440,3.447,3.559,1.000,4.590,4.052,3.495,4.820,4.404,3.264,3.445
I0201,civic_governance,manager,4.555,4.580,3.494,3.913,2.256,4.646,4.783,3.935,5.473,4.277,4.137,3.550
I0202,civic_governance,manager,3.927,3.581,3.676,4.093,1.865,4.338,4.621,3.789,4.040,4.869,3.870,3.523
I0203,civic_governance,manager,4.890,3.582,3.671,3.475,1.262,4.387,4.255,3.687,5.123,3.898,2.947,3.816
I0204,civic_governance,manager,3.606,5.207,3.446,4.022,1.000,3.561,4.244,4.186,4.928,4.161,4.273,4.127
I0205,civic_governance,manager,4.467,3.955,3.316,3.689,1.355,4.577,4.654,3.824,5.336,4.377,3.975,3.189
I0206,civic_governance,manager,4.967,2.397,3.200,4.015,1.000,4.458,4.195,3.228,4.346,3.977,4.151,3.359
I0207,civic_governance,manager,6.151,4.430,3.647,4.388,1.562,5.629,4.964,4.258,5.778,4.666,4.109,3.399
I0208,civic_governance,manager,2.506,4.037,2.812,3.719,1.000,3.336,4.754,3.568,4.106,3.543,4.238,3.055
I0209,civic_governance,frontline_official,3.979,4.558,4.471,4.899,1.283,4.222,4.017,4.228,5.219,4.893,4.183,4.329
I0210,civic_governance,frontline_official,3.942,3.538,3.389,3.951,1.360,3.943,3.385,4.206,5.118,4.114,4.051,3.981
I0211,civic_governance,frontline_official,5.358,3.910,3.944,4.161,1.000,4.733,3.658,3.714,5.339,3.731,4.237,3.363
I0212,civic_governance,frontline_official,5.296,3.645,2.977,3.751,2.399,4.358,4.276,3.960,4.396,4.515,3.174,3.938
I0213,civic_governance,frontline_official,3.670,5.397,4.364,4.109,1.000,4.789,3.452,4.095,6.047,4.365,4.960,4.223
I0214,civic_governance,frontline_official,4.875,3.580,3.958,4.238,1.206,4.537,3.343,4.012,5.998,4.841,3.227,3.294
I0215,civic_governance,frontline_official,3.737,4.454,3.588,3.657,1.763,4.157,3.689,4.173,4.395,4.464,3.673,4.304
I0216,civic_governance,frontline_official,3.915,4.382,3.907,3.367,1.178,4.534,4.092,4.046,4.841,4.284,5.349,4.091
I0217,civic_governance,committee_lead,3.694,3.588,3.541,4.394,1.831,4.033,4.728,3.350,3.810,3.913,3.076,3.784
I0218,civic_governance,committee_lead,3.190,4.615,3.853,3.778,2.039,4.747,4.345,4.289,5.402,4.007,4.609,4.262
I0219,civic_governance,committee_lead,4.924,4.656,3.705,4.966,1.095,4.928,4.424,3.990,5.498,5.213,4.583,4.514
I0220,civic_governance,committee_lead,4.509,3.849,4.092,3.967,1.097,5.025,3.905,4.434,4.677,4.948,3.664,3.727
I0221,civic_governance,committee_lead,4.604,3.286,3.009,3.251,1.427,4.907,4.084,3.977,4.525,4.095,2.906,4.316
I0222,civic_governance,committee_lead,4.768,3.901,3.732,4.377,1.244,5.141,4.378,4.507,5.441,4.237,4.709,4.002
I0223,civic_governance,committee_lead,4.136,3.826,4.953,5.024,1.785,4.997,4.815,4.042,5.171,4.731,4.305,4.431
