person_id,c1,c2,c3,c4,c5,c6,e1,e2,e3,e4,e5,e6,n1,n2,n3,n4,n5,n6,conscientiousness_score,extraversion_score,neuroticism_score,self_report_consistency_index,trait_observation_alignment
TRT00011,2.919,3.913,4.022,3.044,4.115,2.879,3.779,3.015,3.116,3.509,3.357,3.267,1.982,3.407,2.197,2.063,3.481,3.097,3.482,3.341,2.704,7.932,7.661
TRT00012,3.479,3.978,4.965,3.896,5.018,4.065,3.985,3.956,4.295,3.760,3.562,4.364,4.063,3.615,3.274,3.630,4.223,3.039,4.233,3.987,3.641,8.092,8.350
TRT00013,4.603,4.940,5.605,6.223,5.277,5.659,2.779,4.055,3.241,4.162,4.072,3.366,4.584,4.822,3.316,2.687,3.039,3.557,5.385,3.612,3.667,7.687,8.210
TRT00014,3.116,2.974,3.884,3.748,3.560,3.714,4.630,3.705,3.117,4.392,5.267,4.427,2.047,1.776,1.296,2.704,1.333,1.297,3.499,4.256,1.742,7.976,8.260
TRT00015,2.325,1.764,1.829,2.933,2.470,1.000,4.214,3.893,4.139,3.895,3.830,3.935,5.380,5.561,4.280,5.781,4.863,4.213,2.053,3.984,5.013,7.969,7.314
TRT00016,3.473,4.239,3.447,4.865,3.184,4.523,5.116,6.509,6.804,5.725,5.864,7.000,1.959,2.730,3.108,2.767,3.272,1.710,3.955,6.170,2.591,7.791,8.204
TRT00017,3.842,4.615,3.803,3.286,4.122,4.846,5.288,6.124,5.361,5.293,4.082,6.016,2.542,3.412,3.455,3.558,3.762,3.015,4.086,5.360,3.291,7.688,7.692
TRT00018,3.846,3.586,4.580,4.348,4.906,5.010,3.368,3.177,2.417,2.381,2.924,4.515,3.566,2.782,3.988,3.234,5.170,3.800,4.380,3.130,3.757,7.602,8.505
TRT00019,2.809,2.883,2.405,2.530,2.279,3.406,5.008,5.494,5.303,5.409,4.550,5.211,2.446,2.784,3.101,3.126,3.316,3.928,2.719,5.163,3.117,8.765,7.107
TRT00020,3.819,2.637,3.493,2.281,3.004,3.834,3.085,4.479,4.843,5.563,3.422,5.325,3.611,2.971,3.446,3.671,4.592,3.859,3.178,4.453,3.691,7.135,7.779
TRT00021,4.606,5.652,6.416,5.534,5.467,5.522,2.957,4.302,4.307,4.536,3.676,3.603,5.317,5.088,4.273,4.293,5.138,5.354,5.533,3.897,4.911,8.008,8.567
TRT00022,6.135,4.822,4.957,5.496,4.105,5.230,2.661,1.646,2.232,3.218,4.233,2.427,4.431,5.099,4.245,4.587,4.558,5.339,5.124,2.736,4.710,7.403,7.451
TRT00023,2.389,4.551,4.511,4.411,4.164,4.190,3.704,3.935,3.433,4.660,3.594,3.104,2.817,4.488,4.780,4.274,3.698,3.245,4.036,3.738,3.884,7.489,7.835
TRT00024,2.048,2.778,3.052,3.042,1.678,2.566,3.561,2.479,1.921,3.398,4.178,2.958,4.818,3.394,3.516,3.274,3.317,2.794,2.527,3.082,3.519,7.641,7.819
TRT00025,4.414,3.951,3.724,3.854,3.179,3.182,3.752,4.889,4.675,4.176,4.283,5.527,3.991,1.811,2.081,3.383,2.521,3.821,3.717,4.551,2.935,7.359,7.800
TRT00026,2.745,2.635,2.374,3.255,3.124,2.969,3.580,3.746,3.799,3.647,3.137,2.779,1.755,3.591,2.826,2.601,3.445,2.922,2.850,3.448,2.857,8.088,7.661
TRT00027,4.719,4.340,5.470,5.045,5.117,3.998,2.706,3.618,3.619,4.537,3.863,3.587,2.585,2.028,2.529,3.662,2.913,2.139,4.782,3.655,2.643,7.939,8.272
TRT00028,3.635,4.575,4.239,4.379,4.209,4.613,4.207,3.559,2.962,3.770,2.688,3.611,4.425,4.940,5.005,4.248,5.144,4.708,4.275,3.466,4.745,8.503,7.857
TRT00029,4.837,4.895,6.103,4.972,5.448,5.483,3.806,2.936,3.362,2.046,2.798,3.015,3.298,3.375,2.660,2.753,3.611,3.858,5.290,2.994,3.259,8.447,8.252
TRT00030,6.527,4.576,5.239,5.318,4.506,5.108,1.301,3.108,2.484,2.613,3.110,2.824,7.000,6.698,6.373,6.185,5.797,7.000,5.212,2.573,6.509,7.677,7.315
TRT00031,2.061,2.239,3.978,3.066,2.847,2.815,2.680,3.078,3.342,2.942,2.344,2.799,3.268,3.999,2.664,3.629,2.261,2.519,2.834,2.864,3.057,7.472,8.062
TRT00032,3.767,2.795,4.504,3.176,3.164,4.920,4.478,4.829,4.477,5.460,4.717,4.424,3.207,2.397,3.995,4.329,4.319,3.683,3.721,4.731,3.655,7.411,7.674
TRT00033,5.716,4.728,4.178,5.030,5.284,4.321,4.282,5.084,4.685,3.257,4.233,3.809,3.416,2.948,3.212,2.791,3.302,3.242,4.876,4.225,3.152,8.281,8.691
TRT00034,3.746,3.595,3.900,5.865,4.438,3.649,2.870,2.671,2.643,1.398,3.278,3.108,4.423,5.311,4.552,3.652,5.729,4.534,4.199,2.662,4.700,7.051,7.660
TRT00035,5.234,5.648,5.912,5.412,5.493,4.274,3.677,3.505,2.744,4.363,3.611,3.493,4.185,4.014,3.495,4.815,2.880,3.318,5.329,3.565,3.784,8.197,8.944
TRT00036,4.299,3.227,3.900,3.980,3.615,4.218,3.896,4.689,5.205,5.160,3.730,4.574,4.150,3.020,3.807,3.622,3.796,4.508,3.873,4.542,3.817,7.869,8.507
TRT00037,2.634,3.354,4.473,4.298,4.220,3.147,4.941,3.848,3.231,3.565,3.544,3.511,3.660,4.059,3.813,5.321,4.237,3.200,3.688,3.773,4.048,7.450,7.527
TRT00038,2.696,3.363,2.386,2.921,3.228,2.012,5.816,4.727,5.518,5.194,5.349,4.985,5.284,4.588,5.934,4.774,4.817,4.627,2.768,5.265,5.004,8.502,7.301
TRT00039,3.536,2.841,3.662,3.907,4.491,3.744,4.106,3.408,4.811,3.830,2.495,3.896,3.361,2.331,3.058,2.863,3.766,4.064,3.697,3.758,3.240,7.698,8.428
TRT00040,5.626,4.485,3.663,5.879,4.972,4.968,3.086,3.210,2.874,2.801,1.475,1.709,3.925,4.265,3.732,4.367,3.210,3.129,4.932,2.526,3.771,7.436,8.623
TRT00041,2.210,4.471,4.680,4.088,3.016,3.655,3.442,4.041,4.652,3.466,3.987,4.043,4.212,4.672,4.737,4.562,4.210,5.667,3.687,3.939,4.677,7.653,7.191
TRT00042,4.930,6.058,5.286,5.127,4.916,4.222,1.577,3.447,3.612,3.887,3.340,2.613,1.790,1.000,2.630,2.638,2.422,2.354,5.090,3.079,2.139,7.134,8.169
TRT00043,2.716,1.609,3.100,2.502,2.059,3.061,4.555,4.939,4.703,5.604,4.706,5.207,4.450,1.980,3.118,4.225,3.417,3.543,2.508,4.952,3.456,7.873,8.015
TRT00044,4.156,3.927,4.652,3.953,4.063,4.609,2.474,2.816,3.117,3.361,2.265,2.920,1.537,3.185,3.185,1.000,2.164,1.641,4.226,2.826,2.119,7.857,7.705
TRT00045,4.172,5.701,3.421,4.091,5.336,5.032,2.782,3.345,3.562,2.192,2.683,3.069,4.609,4.127,4.994,4.136,4.092,5.044,4.625,2.939,4.500,8.146,8.772
TRT00046,5.248,4.763,5.346,4.827,5.918,5.312,5.377,4.056,4.124,4.702,5.109,5.159,4.174,4.690,3.850,4.041,4.419,3.361,5.236,4.755,4.089,8.443,7.742
TRT00047,3.088,3.700,3.988,3.713,3.035,3.617,4.518,4.039,4.847,3.744,3.566,4.069,1.993,2.042,3.157,3.204,2.540,2.517,3.523,4.131,2.575,8.572,8.223
TRT00048,5.371,5.439,6.557,7.000,5.735,4.812,3.269,4.714,4.640,4.777,3.308,4.233,4.462,5.563,5.694,6.439,4.584,5.319,5.819,4.157,5.344,7.419,7.748
TRT00049,3.267,3.349,3.887,2.137,3.852,2.841,1.708,1.863,1.529,1.812,1.000,1.420,1.430,1.792,2.404,1.816,2.288,2.099,3.222,1.555,1.971,8.851,7.171
TRT00050,2.828,1.903,2.496,2.596,2.672,3.350,2.854,3.337,2.939,2.967,1.862,2.135,4.723,4.786,4.194,4.360,4.368,3.839,2.641,2.682,4.378,8.299,7.868
TRT00051,4.714,5.007,5.133,4.577,5.758,3.958,4.118,4.470,4.679,3.911,5.332,4.024,2.455,3.982,2.814,2.870,3.522,3.894,4.858,4.422,3.256,7.625,8.255
TRT00052,2.080,2.035,1.972,3.039,2.235,1.112,3.051,3.216,3.349,3.608,3.272,3.726,2.758,3.685,1.844,2.080,1.284,1.626,2.079,3.370,2.213,7.886,7.677
TRT00053,1.214,1.580,1.703,2.747,2.843,2.870,4.276,3.820,4.488,4.786,4.422,4.879,4.133,5.867,4.862,4.357,5.142,6.108,2.159,4.445,5.078,7.856,7.649
TRT00054,3.697,3.981,3.433,2.485,3.329,3.689,4.037,4.266,3.565,2.420,2.708,2.405,3.579,3.073,3.057,2.816,2.712,3.619,3.435,3.234,3.143,7.883,7.895
TRT00055,3.018,4.684,4.107,5.048,4.127,4.147,5.778,5.094,5.828,5.263,6.733,5.153,4.299,4.201,4.633,3.627,4.367,4.424,4.189,5.641,4.259,8.224,7.515
TRT00056,3.276,1.627,2.939,2.694,4.482,3.341,3.504,2.567,3.475,4.146,3.183,3.353,5.343,4.200,4.411,5.002,4.251,4.611,3.060,3.371,4.636,7.948,7.750
TRT00057,5.651,5.126,4.717,4.433,4.513,5.322,4.106,3.995,4.014,4.995,2.664,4.017,3.786,3.280,4.550,3.029,3.276,3.796,4.960,3.965,3.620,7.756,8.220
TRT00058,4.468,2.871,3.180,5.244,3.840,3.994,5.307,4.921,5.267,4.881,4.942,5.573,3.181,4.259,3.428,3.562,3.787,3.756,3.933,5.149,3.662,8.071,8.045
TRT00059,1.594,2.210,1.979,2.105,2.889,2.381,3.961,4.074,6.188,5.637,5.397,5.634,2.674,3.187,3.540,1.792,2.640,4.571,2.193,5.149,3.067,6.832,7.437
TRT00060,4.873,4.240,3.544,4.689,5.654,4.941,4.714,4.443,4.854,4.401,4.738,4.473,5.969,5.014,6.079,5.602,6.274,4.988,4.657,4.604,5.654,8.012,7.248
TRT00061,3.814,3.985,3.260,2.650,3.789,3.716,3.010,3.371,5.035,3.304,2.948,4.041,5.333,5.542,5.870,3.867,5.394,6.976,3.536,3.618,5.497,7.312,7.204
TRT00062,4.754,3.983,3.337,3.411,4.328,3.864,4.582,3.893,4.038,3.499,2.610,4.382,4.288,3.415,3.624,3.703,3.838,3.441,3.946,3.834,3.718,8.170,8.180
TRT00063,1.809,3.618,3.445,2.869,2.494,2.648,4.277,2.682,3.422,3.823,4.713,3.952,4.137,2.919,3.593,4.546,4.371,4.733,2.814,3.811,4.050,7.978,8.364
TRT00064,5.368,4.567,5.284,3.351,4.315,4.643,2.746,1.762,1.564,1.000,1.809,2.609,1.589,1.498,1.874,1.863,2.491,2.419,4.588,1.915,1.956,7.900,7.424
TRT00065,2.925,2.734,3.319,1.729,2.136,1.793,3.027,2.845,3.854,2.562,2.851,3.372,3.627,2.345,3.167,2.616,3.402,2.832,2.439,3.085,2.998,8.249,7.306
TRT00066,3.206,2.503,2.424,2.174,3.378,2.583,5.141,6.694,5.359,5.889,5.742,6.075,5.183,4.781,4.101,6.119,5.494,4.707,2.711,5.817,5.064,7.912,6.628
TRT00067,3.738,3.702,4.464,5.092,4.771,3.395,3.939,3.794,4.533,4.961,3.000,6.278,2.619,1.922,2.038,2.846,1.000,1.617,4.194,4.418,2.007,7.099,7.724
TRT00068,4.221,2.609,4.036,3.034,3.038,2.977,2.634,3.349,4.039,3.425,3.683,2.317,3.101,3.518,1.761,4.086,1.835,3.079,3.319,3.241,2.897,7.321,7.713
TRT00069,5.498,4.673,4.691,4.758,6.058,4.594,3.318,2.779,2.960,3.159,3.671,3.352,3.979,3.353,3.481,2.513,3.549,2.977,5.045,3.206,3.309,8.385,8.199
TRT00070,4.600,4.543,4.780,4.739,4.764,3.652,5.570,5.089,5.367,5.937,5.424,4.386,4.332,4.856,4.387,4.250,4.338,3.670,4.513,5.296,4.305,8.633,7.807
TRT00071,4.034,3.960,2.412,3.525,2.935,3.369,4.007,4.106,5.172,4.916,3.481,3.863,1.000,3.195,3.869,2.232,2.389,2.413,3.373,4.257,2.516,6.760,7.809
TRT00072,5.032,5.090,4.793,5.358,6.499,5.012,2.004,1.790,2.680,2.441,2.289,2.033,3.027,2.620,3.265,3.433,2.442,3.293,5.298,2.206,3.013,8.337,7.860
TRT00073,3.649,3.913,2.840,3.870,3.512,3.333,1.082,2.119,2.174,2.771,1.090,2.784,3.515,3.271,3.551,3.974,2.821,2.629,3.519,2.003,3.293,7.678,7.863
TRT00074,3.472,2.741,2.275,4.147,1.773,2.911,2.770,2.761,3.258,2.841,1.420,2.907,4.147,4.727,2.728,4.419,3.959,4.189,2.887,2.659,4.028,6.822,7.587
TRT00075,6.537,6.232,6.075,4.943,6.562,6.017,3.092,1.061,2.851,1.733,2.138,2.787,5.365,4.021,4.398,4.176,5.130,4.491,6.061,2.277,4.597,7.855,7.409
TRT00076,5.353,4.749,5.969,4.460,3.599,4.229,2.544,2.904,2.438,4.281,3.477,3.058,2.626,3.613,2.662,3.806,2.510,2.685,4.727,3.117,2.984,7.340,6.998
TRT00077,5.356,7.000,5.392,5.577,6.271,5.822,2.219,2.923,1.791,2.598,2.933,2.099,3.677,4.623,4.636,5.477,3.739,3.146,5.903,2.427,4.216,7.466,7.736
TRT00078,6.914,4.884,5.131,3.448,4.844,3.808,2.026,2.050,3.304,1.995,2.609,2.847,4.268,4.698,4.792,4.927,4.345,5.248,4.838,2.472,4.713,6.896,7.829
TRT00079,3.960,3.147,4.209,3.970,4.441,3.229,4.185,2.480,4.230,3.898,3.136,2.860,4.568,2.362,4.129,3.905,3.984,2.811,3.826,3.465,3.627,7.064,8.575
TRT00080,1.713,3.111,2.576,1.680,2.890,3.130,3.358,4.125,3.546,2.580,4.445,4.668,1.793,1.356,1.661,2.273,1.868,2.306,2.517,3.787,1.876,7.768,7.363
TRT00081,2.853,4.422,3.342,4.080,4.538,3.130,3.927,3.429,3.489,3.546,3.745,2.038,3.524,4.053,4.014,4.140,2.991,3.509,3.728,3.363,3.705,7.512,7.690
TRT00082,4.723,3.206,4.086,4.133,3.903,4.529,3.190,2.565,2.264,1.844,2.580,3.445,3.366,3.242,3.159,2.544,2.438,3.128,4.097,2.648,2.979,8.067,8.013
TRT00083,4.602,5.297,5.868,5.379,5.281,5.099,2.371,1.000,2.867,2.371,1.574,2.211,4.229,4.113,3.659,4.005,4.126,4.203,5.254,2.065,4.056,8.026,8.055
TRT00084,4.619,5.257,6.060,5.250,5.865,5.642,4.502,5.368,5.586,5.416,5.876,5.368,5.740,5.695,4.194,5.391,5.555,5.176,5.449,5.353,5.292,8.115,6.971
TRT00085,2.443,2.998,3.448,3.375,3.090,2.742,2.648,2.316,2.808,1.654,3.387,2.159,5.247,5.499,3.945,5.027,3.502,5.592,3.016,2.495,4.802,7.837,7.718
TRT00086,2.871,4.088,3.961,3.484,4.063,4.627,3.403,3.429,3.432,2.270,3.844,2.412,4.036,3.284,3.858,5.469,4.273,4.659,3.849,3.131,4.263,7.381,7.851
TRT00087,1.807,3.947,3.236,3.514,2.906,2.624,3.321,4.952,5.782,4.097,4.488,4.977,3.222,3.499,3.331,3.354,3.245,2.886,3.005,4.603,3.256,7.717,7.713
TRT00088,3.564,4.201,4.709,3.220,3.012,3.460,4.088,5.323,5.202,5.103,4.900,4.676,4.202,5.194,5.097,5.357,4.032,5.316,3.694,4.882,4.866,8.399,7.495
TRT00089,2.538,1.881,2.733,3.149,3.616,2.295,3.323,3.397,2.340,3.678,3.741,3.520,4.189,4.692,4.427,5.103,4.091,4.490,2.702,3.333,4.499,8.269,7.647
TRT00090,3.230,4.073,4.055,4.235,4.399,4.413,4.634,2.928,4.198,3.112,4.825,4.486,1.000,1.261,1.226,1.184,1.000,1.370,4.068,4.031,1.174,8.172,7.127
TRT00091,6.473,5.644,6.010,5.294,6.036,5.696,4.710,3.972,3.645,3.764,4.788,3.035,5.759,4.581,4.746,4.507,4.891,3.284,5.859,3.986,4.628,7.471,7.539
TRT00092,5.651,6.840,6.048,4.533,5.700,5.947,3.133,2.595,2.356,3.214,3.587,2.455,4.869,2.972,3.154,3.118,3.498,2.873,5.787,2.890,3.414,7.688,7.121
TRT00093,5.113,3.975,4.355,5.001,4.077,3.140,4.432,3.769,3.287,4.443,2.985,3.915,2.940,2.681,3.341,3.553,3.767,3.049,4.277,3.805,3.222,7.931,7.549
TRT00094,4.591,4.174,4.775,3.478,3.972,3.257,3.364,4.147,4.652,4.094,4.777,3.944,4.895,3.018,3.150,3.420,4.407,4.439,4.041,4.163,3.888,7.511,8.258
TRT00095,5.211,4.248,4.072,3.681,3.574,3.724,3.226,2.583,1.978,2.725,2.764,2.663,3.753,4.429,4.175,3.780,3.875,4.413,4.085,2.657,4.071,8.108,8.845
TRT00096,3.641,4.780,4.183,5.085,4.561,3.478,3.504,2.865,2.662,2.886,2.821,3.036,2.960,3.904,3.406,4.106,3.212,3.250,4.288,2.962,3.473,8.181,8.213
TRT00097,4.792,4.272,5.357,4.027,4.949,6.371,4.018,5.115,3.250,3.891,2.742,3.346,4.703,3.529,5.555,3.510,5.500,3.800,4.961,3.727,4.433,6.836,8.091
TRT00098,3.324,2.974,4.081,2.779,3.030,2.726,1.978,4.117,2.650,4.086,1.941,4.529,4.436,4.906,5.702,5.091,4.946,4.717,3.152,3.217,4.966,7.395,7.221
TRT00099,4.681,4.629,4.463,3.994,3.223,4.273,4.614,4.263,3.104,4.586,5.101,3.619,4.259,4.041,4.894,4.847,5.113,4.513,4.210,4.215,4.611,7.877,7.547
TRT00100,4.434,3.302,5.705,3.043,4.105,4.119,5.119,5.805,5.433,4.952,5.097,5.225,4.671,3.753,4.481,3.692,4.879,4.838,4.118,5.272,4.386,8.293,7.554
TRT00101,4.814,5.148,5.365,4.847,5.455,5.017,6.366,3.179,3.318,5.290,4.457,5.043,4.933,3.873,4.828,4.512,3.750,3.467,5.108,4.609,4.227,7.802,7.567
TRT00102,1.679,2.342,1.763,2.702,2.512,2.675,4.751,3.824,3.219,3.987,4.129,3.588,5.062,4.473,5.052,3.916,5.358,4.224,2.279,3.916,4.681,8.095,7.561
TRT00103,3.772,3.827,4.919,5.425,4.660,3.622,2.963,3.282,3.094,2.987,2.392,3.832,3.562,5.080,4.315,4.130,4.181,4.638,4.371,3.092,4.318,7.308,8.021
TRT00104,4.403,3.392,3.846,4.254,3.333,4.128,4.052,3.968,3.409,3.338,4.464,2.708,3.943,3.940,4.274,5.058,3.923,5.050,3.893,3.657,4.365,7.570,8.206
TRT00105,4.824,3.569,4.396,2.992,4.499,3.788,4.258,2.961,2.767,3.044,4.049,2.905,3.682,4.937,4.732,5.075,3.531,4.912,4.012,3.331,4.478,7.191,8.092
TRT00106,3.983,3.812,3.248,3.146,2.776,3.500,3.588,3.441,4.169,4.289,2.156,4.987,2.932,4.093,2.857,3.340,3.310,2.518,3.411,3.772,3.175,7.237,7.546
TRT00107,3.557,3.457,3.430,4.334,2.561,1.887,4.861,4.201,4.410,3.845,4.175,4.149,1.057,1.003,2.183,1.595,2.437,2.148,3.204,4.273,1.737,7.475,7.553
TRT00108,6.062,4.671,3.901,4.911,5.598,4.035,1.581,2.472,1.210,1.288,2.276,1.000,5.386,5.620,4.556,5.045,5.605,6.215,4.863,1.638,5.405,7.735,7.052
TRT00109,3.425,4.421,3.860,5.206,2.438,4.612,5.155,5.353,6.046,5.709,4.651,6.163,6.110,3.250,3.569,3.214,3.469,2.658,3.993,5.513,3.712,6.619,7.664
TRT00110,4.263,4.558,5.607,2.916,4.781,4.914,3.852,3.450,4.304,4.203,3.935,3.900,2.033,2.478,2.936,4.287,2.777,2.413,4.506,3.941,2.820,7.514,8.566
TRT00111,5.703,4.986,6.449,5.562,6.454,5.905,4.514,5.500,4.507,5.510,3.045,5.480,2.440,3.335,2.840,2.884,3.428,2.642,5.843,4.759,2.928,7.640,8.094
TRT00112,4.634,4.888,4.243,5.906,5.789,5.145,3.739,3.028,3.076,2.799,3.584,2.968,2.806,3.290,4.036,3.893,3.106,3.658,5.101,3.199,3.465,7.882,7.955
TRT00113,4.431,4.213,5.211,5.117,4.579,5.233,2.807,3.644,3.896,3.573,2.914,3.022,2.666,2.679,2.630,3.445,2.589,4.221,4.797,3.309,3.038,8.415,8.627
TRT00114,6.441,5.848,6.481,6.948,6.623,6.415,1.592,2.208,2.300,2.372,3.128,2.265,5.977,4.761,5.416,6.036,5.917,5.919,6.459,2.311,5.671,7.894,6.270
TRT00115,4.860,4.743,4.115,4.714,4.552,4.257,3.360,3.762,5.284,3.228,3.553,3.246,4.219,3.941,4.680,3.861,4.737,4.152,4.540,3.739,4.265,7.730,7.980
TRT00116,4.348,4.339,4.563,3.866,3.531,3.850,4.625,3.330,3.887,3.799,4.384,4.801,2.779,3.269,3.471,2.129,3.628,2.149,4.083,4.138,2.904,7.994,8.368
TRT00117,4.194,4.691,5.141,4.355,5.682,5.504,3.903,3.824,2.929,3.633,3.633,3.009,4.268,5.814,5.972,4.961,4.547,4.270,4.928,3.488,4.972,7.470,8.029
TRT00118,6.054,5.143,4.740,5.438,4.911,5.378,3.176,3.785,2.529,2.460,4.134,3.270,4.046,5.293,5.183,5.210,5.195,3.448,5.277,3.226,4.729,7.813,7.695
TRT00119,3.955,5.333,4.417,5.044,3.348,4.699,2.211,3.080,1.611,2.097,1.402,1.000,2.150,1.000,1.522,2.734,1.864,2.430,4.466,1.900,1.950,7.451,7.704
TRT00120,2.854,2.804,1.733,2.899,2.246,2.369,4.717,3.515,3.658,4.929,4.724,4.458,4.853,3.997,4.775,5.461,3.661,3.875,2.484,4.333,4.437,7.697,7.470
TRT00121,6.345,6.229,5.098,7.000,5.737,5.727,4.854,4.970,4.643,4.667,4.296,4.429,4.155,4.247,4.315,3.483,3.124,4.296,6.023,4.643,3.937,8.262,7.379
TRT00122,3.474,4.035,3.093,3.804,2.498,3.217,5.178,5.514,5.251,5.763,6.374,6.159,2.081,1.275,1.826,1.000,1.238,1.652,3.354,5.706,1.512,8.246,6.578
TRT00123,3.944,3.453,2.858,4.051,3.428,3.349,2.718,2.030,3.369,2.867,2.622,2.324,4.365,3.849,3.692,3.184,4.047,5.424,3.514,2.655,4.094,7.522,7.836
TRT00124,4.272,4.795,5.189,4.730,5.431,4.911,3.781,4.504,4.123,4.567,4.478,4.362,3.651,4.362,4.113,3.225,4.085,3.528,4.888,4.303,3.827,8.671,8.706
TRT00125,3.188,4.333,4.064,3.134,2.879,3.912,2.239,2.958,3.358,2.528,2.625,4.080,4.946,4.334,5.023,3.844,3.754,4.910,3.585,2.965,4.468,7.829,7.781
TRT00126,5.396,4.889,5.653,6.121,5.250,5.849,3.612,3.401,4.342,3.249,3.837,3.409,1.000,1.564,1.241,1.000,1.000,2.204,5.526,3.642,1.335,8.425,7.217
TRT00127,4.034,4.152,4.755,4.756,5.408,5.335,4.651,3.457,3.262,4.124,3.441,5.467,4.339,4.591,3.419,4.577,4.485,4.346,4.740,4.067,4.293,7.393,8.512
TRT00128,5.481,7.000,5.925,5.454,5.983,5.251,3.848,4.661,4.227,4.419,4.648,4.190,5.133,4.528,4.236,5.056,5.008,5.452,5.849,4.332,4.902,8.498,7.715
TRT00129,5.503,5.773,5.373,5.907,5.983,5.631,4.168,2.472,4.345,3.683,3.494,3.673,4.131,3.379,4.109,4.163,4.540,4.615,5.695,3.639,4.156,8.212,7.696
TRT00130,3.014,4.736,2.823,4.137,3.255,3.159,4.406,2.646,4.415,4.016,3.013,2.572,3.829,4.449,3.864,4.623,3.456,4.980,3.521,3.511,4.200,7.271,8.244
TRT00131,4.890,4.743,5.108,5.667,4.435,4.611,5.535,3.466,3.088,2.991,4.434,3.355,4.774,3.480,4.362,4.978,3.871,2.598,4.909,3.811,4.010,6.988,8.224
TRT00132,2.603,3.620,3.267,2.839,3.156,3.690,6.645,4.985,5.104,5.801,6.242,6.588,4.656,5.222,5.252,2.772,4.882,3.556,3.196,5.894,4.390,7.429,8.199
TRT00133,4.509,5.169,4.922,4.899,3.759,3.995,4.117,4.357,4.811,4.236,4.475,4.711,1.000,1.000,1.990,1.788,1.000,1.416,4.542,4.451,1.366,8.606,7.730
TRT00134,5.691,5.198,6.580,6.346,5.422,6.709,3.545,3.887,3.365,4.517,3.374,4.220,3.917,4.140,3.899,3.699,4.916,3.863,5.991,3.818,4.072,7.443,7.709
TRT00135,2.623,4.475,4.535,3.449,5.290,4.474,2.513,3.314,3.739,4.409,3.728,3.849,3.057,2.292,3.386,4.138,3.729,2.097,4.141,3.592,3.117,6.993,8.311
TRT00136,3.466,3.685,2.935,4.674,3.339,3.936,5.715,7.000,4.629,5.843,4.769,6.372,4.642,3.166,4.795,4.626,4.827,4.298,3.672,5.721,4.392,7.111,7.346
TRT00137,3.214,3.566,4.162,4.360,4.000,2.906,4.778,5.275,4.562,5.018,4.200,3.973,4.380,4.020,4.108,4.130,4.334,4.159,3.701,4.634,4.189,8.782,7.620
TRT00138,4.595,5.034,5.894,3.937,4.814,4.857,2.456,3.719,2.896,3.005,4.498,3.043,4.761,4.983,4.586,5.264,5.412,4.931,4.855,3.270,4.989,7.805,8.063
TRT00139,2.674,3.333,3.446,3.155,3.763,3.394,3.592,3.905,4.836,2.796,2.000,4.365,4.160,4.975,3.208,2.791,3.241,3.355,3.294,3.582,3.622,7.730,7.658
TRT00140,2.976,3.313,2.447,2.828,2.483,2.522,3.319,2.391,2.447,2.236,2.938,3.304,4.106,3.759,3.937,3.474,2.927,4.293,2.761,2.772,3.749,8.039,7.375
