person_id,occasion,situation_type,state_extraversion,state_conscientiousness,state_neuroticism,situational_activation,situational_constraint
TRT00003,12,family_obligation,2.871,5.653,5.176,4.344,4.034
TRT00003,13,team_meeting,3.650,6.266,4.495,5.527,4.712
TRT00003,14,family_obligation,3.596,5.573,4.990,3.974,5.805
TRT00003,15,quiet_work,2.064,5.499,4.737,1.748,5.765
TRT00003,16,public_presentation,4.274,6.458,4.955,6.645,5.283
TRT00003,17,recovery_time,3.381,5.393,5.398,3.683,2.295
TRT00003,18,social_event,4.692,5.383,5.274,5.552,2.623
TRT00004,1,public_presentation,5.169,4.908,5.034,7.000,4.835
TRT00004,2,quiet_work,2.768,4.819,3.007,2.361,5.856
TRT00004,3,public_presentation,4.228,5.494,4.578,6.565,5.133
TRT00004,4,quiet_work,3.366,4.293,2.932,1.628,5.917
TRT00004,5,team_meeting,3.243,4.085,4.115,4.742,3.645
TRT00004,6,ambiguous_conflict,4.130,4.343,4.155,5.326,4.062
TRT00004,7,deadline_pressure,3.415,4.404,4.667,3.684,5.497
TRT00004,8,public_presentation,4.487,5.704,3.001,7.000,4.832
TRT00004,9,recovery_time,3.183,4.054,3.781,2.038,1.828
TRT00004,10,family_obligation,4.888,4.855,4.067,4.367,4.368
TRT00004,11,quiet_work,2.958,4.595,2.795,1.000,5.401
TRT00004,12,family_obligation,3.015,3.921,4.636,4.804,4.450
TRT00004,13,family_obligation,3.410,4.849,3.787,4.265,5.455
TRT00004,14,team_meeting,3.567,4.332,4.812,5.257,4.728
TRT00004,15,ambiguous_conflict,3.123,3.909,3.846,5.674,3.285
TRT00004,16,family_obligation,4.102,4.363,3.771,3.019,4.995
TRT00004,17,quiet_work,4.457,4.909,4.201,3.134,6.752
TRT00004,18,recovery_time,3.114,3.937,4.232,3.089,1.836
TRT00005,1,recovery_time,3.154,3.991,2.856,2.228,2.576
TRT00005,2,recovery_time,2.475,3.227,3.132,1.646,2.733
TRT00005,3,team_meeting,3.406,3.592,3.477,5.536,5.129
TRT00005,4,recovery_time,3.340,4.572,3.172,3.095,2.745
TRT00005,5,public_presentation,4.299,4.829,3.707,6.639,4.457
TRT00005,6,recovery_time,2.355,2.790,3.112,2.774,2.711
TRT00005,7,public_presentation,3.706,4.744,3.272,6.685,4.713
TRT00005,8,ambiguous_conflict,3.671,3.589,2.800,4.559,3.013
TRT00005,9,deadline_pressure,1.969,4.333,3.751,4.390,6.079
TRT00005,10,deadline_pressure,3.256,4.354,2.988,4.163,5.427
TRT00005,11,public_presentation,3.346,4.364,3.700,5.683,4.258
TRT00005,12,quiet_work,2.828,4.162,1.950,1.310,5.397
TRT00005,13,quiet_work,2.731,4.591,2.017,2.562,5.877
TRT00005,14,family_obligation,2.796,4.560,3.119,3.961,4.735
TRT00005,15,social_event,3.984,3.946,4.467,6.031,2.870
TRT00005,16,family_obligation,2.278,3.395,3.325,4.545,5.192
TRT00005,17,public_presentation,2.468,4.644,3.287,5.290,4.595
TRT00005,18,team_meeting,2.963,3.650,2.780,3.823,4.790
TRT00006,1,social_event,4.780,5.478,3.413,6.661,3.661
TRT00006,2,public_presentation,4.276,5.830,4.068,6.381,4.162
TRT00006,3,ambiguous_conflict,4.487,5.436,3.661,3.500,3.503
TRT00006,4,social_event,4.813,5.347,4.290,5.520,3.032
TRT00006,5,public_presentation,4.957,5.768,3.539,5.818,4.984
TRT00006,6,family_obligation,4.616,4.985,4.696,4.640,4.121
TRT00006,7,deadline_pressure,4.901,5.866,3.801,3.419,4.966
TRT00006,8,recovery_time,3.652,5.400,2.310,2.083,2.715
TRT00006,9,social_event,5.613,4.213,4.128,5.326,2.696
TRT00006,10,recovery_time,4.530,4.428,3.639,2.773,2.048
TRT00006,11,social_event,4.685,5.241,4.418,6.346,2.148
TRT00006,12,social_event,4.815,4.339,4.785,5.978,1.858
TRT00006,13,ambiguous_conflict,4.434,5.546,4.126,4.507,3.810
TRT00006,14,ambiguous_conflict,4.470,6.211,4.200,5.497,4.003
TRT00006,15,ambiguous_conflict,4.776,5.254,3.686,4.824,3.013
TRT00006,16,public_presentation,4.470,5.281,5.097,6.566,4.940
TRT00006,17,quiet_work,3.945,5.233,3.930,1.249,5.716
TRT00006,18,deadline_pressure,4.843,5.322,4.268,5.332,5.733
TRT00007,1,public_presentation,4.376,4.434,2.622,6.861,5.142
TRT00007,2,public_presentation,4.181,4.562,3.431,6.073,5.332
TRT00007,3,ambiguous_conflict,3.760,3.331,2.967,5.631,1.840
TRT00007,4,social_event,4.336,4.188,2.943,5.490,3.233
TRT00007,5,quiet_work,4.162,3.760,2.307,1.980,4.867
TRT00007,6,team_meeting,3.536,4.311,3.233,4.677,3.529
TRT00007,7,deadline_pressure,4.314,4.295,2.053,4.319,5.442
TRT00007,8,recovery_time,3.635,3.376,3.382,2.897,2.567
TRT00007,9,social_event,5.084,4.530,3.008,5.817,3.595
TRT00007,10,social_event,5.032,4.585,3.612,5.035,2.709
TRT00007,11,deadline_pressure,3.585,3.756,2.834,3.982,5.800
TRT00007,12,team_meeting,4.314,4.693,2.874,4.985,3.582
TRT00007,13,deadline_pressure,4.253,4.664,3.255,4.816,4.767
TRT00007,14,quiet_work,3.840,4.817,1.477,2.366,5.577
TRT00007,15,public_presentation,4.396,5.056,2.864,5.540,5.621
TRT00007,16,family_obligation,3.840,3.826,2.517,3.154,4.519
TRT00007,17,team_meeting,4.473,4.013,2.936,5.598,4.931
TRT00007,18,recovery_time,4.236,3.499,1.982,2.045,1.107
TRT00008,1,deadline_pressure,4.532,3.636,4.725,5.139,5.794
TRT00008,2,social_event,5.099,3.918,5.088,6.034,3.594
TRT00008,3,family_obligation,3.487,3.349,2.928,3.823,5.760
TRT00008,4,family_obligation,4.619,3.314,4.450,5.448,4.005
TRT00008,5,deadline_pressure,3.480,4.009,3.725,4.607,6.033
TRT00008,6,family_obligation,3.256,3.782,3.216,4.212,4.477
TRT00008,7,recovery_time,3.374,2.605,3.385,2.536,1.458
TRT00008,8,team_meeting,4.528,3.238,4.009,5.129,4.290
TRT00008,9,quiet_work,3.439,3.331,3.998,2.418,5.992
TRT00008,10,team_meeting,3.982,2.415,4.884,4.491,3.947
TRT00008,11,social_event,4.464,3.367,3.462,5.943,2.970
TRT00008,12,ambiguous_conflict,4.630,3.786,4.010,4.322,4.322
TRT00008,13,public_presentation,3.246,2.870,4.280,5.678,4.001
TRT00008,14,public_presentation,5.256,3.857,3.788,6.498,5.882
TRT00008,15,team_meeting,4.158,2.666,3.464,5.105,3.432
TRT00008,16,family_obligation,4.199,3.736,3.822,4.681,5.277
TRT00008,17,public_presentation,4.698,4.914,4.120,6.202,5.022
TRT00008,18,ambiguous_conflict,4.362,3.842,4.796,4.824,4.023
TRT00009,1,family_obligation,4.523,5.354,3.413,4.793,5.017
TRT00009,2,deadline_pressure,4.311,5.504,4.306,4.625,5.438
TRT00009,3,family_obligation,3.954,5.210,4.011,3.815,4.428
TRT00009,4,team_meeting,4.173,5.308,3.292,4.321,4.211
TRT00009,5,quiet_work,2.796,5.600,1.992,1.443,5.124
TRT00009,6,family_obligation,3.997,5.522,2.701,4.069,4.880
TRT00009,7,public_presentation,4.174,5.793,4.186,6.904,5.298
TRT00009,8,ambiguous_conflict,4.470,5.362,2.810,4.469,3.526
TRT00009,9,deadline_pressure,3.769,5.130,4.336,5.663,6.006
TRT00009,10,recovery_time,3.291,4.670,2.763,2.272,2.201
TRT00009,11,social_event,4.869,5.056,4.282,7.000,2.672
TRT00009,12,deadline_pressure,4.373,5.237,4.153,4.535,5.084
TRT00009,13,ambiguous_conflict,4.193,5.516,2.746,4.561,3.164
TRT00009,14,team_meeting,4.101,5.853,3.985,5.543,4.429
TRT00009,15,recovery_time,3.204,4.049,1.856,1.788,2.774
TRT00009,16,ambiguous_conflict,4.984,5.440,3.184,6.095,2.083
TRT00009,17,team_meeting,4.457,4.683,4.184,6.064,4.054
TRT00009,18,recovery_time,4.282,4.766,1.834,1.490,1.743
TRT00010,1,family_obligation,4.477,4.267,3.560,5.003,5.006
TRT00010,2,team_meeting,4.374,3.338,3.702,4.754,4.274
TRT00010,3,team_meeting,3.125,3.768,3.315,3.992,4.736
TRT00010,4,social_event,3.852,3.353,3.122,5.937,2.280
TRT00010,5,social_event,4.076,2.849,3.763,5.614,2.947
TRT00010,6,ambiguous_conflict,3.531,3.674,3.409,4.914,4.518
TRT00010,7,public_presentation,4.486,3.939,3.128,6.473,5.199
TRT00010,8,deadline_pressure,5.204,3.890,3.113,5.358,5.476
TRT00010,9,team_meeting,4.645,4.581,3.376,4.986,5.428
TRT00010,10,recovery_time,3.989,3.484,2.602,2.557,2.494
TRT00010,11,public_presentation,4.081,4.497,3.652,5.901,4.507
TRT00010,12,team_meeting,3.471,4.924,3.388,5.483,3.733
TRT00010,13,family_obligation,4.889,3.149,3.312,4.759,4.406
TRT00010,14,family_obligation,4.709,3.692,3.760,4.036,4.535
TRT00010,15,recovery_time,3.274,3.549,2.283,1.967,2.128
TRT00010,16,social_event,4.461,3.154,4.935,6.069,2.558
TRT00010,17,social_event,5.083,4.243,4.407,6.095,2.916
TRT00010,18,quiet_work,2.685,3.743,3.254,3.086,5.052
TRT00011,1,social_event,4.452,4.014,2.139,6.080,1.765
TRT00011,2,ambiguous_conflict,3.588,2.709,2.746,4.882,3.130
TRT00011,3,public_presentation,4.537,4.877,3.430,5.716,4.627
TRT00011,4,social_event,3.601,4.287,3.033,5.959,2.022
TRT00011,5,ambiguous_conflict,4.277,4.306,3.788,5.576,3.459
TRT00011,6,deadline_pressure,3.065,4.738,3.202,4.529,5.084
TRT00011,7,social_event,3.979,2.819,4.327,5.814,2.885
TRT00011,8,deadline_pressure,3.205,4.272,3.030,5.041,5.838
TRT00011,9,deadline_pressure,2.984,3.471,2.577,3.761,5.580
TRT00011,10,deadline_pressure,4.017,4.556,2.970,5.123,5.269
TRT00011,11,quiet_work,3.561,3.009,2.465,1.947,4.433
TRT00011,12,team_meeting,3.544,4.437,3.101,5.055,3.947
TRT00011,13,team_meeting,3.525,3.099,3.240,5.409,4.179
TRT00011,14,deadline_pressure,3.333,3.904,2.551,4.361,5.359
TRT00011,15,public_presentation,4.091,4.053,3.433,7.000,3.951
TRT00011,16,social_event,3.891,3.104,3.248,6.305,2.068
TRT00011,17,team_meeting,4.492,5.038,2.258,5.809,4.409
TRT00011,18,public_presentation,3.569,4.769,3.736,7.000,4.327
TRT00012,1,public_presentation,4.575,4.566,4.559,7.000,5.631
TRT00012,2,social_event,4.758,4.805,4.095,4.977,3.311
TRT00012,3,public_presentation,3.634,5.503,3.942,6.001,4.641
TRT00012,4,family_obligation,3.529,4.679,4.052,3.525,4.351
TRT00012,5,deadline_pressure,3.161,3.961,3.510,4.672,6.173
TRT00012,6,recovery_time,2.830,4.208,2.972,3.526,1.939
TRT00012,7,ambiguous_conflict,4.343,4.706,3.507,4.672,4.014
TRT00012,8,recovery_time,3.686,3.231,2.986,2.599,2.507
TRT00012,9,public_presentation,4.285,5.543,3.549,5.900,5.533
TRT00012,10,recovery_time,3.250,3.112,3.385,1.988,2.637
TRT00012,11,ambiguous_conflict,4.205,5.183,3.995,5.194,2.417
TRT00012,12,public_presentation,4.668,4.893,3.364,5.560,5.930
TRT00012,13,public_presentation,3.925,4.879,4.515,6.558,5.200
TRT00012,14,recovery_time,4.287,3.727,3.705,2.016,2.063
TRT00012,15,recovery_time,4.484,4.659,2.911,1.916,3.216
TRT00012,16,recovery_time,2.730,3.900,2.840,2.497,1.491
TRT00012,17,social_event,4.675,4.486,4.194,6.697,3.158
TRT00012,18,deadline_pressure,3.944,5.116,2.526,5.050,6.312
TRT00013,1,family_obligation,3.578,4.895,3.254,3.951,3.924
TRT00013,2,deadline_pressure,4.694,4.779,2.899,4.241,5.567
TRT00013,3,recovery_time,4.065,3.972,3.073,2.337,2.288
TRT00013,4,recovery_time,2.678,4.326,3.353,2.562,2.877
TRT00013,5,quiet_work,3.063,5.680,3.830,2.137,6.593
TRT00013,6,ambiguous_conflict,3.829,4.575,3.796,5.546,3.545
TRT00013,7,ambiguous_conflict,3.824,4.401,3.171,4.600,3.694
TRT00013,8,team_meeting,3.651,6.026,3.494,5.026,3.739
TRT00013,9,recovery_time,2.628,3.996,2.802,1.694,1.680
TRT00013,10,public_presentation,4.178,5.104,4.460,6.632,4.720
TRT00013,11,deadline_pressure,2.823,6.749,4.171,5.041,5.587
TRT00013,12,team_meeting,3.380,5.770,3.017,4.075,4.437
TRT00013,13,public_presentation,3.702,5.131,3.258,6.476,5.143
TRT00013,14,team_meeting,3.414,4.991,4.274,4.135,5.059
TRT00013,15,social_event,4.768,5.596,4.552,6.252,3.413
TRT00013,16,ambiguous_conflict,4.015,4.617,3.433,5.204,3.320
TRT00013,17,quiet_work,3.676,4.778,3.698,3.408,5.570
TRT00013,18,social_event,4.588,5.032,5.284,6.963,2.722
TRT00014,1,ambiguous_conflict,4.649,4.309,2.293,4.851,3.481
TRT00014,2,deadline_pressure,4.552,4.240,2.289,5.464,5.415
TRT00014,3,public_presentation,3.963,3.919,2.253,6.425,4.536
TRT00014,4,family_obligation,3.367,3.753,2.648,4.074,5.391
TRT00014,5,quiet_work,3.194,4.316,1.244,1.470,6.083
TRT00014,6,social_event,3.475,3.832,2.463,5.277,3.370
TRT00014,7,recovery_time,3.816,3.320,2.503,2.737,1.896
TRT00014,8,social_event,4.656,3.425,2.109,5.610,3.774
TRT00014,9,family_obligation,3.944,4.032,1.691,3.793,5.871
TRT00014,10,ambiguous_conflict,3.659,3.112,2.143,4.104,3.492
TRT00014,11,quiet_work,3.721,3.622,1.203,2.294,6.009
TRT00014,12,social_event,4.486,3.144,1.931,5.096,2.629
TRT00014,13,ambiguous_conflict,5.020,3.539,2.136,4.927,3.727
TRT00014,14,team_meeting,4.584,3.416,1.783,4.197,3.153
TRT00014,15,public_presentation,4.409,4.373,2.971,6.438,5.316
TRT00014,16,deadline_pressure,4.354,4.464,2.878,3.829,5.687
TRT00014,17,quiet_work,3.032,3.846,1.986,2.681,6.613
TRT00014,18,recovery_time,3.721,2.805,1.281,2.239,2.063
TRT00015,1,team_meeting,4.397,2.730,4.226,4.784,4.062
TRT00015,2,social_event,4.553,2.994,4.936,5.995,2.957
TRT00015,3,deadline_pressure,4.646,2.585,4.699,3.995,5.454
TRT00015,4,family_obligation,4.660,2.448,4.678,4.298,4.505
TRT00015,5,quiet_work,2.983,3.561,3.572,2.140,6.617
TRT00015,6,public_presentation,4.567,3.829,5.226,6.536,5.325
TRT00015,7,public_presentation,4.339,3.031,4.668,6.287,5.315
TRT00015,8,team_meeting,2.997,3.157,4.626,5.339,4.495
TRT00015,9,recovery_time,3.693,2.450,3.189,1.504,1.797
TRT00015,10,family_obligation,4.453,2.106,4.314,4.041,4.450
TRT00015,11,family_obligation,3.562,3.117,3.861,3.110,4.698
TRT00015,12,ambiguous_conflict,3.991,2.673,4.276,5.764,3.421
TRT00015,13,public_presentation,3.911,3.377,5.445,7.000,5.096
TRT00015,14,social_event,4.725,3.052,5.197,5.786,2.770
TRT00015,15,deadline_pressure,3.588,3.613,4.399,4.829,5.379
TRT00015,16,social_event,4.110,2.862,4.044,5.389,3.180
TRT00015,17,family_obligation,4.813,3.031,4.785,4.215,4.714
TRT00015,18,social_event,5.102,2.663,4.185,5.096,2.741
TRT00016,1,recovery_time,4.695,2.961,2.770,2.621,1.788
TRT00016,2,team_meeting,5.396,3.290,2.407,5.581,4.100
TRT00016,3,team_meeting,4.936,4.675,2.796,5.160,3.785
TRT00016,4,family_obligation,5.223,5.153,2.862,4.883,4.396
TRT00016,5,social_event,6.274,4.431,3.828,6.216,2.602
TRT00016,6,deadline_pressure,4.977,4.210,2.511,4.307,5.500
TRT00016,7,deadline_pressure,4.737,4.721,3.461,4.557,6.170
TRT00016,8,team_meeting,6.362,3.445,2.896,5.532,3.953
TRT00016,9,quiet_work,4.152,4.061,2.621,2.165,5.763
TRT00016,10,social_event,5.796,4.527,3.820,5.019,2.999
TRT00016,11,quiet_work,4.535,4.361,2.504,2.516,6.060
TRT00016,12,ambiguous_conflict,4.710,4.378,3.231,5.664,3.085
TRT00016,13,team_meeting,5.630,4.064,3.526,6.465,5.040
TRT00016,14,quiet_work,4.187,4.534,2.533,1.809,5.721
TRT00016,15,family_obligation,5.606,4.153,3.517,4.030,4.199
TRT00016,16,social_event,5.454,4.688,4.084,5.932,3.499
TRT00016,17,deadline_pressure,4.813,3.829,2.800,4.433,6.971
TRT00016,18,quiet_work,4.225,3.880,2.347,1.144,5.820
TRT00017,1,deadline_pressure,4.381,3.604,3.884,4.342,5.200
TRT00017,2,team_meeting,5.690,3.917,3.451,5.364,3.842
TRT00017,3,deadline_pressure,5.066,4.033,4.056,3.787,5.905
TRT00017,4,social_event,4.679,4.298,4.966,5.612,3.577
TRT00017,5,public_presentation,5.192,4.990,2.463,6.000,4.563
TRT00017,6,ambiguous_conflict,4.783,4.035,4.091,4.718,3.754
TRT00017,7,public_presentation,4.481,4.340,3.364,7.000,5.063
TRT00017,8,quiet_work,4.649,4.319,2.286,1.646,4.904
TRT00017,9,social_event,6.012,3.284,3.936,6.247,1.688
TRT00017,10,ambiguous_conflict,5.451,4.566,3.108,5.199,3.393
TRT00017,11,public_presentation,5.573,4.734,2.667,6.103,4.767
TRT00017,12,quiet_work,3.628,4.082,2.493,1.501,5.625
TRT00017,13,deadline_pressure,4.237,4.739,3.195,3.803,5.486
TRT00017,14,recovery_time,4.867,2.901,2.768,1.797,1.881
TRT00017,15,team_meeting,4.954,5.572,3.121,4.601,4.703
TRT00017,16,deadline_pressure,3.572,4.898,3.705,4.112,5.398
TRT00017,17,team_meeting,5.451,3.711,3.796,5.312,4.198
TRT00017,18,family_obligation,3.163,4.783,3.230,3.643,5.181
TRT00018,1,ambiguous_conflict,4.606,5.306,4.263,5.382,3.797
TRT00018,2,quiet_work,2.179,5.480,1.839,1.000,4.979
TRT00018,3,ambiguous_conflict,3.270,4.916,4.496,4.797,3.039
TRT00018,4,ambiguous_conflict,4.144,4.877,3.129,5.388,3.116
TRT00018,5,recovery_time,2.974,4.155,3.351,1.912,2.086
TRT00018,6,deadline_pressure,2.907,3.664,3.048,3.647,4.804
TRT00018,7,recovery_time,2.930,4.572,3.246,3.191,1.719
TRT00018,8,team_meeting,3.203,4.287,4.367,4.378,4.653
TRT00018,9,family_obligation,3.609,4.416,3.436,3.772,4.143
TRT00018,10,recovery_time,3.089,3.812,3.028,1.940,2.031
TRT00018,11,team_meeting,3.050,4.557,3.603,4.618,4.942
TRT00018,12,quiet_work,2.090,5.023,3.222,2.962,6.673
TRT00018,13,social_event,3.309,4.052,3.560,6.534,3.601
TRT00018,14,team_meeting,3.556,4.787,3.846,5.240,4.477
TRT00018,15,social_event,3.946,3.595,4.908,6.787,2.025
TRT00018,16,ambiguous_conflict,2.594,4.476,3.245,4.555,3.190
TRT00018,17,public_presentation,3.702,4.478,3.652,6.125,5.484
TRT00018,18,quiet_work,3.018,4.287,2.486,1.828,5.487
TRT00019,1,social_event,5.605,3.324,3.779,5.811,2.427
TRT00019,2,family_obligation,4.727,4.010,3.128,4.453,4.689
TRT00019,3,quiet_work,3.203,3.198,1.644,1.535,5.629
TRT00019,4,ambiguous_conflict,3.884,2.808,3.487,4.710,3.999
TRT00019,5,team_meeting,4.803,2.726,3.183,4.327,4.241
TRT00019,6,family_obligation,4.843,2.640,3.283,4.166,4.583
TRT00019,7,quiet_work,4.402,3.735,3.398,2.569,5.006
TRT00019,8,social_event,5.185,3.105,3.242,4.981,3.644
TRT00019,9,family_obligation,4.107,4.239,2.806,3.469,5.080
TRT00019,10,deadline_pressure,3.589,3.528,3.173,4.242,5.095
TRT00019,11,recovery_time,3.505,3.029,2.551,2.086,2.636
TRT00019,12,family_obligation,5.114,3.785,2.334,4.510,4.866
TRT00019,13,ambiguous_conflict,4.034,3.493,4.192,5.317,3.435
TRT00019,14,family_obligation,4.700,3.331,2.518,4.810,5.111
TRT00019,15,family_obligation,5.808,3.513,3.725,4.772,4.372
TRT00019,16,deadline_pressure,4.127,3.981,2.980,4.467,5.671
TRT00019,17,public_presentation,4.374,3.688,3.141,5.915,4.726
TRT00019,18,recovery_time,4.218,2.661,2.569,1.695,2.126
TRT00020,1,quiet_work,4.118,3.777,2.837,3.460,5.568
TRT00020,2,quiet_work,3.482,4.278,2.621,1.914,6.477
TRT00020,3,public_presentation,4.176,4.288,4.681,6.551,4.416
TRT00020,4,quiet_work,3.625,4.339,3.445,1.773,5.029
TRT00020,5,public_presentation,5.200,4.138,3.647,6.312,5.659
TRT00020,6,deadline_pressure,4.355,3.954,3.580,4.316,4.498
TRT00020,7,recovery_time,4.080,3.300,3.842,2.212,2.315
TRT00020,8,quiet_work,3.157,3.218,3.440,1.000,6.647
TRT00020,9,ambiguous_conflict,5.098,3.655,3.339,5.061,3.396
TRT00020,10,social_event,5.240,4.003,4.102,6.304,2.639
TRT00020,11,quiet_work,2.540,3.229,1.871,1.527,5.722
TRT00020,12,social_event,4.210,2.706,5.270,6.118,1.757
TRT00020,13,team_meeting,5.589,3.655,3.894,4.993,3.786
TRT00020,14,ambiguous_conflict,4.395,4.425,3.700,5.079,4.126
TRT00020,15,social_event,4.709,3.336,4.394,6.546,2.856
TRT00020,16,family_obligation,3.553,4.348,3.507,5.341,5.044
TRT00020,17,recovery_time,3.346,2.198,2.890,2.637,2.573
TRT00020,18,deadline_pressure,4.288,4.690,3.520,4.267,5.535
TRT00021,1,ambiguous_conflict,4.797,5.392,4.865,4.024,3.449
TRT00021,2,social_event,4.058,5.047,4.661,7.000,2.518
TRT00021,3,social_event,3.287,4.812,3.749,4.984,3.851
TRT00021,4,team_meeting,3.904,5.597,4.096,5.141,3.821
TRT00021,5,ambiguous_conflict,3.633,5.223,4.578,4.892,4.222
TRT00021,6,ambiguous_conflict,3.903,4.527,4.376,4.038,3.014
TRT00021,7,social_event,3.954,5.591,5.269,5.544,2.235
TRT00021,8,quiet_work,3.704,5.416,3.568,1.801,4.912
TRT00021,9,social_event,4.735,5.194,4.525,6.452,3.513
TRT00021,10,team_meeting,4.286,4.536,4.543,4.535,4.774
TRT00021,11,ambiguous_conflict,3.435,5.548,3.716,4.223,3.899
TRT00021,12,team_meeting,3.683,5.880,4.620,4.750,4.847
TRT00021,13,deadline_pressure,3.610,5.080,3.770,4.351,5.132
TRT00021,14,team_meeting,3.661,4.949,3.982,5.147,4.760
TRT00021,15,family_obligation,3.288,5.444,4.545,3.525,4.535
TRT00021,16,ambiguous_conflict,3.536,5.188,3.888,5.108,3.523
TRT00021,17,public_presentation,4.526,5.511,4.351,5.213,5.187
TRT00021,18,ambiguous_conflict,3.921,4.963,5.072,6.194,3.774
TRT00022,1,recovery_time,2.824,4.533,3.495,2.685,2.493
TRT00022,2,family_obligation,2.869,5.789,3.944,3.993,4.158
TRT00022,3,family_obligation,3.078,4.312,4.727,3.760,4.154
TRT00022,4,ambiguous_conflict,2.694,4.986,3.942,4.918,4.244
TRT00022,5,recovery_time,2.227,4.345,3.220,2.173,2.033
TRT00022,6,team_meeting,3.402,4.696,3.833,5.103,4.403
TRT00022,7,family_obligation,2.829,5.533,4.601,4.418,4.094
TRT00022,8,public_presentation,3.415,5.462,3.815,5.976,5.781
TRT00022,9,team_meeting,3.877,5.337,4.981,5.317,4.094
TRT00022,10,recovery_time,2.514,3.457,3.900,2.133,1.988
TRT00022,11,quiet_work,2.272,5.218,3.935,2.418,6.041
TRT00022,12,ambiguous_conflict,3.234,5.409,4.470,4.665,3.778
TRT00022,13,deadline_pressure,2.272,5.184,4.299,4.142,5.305
TRT00022,14,public_presentation,3.383,5.089,4.308,5.651,4.971
TRT00022,15,social_event,2.789,4.828,4.584,6.204,2.827
TRT00022,16,recovery_time,3.188,4.594,3.340,2.241,2.838
TRT00022,17,deadline_pressure,3.291,5.334,4.794,4.390,5.087
TRT00022,18,deadline_pressure,3.795,4.963,4.019,4.713,6.074
TRT00023,1,quiet_work,2.721,5.260,3.789,3.069,5.894
TRT00023,2,team_meeting,4.027,4.505,4.014,5.415,5.326
TRT00023,3,quiet_work,2.602,3.733,3.335,2.540,5.604
TRT00023,4,family_obligation,4.345,3.763,3.873,4.057,4.728
TRT00023,5,public_presentation,2.854,5.379,3.578,6.012,5.606
TRT00023,6,recovery_time,3.624,3.027,3.449,2.993,1.911
TRT00023,7,family_obligation,3.645,5.061,3.922,4.188,5.550
