person_id,conscientiousness_score,extraversion_score,neuroticism_score,mean_state_conscientiousness,sd_state_conscientiousness,mean_state_extraversion,sd_state_extraversion,mean_state_neuroticism,sd_state_neuroticism,n_observations,trait_state_alignment_index,state_variability_index,person_situation_sensitivity_index,aggregation_reliability_index
TRT00044,4.226,2.826,2.119,4.468,0.649,2.889,0.682,2.417,0.519,18,9.315,1.850,4.181,7.596
TRT00045,4.625,2.939,4.500,4.676,0.681,2.992,0.734,4.335,0.693,18,9.585,2.109,4.101,8.246
TRT00046,5.236,4.755,4.089,5.139,0.493,4.184,0.553,3.877,0.645,18,9.032,1.691,4.070,7.735
TRT00047,3.523,4.131,2.575,3.976,0.538,4.219,0.814,2.850,0.382,18,9.098,1.734,4.048,7.925
TRT00048,5.819,4.157,5.344,5.417,0.533,3.976,0.753,4.849,0.702,18,8.877,1.988,3.606,7.364
TRT00049,3.222,1.555,1.971,3.866,0.500,2.578,0.607,2.711,0.750,18,7.546,1.857,4.103,7.164
TRT00050,2.641,2.682,4.378,3.297,0.652,3.099,0.746,4.075,0.468,18,8.449,1.867,3.861,7.410
TRT00051,4.858,4.422,3.256,4.607,0.368,3.936,0.591,3.311,0.783,18,9.352,1.742,3.694,7.689
TRT00052,2.079,3.370,2.213,3.043,0.545,3.453,0.739,2.674,0.639,18,8.366,1.924,3.862,7.582
TRT00053,2.159,4.445,5.078,2.945,0.388,4.212,0.518,4.460,0.554,18,8.426,1.460,4.044,7.516
TRT00054,3.435,3.234,3.143,3.797,0.609,3.628,0.520,3.300,0.484,18,9.036,1.613,3.871,8.046
TRT00055,4.189,5.641,4.259,4.484,0.528,4.997,0.722,3.891,0.572,18,8.628,1.822,3.474,7.409
TRT00056,3.060,3.371,4.636,3.801,0.540,3.292,0.708,3.959,0.618,18,8.528,1.867,3.865,7.651
TRT00057,4.960,3.965,3.620,5.000,0.598,3.868,0.312,3.697,0.656,18,9.717,1.566,3.814,7.876
TRT00058,3.933,5.149,3.662,4.091,0.590,4.414,0.731,3.621,0.736,18,8.796,2.057,3.737,7.466
TRT00059,2.193,5.149,3.067,3.168,0.508,4.812,0.484,3.360,0.720,18,8.298,1.712,3.743,7.495
TRT00060,4.657,4.604,5.654,4.507,0.428,4.141,0.852,4.729,0.736,18,8.198,2.016,3.881,7.158
TRT00061,3.536,3.618,5.497,4.058,0.468,3.878,0.767,4.664,0.375,18,8.302,1.610,4.338,7.431
TRT00062,3.946,3.834,3.718,4.361,0.397,3.721,0.735,3.616,0.772,18,9.317,1.905,4.119,7.859
TRT00063,2.814,3.811,4.050,3.376,0.441,3.817,0.706,3.950,0.705,18,9.490,1.853,4.050,7.738
TRT00064,4.588,1.915,1.956,4.709,0.442,2.555,0.665,2.584,0.811,18,8.594,1.917,3.911,7.429
TRT00065,2.439,3.085,2.998,3.248,0.569,3.396,0.616,3.472,0.745,18,8.553,1.930,3.945,7.853
TRT00066,2.711,5.817,5.064,3.426,0.567,5.157,0.604,4.380,0.549,18,7.738,1.719,3.368,7.121
TRT00067,4.194,4.418,2.007,4.447,0.742,4.087,0.625,2.502,0.449,18,9.018,1.816,3.554,7.810
TRT00068,3.319,3.241,2.897,3.592,0.619,3.522,0.424,3.239,0.641,18,8.766,1.684,4.218,7.526
TRT00069,5.045,3.206,3.309,4.773,0.523,3.264,0.609,3.263,0.678,18,9.956,1.810,3.527,8.087
TRT00070,4.513,5.296,4.305,4.749,0.455,4.620,0.620,4.086,0.497,18,8.610,1.572,3.588,7.654
TRT00071,3.373,4.257,2.516,3.797,0.330,3.999,0.516,2.772,0.501,18,8.932,1.346,3.365,7.726
TRT00072,5.298,2.206,3.013,5.017,0.616,2.736,0.794,3.092,0.569,18,9.127,1.978,4.147,7.750
TRT00073,3.519,2.003,3.293,3.806,0.616,2.552,0.841,3.348,0.632,18,9.024,2.088,3.736,7.506
TRT00074,2.887,2.659,4.028,3.782,0.497,3.071,0.709,3.718,0.804,18,8.374,2.010,3.690,7.671
TRT00075,6.061,2.277,4.597,5.526,0.566,2.938,0.510,4.179,0.588,18,8.419,1.663,3.738,7.427
TRT00076,4.727,3.117,2.984,5.113,0.754,3.358,0.610,3.178,0.578,18,8.850,1.942,3.790,7.595
TRT00077,5.903,2.427,4.216,5.457,0.622,2.867,0.628,4.039,0.599,18,9.143,1.850,4.264,7.521
TRT00078,4.838,2.472,4.713,4.628,0.489,3.156,0.825,4.289,0.613,18,8.598,1.928,3.883,7.157
TRT00079,3.826,3.465,3.627,4.202,0.517,3.523,0.515,3.711,0.565,18,9.702,1.597,4.530,8.200
TRT00080,2.517,3.787,1.876,3.499,0.543,3.269,0.562,2.290,0.728,18,8.184,1.832,3.296,7.358
TRT00081,3.728,3.363,3.705,4.516,0.440,3.300,0.853,3.508,0.661,18,8.799,1.954,3.994,7.660
TRT00082,4.097,2.648,2.979,4.399,0.529,3.207,0.729,3.179,0.710,18,8.895,1.968,4.080,7.803
TRT00083,5.254,2.065,4.056,5.067,0.300,2.671,0.648,4.025,0.448,18,9.128,1.397,4.093,7.673
TRT00084,5.449,5.353,5.292,5.014,0.554,4.526,0.807,4.545,0.729,18,7.842,2.091,3.816,7.115
TRT00085,3.016,2.495,4.802,3.658,0.546,2.812,0.760,4.089,0.649,18,8.198,1.955,3.617,7.627
TRT00086,3.849,3.131,4.263,4.052,0.753,3.305,0.674,4.028,0.566,18,9.255,1.993,4.088,7.768
TRT00087,3.005,4.603,3.256,3.792,0.693,4.436,0.499,3.443,0.698,18,9.041,1.889,4.156,7.702
TRT00088,3.694,4.882,4.866,3.749,0.749,4.372,0.784,4.234,0.554,18,8.591,2.087,3.435,7.859
TRT00089,2.702,3.333,4.499,3.385,0.478,3.418,0.596,4.319,0.602,18,8.924,1.675,4.017,7.714
TRT00090,4.068,4.031,1.174,4.287,0.649,3.744,0.716,2.044,0.492,18,8.285,1.857,3.737,7.871
TRT00091,5.859,3.986,4.628,5.307,0.436,3.981,0.618,4.201,0.524,18,8.902,1.578,3.788,7.316
TRT00092,5.787,2.890,3.414,5.164,0.421,3.169,0.885,3.252,0.568,18,8.761,1.874,3.681,7.305
TRT00093,4.277,3.805,3.222,4.540,0.472,3.481,0.819,3.246,0.704,18,9.112,1.995,4.023,7.702
TRT00094,4.041,4.163,3.888,4.220,0.576,4.076,0.580,3.845,0.573,18,9.270,1.730,3.887,7.557
TRT00095,4.085,2.657,4.071,4.296,0.522,3.235,0.540,4.054,0.495,18,9.415,1.557,4.064,8.005
TRT00096,4.288,2.962,3.473,4.241,0.594,3.299,0.651,3.537,0.782,18,9.265,2.027,4.089,7.882
TRT00097,4.961,3.727,4.433,4.730,0.394,3.616,0.631,4.134,0.736,18,9.467,1.761,3.368,7.908
TRT00098,3.152,3.217,4.966,3.707,0.499,3.417,0.628,4.481,0.551,18,8.456,1.679,3.980,7.678
TRT00099,4.210,4.215,4.611,4.493,0.543,3.626,0.530,3.991,0.612,18,8.514,1.685,3.711,7.100
TRT00100,4.118,5.272,4.386,4.201,0.556,4.437,0.516,3.910,0.706,18,8.599,1.778,3.325,7.952
TRT00101,5.108,4.609,4.227,4.810,0.732,4.321,0.695,3.825,0.646,18,9.069,2.073,3.889,7.778
TRT00102,2.279,3.916,4.681,3.316,0.521,4.061,0.554,4.337,0.743,18,8.500,1.819,4.161,7.442
TRT00103,4.371,3.092,4.318,4.247,0.580,3.250,0.774,3.894,0.690,18,9.218,2.043,3.335,7.893
TRT00104,3.893,3.657,4.365,4.213,0.540,3.730,0.664,4.112,0.668,18,9.419,1.872,3.788,7.907
TRT00105,4.012,3.331,4.478,4.378,0.454,3.278,0.621,4.032,0.571,18,9.063,1.646,3.871,7.871
TRT00106,3.411,3.772,3.175,3.880,0.404,3.977,0.589,3.398,0.655,18,9.203,1.648,3.909,7.742
TRT00107,3.204,4.273,1.737,3.715,0.738,3.840,0.521,2.485,0.619,18,8.628,1.879,3.653,7.665
TRT00108,4.863,1.638,5.405,4.789,0.399,2.388,0.689,4.469,0.464,18,8.214,1.552,3.522,7.459
TRT00109,3.993,5.513,3.712,3.959,0.513,4.559,0.833,3.442,0.592,18,8.849,1.938,3.590,7.692
TRT00110,4.506,3.941,2.820,4.435,0.440,3.891,0.660,3.011,0.512,18,9.855,1.612,3.646,8.333
TRT00111,5.843,4.759,2.928,5.285,0.446,4.464,0.743,3.094,0.645,18,8.764,1.834,3.730,7.825
TRT00112,5.101,3.199,3.465,4.967,0.550,3.560,0.706,3.646,0.690,18,9.194,1.946,4.265,7.590
TRT00113,4.797,3.309,3.038,4.687,0.609,3.264,0.523,3.026,0.700,18,9.797,1.831,3.284,8.209
TRT00114,6.459,2.311,5.671,5.571,0.555,2.858,0.680,4.747,0.713,18,7.475,1.948,3.600,7.144
TRT00115,4.540,3.739,4.265,4.549,0.682,4.058,0.546,4.099,0.477,18,9.621,1.705,3.794,8.159
TRT00116,4.083,4.138,2.904,4.366,0.453,4.085,0.585,3.093,0.549,18,9.584,1.587,3.304,7.975
TRT00117,4.928,3.488,4.972,4.696,0.532,3.265,0.650,4.328,0.487,18,8.853,1.668,3.892,7.606
TRT00118,5.277,3.226,4.729,4.865,0.506,3.300,0.654,4.200,0.593,18,9.061,1.753,3.363,7.363
TRT00119,4.466,1.900,1.950,4.654,0.918,2.643,0.578,2.204,0.437,18,8.566,1.933,3.557,7.606
TRT00120,2.484,4.333,4.437,3.372,0.508,3.990,0.703,3.807,0.706,18,8.078,1.917,3.205,7.144
TRT00121,6.023,4.643,3.937,5.406,0.495,4.313,0.781,3.682,0.744,18,8.489,2.020,3.617,7.363
TRT00122,3.354,5.706,1.512,3.901,0.546,5.056,0.701,2.226,0.666,18,8.133,1.913,4.310,7.463
TRT00123,3.514,2.655,4.094,3.900,0.511,3.040,0.833,3.776,0.629,18,8.964,1.974,3.454,7.956
TRT00124,4.888,4.303,3.827,4.818,0.513,4.106,0.688,3.895,0.773,18,9.644,1.974,3.948,7.797
TRT00125,3.585,2.965,4.468,3.931,0.640,3.359,0.777,4.270,0.665,18,8.967,2.081,3.737,7.869
TRT00126,5.526,3.642,1.335,5.320,0.492,3.711,0.673,2.356,0.591,18,8.689,1.756,3.680,7.555
TRT00127,4.740,4.067,4.293,4.890,0.337,4.007,0.608,4.048,0.751,18,9.394,1.697,3.889,8.260
TRT00128,5.849,4.332,4.902,5.337,0.548,4.061,0.762,4.398,0.559,18,8.752,1.869,3.873,7.585
TRT00129,5.695,3.639,4.156,5.410,0.447,3.635,0.646,3.807,0.801,18,9.222,1.893,3.895,7.483
TRT00130,3.521,3.511,4.200,3.770,0.712,3.361,0.632,3.869,0.680,18,9.098,2.024,4.094,7.465
TRT00131,4.909,3.811,4.010,4.935,0.601,3.666,0.559,3.927,0.701,18,9.878,1.862,3.482,7.801
TRT00132,3.196,5.894,4.390,3.416,0.553,5.102,0.655,3.905,0.575,18,8.835,1.783,2.878,7.558
TRT00133,4.542,4.451,1.366,4.567,0.474,3.559,0.675,1.963,0.830,18,8.582,1.979,3.556,7.341
TRT00134,5.991,3.818,4.072,5.555,0.437,3.648,0.528,3.950,0.520,18,9.362,1.484,3.885,7.872
TRT00135,4.141,3.592,3.117,4.188,0.496,3.977,0.562,3.378,0.620,18,9.615,1.679,3.885,7.812
TRT00136,3.672,5.721,4.392,3.847,0.622,4.776,0.732,3.825,0.584,18,8.490,1.937,3.280,7.353
TRT00137,3.701,4.634,4.189,4.214,0.538,4.385,0.685,3.898,0.699,18,8.786,1.923,4.282,7.564
TRT00138,4.855,3.270,4.989,4.968,0.625,3.325,0.764,4.254,0.703,18,9.039,2.093,3.820,7.484
TRT00139,3.294,3.582,3.622,3.772,0.572,3.905,0.518,3.649,0.701,18,9.073,1.790,4.115,7.488
TRT00140,2.761,2.772,3.749,3.623,0.424,3.154,0.657,3.801,0.533,18,8.810,1.613,3.932,8.036
TRT00141,4.904,3.995,2.688,4.847,0.608,4.201,0.557,3.006,0.754,18,9.277,1.919,4.137,7.935
TRT00142,5.183,3.201,1.768,5.074,0.602,3.719,0.747,2.553,0.555,18,8.790,1.904,4.138,7.565
TRT00143,3.007,2.512,5.316,3.489,0.580,2.837,0.554,4.732,0.779,18,8.401,1.913,3.623,7.704
TRT00144,6.029,5.078,4.264,5.437,0.498,4.501,0.615,3.980,0.479,18,8.474,1.591,3.241,7.586
TRT00145,6.077,5.584,4.987,5.426,0.773,4.968,0.559,4.664,0.499,18,8.518,1.831,3.735,7.438
TRT00146,5.034,5.616,2.140,4.933,0.514,5.028,0.820,2.743,0.628,18,8.493,1.961,4.019,7.583
TRT00147,5.576,3.514,2.801,5.007,0.609,3.620,0.549,3.140,0.676,18,9.075,1.834,3.797,7.443
TRT00148,3.339,4.376,6.078,3.480,0.698,4.464,0.696,5.138,0.729,18,8.839,2.123,3.616,7.322
TRT00149,4.203,2.369,4.563,4.205,0.584,2.871,0.600,3.935,0.445,18,8.812,1.629,3.337,7.715
TRT00150,4.802,3.293,4.701,4.795,0.707,3.450,0.584,4.295,0.561,18,9.467,1.851,3.966,7.919
TRT00151,3.719,2.013,3.660,4.131,0.478,2.726,0.739,3.665,0.836,18,8.495,2.053,4.004,7.744
TRT00152,5.601,4.446,4.186,5.277,0.619,4.310,0.580,4.174,0.798,18,9.601,1.998,3.797,7.929
TRT00153,3.937,2.354,3.137,4.189,0.669,2.723,0.870,3.030,0.653,18,9.419,2.192,3.719,7.878
TRT00154,5.774,4.194,4.934,5.149,0.535,4.069,0.671,4.578,0.565,18,8.953,1.771,3.670,7.811
TRT00155,4.684,4.839,5.223,4.596,0.566,4.512,0.593,4.704,0.920,18,9.331,2.079,3.981,7.646
TRT00156,2.522,4.016,2.684,3.141,0.685,3.702,0.485,2.659,0.643,18,9.013,1.812,3.640,7.224
TRT00157,2.132,3.898,4.604,3.235,0.497,3.658,0.684,4.071,0.621,18,8.174,1.803,3.663,7.401
TRT00158,4.140,6.493,4.697,4.404,0.420,5.417,0.719,4.239,0.669,18,8.472,1.808,4.314,7.297
TRT00159,2.598,5.107,3.707,3.590,0.529,4.788,0.503,3.998,0.591,18,8.440,1.622,4.384,7.426
TRT00160,4.226,4.107,5.200,4.361,0.721,3.590,0.767,4.429,0.533,18,8.427,2.021,3.809,7.668
TRT00161,2.185,3.319,4.804,3.164,0.482,3.431,0.641,4.400,0.552,18,8.561,1.675,4.249,7.616
TRT00162,2.810,3.217,3.832,3.531,0.404,3.232,0.634,3.490,0.597,18,9.222,1.636,3.662,7.799
TRT00163,2.499,3.466,4.795,3.298,0.690,3.527,0.688,4.509,0.588,18,8.926,1.967,4.086,7.786
TRT00164,4.237,1.179,5.032,4.534,0.578,2.049,0.512,4.528,0.777,18,8.232,1.868,3.911,7.141
TRT00165,3.122,4.832,4.160,3.705,0.629,4.518,0.757,3.775,0.747,18,8.731,2.133,3.986,7.582
TRT00166,4.088,4.889,4.840,4.363,0.556,4.177,0.451,4.244,0.546,18,8.420,1.554,3.532,7.360
TRT00167,4.605,5.072,3.849,4.667,0.638,4.448,0.544,3.807,0.636,18,9.102,1.818,4.521,8.100
TRT00168,4.075,4.359,3.177,4.108,0.649,4.105,0.579,3.331,0.546,18,9.857,1.774,3.598,8.434
TRT00169,3.674,2.616,3.041,4.124,0.568,3.005,0.543,3.229,0.625,18,8.961,1.736,4.232,7.107
TRT00170,5.927,2.296,2.015,5.523,0.590,2.963,0.613,2.668,0.640,18,8.392,1.843,4.080,7.825
TRT00171,4.806,4.298,2.615,4.700,0.445,4.210,0.626,2.777,0.743,18,9.419,1.814,3.986,7.517
TRT00172,3.673,5.845,4.301,4.021,0.670,5.101,0.848,4.018,0.758,18,8.554,2.277,3.538,7.549
TRT00173,4.683,2.745,1.922,4.664,0.657,3.037,0.719,2.425,0.502,18,9.389,1.879,4.240,7.981
TRT00174,4.678,2.777,4.081,4.490,0.582,3.004,0.532,3.695,0.675,18,9.222,1.789,3.222,7.919
TRT00175,4.584,3.118,4.425,4.494,0.600,3.254,0.581,4.404,0.747,18,9.838,1.928,4.203,8.019
TRT00176,4.138,3.321,5.222,4.279,0.502,3.337,0.839,4.396,0.867,18,9.103,2.207,3.888,7.761
TRT00177,2.447,3.218,2.646,3.247,0.515,3.272,0.581,2.635,0.848,18,8.999,1.945,3.504,7.860
TRT00178,3.672,4.754,3.842,3.743,0.672,4.300,0.720,3.507,0.557,18,9.077,1.949,3.646,7.587
TRT00179,3.795,3.775,4.055,4.012,0.538,3.814,0.763,3.739,0.585,18,9.348,1.885,3.285,8.141
TRT00180,4.168,5.256,5.340,4.349,0.534,4.452,0.627,4.621,0.787,18,8.307,1.947,3.885,7.539
TRT00181,3.885,3.666,5.178,4.174,0.534,3.474,0.566,4.403,0.593,18,8.882,1.694,3.845,7.675
TRT00182,4.710,6.867,3.505,4.769,0.525,5.877,0.674,3.378,0.666,18,8.885,1.866,4.070,7.792
TRT00183,1.227,3.311,2.324,2.674,0.669,3.476,0.676,2.760,0.622,18,7.807,1.967,3.856,7.486
TRT00184,5.160,4.381,2.497,5.167,0.663,4.146,0.650,2.831,0.596,18,9.561,1.908,4.266,8.244
TRT00185,3.484,1.409,5.174,3.955,0.380,2.032,0.608,4.364,0.745,18,8.217,1.734,3.921,7.380
TRT00186,5.168,2.856,5.710,5.106,0.561,3.092,0.657,5.044,0.800,18,9.159,2.017,4.038,7.407
TRT00187,2.734,3.100,3.539,3.439,0.502,3.358,0.742,3.702,0.644,18,8.906,1.888,4.250,7.739
TRT00188,4.143,3.224,4.374,4.662,0.533,3.555,0.570,3.833,0.458,18,8.491,1.561,4.222,7.664
TRT00189,4.847,3.583,3.763,4.726,0.576,3.351,0.568,3.444,0.554,18,9.397,1.698,4.122,7.892
TRT00190,4.079,2.877,2.388,4.343,0.481,3.132,0.613,2.895,0.853,18,8.762,1.947,3.995,7.378
TRT00191,3.219,3.854,3.279,3.909,0.561,3.809,0.475,3.360,0.479,18,9.283,1.514,3.968,7.651
TRT00192,4.101,3.821,4.992,4.427,0.590,3.794,0.638,4.529,0.539,18,9.059,1.767,4.055,7.779
TRT00193,4.108,4.563,5.054,4.377,0.535,4.037,0.516,4.349,0.707,18,8.584,1.758,3.184,7.508
TRT00194,4.205,3.060,5.392,4.555,0.445,3.273,0.670,4.669,0.511,18,8.081,1.626,3.840,7.018
TRT00195,6.021,5.863,3.451,5.461,0.539,4.915,0.882,2.973,0.378,18,8.041,1.799,3.260,7.331
TRT00196,2.315,4.935,3.575,3.351,0.515,4.393,0.598,3.361,0.625,18,8.104,1.739,3.274,7.080
TRT00197,5.054,2.836,5.277,5.011,0.521,3.353,0.539,4.759,0.583,18,8.679,1.643,4.041,7.587
TRT00198,1.772,2.913,3.127,2.767,0.525,3.402,0.782,3.370,0.612,18,8.173,1.919,3.777,7.512
TRT00199,4.678,6.567,4.698,4.659,0.377,5.787,0.567,4.488,0.573,18,9.106,1.517,4.259,7.901
TRT00200,3.546,5.292,3.307,3.822,0.503,4.793,0.496,3.441,0.521,18,9.168,1.520,3.479,7.504
TRT00201,3.572,3.280,5.036,4.134,0.731,3.313,0.672,4.452,0.644,18,8.659,2.047,4.020,7.882
TRT00202,3.978,3.686,4.622,4.257,0.469,3.918,0.803,4.225,0.632,18,9.030,1.904,4.086,7.699
TRT00203,4.135,3.349,3.074,4.374,0.445,3.440,0.666,3.279,0.723,18,9.772,1.834,3.668,8.133
TRT00204,2.967,4.161,2.503,3.667,0.623,4.186,0.697,2.971,0.542,18,8.756,1.862,3.881,7.478
TRT00205,3.427,3.252,3.421,3.676,0.554,3.274,0.671,3.459,0.591,18,9.662,1.815,3.726,7.617
TRT00206,3.449,4.516,2.887,3.796,0.636,4.206,0.710,2.992,0.642,18,8.849,1.988,3.924,7.730
TRT00207,4.720,4.957,3.552,4.439,0.354,4.642,0.574,3.426,0.793,18,9.295,1.721,3.739,7.719
TRT00208,2.680,5.074,5.190,3.354,0.621,4.296,0.806,4.474,0.776,18,7.803,2.203,3.835,6.838
TRT00209,2.924,2.873,2.719,3.466,0.581,3.015,0.666,2.894,0.626,18,9.292,1.872,3.259,7.569
TRT00210,4.008,3.250,4.343,4.124,0.553,3.220,0.691,3.718,0.570,18,9.521,1.814,3.434,8.037
TRT00211,4.894,6.259,4.885,4.902,0.556,5.263,0.619,4.588,0.453,18,8.884,1.628,3.799,7.706
TRT00212,4.870,2.872,2.356,4.563,0.384,3.312,0.667,3.057,0.652,18,8.384,1.703,4.012,7.747
TRT00213,4.665,3.875,4.789,4.689,0.534,3.948,0.601,4.420,0.787,18,9.348,1.922,4.044,7.551
TRT00214,3.120,4.618,2.737,3.702,0.633,4.328,0.584,3.119,0.506,18,8.585,1.724,3.851,7.665
TRT00215,4.500,5.551,3.018,4.447,0.615,4.660,0.771,3.195,0.659,18,8.835,2.046,3.740,7.573
TRT00216,2.885,3.650,4.900,3.601,0.541,3.876,0.556,4.886,0.590,18,8.964,1.687,3.752,7.478
TRT00217,3.167,2.404,2.700,3.486,0.713,2.762,0.706,2.854,0.549,18,9.042,1.967,3.015,7.611
TRT00218,4.662,2.735,3.368,4.326,0.752,3.137,0.625,3.498,0.409,18,9.485,1.786,3.482,8.084
TRT00219,4.387,5.349,4.172,4.530,0.560,4.684,0.648,4.099,0.613,18,8.990,1.821,3.783,7.626
TRT00220,3.754,4.457,4.731,4.323,0.725,4.169,0.778,4.278,0.576,18,8.878,2.079,3.999,7.402
TRT00221,4.224,3.342,4.163,4.383,0.571,3.561,0.650,3.928,0.626,18,9.727,1.846,3.857,7.432
TRT00222,5.828,3.366,3.151,5.327,0.638,3.378,0.494,3.503,0.615,18,8.813,1.748,3.905,8.064
TRT00223,3.395,3.592,3.338,3.863,0.582,3.578,0.562,3.210,0.563,18,9.508,1.707,3.644,7.800
TRT00224,4.436,4.006,2.148,4.491,0.591,3.800,0.769,2.693,0.679,18,9.307,2.039,3.864,8.137
TRT00225,3.878,3.516,3.942,4.042,0.513,3.459,0.498,3.424,0.647,18,9.369,1.658,3.536,7.688
TRT00226,4.574,4.810,4.380,4.630,0.765,4.386,0.556,4.344,0.773,18,9.560,2.095,3.495,7.577
TRT00227,3.588,1.394,3.739,4.103,0.546,2.068,0.833,3.445,0.741,18,8.232,2.120,3.924,7.402
TRT00228,5.692,4.349,5.811,5.435,0.564,4.161,0.744,5.428,0.595,18,9.262,1.903,3.911,7.777
