person_id,identity_context,past_self,present_self,future_self,intentional_clarity,action_ownership,self_efficacy,external_constraint,social_recognition,value_commitment_gap,identity_integration,well_being,past_present_gap,present_future_gap,temporal_self_continuity,agency_index,situated_agency_index,identity_alignment
SAI0114,transition_and_reorientation_context,3.683,4.286,4.237,4.291,5.085,3.301,3.301,3.223,2.025,4.751,3.432,0.604,0.049,0.946,4.094,3.920,4.975
SAI0115,transition_and_reorientation_context,3.955,3.254,4.334,3.471,3.095,3.152,3.747,3.735,4.518,3.879,2.880,0.701,1.080,0.852,3.243,3.341,2.482
SAI0116,transition_and_reorientation_context,4.325,3.306,3.491,3.025,3.465,3.010,3.098,3.165,4.475,4.239,3.269,1.019,0.185,0.900,3.351,3.313,2.525
SAI0117,transition_and_reorientation_context,4.362,2.820,3.689,2.936,2.937,2.534,3.188,3.419,4.338,3.801,3.066,1.542,0.869,0.799,3.055,3.127,2.662
SAI0118,transition_and_reorientation_context,3.663,2.816,4.246,3.645,3.564,3.213,2.821,2.704,3.453,3.913,2.557,0.847,1.430,0.810,3.650,3.461,3.547
SAI0119,transition_and_reorientation_context,4.322,3.111,3.783,3.234,3.718,2.848,2.920,2.651,3.933,3.353,3.200,1.212,0.673,0.843,3.470,3.306,3.067
SAI0120,transition_and_reorientation_context,4.264,2.634,3.174,3.588,3.664,2.687,3.822,2.799,4.177,3.628,2.590,1.630,0.540,0.819,3.279,3.183,2.823
SAI0121,transition_and_reorientation_context,3.226,4.745,4.199,3.856,3.604,3.732,2.723,2.465,2.974,3.398,2.731,1.519,0.546,0.828,3.867,3.587,4.026
SAI0122,transition_and_reorientation_context,3.556,4.000,4.968,3.708,4.220,2.856,3.172,3.173,3.347,4.278,3.278,0.444,0.968,0.882,3.653,3.557,3.653
SAI0123,transition_and_reorientation_context,3.982,3.786,4.727,3.362,3.918,3.319,3.450,3.320,3.100,4.400,3.565,0.196,0.941,0.905,3.537,3.494,3.900
SAI0124,transition_and_reorientation_context,3.722,4.418,4.948,4.133,3.696,3.719,2.915,3.467,2.486,4.455,3.154,0.696,0.531,0.898,3.908,3.820,4.514
SAI0125,transition_and_reorientation_context,3.794,3.489,4.011,3.456,4.283,3.695,3.598,3.135,4.074,4.190,3.053,0.306,0.522,0.931,3.709,3.594,2.926
SAI0126,transition_and_reorientation_context,3.547,4.125,3.884,3.814,4.680,4.090,3.054,3.247,3.039,4.556,3.841,0.578,0.241,0.932,4.133,3.955,3.961
SAI0127,community_supported_identity_context,6.362,5.719,5.981,7.000,7.000,6.531,1.697,5.235,1.325,5.960,4.770,0.643,0.263,0.925,6.459,6.214,5.675
SAI0128,community_supported_identity_context,6.461,6.103,6.314,7.000,7.000,6.607,1.105,4.568,1.270,6.442,5.357,0.358,0.211,0.953,6.626,6.214,5.730
SAI0129,community_supported_identity_context,5.296,5.832,5.545,6.611,6.959,6.310,2.324,5.118,2.102,5.986,4.139,0.537,0.287,0.931,6.139,5.935,4.898
SAI0130,community_supported_identity_context,5.539,6.052,5.982,7.000,7.000,6.114,1.960,4.670,1.640,5.254,4.357,0.513,0.069,0.951,6.289,5.965,5.360
SAI0131,community_supported_identity_context,6.058,5.577,6.399,7.000,7.000,6.399,1.254,4.593,1.000,5.399,5.396,0.480,0.821,0.892,6.536,6.148,6.000
SAI0132,community_supported_identity_context,5.790,6.461,5.874,6.404,6.887,5.862,2.061,4.409,1.427,5.376,4.683,0.671,0.587,0.895,6.023,5.700,5.573
SAI0133,community_supported_identity_context,4.152,5.119,6.264,5.774,7.000,5.824,1.733,4.720,1.902,5.332,4.664,0.967,1.145,0.824,5.966,5.717,5.098
SAI0134,community_supported_identity_context,4.376,5.079,5.754,6.437,7.000,6.413,1.533,3.721,1.329,5.598,4.277,0.702,0.676,0.885,6.329,5.807,5.671
SAI0135,community_supported_identity_context,4.205,4.978,5.687,6.684,7.000,6.086,1.397,4.280,1.878,5.498,4.608,0.773,0.710,0.876,6.343,5.931,5.122
SAI0136,community_supported_identity_context,4.401,4.679,6.068,6.872,7.000,5.995,1.467,4.642,1.602,5.739,4.945,0.278,1.390,0.861,6.350,6.008,5.398
SAI0137,community_supported_identity_context,4.028,5.066,5.707,6.358,7.000,5.520,2.155,4.617,2.810,5.545,4.477,1.039,0.641,0.860,5.931,5.668,4.190
SAI0138,community_supported_identity_context,4.700,5.663,6.574,6.008,7.000,6.383,1.463,4.587,1.000,5.774,5.002,0.963,0.911,0.844,6.232,5.903,6.000
SAI0139,community_supported_identity_context,5.530,5.950,5.520,5.485,6.369,4.773,1.000,5.053,2.383,5.727,4.545,0.419,0.429,0.929,5.657,5.536,4.617
SAI0140,community_supported_identity_context,6.183,6.338,5.571,5.380,6.129,4.339,2.030,5.235,2.479,5.196,4.415,0.155,0.767,0.923,5.204,5.210,4.521
SAI0141,community_supported_identity_context,5.430,6.096,5.919,5.759,5.459,5.545,1.472,4.999,2.389,5.381,4.039,0.666,0.177,0.930,5.572,5.458,4.611
SAI0142,community_supported_identity_context,6.183,6.566,6.298,6.025,5.916,5.553,1.143,5.502,2.553,5.781,5.029,0.383,0.268,0.946,5.838,5.771,4.447
SAI0143,community_supported_identity_context,5.356,5.828,6.180,5.153,4.968,4.062,1.547,4.522,3.022,5.015,4.784,0.471,0.352,0.931,4.909,4.832,3.978
SAI0144,community_supported_identity_context,6.197,5.757,5.669,5.295,5.746,4.980,1.349,5.086,2.401,5.456,5.369,0.440,0.088,0.956,5.418,5.352,4.599
SAI0145,community_supported_identity_context,5.362,4.886,5.275,5.251,6.159,4.233,1.455,4.866,2.935,5.472,4.553,0.476,0.389,0.928,5.297,5.211,4.065
SAI0146,community_supported_identity_context,4.043,5.313,5.082,4.905,6.495,4.131,1.616,4.722,2.969,4.717,4.497,1.270,0.231,0.875,5.229,5.127,4.031
SAI0147,community_supported_identity_context,3.335,4.534,5.549,4.972,5.695,3.807,1.296,5.306,2.796,5.785,4.527,1.199,1.015,0.816,5.044,5.097,4.204
SAI0148,community_supported_identity_context,4.325,4.543,5.096,5.245,5.055,4.713,1.735,4.174,3.345,4.166,3.263,0.218,0.553,0.936,5.069,4.890,3.655
SAI0149,community_supported_identity_context,4.905,4.286,4.931,5.537,6.396,4.766,1.491,4.665,2.947,5.175,4.788,0.620,0.646,0.895,5.552,5.375,4.053
SAI0150,community_supported_identity_context,4.278,5.123,4.661,5.447,5.356,4.457,1.464,4.393,3.125,4.646,3.004,0.845,0.462,0.891,5.199,5.038,3.875
SAI0151,community_supported_identity_context,4.393,5.288,5.564,6.837,6.786,5.975,1.340,4.413,2.529,5.984,5.057,0.895,0.275,0.902,6.314,5.934,4.471
SAI0152,community_supported_identity_context,4.646,5.073,6.180,6.743,6.903,5.934,1.469,4.742,1.476,5.403,5.018,0.427,1.107,0.872,6.278,5.970,5.524
SAI0153,community_supported_identity_context,5.301,6.385,5.883,6.465,6.924,5.970,1.443,4.465,2.149,5.081,5.160,1.084,0.502,0.868,6.229,5.876,4.851
SAI0154,community_supported_identity_context,4.604,6.317,6.468,6.451,6.446,6.270,1.966,4.802,2.526,4.977,4.167,1.713,0.151,0.845,6.050,5.800,4.474
SAI0155,community_supported_identity_context,4.494,5.770,5.212,7.000,7.000,5.956,1.225,4.632,2.481,5.455,4.924,1.276,0.558,0.847,6.433,6.073,4.519
SAI0156,community_supported_identity_context,4.344,5.853,6.026,6.108,6.700,5.821,1.876,4.582,2.218,5.396,4.428,1.508,0.173,0.860,5.939,5.667,4.782
SAI0157,community_supported_identity_context,5.239,5.149,5.421,5.262,5.778,5.367,1.446,4.813,2.925,5.057,4.434,0.090,0.272,0.970,5.490,5.355,4.075
SAI0158,community_supported_identity_context,5.330,4.250,5.424,5.164,5.367,5.105,1.993,3.968,2.937,5.118,3.916,1.080,1.174,0.812,5.161,4.922,4.063
SAI0159,community_supported_identity_context,5.540,5.094,5.531,6.714,5.886,5.616,1.304,4.888,2.474,5.269,4.522,0.446,0.437,0.926,5.978,5.760,4.526
SAI0160,community_supported_identity_context,5.697,4.647,5.611,5.543,5.784,5.870,1.604,4.665,2.461,5.806,4.467,1.050,0.964,0.832,5.649,5.452,4.539
