participant_id,country_context,political_system_type,extraversion,agreeableness,conscientiousness,neuroticism,openness,political_interest,political_efficacy,group_identity_strength,perceived_threat,media_exposure,civic_opportunity,ideology_score,political_participation,affective_polarization,trust_in_institutions,leadership_authority_preference
PB0068,context_B_majoritarian,two_party_majoritarian,3.168,3.062,5.917,3.609,3.991,5.381,4.156,4.440,3.873,3.870,4.083,5.541,5.564,4.046,2.664,3.791
PB0069,context_B_majoritarian,two_party_majoritarian,4.293,2.793,2.981,3.290,3.533,3.753,2.843,3.999,2.529,3.263,4.366,4.749,5.328,2.799,1.943,2.937
PB0070,context_B_majoritarian,two_party_majoritarian,5.079,5.141,5.919,2.680,3.585,4.186,3.757,4.193,2.741,3.107,4.138,3.385,6.785,2.817,2.980,3.086
PB0071,context_B_majoritarian,two_party_majoritarian,3.352,5.012,4.155,3.623,3.712,4.072,2.886,3.518,3.526,3.188,4.041,4.595,4.178,1.915,2.635,4.410
PB0072,context_B_majoritarian,two_party_majoritarian,3.545,5.308,3.617,3.881,4.583,4.337,3.459,4.396,3.328,3.247,4.142,4.804,4.579,2.885,2.952,2.586
PB0073,context_B_majoritarian,two_party_majoritarian,4.391,3.683,3.905,3.720,2.529,3.321,3.258,4.573,3.206,3.029,3.727,5.569,5.568,3.180,1.882,4.354
PB0074,context_B_majoritarian,two_party_majoritarian,3.879,5.703,4.242,4.061,4.770,4.641,2.851,3.933,4.288,4.100,4.128,4.801,5.593,2.954,2.850,3.302
PB0075,context_B_majoritarian,two_party_majoritarian,2.655,3.428,3.086,3.314,5.440,4.510,3.153,4.792,2.523,2.555,4.031,5.220,5.379,3.694,2.017,1.940
PB0076,context_B_majoritarian,two_party_majoritarian,4.092,4.030,3.720,4.548,3.871,3.737,4.118,4.064,3.361,3.373,3.783,3.740,4.944,3.061,2.309,2.515
PB0077,context_B_majoritarian,two_party_majoritarian,3.966,4.231,4.556,3.673,3.593,4.919,4.346,3.956,3.283,2.645,3.939,6.006,5.896,3.450,3.717,2.632
PB0078,context_B_majoritarian,two_party_majoritarian,4.118,3.825,5.001,3.627,3.857,3.964,3.218,5.804,3.366,3.090,4.400,5.433,5.882,3.663,2.320,2.663
PB0079,context_B_majoritarian,two_party_majoritarian,5.554,4.777,4.538,5.062,4.370,5.105,4.846,4.327,2.574,2.985,4.615,4.254,6.704,3.428,2.961,3.439
PB0080,context_B_majoritarian,two_party_majoritarian,4.984,4.026,4.615,4.206,4.143,4.815,4.132,4.339,2.832,3.418,4.321,6.161,7.000,2.842,2.549,3.320
PB0081,context_B_majoritarian,two_party_majoritarian,3.002,4.652,3.083,3.650,3.946,4.072,2.459,3.972,2.654,2.790,4.442,4.210,4.811,2.734,3.370,2.991
PB0082,context_B_majoritarian,two_party_majoritarian,4.150,3.001,3.665,3.969,4.044,4.177,2.498,3.297,3.219,4.054,3.911,4.826,6.519,3.250,2.458,3.737
PB0083,context_B_majoritarian,two_party_majoritarian,4.058,4.670,3.482,4.228,5.204,4.413,2.306,3.011,2.314,2.692,3.953,4.961,5.245,1.313,3.630,1.624
PB0084,context_B_majoritarian,two_party_majoritarian,4.967,4.533,4.416,3.370,3.360,3.623,4.966,4.210,2.954,2.871,4.203,4.818,6.388,3.196,3.511,3.798
PB0085,context_B_majoritarian,two_party_majoritarian,4.552,3.712,2.629,1.817,4.009,4.381,2.706,3.932,1.972,3.303,4.105,4.438,5.451,3.291,3.119,1.922
PB0086,context_B_majoritarian,two_party_majoritarian,3.888,3.322,4.508,4.185,4.412,3.761,2.689,5.592,2.911,2.534,3.784,6.893,4.912,3.611,2.781,3.280
PB0087,context_B_majoritarian,two_party_majoritarian,3.879,5.229,3.875,3.817,4.277,3.975,3.237,5.495,4.669,3.733,4.410,5.374,4.858,3.511,2.683,2.938
PB0088,context_B_majoritarian,two_party_majoritarian,2.350,3.516,4.639,3.800,3.011,2.799,3.515,4.303,3.473,2.766,3.459,3.715,5.173,4.186,2.037,3.345
PB0089,context_B_majoritarian,two_party_majoritarian,4.433,4.367,3.798,3.648,5.288,4.624,2.774,3.112,3.472,2.560,3.928,4.174,5.495,3.191,2.470,3.430
PB0090,context_B_majoritarian,two_party_majoritarian,5.411,3.486,3.328,4.572,3.750,4.529,2.746,3.904,3.987,3.330,4.200,4.995,5.779,3.582,3.461,3.227
PB0091,context_B_majoritarian,two_party_majoritarian,2.951,5.395,4.139,3.541,3.941,4.318,3.357,4.273,2.763,3.916,4.146,5.943,4.697,2.527,2.451,4.226
PB0092,context_B_majoritarian,two_party_majoritarian,3.585,3.372,4.693,3.593,3.953,5.625,3.423,4.412,3.678,3.873,3.652,5.474,5.839,3.059,2.640,3.127
PB0093,context_B_majoritarian,two_party_majoritarian,4.866,4.843,4.286,2.410,4.575,4.714,3.453,3.832,1.745,3.042,3.555,4.470,6.127,3.467,2.157,2.367
PB0094,context_B_majoritarian,two_party_majoritarian,4.196,3.666,3.637,2.963,4.653,4.612,3.509,4.389,2.367,3.615,3.905,5.009,6.441,3.368,3.012,1.786
PB0095,context_B_majoritarian,two_party_majoritarian,4.845,3.412,4.659,3.375,4.709,4.230,3.510,4.128,4.257,3.877,4.050,4.164,6.713,2.860,1.889,3.491
PB0096,context_B_majoritarian,two_party_majoritarian,4.138,3.142,4.729,3.222,5.427,4.615,3.556,4.120,1.785,4.172,4.144,3.959,6.181,2.273,2.411,2.844
PB0097,context_C_low_trust,fragmented_low_trust,4.323,3.538,4.134,3.738,3.169,3.830,2.898,4.110,4.284,3.275,3.639,5.880,5.594,3.638,1.113,3.670
PB0098,context_C_low_trust,fragmented_low_trust,4.037,5.297,4.222,3.476,4.048,3.552,3.387,4.551,3.575,3.148,2.957,5.437,4.811,1.920,3.746,3.301
PB0099,context_C_low_trust,fragmented_low_trust,3.380,4.932,5.398,2.959,2.845,3.907,3.721,4.552,2.941,3.271,3.226,4.388,6.021,2.608,3.001,3.212
PB0100,context_C_low_trust,fragmented_low_trust,1.761,4.318,3.125,2.139,3.639,3.010,2.584,4.382,2.347,2.645,3.284,4.908,3.861,2.561,1.736,2.414
PB0101,context_C_low_trust,fragmented_low_trust,3.815,5.256,4.155,4.584,3.725,3.949,4.076,3.583,4.203,2.501,2.944,4.453,6.219,3.457,2.388,3.553
PB0102,context_C_low_trust,fragmented_low_trust,4.191,3.899,2.709,2.985,3.832,4.785,3.377,3.459,3.388,3.414,2.790,3.759,5.630,2.501,2.249,2.659
PB0103,context_C_low_trust,fragmented_low_trust,3.228,4.839,3.984,4.427,4.461,4.687,3.831,3.826,3.286,3.730,3.459,4.147,5.275,3.149,3.216,1.882
PB0104,context_C_low_trust,fragmented_low_trust,4.261,4.426,4.361,3.783,4.107,4.593,3.778,4.678,3.292,3.673,2.570,5.740,5.811,3.633,2.272,3.592
PB0105,context_C_low_trust,fragmented_low_trust,3.627,3.633,4.053,5.768,3.722,4.203,3.600,4.887,3.747,3.647,2.978,6.251,6.259,3.837,2.608,2.987
PB0106,context_C_low_trust,fragmented_low_trust,2.970,3.829,3.263,4.149,4.063,3.628,3.150,5.303,4.131,3.346,3.284,4.860,4.610,3.980,1.786,2.553
PB0107,context_C_low_trust,fragmented_low_trust,4.723,4.039,4.671,3.364,5.384,4.650,3.185,4.940,2.872,3.506,3.078,4.100,4.647,2.597,2.163,3.063
PB0108,context_C_low_trust,fragmented_low_trust,4.920,3.759,3.615,2.378,4.302,4.375,2.612,3.975,2.365,4.336,3.404,4.520,5.734,3.398,2.198,3.039
PB0109,context_C_low_trust,fragmented_low_trust,2.075,3.548,3.526,3.682,4.324,4.304,2.234,4.080,2.813,3.512,2.979,3.591,4.410,2.003,3.036,2.678
PB0110,context_C_low_trust,fragmented_low_trust,3.998,3.035,4.182,3.245,4.657,5.160,4.180,4.670,3.797,4.045,3.437,4.597,6.253,3.400,2.177,4.180
PB0111,context_C_low_trust,fragmented_low_trust,2.475,5.128,5.061,2.897,4.556,4.676,3.905,4.457,2.944,2.253,2.301,6.367,4.924,2.054,2.588,2.812
PB0112,context_C_low_trust,fragmented_low_trust,3.227,5.448,4.343,2.776,4.768,4.639,2.170,5.260,3.420,3.530,3.275,5.476,3.997,3.524,1.686,2.957
PB0113,context_C_low_trust,fragmented_low_trust,2.074,4.335,4.168,4.500,4.290,4.999,3.445,4.704,5.267,3.329,3.489,5.030,6.206,4.159,2.080,3.166
PB0114,context_C_low_trust,fragmented_low_trust,2.806,5.192,4.398,3.668,3.854,4.565,3.195,5.532,2.948,2.770,3.232,4.287,6.748,1.842,3.450,2.516
PB0115,context_C_low_trust,fragmented_low_trust,3.383,4.940,4.370,2.945,5.232,4.769,3.635,4.623,2.699,2.981,3.078,4.753,5.492,2.292,4.130,2.727
PB0116,context_C_low_trust,fragmented_low_trust,4.957,3.485,4.490,3.247,4.597,4.569,4.266,4.806,3.400,4.191,2.916,5.392,5.939,3.095,3.013,3.455
PB0117,context_C_low_trust,fragmented_low_trust,4.374,3.558,4.478,4.785,3.972,4.020,3.904,4.764,3.240,2.794,3.108,5.439,5.747,4.632,1.799,4.827
PB0118,context_C_low_trust,fragmented_low_trust,3.956,3.677,3.323,2.880,3.853,4.060,3.185,4.753,3.291,3.745,3.389,4.640,5.785,2.863,2.214,3.411
PB0119,context_C_low_trust,fragmented_low_trust,4.586,3.891,4.702,4.133,2.859,4.771,3.559,4.580,3.341,3.011,3.553,4.046,6.387,2.803,2.834,3.567
PB0120,context_C_low_trust,fragmented_low_trust,4.445,3.264,4.131,2.500,4.155,4.325,3.670,4.436,3.516,2.995,3.375,4.019,5.522,4.308,1.525,2.492
PB0121,context_C_low_trust,fragmented_low_trust,4.488,4.440,4.749,3.921,4.043,4.166,2.740,4.144,3.230,3.018,3.107,4.387,5.402,4.028,2.041,3.836
PB0122,context_C_low_trust,fragmented_low_trust,3.685,4.713,4.756,4.989,3.104,3.949,3.128,5.526,3.386,3.145,3.741,6.024,5.665,4.033,1.608,3.077
PB0123,context_C_low_trust,fragmented_low_trust,4.146,4.248,4.645,3.037,3.917,4.430,3.428,4.443,3.277,3.616,3.493,3.582,5.295,3.776,3.640,3.194
PB0124,context_C_low_trust,fragmented_low_trust,2.754,4.054,3.965,3.452,3.659,4.481,3.638,4.248,3.086,4.248,3.667,4.846,6.749,3.230,2.301,3.179
PB0125,context_C_low_trust,fragmented_low_trust,3.806,5.578,4.491,2.857,4.246,4.421,2.927,4.678,4.225,2.307,3.412,5.003,5.857,2.693,2.768,3.278
PB0126,context_C_low_trust,fragmented_low_trust,2.974,4.146,3.379,4.638,3.350,4.662,1.625,4.973,3.609,3.072,3.502,5.015,4.256,3.409,1.629,3.955
PB0127,context_C_low_trust,fragmented_low_trust,4.888,4.254,4.082,3.814,4.534,4.920,4.295,3.881,3.608,3.445,3.120,5.359,5.912,3.512,2.512,2.586
PB0128,context_C_low_trust,fragmented_low_trust,3.334,3.620,3.886,2.805,4.744,5.131,3.141,4.621,3.034,4.366,2.862,4.603,5.923,4.155,1.513,3.132
PB0129,context_C_low_trust,fragmented_low_trust,4.395,3.983,4.273,3.274,4.518,4.313,3.269,4.309,3.357,4.133,2.980,4.380,5.122,3.230,1.848,3.725
PB0130,context_C_low_trust,fragmented_low_trust,4.306,4.280,4.415,4.133,5.084,4.970,3.876,4.305,3.899,3.519,3.379,4.870,6.236,2.389,2.994,3.366
PB0131,context_C_low_trust,fragmented_low_trust,4.312,3.914,3.913,4.538,2.569,5.016,2.873,3.772,3.508,2.901,3.257,4.229,4.698,2.835,2.629,4.040
PB0132,context_C_low_trust,fragmented_low_trust,4.274,4.407,4.807,2.884,4.150,4.602,3.910,4.933,4.286,3.831,3.260,4.979,6.274,3.318,2.469,2.257
PB0133,context_C_low_trust,fragmented_low_trust,4.596,4.061,5.038,4.261,3.094,3.087,3.506,4.694,2.154,3.806,2.289,4.611,6.193,3.310,2.104,3.764
PB0134,context_C_low_trust,fragmented_low_trust,3.400,3.711,4.752,3.405,5.382,4.694,2.697,4.496,3.419,4.996,2.795,3.341,5.244,3.012,2.038,2.645
PB0135,context_C_low_trust,fragmented_low_trust,3.433,4.885,3.770,4.851,2.911,4.164,2.628,3.874,3.856,3.009,2.932,4.710,3.812,2.257,2.726,4.028
PB0136,context_C_low_trust,fragmented_low_trust,2.961,4.560,2.956,2.976,3.690,3.931,2.595,4.406,3.462,2.629,3.321,4.801,4.699,4.164,2.162,3.054
PB0137,context_C_low_trust,fragmented_low_trust,1.746,4.678,3.422,4.415,3.284,3.951,1.682,4.351,3.783,3.138,3.911,5.311,4.128,3.271,2.955,3.671
PB0138,context_C_low_trust,fragmented_low_trust,4.857,4.191,4.825,2.990,4.081,4.316,4.225,4.006,3.125,2.909,2.919,5.320,6.692,3.043,2.173,3.430
PB0139,context_C_low_trust,fragmented_low_trust,3.894,4.950,4.461,3.799,3.005,3.842,2.891,4.722,2.804,3.314,3.885,5.435,5.238,2.641,2.583,3.168
PB0140,context_C_low_trust,fragmented_low_trust,3.942,5.062,5.928,3.784,4.010,4.091,4.128,4.669,2.427,3.145,2.788,4.475,5.945,3.247,3.043,3.440
PB0141,context_C_low_trust,fragmented_low_trust,5.400,3.914,4.367,2.524,3.855,5.089,4.205,4.570,3.033,3.011,2.695,6.171,6.232,3.193,1.789,3.357
PB0142,context_C_low_trust,fragmented_low_trust,2.721,2.442,5.795,2.468,3.605,3.566,4.314,5.084,2.151,2.996,3.963,4.400,5.718,4.664,3.532,3.297
PB0143,context_C_low_trust,fragmented_low_trust,4.130,3.857,3.187,2.245,3.665,5.197,3.870,4.125,2.950,4.402,3.296,5.360,5.492,4.423,2.750,1.765
PB0144,context_C_low_trust,fragmented_low_trust,3.979,4.090,3.751,3.208,3.514,4.645,2.711,4.706,3.659,3.236,3.706,6.789,3.876,2.926,2.330,3.093
PB0145,context_D_high_civic,consensus_civic,3.785,5.257,3.862,4.710,4.898,6.015,3.788,4.579,2.770,2.808,4.983,3.815,7.000,3.056,3.653,3.571
PB0146,context_D_high_civic,consensus_civic,4.575,3.831,4.940,2.611,3.670,4.913,3.873,4.232,1.841,3.875,5.768,5.048,6.347,2.704,3.954,3.218
PB0147,context_D_high_civic,consensus_civic,3.976,5.118,4.580,3.664,3.496,4.057,3.518,4.029,3.453,2.927,4.934,4.794,5.649,1.655,3.597,2.920
PB0148,context_D_high_civic,consensus_civic,3.954,3.688,3.663,3.696,5.695,5.058,3.883,3.463,3.268,2.983,5.093,4.568,6.739,2.968,2.862,2.340
PB0149,context_D_high_civic,consensus_civic,3.635,3.860,3.424,2.929,4.581,5.210,3.229,4.773,2.214,4.033,4.941,4.612,5.933,3.181,2.782,1.820
PB0150,context_D_high_civic,consensus_civic,4.572,4.271,4.023,3.463,5.657,5.676,2.949,3.405,3.438,3.501,4.293,5.433,6.380,2.377,3.333,2.432
PB0151,context_D_high_civic,consensus_civic,4.456,4.188,4.938,3.875,4.390,5.563,3.526,4.687,1.981,3.425,4.818,4.838,5.877,2.882,4.028,2.174
PB0152,context_D_high_civic,consensus_civic,4.724,4.846,2.988,2.527,4.307,4.228,2.886,4.072,2.226,3.822,5.099,3.202,6.004,2.980,2.304,2.893
PB0153,context_D_high_civic,consensus_civic,4.046,3.703,4.155,4.649,2.673,3.074,3.639,3.863,3.088,3.257,4.852,6.478,5.512,2.954,3.107,2.402
PB0154,context_D_high_civic,consensus_civic,2.905,4.619,3.028,3.436,3.506,4.170,2.565,3.998,4.186,3.201,5.109,4.672,4.920,2.959,2.136,2.610
PB0155,context_D_high_civic,consensus_civic,3.296,4.221,3.312,3.985,3.044,4.070,3.068,4.061,2.932,3.046,4.745,3.718,4.197,2.739,2.233,3.484
