person_id,assessment_context,occasion,trait_score,trait_extraversion,trait_conscientiousness,trait_neuroticism,state_extraversion,state_conscientiousness,state_assertiveness,state_withdrawal,situation_demand,situation_sociality,situation_evaluation,situation_trust,situation_autonomy,situation_threat,behavioral_consistency_marker,conditional_signature_score,state_inertia_marker
PSD00002,experience_sampling_research_context,1,4.827,6.098,4.003,2.338,6.815,4.786,4.904,1.000,2.568,2.205,1.371,4.983,6.079,1.580,6.596,1.752,0.613
PSD00002,experience_sampling_research_context,2,4.827,6.098,4.003,2.338,6.669,3.928,4.089,1.272,1.254,4.922,1.000,4.687,3.951,2.827,6.573,1.826,0.523
PSD00002,experience_sampling_research_context,3,4.827,6.098,4.003,2.338,6.004,3.689,4.681,1.000,3.156,2.701,2.616,4.537,3.898,1.981,6.681,1.521,0.442
PSD00002,experience_sampling_research_context,4,4.827,6.098,4.003,2.338,5.593,2.877,4.281,1.000,2.285,3.252,1.271,2.341,3.706,3.042,6.450,1.793,0.406
PSD00002,experience_sampling_research_context,5,4.827,6.098,4.003,2.338,6.063,4.337,2.735,1.000,3.032,4.482,1.915,2.977,4.456,3.247,6.363,1.749,0.869
PSD00002,experience_sampling_research_context,6,4.827,6.098,4.003,2.338,5.752,3.834,4.232,1.000,4.070,2.786,2.132,3.821,5.392,2.801,6.655,1.476,0.578
PSD00002,experience_sampling_research_context,7,4.827,6.098,4.003,2.338,6.865,4.032,4.780,1.000,4.340,4.867,3.415,5.548,3.521,2.354,6.886,1.328,0.465
PSD00002,experience_sampling_research_context,8,4.827,6.098,4.003,2.338,5.839,2.491,2.959,1.000,2.033,2.423,1.197,4.024,2.514,3.098,5.988,2.074,1.097
PSD00002,experience_sampling_research_context,9,4.827,6.098,4.003,2.338,6.614,3.817,3.867,1.000,4.200,2.037,1.255,3.852,4.095,2.452,6.756,1.700,0.752
PSD00002,experience_sampling_research_context,10,4.827,6.098,4.003,2.338,5.497,4.787,3.912,1.000,2.327,2.567,3.165,3.859,5.324,3.012,6.236,1.552,0.533
PSD00002,experience_sampling_research_context,11,4.827,6.098,4.003,2.338,6.339,3.597,3.807,1.000,3.132,2.412,1.000,4.779,4.865,1.474,6.833,2.038,0.534
PSD00002,experience_sampling_research_context,12,4.827,6.098,4.003,2.338,6.774,3.785,4.078,1.000,3.144,3.238,2.072,3.908,4.384,1.863,6.526,1.758,0.224
PSD00002,experience_sampling_research_context,13,4.827,6.098,4.003,2.338,6.702,3.888,4.075,1.000,3.045,4.951,2.536,3.150,3.267,2.567,6.631,1.576,0.045
PSD00002,experience_sampling_research_context,14,4.827,6.098,4.003,2.338,5.914,3.382,3.742,1.000,3.642,4.827,2.043,3.367,3.748,3.771,6.364,1.777,0.407
PSD00002,experience_sampling_research_context,15,4.827,6.098,4.003,2.338,6.190,4.171,4.330,1.000,3.530,2.812,3.545,5.311,5.477,2.022,6.861,1.480,0.413
PSD00002,experience_sampling_research_context,16,4.827,6.098,4.003,2.338,6.326,3.337,3.961,1.000,3.625,3.807,2.070,1.590,4.016,2.093,6.412,1.449,0.335
PSD00003,experience_sampling_research_context,1,5.048,5.924,4.330,2.891,6.196,4.698,4.916,1.000,2.570,4.293,2.174,4.544,4.811,3.105,6.606,1.543,0.985
PSD00003,experience_sampling_research_context,2,5.048,5.924,4.330,2.891,5.609,4.190,4.138,1.000,2.642,1.935,2.219,3.945,3.759,1.599,6.484,2.142,0.468
PSD00003,experience_sampling_research_context,3,5.048,5.924,4.330,2.891,5.626,4.179,3.790,1.306,2.601,3.438,3.310,2.157,4.425,4.013,6.296,1.555,0.171
PSD00003,experience_sampling_research_context,4,5.048,5.924,4.330,2.891,6.495,4.168,4.569,1.000,4.068,4.390,1.000,5.089,4.699,2.362,6.413,1.608,0.491
PSD00003,experience_sampling_research_context,5,5.048,5.924,4.330,2.891,5.860,3.539,4.527,1.175,3.537,3.327,3.992,3.385,3.912,3.789,6.503,1.570,0.370
PSD00003,experience_sampling_research_context,6,5.048,5.924,4.330,2.891,6.873,4.162,4.514,1.000,3.523,3.936,1.173,5.054,4.049,1.896,6.461,1.297,0.456
PSD00003,experience_sampling_research_context,7,5.048,5.924,4.330,2.891,7.000,3.940,4.664,1.000,2.090,4.936,2.716,4.336,4.546,1.000,6.506,1.815,0.125
PSD00003,experience_sampling_research_context,8,5.048,5.924,4.330,2.891,5.979,4.544,4.082,1.000,4.129,3.803,2.949,3.147,4.305,2.368,6.490,1.773,0.552
PSD00003,experience_sampling_research_context,9,5.048,5.924,4.330,2.891,5.614,3.985,4.881,1.162,3.368,3.831,1.507,4.508,5.707,2.230,6.759,1.783,0.471
PSD00003,experience_sampling_research_context,10,5.048,5.924,4.330,2.891,5.718,3.521,3.932,1.000,2.250,1.372,1.000,3.092,4.656,2.230,6.266,1.644,0.420
PSD00003,experience_sampling_research_context,11,5.048,5.924,4.330,2.891,5.007,4.141,4.496,1.000,3.812,2.819,2.848,4.031,4.674,4.598,6.217,1.235,0.474
PSD00003,experience_sampling_research_context,12,5.048,5.924,4.330,2.891,5.494,4.054,3.848,1.000,3.431,3.763,2.131,4.572,2.466,2.287,6.352,1.588,0.305
PSD00003,experience_sampling_research_context,13,5.048,5.924,4.330,2.891,5.337,4.517,4.599,1.000,4.061,1.000,3.047,4.286,4.378,1.472,6.823,1.928,0.343
PSD00003,experience_sampling_research_context,14,5.048,5.924,4.330,2.891,6.294,4.573,4.285,1.000,4.185,3.178,2.764,5.305,4.616,1.652,6.573,1.789,0.332
PSD00003,experience_sampling_research_context,15,5.048,5.924,4.330,2.891,5.831,3.913,3.918,1.000,1.357,2.189,2.594,4.469,5.371,3.995,6.453,2.175,0.373
PSD00003,experience_sampling_research_context,16,5.048,5.924,4.330,2.891,6.413,4.140,5.309,1.000,1.428,3.610,3.129,4.418,6.429,1.000,6.362,1.389,0.550
PSD00004,experience_sampling_research_context,1,5.623,6.188,4.481,2.705,5.678,4.343,4.820,1.000,3.167,1.898,3.457,4.135,5.649,3.247,6.619,2.075,0.819
PSD00004,experience_sampling_research_context,2,5.623,6.188,4.481,2.705,6.455,4.689,3.982,1.000,3.947,2.512,1.000,5.119,3.429,2.714,6.579,2.001,0.490
PSD00004,experience_sampling_research_context,3,5.623,6.188,4.481,2.705,6.411,4.700,4.923,1.000,4.290,3.891,3.838,3.609,4.854,1.398,6.197,1.079,0.249
PSD00004,experience_sampling_research_context,4,5.623,6.188,4.481,2.705,6.282,3.753,4.907,1.000,3.471,3.252,1.000,4.437,4.699,4.198,6.328,1.630,0.273
PSD00004,experience_sampling_research_context,5,5.623,6.188,4.481,2.705,5.806,4.461,4.645,1.000,2.167,3.568,3.321,3.535,4.602,1.732,6.809,1.524,0.362
PSD00004,experience_sampling_research_context,6,5.623,6.188,4.481,2.705,5.874,3.840,4.516,1.000,2.859,3.488,1.000,2.840,4.572,2.107,6.188,1.591,0.204
PSD00004,experience_sampling_research_context,7,5.623,6.188,4.481,2.705,6.302,3.452,4.417,1.000,4.589,3.052,1.390,5.392,2.753,2.026,6.127,1.759,0.229
PSD00004,experience_sampling_research_context,8,5.623,6.188,4.481,2.705,6.359,4.039,4.099,1.000,3.362,3.121,2.644,4.780,4.533,4.073,6.686,1.719,0.241
PSD00004,experience_sampling_research_context,9,5.623,6.188,4.481,2.705,6.850,3.737,4.644,1.000,4.535,3.725,1.523,4.860,4.826,2.989,6.357,1.558,0.335
PSD00004,experience_sampling_research_context,10,5.623,6.188,4.481,2.705,5.847,4.043,4.775,1.000,3.310,3.636,1.000,2.909,3.927,2.974,6.736,1.721,0.360
PSD00004,experience_sampling_research_context,11,5.623,6.188,4.481,2.705,6.981,4.740,4.961,1.000,3.769,4.212,2.884,3.403,3.751,2.758,6.234,1.446,0.504
PSD00004,experience_sampling_research_context,12,5.623,6.188,4.481,2.705,5.354,4.181,3.541,1.000,2.303,2.395,2.176,3.213,3.448,2.977,6.158,2.019,0.902
PSD00004,experience_sampling_research_context,13,5.623,6.188,4.481,2.705,5.193,3.984,4.380,1.000,1.598,3.200,3.018,3.081,3.376,3.735,6.088,1.854,0.299
PSD00004,experience_sampling_research_context,14,5.623,6.188,4.481,2.705,6.642,3.771,5.150,1.000,3.243,3.347,1.725,3.923,5.995,1.753,6.314,1.359,0.608
PSD00004,experience_sampling_research_context,15,5.623,6.188,4.481,2.705,6.924,3.862,5.287,1.375,3.342,3.584,2.399,5.019,3.111,2.229,6.474,1.235,0.221
PSD00004,experience_sampling_research_context,16,5.623,6.188,4.481,2.705,6.557,3.808,4.746,1.000,3.836,4.936,2.083,3.277,3.244,4.718,6.461,2.119,0.334
PSD00005,experience_sampling_research_context,1,5.175,4.134,6.024,2.774,3.489,5.307,4.485,1.000,2.212,3.488,1.025,6.223,3.428,5.352,6.351,1.862,0.853
PSD00005,experience_sampling_research_context,2,5.175,4.134,6.024,2.774,3.645,6.441,3.856,1.000,3.039,4.986,1.597,4.281,5.685,3.778,6.037,1.508,0.480
PSD00005,experience_sampling_research_context,3,5.175,4.134,6.024,2.774,3.664,6.347,4.616,1.000,3.485,4.675,2.154,3.437,4.847,3.357,6.882,1.424,0.218
PSD00005,experience_sampling_research_context,4,5.175,4.134,6.024,2.774,4.511,7.000,4.481,1.000,4.176,3.139,3.331,4.330,5.160,2.841,6.656,1.487,0.409
PSD00005,experience_sampling_research_context,5,5.175,4.134,6.024,2.774,3.650,5.385,4.475,1.000,3.057,3.003,1.907,3.490,3.596,1.757,6.316,1.483,0.621
PSD00005,experience_sampling_research_context,6,5.175,4.134,6.024,2.774,4.616,5.876,4.708,1.000,1.783,4.942,1.324,3.210,3.892,1.000,6.626,1.946,0.422
PSD00005,experience_sampling_research_context,7,5.175,4.134,6.024,2.774,4.027,5.905,4.085,1.000,1.797,3.544,3.577,2.857,4.795,2.438,6.654,1.511,0.310
PSD00005,experience_sampling_research_context,8,5.175,4.134,6.024,2.774,2.947,6.837,3.818,1.000,4.082,3.078,2.748,3.222,3.614,3.828,5.760,1.590,0.570
PSD00005,experience_sampling_research_context,9,5.175,4.134,6.024,2.774,4.093,5.767,4.537,1.000,1.712,4.749,2.741,5.339,4.209,2.691,6.898,1.449,0.734
PSD00005,experience_sampling_research_context,10,5.175,4.134,6.024,2.774,3.198,6.405,5.045,1.000,1.741,3.720,2.825,2.998,5.874,3.271,6.525,1.682,0.510
PSD00005,experience_sampling_research_context,11,5.175,4.134,6.024,2.774,4.005,6.074,5.242,1.000,4.003,4.073,1.000,5.144,4.250,3.335,7.068,1.266,0.334
PSD00005,experience_sampling_research_context,12,5.175,4.134,6.024,2.774,4.040,4.475,5.277,1.000,2.149,1.940,1.000,4.106,4.775,3.642,6.701,1.527,0.417
PSD00005,experience_sampling_research_context,13,5.175,4.134,6.024,2.774,4.304,5.962,4.622,1.000,2.523,3.689,2.716,5.099,5.314,4.301,6.493,2.000,0.601
PSD00005,experience_sampling_research_context,14,5.175,4.134,6.024,2.774,2.839,5.044,3.518,1.118,1.992,1.592,3.466,3.492,2.978,4.904,6.406,2.016,0.901
PSD00005,experience_sampling_research_context,15,5.175,4.134,6.024,2.774,3.552,5.292,4.307,1.000,1.000,1.726,2.078,4.780,3.720,2.543,6.050,1.852,0.467
PSD00005,experience_sampling_research_context,16,5.175,4.134,6.024,2.774,3.147,6.131,4.109,1.000,3.306,1.828,1.629,3.256,3.096,1.915,6.404,2.000,0.360
PSD00006,experience_sampling_research_context,1,5.405,4.089,6.156,2.857,3.808,5.929,5.222,1.000,1.966,3.543,2.061,4.883,4.535,3.148,6.714,1.534,0.954
PSD00006,experience_sampling_research_context,2,5.405,4.089,6.156,2.857,3.594,4.954,4.403,1.000,2.265,4.044,1.963,4.049,3.553,3.832,6.149,1.315,0.502
PSD00006,experience_sampling_research_context,3,5.405,4.089,6.156,2.857,3.393,4.926,4.825,1.000,2.302,2.040,1.000,3.176,4.691,3.585,6.502,1.773,0.163
PSD00006,experience_sampling_research_context,4,5.405,4.089,6.156,2.857,4.092,6.483,3.786,1.000,4.378,4.274,2.085,5.126,4.795,2.512,6.704,1.738,0.824
PSD00006,experience_sampling_research_context,5,5.405,4.089,6.156,2.857,4.424,7.000,5.538,1.000,4.203,4.309,1.995,4.295,5.263,1.000,5.920,1.353,0.650
PSD00006,experience_sampling_research_context,6,5.405,4.089,6.156,2.857,3.424,6.176,5.490,1.000,4.206,1.671,1.000,4.946,3.754,2.737,6.452,1.769,0.468
PSD00006,experience_sampling_research_context,7,5.405,4.089,6.156,2.857,4.060,6.967,4.652,1.000,4.186,2.189,4.097,3.140,4.421,3.285,6.400,1.303,0.566
PSD00006,experience_sampling_research_context,8,5.405,4.089,6.156,2.857,3.804,5.249,4.999,1.000,1.000,1.973,1.752,3.830,3.563,3.235,6.195,2.129,0.580
PSD00006,experience_sampling_research_context,9,5.405,4.089,6.156,2.857,3.315,5.394,4.518,1.000,3.993,2.853,1.792,4.079,5.478,3.132,5.981,1.580,0.279
PSD00006,experience_sampling_research_context,10,5.405,4.089,6.156,2.857,3.618,5.229,3.156,1.000,2.217,2.525,1.000,3.800,3.930,3.034,6.460,2.098,0.458
PSD00006,experience_sampling_research_context,11,5.405,4.089,6.156,2.857,3.900,6.198,5.248,1.000,3.038,3.444,2.037,4.226,6.009,2.057,6.698,1.599,0.836
PSD00006,experience_sampling_research_context,12,5.405,4.089,6.156,2.857,3.497,6.873,4.946,1.000,4.826,3.149,3.058,4.737,4.571,3.596,6.449,1.608,0.345
PSD00006,experience_sampling_research_context,13,5.405,4.089,6.156,2.857,3.507,6.778,5.068,1.000,3.867,3.846,3.101,5.172,5.168,4.617,6.144,1.479,0.057
PSD00006,experience_sampling_research_context,14,5.405,4.089,6.156,2.857,3.717,5.581,5.185,1.000,1.000,3.530,1.775,4.445,3.548,2.196,6.757,2.056,0.380
PSD00006,experience_sampling_research_context,15,5.405,4.089,6.156,2.857,4.137,6.840,4.964,1.000,3.903,2.510,4.408,6.396,3.771,2.583,6.988,1.386,0.475
PSD00006,experience_sampling_research_context,16,5.405,4.089,6.156,2.857,3.975,6.004,4.735,1.000,3.186,4.319,1.376,4.054,4.300,3.871,6.393,1.649,0.307
PSD00007,experience_sampling_research_context,1,4.740,3.906,5.969,3.594,3.827,5.384,4.449,1.000,2.836,3.350,1.734,3.190,2.450,3.033,6.732,1.636,0.963
PSD00007,experience_sampling_research_context,2,4.740,3.906,5.969,3.594,4.794,5.855,4.918,1.000,2.152,3.816,3.112,4.345,5.777,2.639,6.049,1.683,0.477
PSD00007,experience_sampling_research_context,3,4.740,3.906,5.969,3.594,3.537,5.166,4.522,1.000,3.059,2.369,1.426,3.960,6.574,2.602,6.332,1.670,0.586
PSD00007,experience_sampling_research_context,4,4.740,3.906,5.969,3.594,3.865,5.325,3.806,1.000,2.192,2.558,1.000,3.118,4.420,3.710,6.476,2.352,0.301
PSD00007,experience_sampling_research_context,5,4.740,3.906,5.969,3.594,5.023,5.182,4.695,1.000,2.744,3.628,1.335,5.531,4.778,1.305,6.218,1.831,0.548
PSD00007,experience_sampling_research_context,6,4.740,3.906,5.969,3.594,4.044,5.903,4.371,1.000,3.819,5.605,3.273,5.079,3.075,2.556,6.496,1.633,0.506
PSD00007,experience_sampling_research_context,7,4.740,3.906,5.969,3.594,3.639,6.174,4.057,1.311,3.778,3.209,2.920,3.870,3.521,2.275,6.525,1.631,0.325
PSD00007,experience_sampling_research_context,8,4.740,3.906,5.969,3.594,4.240,6.184,4.617,1.209,2.412,5.435,2.180,3.462,5.645,1.312,6.594,1.789,0.318
PSD00007,experience_sampling_research_context,9,4.740,3.906,5.969,3.594,2.830,5.554,3.819,1.504,2.207,4.399,3.131,3.128,3.473,2.251,6.369,1.457,0.783
PSD00007,experience_sampling_research_context,10,4.740,3.906,5.969,3.594,5.039,5.981,4.449,1.000,2.505,2.782,3.174,5.208,6.292,3.340,6.734,1.821,0.943
PSD00007,experience_sampling_research_context,11,4.740,3.906,5.969,3.594,3.721,4.998,3.731,1.149,1.748,2.324,2.857,4.352,2.590,2.547,6.525,2.218,0.792
PSD00007,experience_sampling_research_context,12,4.740,3.906,5.969,3.594,4.067,5.793,3.803,1.000,1.766,3.676,2.345,4.246,3.866,2.734,6.370,2.016,0.340
PSD00007,experience_sampling_research_context,13,4.740,3.906,5.969,3.594,3.612,6.058,4.465,1.000,3.158,3.217,3.400,4.631,5.122,3.489,6.334,1.803,0.346
PSD00007,experience_sampling_research_context,14,4.740,3.906,5.969,3.594,4.290,5.456,4.418,1.000,3.265,2.377,1.000,4.328,4.673,1.486,6.479,1.619,0.332
PSD00007,experience_sampling_research_context,15,4.740,3.906,5.969,3.594,4.404,6.364,3.804,1.000,3.240,2.353,2.608,4.955,4.171,1.451,6.151,1.888,0.409
PSD00007,experience_sampling_research_context,16,4.740,3.906,5.969,3.594,4.175,5.910,3.609,1.000,3.738,4.502,1.000,3.635,3.836,2.931,6.382,1.746,0.219
PSD00008,experience_sampling_research_context,1,5.616,3.645,6.197,2.734,3.974,6.460,4.600,1.000,2.728,4.764,3.369,5.136,5.208,3.367,6.662,1.560,1.011
PSD00008,experience_sampling_research_context,2,5.616,3.645,6.197,2.734,4.799,6.554,4.708,1.000,3.878,6.057,1.492,6.327,5.024,4.078,6.166,1.390,0.257
PSD00008,experience_sampling_research_context,3,5.616,3.645,6.197,2.734,3.060,5.583,5.035,1.000,3.216,2.458,1.500,3.816,3.490,4.946,5.956,1.331,0.760
PSD00008,experience_sampling_research_context,4,5.616,3.645,6.197,2.734,3.258,6.413,5.035,1.000,4.178,4.325,1.328,3.846,4.707,3.588,6.557,1.554,0.257
PSD00008,experience_sampling_research_context,5,5.616,3.645,6.197,2.734,2.603,6.620,4.221,1.515,3.785,2.132,3.214,2.736,3.713,3.015,5.911,1.442,0.548
PSD00008,experience_sampling_research_context,6,5.616,3.645,6.197,2.734,3.640,6.079,4.223,1.000,1.792,3.723,3.170,4.392,4.721,3.521,6.741,2.074,0.524
PSD00008,experience_sampling_research_context,7,5.616,3.645,6.197,2.734,4.278,5.875,3.849,1.095,2.593,4.557,2.644,2.303,3.599,2.721,6.054,1.693,0.328
PSD00008,experience_sampling_research_context,8,5.616,3.645,6.197,2.734,3.339,5.672,4.691,1.000,1.210,4.622,4.447,5.683,5.280,3.640,6.935,2.122,0.520
PSD00008,experience_sampling_research_context,9,5.616,3.645,6.197,2.734,2.977,6.514,4.114,1.432,3.863,2.688,2.304,3.416,2.563,3.170,6.475,1.450,0.553
PSD00008,experience_sampling_research_context,10,5.616,3.645,6.197,2.734,3.058,6.005,4.287,1.000,3.023,3.608,1.333,5.510,3.063,3.653,5.805,1.420,0.299
PSD00008,experience_sampling_research_context,11,5.616,3.645,6.197,2.734,4.229,6.054,2.709,1.000,1.467,4.062,2.364,4.677,3.875,4.322,6.393,2.256,0.700
PSD00008,experience_sampling_research_context,12,5.616,3.645,6.197,2.734,4.114,6.370,4.726,1.000,3.239,3.180,2.563,5.318,3.252,2.305,6.641,1.966,0.612
PSD00008,experience_sampling_research_context,13,5.616,3.645,6.197,2.734,3.696,5.993,4.066,1.000,2.973,3.425,2.838,4.544,4.122,1.686,6.380,1.621,0.364
PSD00008,experience_sampling_research_context,14,5.616,3.645,6.197,2.734,3.240,5.853,5.436,1.000,2.138,2.421,2.710,4.739,5.700,3.265,6.525,1.789,0.491
PSD00008,experience_sampling_research_context,15,5.616,3.645,6.197,2.734,4.464,5.565,5.504,1.000,2.436,2.473,2.831,6.147,3.727,3.000,6.589,1.660,0.395
PSD00008,experience_sampling_research_context,16,5.616,3.645,6.197,2.734,3.611,6.300,4.806,1.000,2.641,2.823,1.373,5.001,4.147,1.310,6.786,2.132,0.571
PSD00009,experience_sampling_research_context,1,2.931,3.387,4.348,6.052,3.310,3.787,2.759,3.807,1.942,3.035,2.903,2.989,4.650,3.304,6.606,1.728,0.841
PSD00009,experience_sampling_research_context,2,2.931,3.387,4.348,6.052,3.406,4.163,3.291,2.187,4.108,4.478,2.406,3.412,3.720,2.041,6.501,1.943,0.656
PSD00009,experience_sampling_research_context,3,2.931,3.387,4.348,6.052,3.372,4.430,3.013,3.778,3.994,1.918,2.471,3.297,5.603,4.568,6.932,2.169,0.543
PSD00009,experience_sampling_research_context,4,2.931,3.387,4.348,6.052,3.393,3.511,2.759,2.954,1.194,2.639,2.264,2.671,5.014,4.084,6.290,2.087,0.505
PSD00009,experience_sampling_research_context,5,2.931,3.387,4.348,6.052,3.258,3.719,3.703,3.013,1.144,3.185,1.712,4.772,4.246,2.966,6.095,2.168,0.337
PSD00009,experience_sampling_research_context,6,2.931,3.387,4.348,6.052,3.647,3.316,4.150,3.098,4.021,2.796,2.623,4.857,3.032,2.555,6.196,2.312,0.331
PSD00009,experience_sampling_research_context,7,2.931,3.387,4.348,6.052,3.323,3.487,3.836,3.610,3.232,1.000,1.293,4.500,5.138,3.718,6.367,1.654,0.330
PSD00009,experience_sampling_research_context,8,2.931,3.387,4.348,6.052,3.209,4.196,3.857,3.171,3.750,2.932,3.213,3.737,5.675,1.965,6.524,2.040,0.321
PSD00009,experience_sampling_research_context,9,2.931,3.387,4.348,6.052,2.105,3.655,3.194,3.794,3.715,4.959,3.237,2.669,3.606,4.196,5.835,1.236,0.733
PSD00009,experience_sampling_research_context,10,2.931,3.387,4.348,6.052,2.976,3.705,3.921,3.185,3.030,2.962,2.435,6.168,3.263,2.890,6.012,2.384,0.564
PSD00009,experience_sampling_research_context,11,2.931,3.387,4.348,6.052,3.849,4.075,4.689,3.462,2.330,2.506,3.552,4.418,5.361,3.586,6.220,1.650,0.572
PSD00009,experience_sampling_research_context,12,2.931,3.387,4.348,6.052,3.048,5.175,3.768,3.017,2.392,3.963,4.437,4.255,4.724,3.547,6.016,1.703,0.817
PSD00009,experience_sampling_research_context,13,2.931,3.387,4.348,6.052,3.117,4.490,3.872,3.101,3.303,2.652,2.099,5.264,5.336,2.799,6.568,2.454,0.235
PSD00009,experience_sampling_research_context,14,2.931,3.387,4.348,6.052,3.703,4.957,3.607,3.401,2.912,4.291,4.425,4.238,4.857,3.782,6.482,1.732,0.405
PSD00009,experience_sampling_research_context,15,2.931,3.387,4.348,6.052,3.710,4.289,4.353,3.520,3.249,3.649,2.852,5.106,4.688,3.500,6.547,2.084,0.385
PSD00009,experience_sampling_research_context,16,2.931,3.387,4.348,6.052,2.793,3.910,3.401,4.360,1.511,4.099,1.766,3.903,3.573,3.224,6.236,2.000,0.772
PSD00010,experience_sampling_research_context,1,3.306,3.075,3.654,5.775,3.952,3.231,4.955,3.220,4.071,3.594,1.462,6.049,5.170,2.415,6.008,2.358,1.285
PSD00010,experience_sampling_research_context,2,3.306,3.075,3.654,5.775,3.215,3.651,4.321,3.386,5.443,5.950,1.000,3.951,4.994,4.364,6.552,2.231,0.489
PSD00010,experience_sampling_research_context,3,3.306,3.075,3.654,5.775,3.392,4.162,3.491,2.985,3.887,2.214,2.749,3.525,5.165,3.653,6.364,1.700,0.480
PSD00010,experience_sampling_research_context,4,3.306,3.075,3.654,5.775,3.366,3.181,3.731,2.676,3.574,5.209,1.000,5.475,3.238,2.109,6.586,2.186,0.389
PSD00010,experience_sampling_research_context,5,3.306,3.075,3.654,5.775,2.737,3.830,4.508,2.749,3.730,2.499,3.419,4.188,3.501,2.627,6.194,2.002,0.532
PSD00010,experience_sampling_research_context,6,3.306,3.075,3.654,5.775,3.295,4.292,4.423,2.991,2.999,4.549,3.016,5.720,5.521,3.403,6.151,2.276,0.337
PSD00010,experience_sampling_research_context,7,3.306,3.075,3.654,5.775,2.422,2.294,3.109,2.902,2.671,1.803,1.239,4.416,3.331,3.869,6.029,1.952,1.069
PSD00010,experience_sampling_research_context,8,3.306,3.075,3.654,5.775,3.443,2.993,3.638,2.924,3.850,4.403,2.456,4.258,5.345,3.397,6.235,1.847,0.568
PSD00010,experience_sampling_research_context,9,3.306,3.075,3.654,5.775,3.669,2.865,3.560,2.112,3.475,2.935,1.881,4.378,4.254,1.793,5.849,2.803,0.311
PSD00010,experience_sampling_research_context,10,3.306,3.075,3.654,5.775,3.272,3.667,3.930,2.301,2.638,3.239,2.325,5.276,3.519,2.831,6.172,1.844,0.439
PSD00010,experience_sampling_research_context,11,3.306,3.075,3.654,5.775,3.107,2.957,3.457,2.805,2.013,2.363,2.296,5.835,3.030,3.068,6.403,2.222,0.463
PSD00010,experience_sampling_research_context,12,3.306,3.075,3.654,5.775,3.608,3.598,3.725,2.361,1.920,5.763,1.000,5.016,3.837,1.959,6.538,2.179,0.464
PSD00010,experience_sampling_research_context,13,3.306,3.075,3.654,5.775,3.797,2.919,2.943,2.818,3.561,3.572,1.416,4.522,4.321,2.567,6.125,1.690,0.527
