child_id,developmental_context,inhibition_t1,negative_affect_t1,surgency_t1,effortful_control_t1,parenting_support_t1,family_stress_t1,classroom_support_t2,peer_support_t2,institutional_stability_t2,conscientiousness_t2,neuroticism_t2,social_confidence_t2,regulation_skill_t2,reactivity_regulation_balance,environmental_support_index,developmental_risk_index,adaptive_pathway_score
TEM00080,high_support_low_stress_context,3.023,3.408,4.074,3.457,3.438,2.617,3.919,4.747,4.308,4.056,2.789,4.207,4.393,1.994,3.666,3.264,3.993
TEM00081,high_support_low_stress_context,4.311,3.773,4.221,3.213,3.888,3.190,5.116,5.130,4.298,3.431,3.644,3.738,4.224,2.214,4.520,4.408,3.648
TEM00082,high_support_low_stress_context,3.964,3.345,4.309,2.785,4.758,2.833,3.576,4.281,4.610,4.055,3.090,4.040,4.857,2.316,4.181,3.515,3.993
TEM00083,high_support_low_stress_context,3.460,4.012,2.872,4.049,4.445,1.009,4.337,4.742,3.668,4.513,2.445,4.783,5.435,1.987,4.233,2.453,4.554
TEM00084,high_support_low_stress_context,3.612,3.687,4.418,3.901,4.428,2.206,5.301,4.784,4.465,4.659,2.562,4.562,5.243,1.860,4.509,3.046,4.821
TEM00085,high_support_low_stress_context,3.982,3.332,5.448,4.551,5.315,2.391,4.362,4.004,6.207,5.165,2.779,4.819,5.635,1.951,5.218,2.573,5.066
TEM00086,high_support_low_stress_context,3.479,2.425,4.427,3.304,4.356,1.264,4.158,4.417,5.540,4.759,2.303,4.533,4.079,1.363,4.896,2.761,4.460
TEM00087,high_support_low_stress_context,3.803,4.174,4.164,4.933,4.209,1.722,5.032,5.529,5.016,5.341,3.183,5.121,5.127,1.500,5.041,2.362,5.768
TEM00088,high_support_low_stress_context,3.673,3.706,2.968,3.693,4.503,2.853,4.707,4.066,3.494,4.734,2.455,4.196,4.730,2.255,4.412,3.261,3.727
TEM00089,high_support_low_stress_context,2.835,4.495,4.719,4.081,5.294,3.861,4.393,5.122,4.155,4.897,2.156,4.723,4.770,1.736,4.958,3.561,4.507
TEM00090,high_support_low_stress_context,4.915,2.956,4.285,4.767,4.459,3.614,6.780,5.286,2.891,5.570,2.985,4.764,6.372,2.203,5.040,3.489,5.026
TEM00091,high_support_low_stress_context,3.705,4.565,6.380,4.805,5.301,3.159,5.051,6.141,5.913,5.791,3.266,5.040,5.381,2.067,5.180,3.434,5.765
TEM00092,high_support_low_stress_context,4.533,5.024,5.948,5.552,6.032,2.015,6.092,4.499,3.079,6.322,3.543,4.778,5.863,2.823,5.089,3.161,5.710
TEM00093,high_support_low_stress_context,3.279,4.395,5.791,4.562,4.521,2.528,5.171,4.838,4.209,5.272,2.386,5.921,5.076,1.926,4.771,3.094,5.051
TEM00094,high_support_low_stress_context,3.018,4.981,5.375,5.402,3.452,1.000,4.549,4.988,4.834,5.557,2.916,5.454,5.597,1.633,4.206,2.352,5.481
TEM00095,high_support_low_stress_context,5.013,4.242,6.652,4.546,4.961,2.074,5.725,5.050,6.125,5.724,3.236,5.859,5.978,2.302,5.378,3.109,5.134
TEM00096,high_support_low_stress_context,3.267,4.311,5.007,5.672,5.170,2.082,5.706,3.974,5.036,5.563,2.510,5.325,6.105,1.761,5.136,2.530,5.584
TEM00097,high_support_low_stress_context,3.927,5.690,6.118,4.551,5.081,2.540,4.980,4.652,4.085,5.600,3.526,4.599,4.599,2.789,5.208,3.491,5.050
TEM00098,high_support_low_stress_context,4.249,3.733,5.712,3.098,5.842,1.000,4.790,5.597,4.623,5.340,2.603,5.549,4.710,2.417,5.227,3.298,4.785
TEM00099,high_support_low_stress_context,3.870,4.915,6.378,6.831,4.900,2.805,6.374,4.058,5.281,6.007,3.694,4.692,6.851,1.669,4.877,3.150,6.059
TEM00100,high_support_low_stress_context,3.636,3.560,4.350,4.501,4.776,2.262,4.094,3.404,3.980,4.989,2.396,3.574,5.043,1.495,4.265,2.725,4.767
TEM00101,high_support_low_stress_context,4.759,5.241,4.665,5.749,4.716,2.498,4.366,3.951,4.699,5.230,3.388,4.171,5.587,2.263,4.403,3.832,4.925
TEM00102,high_support_low_stress_context,3.898,4.456,4.514,5.974,3.536,2.509,4.365,3.672,4.745,5.582,2.729,3.946,5.892,1.480,4.290,3.441,5.239
TEM00103,high_support_low_stress_context,3.642,3.840,5.372,4.847,5.338,1.783,4.958,3.937,4.583,5.597,3.358,4.254,5.733,1.427,5.331,2.387,4.909
TEM00104,high_support_low_stress_context,4.300,5.067,5.915,4.262,4.748,2.584,3.685,4.323,4.578,4.659,2.819,4.920,4.663,2.691,4.321,4.088,4.529
TEM00105,high_support_low_stress_context,4.003,5.061,5.961,5.300,6.249,2.450,6.016,4.593,3.498,6.360,2.680,5.768,5.956,2.267,5.416,3.165,5.231
TEM00106,high_support_low_stress_context,3.825,3.981,4.107,4.546,4.773,1.783,4.423,4.566,4.541,5.104,2.925,4.171,5.553,1.816,4.681,2.553,4.782
TEM00107,high_support_low_stress_context,4.965,4.406,4.894,5.452,4.824,2.674,4.896,4.085,4.140,5.595,3.246,3.964,5.686,2.575,4.675,3.787,4.640
TEM00108,high_support_low_stress_context,3.762,5.008,5.179,5.033,5.033,1.326,4.485,4.031,5.327,5.686,3.019,4.817,5.222,1.871,4.859,3.202,5.076
TEM00109,stable_school_context,5.269,4.206,2.306,4.902,4.267,2.082,3.503,4.103,5.434,6.152,3.035,3.088,5.240,2.641,4.458,3.536,4.909
TEM00110,stable_school_context,5.127,5.248,2.711,3.606,5.160,1.840,5.937,4.811,5.032,5.660,3.641,3.951,5.432,3.541,5.339,3.806,4.264
TEM00111,stable_school_context,4.680,4.406,2.080,4.821,4.409,2.312,5.327,4.600,4.018,6.145,3.135,3.718,4.685,1.986,4.682,3.675,4.318
TEM00112,stable_school_context,4.348,3.981,2.661,4.163,4.678,1.679,6.106,4.974,5.065,5.543,2.814,3.062,5.741,1.893,5.301,2.848,4.691
TEM00113,stable_school_context,5.610,4.445,3.437,4.208,4.811,2.831,4.107,3.774,4.536,5.785,3.523,3.939,4.915,2.998,4.412,4.518,4.238
TEM00114,stable_school_context,5.457,5.310,2.839,4.682,4.309,2.492,6.099,4.150,4.440,5.064,4.635,2.334,5.555,3.179,4.803,4.129,4.569
TEM00115,stable_school_context,5.760,5.282,1.738,3.817,4.320,1.403,5.008,4.499,5.824,5.030,3.902,2.614,5.180,3.232,5.094,4.502,4.188
TEM00116,stable_school_context,5.008,5.172,1.766,3.387,3.653,3.045,3.723,5.102,4.560,3.153,4.326,2.667,3.740,3.177,4.473,4.914,2.918
TEM00117,stable_school_context,5.070,5.614,2.691,2.960,4.913,2.090,5.309,5.078,4.742,4.823,3.548,4.000,4.465,3.445,5.079,3.982,4.012
TEM00118,stable_school_context,5.456,4.099,1.865,4.455,4.635,4.301,4.240,3.014,5.933,4.345,4.811,1.951,4.589,3.252,4.424,4.568,3.628
TEM00119,stable_school_context,5.436,4.613,2.401,4.191,3.963,2.306,4.493,4.678,5.317,5.174,4.485,2.331,4.949,2.727,4.653,3.808,4.174
TEM00120,stable_school_context,5.708,3.879,1.791,3.337,4.581,2.750,4.316,2.508,4.790,4.677,3.851,2.699,3.881,2.566,4.117,4.416,3.327
TEM00121,stable_school_context,4.613,5.347,2.143,3.462,4.815,1.012,5.512,5.163,5.964,5.658,3.418,2.893,5.501,2.767,5.728,3.390,4.540
TEM00122,stable_school_context,5.607,5.073,3.158,3.543,2.512,3.442,5.409,4.163,4.898,4.147,5.767,2.370,3.371,3.199,4.076,5.071,3.091
TEM00123,stable_school_context,4.825,4.144,2.933,4.424,4.386,1.423,4.874,4.544,5.485,4.999,3.450,4.482,4.922,2.468,4.657,3.569,4.261
TEM00124,stable_school_context,5.571,5.280,2.695,2.988,3.003,2.642,5.537,2.666,5.191,3.904,4.117,3.031,4.785,3.898,3.957,4.781,3.446
TEM00125,stable_school_context,5.435,4.944,3.464,4.687,3.440,3.896,5.096,3.994,5.113,5.012,4.514,3.207,4.385,2.838,4.347,4.636,3.547
TEM00126,stable_school_context,4.718,5.607,2.725,3.390,3.733,2.835,5.160,3.986,5.329,4.868,3.883,3.023,4.495,3.426,4.346,4.459,3.686
TEM00127,stable_school_context,5.797,6.206,5.076,3.010,4.352,4.200,4.097,2.829,5.019,3.570,4.984,3.813,3.668,4.567,3.903,6.273,3.408
TEM00128,stable_school_context,4.952,5.216,2.898,2.576,4.778,2.261,4.025,3.591,3.735,4.490,4.438,3.061,3.348,3.653,3.993,5.187,3.642
TEM00129,stable_school_context,4.529,6.107,5.112,2.374,4.819,2.646,3.975,4.980,5.515,3.736,3.986,4.727,4.059,3.782,4.210,5.255,3.802
TEM00130,stable_school_context,3.417,6.524,3.379,4.592,4.524,2.338,4.234,4.158,5.144,5.808,4.212,3.141,4.023,2.461,4.081,4.774,4.472
TEM00131,stable_school_context,4.312,5.802,4.157,3.208,5.340,2.967,3.189,4.888,3.378,4.486,3.593,3.529,4.595,3.607,4.304,4.565,3.759
TEM00132,stable_school_context,4.864,5.967,3.027,2.418,5.469,2.865,3.003,4.164,5.886,3.873,3.943,2.776,3.852,3.912,4.653,5.531,3.022
TEM00133,stable_school_context,4.609,5.383,4.197,2.668,4.740,3.127,5.039,3.782,5.360,4.539,4.622,4.193,4.780,3.607,4.941,5.013,3.956
TEM00134,stable_school_context,4.962,4.943,4.220,2.901,3.202,3.271,5.057,3.849,4.988,4.390,4.957,4.063,4.054,3.921,4.283,4.967,3.403
TEM00135,stable_school_context,4.844,6.028,3.205,3.053,3.219,3.570,4.034,4.431,4.981,3.683,5.467,3.212,3.945,3.729,3.601,5.566,3.149
TEM00136,stable_school_context,5.057,5.905,3.375,3.441,4.281,3.345,3.809,5.186,6.004,3.941,5.410,4.258,4.955,3.570,4.787,4.847,4.229
TEM00137,stable_school_context,4.448,5.113,3.941,4.404,3.537,3.046,5.369,4.839,5.594,4.926,4.031,3.475,5.390,2.998,4.453,4.345,4.720
TEM00138,stable_school_context,4.051,5.200,4.149,3.187,4.365,3.265,5.448,3.361,3.722,4.648,4.718,4.201,4.561,3.554,4.120,4.696,3.454
TEM00139,stable_school_context,4.713,5.623,3.688,3.302,3.590,2.935,4.140,4.590,6.075,4.579,3.909,3.686,4.523,3.287,4.674,4.656,3.524
TEM00140,stable_school_context,4.293,5.962,5.184,2.498,3.263,1.230,4.523,4.672,6.519,4.068,4.746,4.263,4.033,3.534,4.873,4.280,4.151
TEM00141,stable_school_context,5.329,5.825,2.530,2.633,4.762,2.477,4.450,2.425,6.414,4.642,4.735,2.600,4.664,3.639,4.647,4.751,3.359
TEM00142,stable_school_context,3.817,5.547,4.392,3.224,3.890,3.014,4.391,4.101,4.597,4.233,3.686,3.984,4.137,3.178,4.138,4.876,3.841
TEM00143,stable_school_context,4.162,4.771,2.583,3.523,3.784,2.614,4.634,3.466,5.030,4.433,4.159,2.541,3.629,3.030,4.434,4.413,3.760
TEM00144,stable_school_context,3.571,4.752,2.981,2.448,5.343,2.586,5.384,5.055,4.088,3.822,3.076,3.715,4.473,2.846,5.107,3.967,3.848
TEM00145,stable_school_context,1.920,3.671,4.645,3.704,4.874,4.537,5.214,4.356,4.417,4.678,2.092,4.714,4.755,1.653,4.561,3.541,4.313
TEM00146,stable_school_context,2.539,3.205,6.793,5.006,3.668,3.340,5.010,5.010,4.716,5.270,2.118,5.192,5.915,1.006,4.661,2.863,4.904
TEM00147,stable_school_context,3.918,1.000,6.087,3.665,3.805,1.788,5.535,5.197,4.437,5.401,1.682,4.793,5.664,1.097,5.043,2.116,5.141
TEM00148,stable_school_context,4.437,3.185,5.019,4.285,3.385,2.971,3.658,4.459,4.916,4.966,3.030,4.306,4.418,1.770,4.116,3.628,4.784
TEM00149,stable_school_context,2.944,3.472,5.578,4.605,4.676,3.667,4.911,4.628,5.502,5.048,3.190,5.426,5.583,1.211,4.969,3.330,4.700
TEM00150,stable_school_context,2.531,2.434,6.393,3.908,4.362,1.827,5.311,3.118,4.838,5.332,2.132,5.316,5.783,0.720,4.866,1.848,4.835
TEM00151,stable_school_context,2.815,3.548,5.135,4.331,3.307,3.206,4.416,5.011,4.928,4.096,2.547,5.451,5.380,1.258,4.545,3.860,4.502
TEM00152,stable_school_context,2.860,3.389,5.309,4.432,3.248,2.706,4.013,3.363,5.898,4.256,2.446,4.087,4.836,1.762,4.313,2.928,4.740
TEM00153,stable_school_context,3.154,1.986,5.082,5.059,1.835,3.274,5.131,3.307,3.832,4.930,1.749,3.741,4.757,1.158,3.603,2.988,4.521
TEM00154,stable_school_context,2.474,2.384,5.634,4.006,4.267,2.231,4.197,3.461,3.908,4.612,1.967,5.138,4.943,1.033,4.344,2.199,4.166
TEM00155,stable_school_context,3.000,3.431,5.834,3.772,3.935,2.698,5.265,4.366,5.025,5.574,2.980,4.708,4.691,1.872,4.909,2.698,5.119
TEM00156,stable_school_context,2.356,3.487,5.563,4.053,3.280,4.393,6.416,3.830,5.288,5.447,2.795,3.969,4.845,1.582,4.959,3.665,4.645
TEM00157,stable_school_context,2.766,2.361,5.424,3.046,5.374,1.000,4.803,3.819,4.178,6.473,1.328,5.269,5.009,0.962,4.601,1.662,4.645
TEM00158,stable_school_context,1.628,3.051,4.930,4.221,3.911,2.612,6.340,5.335,5.395,5.460,1.910,3.945,5.363,0.457,5.447,2.158,4.700
TEM00159,stable_school_context,1.923,3.419,6.472,3.821,3.469,2.860,4.239,4.759,5.467,4.270,2.062,5.680,4.779,1.353,4.470,2.842,4.839
TEM00160,stable_school_context,4.123,2.674,5.235,3.477,4.599,3.318,5.131,4.244,4.871,4.394,2.921,4.466,4.627,1.644,5.070,2.718,4.669
TEM00161,stable_school_context,1.971,3.896,5.353,4.068,3.195,2.086,3.268,3.912,3.229,3.770,2.704,4.760,4.254,1.298,3.823,2.687,4.653
TEM00162,stable_school_context,3.652,2.569,5.712,5.912,3.341,2.720,5.390,4.176,5.526,5.731,2.615,4.925,6.082,1.137,4.277,2.982,5.668
TEM00163,stable_school_context,2.083,3.002,4.432,6.783,4.188,2.315,3.448,3.775,4.374,5.187,1.737,5.371,5.750,0.346,4.288,2.403,6.115
