participant_id,institutional_context,machiavellianism,narcissism,psychopathy,sadism,honesty_humility,conscientious_reliability,fairness_orientation,compassion_kindness,moral_identity,practical_judgment,institutional_accountability,status_reward_pressure,unethical_behavior,prosocial_restraint,harm_indicator,dark_trait_burden,virtue_relevant_tendency,moral_integration_index,dark_accountability_risk
DTV0054,high_accountability_public_service,2.140,2.760,2.783,2.799,3.735,4.532,5.150,4.526,4.097,4.371,3.904,2.042,1.000,3.471,1.109,2.621,4.486,4.318,2.704
DTV0055,high_accountability_public_service,2.453,3.172,3.523,2.974,4.910,4.898,5.129,4.959,4.942,4.727,5.293,2.795,1.017,4.282,1.000,3.030,4.974,4.881,1.724
DTV0056,high_accountability_public_service,3.518,3.681,3.353,3.406,5.300,5.419,4.961,4.460,4.691,4.704,4.668,2.797,1.000,4.064,1.873,3.490,5.035,4.810,2.713
DTV0057,image_driven_corporate_status,6.451,5.478,6.104,5.330,3.010,2.903,2.279,3.372,2.508,1.913,2.402,6.152,4.885,1.977,4.015,5.841,2.891,2.437,7.000
DTV0058,image_driven_corporate_status,6.531,4.926,5.624,4.791,2.900,2.116,3.392,3.227,3.019,3.459,2.362,5.834,4.504,1.996,4.024,5.468,2.909,3.129,7.000
DTV0059,image_driven_corporate_status,6.482,5.400,5.240,5.728,3.763,3.256,2.242,3.959,2.895,2.622,2.563,6.106,4.668,2.185,4.843,5.713,3.305,2.940,7.000
DTV0060,image_driven_corporate_status,6.723,5.746,4.572,5.341,1.922,2.505,2.481,2.700,2.314,1.785,2.556,6.236,4.865,1.054,4.214,5.595,2.402,2.167,7.000
DTV0061,image_driven_corporate_status,5.450,5.372,5.364,3.890,2.709,1.602,2.290,3.067,2.857,2.479,2.683,5.271,4.056,1.919,4.076,5.019,2.417,2.584,7.000
DTV0062,image_driven_corporate_status,5.762,5.494,6.026,6.207,2.817,2.698,2.653,2.319,3.038,2.528,1.905,6.439,4.364,1.831,4.432,5.872,2.622,2.729,7.000
DTV0063,image_driven_corporate_status,5.111,4.333,4.163,3.827,3.056,2.819,4.141,3.476,2.898,3.087,2.241,5.969,3.797,2.515,3.886,4.359,3.373,3.119,6.914
DTV0064,image_driven_corporate_status,7.000,6.233,5.159,5.805,2.403,2.225,2.263,2.394,1.438,2.110,2.668,6.428,5.113,1.910,4.526,6.049,2.321,1.956,7.000
DTV0065,image_driven_corporate_status,4.161,5.514,3.943,4.328,2.539,3.351,2.953,2.809,2.346,3.127,2.686,5.696,3.964,2.187,3.706,4.487,2.913,2.795,6.452
DTV0066,image_driven_corporate_status,4.982,6.768,5.181,5.721,3.384,3.230,2.968,3.213,3.112,2.947,2.555,6.352,4.080,2.155,4.607,5.663,3.199,3.086,7.000
DTV0067,image_driven_corporate_status,4.381,5.587,4.840,3.939,2.263,2.414,2.324,2.475,1.945,2.455,2.056,5.673,4.584,1.584,3.980,4.687,2.369,2.256,7.000
DTV0068,image_driven_corporate_status,4.909,5.852,5.162,4.714,2.858,2.115,2.689,2.776,1.400,3.051,2.064,5.915,4.017,1.690,4.120,5.159,2.610,2.354,7.000
DTV0069,image_driven_corporate_status,5.846,6.488,5.292,5.842,3.150,3.279,2.590,2.760,2.450,2.751,2.359,5.726,4.192,1.869,4.786,5.867,2.945,2.715,7.000
DTV0070,image_driven_corporate_status,4.395,5.868,4.421,5.080,2.894,2.617,2.708,2.160,2.565,2.596,2.150,5.794,3.614,2.603,4.671,4.941,2.595,2.585,7.000
DTV0071,image_driven_corporate_status,5.393,6.047,5.585,4.994,2.278,2.762,2.791,2.461,2.889,2.051,2.419,6.312,4.726,1.709,4.954,5.505,2.573,2.504,7.000
DTV0072,image_driven_corporate_status,5.150,5.320,5.298,5.118,2.675,2.492,2.232,3.171,2.649,2.698,2.696,4.841,4.119,1.990,3.550,5.222,2.642,2.663,7.000
DTV0073,image_driven_corporate_status,6.096,5.911,6.992,5.083,2.737,2.780,2.528,2.918,2.456,2.588,2.686,5.545,5.131,1.190,4.432,6.020,2.741,2.595,7.000
DTV0074,image_driven_corporate_status,5.134,5.053,6.886,5.343,2.019,2.100,1.709,1.855,2.381,2.225,2.733,5.356,4.114,1.350,4.020,5.604,1.921,2.176,7.000
DTV0075,image_driven_corporate_status,4.982,4.863,6.064,4.969,2.303,2.059,3.029,2.617,2.404,2.314,2.594,5.974,4.332,2.192,3.949,5.219,2.502,2.406,7.000
DTV0076,image_driven_corporate_status,5.053,4.680,5.738,5.148,2.619,2.448,2.138,2.222,1.558,1.902,2.364,5.574,3.703,1.849,5.324,5.155,2.357,1.939,7.000
DTV0077,image_driven_corporate_status,5.051,5.133,5.931,5.069,2.460,3.102,2.756,3.523,3.223,2.725,2.525,5.868,4.092,2.104,4.528,5.296,2.961,2.969,7.000
DTV0078,image_driven_corporate_status,6.585,6.061,5.645,5.854,1.886,3.257,1.877,1.952,2.408,2.170,2.677,6.189,4.939,2.435,5.207,6.036,2.243,2.274,7.000
DTV0079,image_driven_corporate_status,5.289,4.474,5.757,4.758,1.898,1.946,1.366,1.495,1.552,1.941,2.680,5.810,4.656,1.118,4.271,5.070,1.676,1.723,7.000
DTV0080,image_driven_corporate_status,5.719,4.825,6.697,5.779,1.952,1.706,2.018,1.000,1.586,2.761,3.123,5.288,4.630,1.370,4.349,5.755,1.669,2.005,7.000
DTV0081,image_driven_corporate_status,6.886,6.122,6.278,6.642,2.797,3.125,1.468,2.127,2.089,2.013,2.734,5.795,5.357,1.612,4.180,6.482,2.379,2.160,7.000
DTV0082,image_driven_corporate_status,4.337,5.039,4.477,5.950,1.733,2.405,2.757,2.577,1.867,2.007,3.193,5.515,4.107,1.810,3.713,4.951,2.368,2.081,6.283
DTV0083,image_driven_corporate_status,4.682,5.003,5.831,6.239,3.661,3.464,3.306,3.248,3.963,3.291,2.093,5.823,3.812,2.609,4.141,5.439,3.420,3.558,7.000
DTV0084,image_driven_corporate_status,4.942,5.066,5.617,6.298,2.654,3.337,2.262,3.292,2.932,2.464,3.183,5.258,3.988,2.079,4.623,5.480,2.886,2.761,6.972
DTV0085,image_driven_corporate_status,5.884,4.823,5.214,6.544,2.818,3.260,2.576,3.404,3.028,2.430,2.843,6.017,4.809,2.182,4.139,5.616,3.015,2.824,7.000
DTV0086,image_driven_corporate_status,4.388,4.750,5.557,6.232,3.083,3.276,2.356,3.058,3.001,2.919,2.815,6.050,3.554,2.094,4.274,5.232,2.943,2.954,7.000
DTV0087,image_driven_corporate_status,5.065,5.534,5.683,6.634,3.094,2.545,2.091,2.469,2.590,2.094,2.733,5.607,4.147,2.226,4.379,5.729,2.550,2.411,7.000
DTV0088,image_driven_corporate_status,5.701,5.350,5.493,6.825,3.245,2.859,2.968,3.408,2.645,2.681,1.979,5.497,4.137,2.264,4.124,5.842,3.120,2.815,7.000
DTV0089,image_driven_corporate_status,4.874,4.982,4.856,4.875,4.982,3.804,4.225,3.042,3.615,3.994,1.955,5.920,3.565,3.485,3.903,4.897,4.013,3.874,7.000
DTV0090,image_driven_corporate_status,4.171,4.313,4.864,4.890,3.958,4.009,3.508,4.036,2.706,2.948,2.064,5.725,3.200,3.279,3.939,4.559,3.878,3.177,7.000
DTV0091,image_driven_corporate_status,4.989,4.269,5.448,4.217,4.244,2.896,3.983,3.794,3.770,3.349,2.049,5.733,2.827,2.704,3.980,4.731,3.729,3.616,7.000
DTV0092,image_driven_corporate_status,4.391,4.901,4.204,5.167,3.551,3.857,3.568,4.147,3.804,2.746,2.696,5.551,3.569,2.852,3.983,4.666,3.781,3.444,6.694
DTV0093,image_driven_corporate_status,4.680,5.627,5.972,4.356,3.669,3.892,4.400,3.009,3.591,4.232,1.849,5.959,3.823,2.983,3.859,5.159,3.743,3.855,7.000
DTV0094,image_driven_corporate_status,5.372,5.035,4.801,5.368,4.409,3.761,4.664,3.888,3.218,3.477,2.838,5.748,3.587,2.975,3.623,5.144,4.180,3.625,7.000
DTV0095,image_driven_corporate_status,4.124,4.368,4.634,4.569,4.717,4.765,4.923,4.824,3.990,3.497,3.208,5.308,2.964,3.226,2.672,4.424,4.807,4.098,5.591
DTV0096,image_driven_corporate_status,5.456,4.944,4.831,4.555,3.989,4.722,4.224,5.072,3.258,3.722,2.229,5.202,4.123,2.443,3.654,4.946,4.502,3.827,7.000
DTV0097,image_driven_corporate_status,5.164,5.137,5.644,6.230,1.932,1.950,2.337,1.672,2.559,2.498,2.283,5.970,4.709,1.646,3.986,5.544,1.972,2.343,7.000
DTV0098,image_driven_corporate_status,5.432,5.716,5.168,5.853,2.140,2.309,2.509,2.130,2.500,2.487,2.681,6.259,4.594,2.688,4.050,5.543,2.272,2.420,7.000
DTV0099,image_driven_corporate_status,5.753,6.119,5.131,5.717,2.769,3.233,2.529,2.625,2.956,2.816,2.361,5.606,4.996,1.848,4.129,5.680,2.789,2.854,7.000
DTV0100,image_driven_corporate_status,4.644,5.015,5.259,4.774,2.263,3.490,2.598,2.941,2.824,2.377,2.253,5.433,3.979,1.858,4.766,4.923,2.823,2.675,7.000
DTV0101,image_driven_corporate_status,5.388,5.636,5.036,4.764,1.817,1.572,2.197,2.855,2.131,1.617,2.822,5.483,4.100,1.656,4.071,5.206,2.110,1.953,7.000
DTV0102,image_driven_corporate_status,6.044,5.608,5.847,5.525,3.081,3.133,2.600,3.853,3.083,2.074,2.604,6.296,4.635,2.494,3.904,5.756,3.167,2.775,7.000
DTV0103,image_driven_corporate_status,5.978,6.509,5.855,5.554,1.558,2.679,2.594,2.701,2.051,1.632,2.902,5.565,4.282,2.001,4.763,5.974,2.383,2.022,7.000
DTV0104,image_driven_corporate_status,5.735,5.156,4.999,5.177,2.788,2.723,2.748,2.633,2.763,2.216,2.766,6.051,4.340,2.699,3.655,5.267,2.723,2.567,7.000
DTV0105,image_driven_corporate_status,4.819,4.313,4.533,4.920,3.721,2.987,3.319,2.922,2.990,3.045,2.246,5.676,3.478,2.138,4.289,4.646,3.237,3.091,7.000
DTV0106,image_driven_corporate_status,4.889,4.335,4.997,4.936,3.186,2.948,3.047,3.866,3.180,3.453,2.599,5.534,3.935,1.966,3.478,4.789,3.262,3.298,7.000
DTV0107,image_driven_corporate_status,3.819,4.261,3.163,4.385,3.586,3.598,3.938,3.624,2.945,2.440,2.441,5.561,3.048,2.450,3.312,3.907,3.687,3.024,5.937
DTV0108,image_driven_corporate_status,4.605,4.837,4.412,5.236,3.485,3.677,3.381,3.132,2.974,2.992,2.716,6.146,3.464,2.807,3.805,4.773,3.419,3.128,6.815
DTV0109,image_driven_corporate_status,5.487,4.827,5.505,4.625,2.948,3.922,2.438,3.226,2.795,3.072,3.044,5.630,3.919,1.986,3.497,5.111,3.133,3.000,6.740
DTV0110,image_driven_corporate_status,5.381,5.409,5.881,4.902,3.477,4.144,4.009,3.445,3.192,2.632,1.987,6.017,3.832,1.927,4.765,5.393,3.768,3.198,7.000
DTV0111,image_driven_corporate_status,4.504,3.852,4.343,3.640,3.865,3.640,2.607,3.903,3.100,2.518,2.328,5.460,3.563,2.782,3.297,4.085,3.504,3.041,6.361
DTV0112,image_driven_corporate_status,4.154,5.316,3.707,4.186,3.172,3.866,3.736,3.944,2.719,3.227,2.183,6.038,3.724,2.741,2.864,4.341,3.680,3.209,6.971
DTV0113,competitive_low_oversight,6.021,4.456,5.020,3.800,3.643,2.977,3.034,2.738,2.326,2.423,1.802,5.628,4.146,2.594,4.108,4.824,3.098,2.616,7.000
DTV0114,competitive_low_oversight,5.256,4.805,5.289,4.811,3.030,2.610,3.164,2.894,2.302,2.792,2.390,5.874,3.970,2.183,4.505,5.040,2.924,2.673,7.000
DTV0115,competitive_low_oversight,7.000,5.546,6.049,6.166,3.383,2.232,2.667,2.301,2.604,2.553,1.598,6.104,4.570,1.408,4.642,6.190,2.646,2.601,7.000
DTV0116,competitive_low_oversight,6.001,5.828,5.838,4.850,3.652,2.663,2.837,2.827,2.633,3.039,1.981,5.019,4.553,1.609,4.712,5.629,2.995,2.889,7.000
DTV0117,competitive_low_oversight,6.371,5.024,5.977,5.273,2.468,2.263,2.636,2.178,2.608,1.673,1.972,5.394,5.163,1.572,4.727,5.661,2.386,2.222,7.000
DTV0118,competitive_low_oversight,6.614,5.304,6.031,5.580,3.207,3.426,2.657,2.968,2.056,2.959,1.683,5.834,4.870,2.228,4.472,5.882,3.065,2.693,7.000
DTV0119,competitive_low_oversight,6.833,5.198,5.565,5.209,2.992,2.399,2.253,2.951,1.936,2.654,2.156,5.589,4.687,1.401,4.192,5.701,2.649,2.413,7.000
DTV0120,competitive_low_oversight,6.028,5.347,6.261,5.432,2.283,2.557,2.231,2.324,2.461,2.001,1.936,5.487,4.846,1.920,4.085,5.767,2.349,2.270,7.000
DTV0121,competitive_low_oversight,5.500,6.796,4.742,5.090,3.726,3.148,3.902,3.212,2.904,2.992,2.126,5.955,3.744,2.764,4.538,5.532,3.497,3.131,7.000
DTV0122,competitive_low_oversight,4.577,5.952,4.715,4.337,2.076,2.428,2.423,2.443,2.231,2.113,1.664,5.203,4.293,2.170,4.376,4.895,2.342,2.229,7.000
DTV0123,competitive_low_oversight,5.509,6.275,4.693,5.611,2.309,3.365,2.994,2.783,2.126,2.402,2.563,5.451,4.313,1.819,4.069,5.522,2.863,2.464,7.000
DTV0124,competitive_low_oversight,5.263,6.345,4.625,4.915,1.452,2.140,2.263,1.579,1.647,2.622,2.918,5.045,4.158,1.589,3.641,5.287,1.859,2.043,7.000
DTV0125,competitive_low_oversight,4.729,4.761,4.655,4.293,2.547,3.049,2.688,1.987,2.053,2.723,1.346,5.763,3.565,2.168,3.694,4.610,2.568,2.448,7.000
DTV0126,competitive_low_oversight,6.129,6.900,4.916,4.641,3.082,3.553,2.539,3.030,2.237,2.605,2.030,5.593,4.369,2.285,4.372,5.647,3.051,2.631,7.000
DTV0127,competitive_low_oversight,5.104,6.311,5.362,4.981,1.687,1.599,1.900,1.809,2.394,1.427,1.641,5.584,4.395,1.989,4.614,5.440,1.749,1.857,7.000
DTV0128,competitive_low_oversight,5.451,5.380,5.494,5.792,2.276,2.524,2.233,1.891,1.367,1.300,1.936,5.680,4.267,1.886,4.057,5.529,2.231,1.633,7.000
DTV0129,competitive_low_oversight,4.488,4.096,6.496,5.161,3.119,2.047,2.106,3.228,2.210,2.405,1.936,4.948,3.061,1.310,4.939,5.060,2.625,2.413,7.000
DTV0130,competitive_low_oversight,5.409,4.859,6.026,5.295,3.709,3.423,3.498,3.967,2.595,2.828,1.830,5.982,4.136,2.454,3.900,5.397,3.649,3.024,7.000
DTV0131,competitive_low_oversight,4.521,5.720,5.176,4.032,2.084,2.080,2.296,2.638,2.438,1.795,2.582,5.494,4.660,1.585,3.991,4.862,2.274,2.169,7.000
DTV0132,competitive_low_oversight,4.865,4.618,5.573,4.237,3.091,2.543,2.338,2.350,2.357,2.424,2.575,5.163,4.274,1.671,3.865,4.823,2.580,2.454,7.000
DTV0133,competitive_low_oversight,5.049,5.430,5.567,5.013,1.807,2.223,1.397,1.854,1.875,1.629,1.875,5.908,4.631,1.240,5.145,5.265,1.820,1.775,7.000
DTV0134,competitive_low_oversight,5.984,5.486,6.611,6.081,1.984,2.443,1.880,2.152,1.431,1.718,2.512,5.440,4.813,1.787,3.971,6.041,2.115,1.755,7.000
DTV0135,competitive_low_oversight,4.897,5.495,6.056,4.755,2.421,1.801,2.052,1.916,1.802,2.550,2.138,5.317,4.062,1.847,4.151,5.301,2.047,2.133,7.000
DTV0136,competitive_low_oversight,5.868,4.309,5.980,5.534,2.467,2.456,2.040,2.430,2.115,2.027,1.726,5.575,4.411,2.238,4.578,5.423,2.348,2.163,7.000
DTV0137,competitive_low_oversight,5.281,5.573,5.067,6.373,1.000,2.304,2.276,2.182,1.277,1.821,2.168,5.905,4.236,1.549,4.348,5.574,1.940,1.680,7.000
DTV0138,competitive_low_oversight,4.596,4.783,5.371,5.828,2.636,2.622,3.405,3.163,2.872,1.994,1.724,5.742,3.356,2.099,5.119,5.144,2.957,2.608,7.000
DTV0139,competitive_low_oversight,4.828,6.017,5.914,6.882,2.419,3.685,3.282,3.291,2.759,1.552,1.482,5.654,4.114,2.517,4.187,5.910,3.169,2.493,7.000
DTV0140,competitive_low_oversight,5.252,5.047,5.127,6.432,1.475,1.542,2.825,2.093,2.233,2.346,1.873,5.368,4.415,1.608,4.295,5.464,1.984,2.187,7.000
DTV0141,competitive_low_oversight,4.571,4.555,4.553,5.239,2.583,2.549,2.754,1.767,2.287,2.543,1.583,5.190,3.988,2.042,4.203,4.729,2.413,2.415,7.000
DTV0142,competitive_low_oversight,4.439,4.860,4.651,6.327,3.232,2.571,2.577,2.704,2.444,2.947,1.753,5.736,3.961,2.174,4.347,5.069,2.771,2.721,7.000
DTV0143,competitive_low_oversight,5.258,4.437,5.515,6.176,2.507,2.579,2.567,2.056,2.701,2.407,2.137,5.551,3.851,1.931,4.315,5.346,2.427,2.512,7.000
DTV0144,competitive_low_oversight,5.659,5.385,6.378,6.357,3.753,3.031,3.570,3.098,3.004,2.704,1.406,5.944,4.318,1.984,4.331,5.945,3.363,3.023,7.000
DTV0145,competitive_low_oversight,4.227,5.466,3.609,4.604,3.876,3.787,4.202,4.226,2.947,2.871,2.239,5.611,3.075,2.338,3.999,4.476,4.023,3.280,7.000
DTV0146,competitive_low_oversight,4.254,4.647,4.953,4.725,3.686,3.805,4.362,4.336,3.727,2.449,2.142,5.806,3.787,2.757,4.109,4.645,4.047,3.408,7.000
DTV0147,competitive_low_oversight,5.145,5.099,4.706,3.999,3.281,3.281,3.346,3.747,2.749,3.070,1.998,5.425,3.454,2.651,3.731,4.737,3.414,3.077,7.000
DTV0148,competitive_low_oversight,4.571,5.217,5.496,4.708,3.529,3.845,4.428,3.812,3.198,2.799,1.879,5.219,3.206,2.536,4.276,4.998,3.903,3.300,7.000
