person_id,motivation_context,autonomy_goal,achievement_goal,belonging_goal,security_goal,meaning_goal,status_goal,goal_conflict,goal_ownership,autonomy_support,competence_support,relatedness_support,conscientiousness,persistence_score,adaptive_disengagement,well_being,total_goal_intensity,approach_orientation,avoidance_security_orientation,status_orientation,need_support,motivational_quality,life_direction_coherence
MGD0060,high_control_low_ownership_context,2.518,4.740,2.818,4.711,2.196,5.037,3.994,1.151,1.029,3.633,2.765,2.813,2.855,1.692,1.624,22.021,3.068,4.711,5.037,2.476,1.941,2.483
MGD0061,high_control_low_ownership_context,2.443,4.080,2.922,5.712,2.607,4.732,4.563,1.000,1.515,2.501,2.124,1.961,1.057,1.725,1.000,22.495,3.013,5.712,4.732,2.047,1.884,2.314
MGD0062,high_control_low_ownership_context,1.878,4.137,2.578,5.628,3.737,5.002,4.225,2.226,2.104,3.189,1.842,2.109,1.590,1.660,1.808,22.961,3.083,5.628,5.002,2.378,2.780,3.093
MGD0063,high_control_low_ownership_context,2.261,3.518,2.816,5.369,2.500,3.949,3.403,1.023,1.772,2.825,1.849,1.417,1.747,1.550,1.000,20.414,2.774,5.369,3.949,2.149,1.891,2.410
MGD0064,high_control_low_ownership_context,2.041,3.837,2.573,5.731,2.824,4.613,3.842,1.817,1.440,2.800,1.929,2.103,1.483,2.495,1.591,21.618,2.819,5.731,4.613,2.056,2.232,2.741
MGD0065,high_control_low_ownership_context,2.285,3.695,3.007,5.469,2.948,4.671,3.886,1.270,1.006,2.877,2.128,1.388,1.580,1.829,1.793,22.075,2.984,5.469,4.671,2.003,2.074,2.554
MGD0066,high_control_low_ownership_context,2.711,4.533,2.753,6.785,2.598,4.107,4.054,1.000,1.314,2.910,2.201,1.430,1.239,1.492,1.000,23.486,3.149,6.785,4.107,2.142,1.913,2.442
MGD0067,high_control_low_ownership_context,2.512,4.282,2.963,5.267,4.085,4.464,2.592,2.362,1.382,3.310,2.049,2.741,3.527,2.527,3.003,23.572,3.460,5.267,4.464,2.247,2.898,3.536
MGD0068,high_control_low_ownership_context,2.838,4.283,3.792,4.930,3.164,4.319,2.620,1.308,1.063,2.796,1.547,2.998,2.910,1.842,3.284,23.326,3.519,4.930,4.319,1.802,2.091,2.932
MGD0069,high_control_low_ownership_context,3.224,4.513,3.501,4.629,3.845,4.573,2.532,2.554,1.942,2.361,2.302,3.232,3.468,2.763,3.805,24.285,3.771,4.629,4.573,2.202,2.867,3.702
MGD0070,high_control_low_ownership_context,3.339,4.290,2.474,4.173,3.720,5.021,2.679,3.026,1.817,3.551,2.460,3.470,3.710,2.427,3.080,23.018,3.456,4.173,5.021,2.609,3.118,3.817
MGD0071,high_control_low_ownership_context,3.007,3.805,2.903,4.762,3.986,4.583,1.578,2.193,1.835,2.701,1.977,3.280,3.613,2.305,3.104,23.046,3.425,4.762,4.583,2.171,2.783,3.575
MGD0072,high_control_low_ownership_context,3.867,4.650,3.295,4.800,3.798,4.237,2.044,2.182,1.901,3.282,2.082,3.191,3.798,2.728,2.960,24.646,3.902,4.800,4.237,2.421,2.800,3.670
MGD0073,high_control_low_ownership_context,2.789,3.457,4.240,4.498,3.855,4.136,2.616,2.902,1.548,2.608,1.826,2.982,2.577,2.872,4.029,22.975,3.585,4.498,4.136,1.994,2.917,3.761
MGD0074,high_control_low_ownership_context,2.620,3.610,3.995,4.757,3.910,4.454,1.649,3.075,1.000,2.742,2.152,2.444,2.962,3.492,4.213,23.346,3.534,4.757,4.454,1.965,2.983,3.962
MGD0075,high_control_low_ownership_context,3.345,3.048,3.570,4.408,3.925,2.880,1.909,3.063,1.904,3.569,2.001,2.945,3.622,3.116,4.391,21.176,3.472,4.408,2.880,2.491,3.160,3.959
MGD0076,high_control_low_ownership_context,3.096,4.301,5.186,4.494,3.569,3.884,2.328,2.368,1.465,3.126,2.766,2.623,2.574,3.255,3.549,24.530,4.038,4.494,3.884,2.452,2.796,3.735
MGD0077,high_control_low_ownership_context,2.722,4.427,4.019,4.829,3.861,4.295,2.980,2.552,1.982,3.266,2.046,2.658,2.803,2.762,3.516,24.153,3.757,4.829,4.295,2.431,2.948,3.660
MGD0078,high_control_low_ownership_context,2.852,4.670,4.220,5.257,4.370,4.339,2.071,3.220,1.518,3.273,2.819,2.692,3.793,3.354,3.863,25.708,4.028,5.257,4.339,2.537,3.376,4.245
MGD0079,high_control_low_ownership_context,3.394,4.087,3.375,4.473,4.969,3.652,2.860,2.167,1.816,3.137,2.321,2.533,3.399,3.125,3.052,23.950,3.956,4.473,3.652,2.425,3.187,3.695
MGD0080,high_control_low_ownership_context,3.407,3.921,3.476,4.801,3.902,4.430,2.470,2.180,1.347,3.556,2.542,2.923,3.777,3.647,3.375,23.938,3.677,4.801,4.430,2.482,2.854,3.551
MGD0081,high_control_low_ownership_context,3.771,3.870,4.171,4.760,3.790,4.006,2.444,1.780,1.674,2.768,2.794,2.782,3.005,3.375,2.945,24.369,3.901,4.760,4.006,2.412,2.660,3.431
MGD0082,high_control_low_ownership_context,2.768,3.467,3.678,5.104,4.260,4.456,2.381,2.665,1.616,3.134,2.389,3.094,3.270,3.930,3.069,23.733,3.543,5.104,4.456,2.380,3.101,3.763
MGD0083,high_control_low_ownership_context,3.316,3.823,2.927,5.429,4.344,4.675,2.590,2.058,1.315,3.475,1.877,2.944,3.701,2.851,2.839,24.514,3.603,5.429,4.675,2.222,2.875,3.475
MGD0084,high_control_low_ownership_context,3.900,3.816,3.532,5.305,4.245,3.855,2.309,2.172,1.590,2.374,2.438,3.841,3.325,3.170,3.427,24.652,3.873,5.305,3.855,2.134,2.850,3.635
MGD0085,achievement_pressure_context,4.784,5.575,4.312,3.911,4.830,3.662,1.831,3.266,2.307,3.813,2.562,3.638,4.350,3.938,4.296,27.075,4.875,3.911,3.662,2.894,3.664,4.674
MGD0086,achievement_pressure_context,4.118,4.929,4.026,4.075,4.595,3.509,1.695,3.628,2.485,4.493,2.908,3.618,3.952,3.389,4.202,25.252,4.417,4.075,3.509,3.295,3.840,4.719
MGD0087,achievement_pressure_context,5.096,5.597,4.500,3.442,4.287,2.800,2.386,3.044,2.375,4.673,2.935,3.524,4.237,3.418,4.243,25.723,4.870,3.442,2.800,3.328,3.553,4.482
MGD0088,achievement_pressure_context,4.098,5.467,3.997,3.763,5.072,3.400,1.219,3.809,2.650,4.384,2.841,4.286,4.588,3.486,5.012,25.797,4.659,3.763,3.400,3.292,4.058,5.001
MGD0089,achievement_pressure_context,4.462,4.774,4.558,3.735,5.106,3.431,1.582,3.432,2.414,4.742,2.832,4.142,5.102,2.991,4.989,26.065,4.725,3.735,3.431,3.329,3.956,4.812
MGD0090,achievement_pressure_context,4.531,4.738,3.897,3.118,4.533,3.465,2.369,3.864,2.553,4.031,2.469,3.587,4.435,3.582,4.467,24.283,4.425,3.118,3.465,3.018,3.805,4.693
MGD0091,achievement_pressure_context,3.971,4.744,2.857,4.534,3.587,5.554,3.792,1.000,2.618,3.434,2.525,1.543,2.541,1.931,1.580,25.247,3.790,4.534,5.554,2.859,2.482,2.882
MGD0092,achievement_pressure_context,3.700,5.515,3.478,4.961,4.186,4.374,3.759,1.443,2.766,4.152,2.904,2.279,1.964,1.899,1.899,26.213,4.220,4.961,4.374,3.274,2.968,3.340
MGD0093,achievement_pressure_context,3.436,5.055,3.901,4.510,3.586,4.731,3.236,1.103,3.046,4.106,3.028,2.193,2.103,2.110,1.807,25.219,3.995,4.510,4.731,3.393,2.694,3.135
MGD0094,achievement_pressure_context,3.884,4.906,2.978,4.888,3.620,4.553,3.758,1.000,3.219,4.549,2.363,1.741,1.741,2.326,1.528,24.830,3.847,4.888,4.553,3.377,2.666,2.967
MGD0095,achievement_pressure_context,3.591,4.895,3.586,4.350,4.100,4.568,3.449,1.033,2.405,4.189,2.202,1.378,2.287,1.749,1.000,25.089,4.043,4.350,4.568,2.932,2.688,3.095
MGD0096,achievement_pressure_context,3.600,4.697,2.924,4.531,4.406,4.665,3.547,1.406,2.493,4.231,2.503,1.925,2.508,1.862,1.862,24.823,3.907,4.531,4.665,3.076,2.962,3.252
MGD0097,achievement_pressure_context,2.994,5.827,2.999,3.905,2.424,5.054,2.811,1.876,2.695,4.152,2.361,2.644,3.220,2.290,2.477,23.205,3.561,3.905,5.054,3.070,2.457,3.230
MGD0098,achievement_pressure_context,3.401,5.604,2.982,4.591,3.023,5.773,4.146,1.362,2.557,4.414,2.414,2.856,2.705,2.063,1.294,25.374,3.753,4.591,5.773,3.128,2.505,2.948
MGD0099,achievement_pressure_context,3.667,5.334,3.390,4.307,3.177,6.089,3.411,1.773,2.889,3.459,2.676,2.831,2.543,2.499,1.593,25.963,3.892,4.307,6.089,3.008,2.653,3.285
MGD0100,achievement_pressure_context,3.927,5.651,3.046,4.433,2.345,6.052,3.444,2.061,2.350,4.711,3.733,2.730,3.201,2.683,1.563,25.454,3.742,4.433,6.052,3.598,2.668,3.332
MGD0101,achievement_pressure_context,3.592,5.249,3.615,3.601,2.584,5.417,3.701,1.629,2.198,3.785,2.528,2.466,2.424,2.567,1.906,24.058,3.760,3.601,5.417,2.837,2.350,3.051
MGD0102,achievement_pressure_context,3.960,5.549,3.905,4.607,2.380,5.093,3.775,1.537,2.018,3.824,2.713,2.905,2.688,2.406,1.973,25.493,3.948,4.607,5.093,2.852,2.256,3.041
MGD0103,achievement_pressure_context,3.322,4.569,3.241,5.697,3.180,3.873,2.975,1.830,2.966,4.023,2.313,2.352,1.731,2.274,1.828,23.883,3.578,5.697,3.873,3.101,2.704,3.279
MGD0104,achievement_pressure_context,2.170,4.596,3.366,5.093,3.273,3.779,3.468,2.578,2.527,4.081,2.025,2.023,1.689,1.997,2.107,22.278,3.351,5.093,3.779,2.878,2.910,3.451
MGD0105,achievement_pressure_context,2.614,4.568,3.853,4.731,3.552,3.913,3.073,1.646,2.456,3.249,3.057,2.142,2.327,2.851,2.131,23.231,3.647,4.731,3.913,2.921,2.706,3.227
MGD0106,achievement_pressure_context,3.031,5.154,3.137,4.937,3.482,4.377,3.668,1.368,3.037,4.305,3.123,2.459,1.825,2.369,2.010,24.117,3.701,4.937,4.377,3.488,2.780,3.092
MGD0107,achievement_pressure_context,3.132,4.748,3.635,5.605,3.020,3.733,3.140,1.837,2.837,4.263,1.898,2.078,2.111,2.293,1.398,23.872,3.633,5.605,3.733,3.000,2.619,3.248
MGD0108,achievement_pressure_context,3.060,4.301,2.566,5.169,3.860,4.309,3.160,1.323,2.597,3.936,2.417,2.643,2.405,2.418,1.719,23.265,3.447,5.169,4.309,2.983,2.722,3.046
MGD0109,achievement_pressure_context,4.105,6.048,4.034,3.329,3.946,4.341,2.104,3.675,2.477,4.892,3.020,3.820,4.025,3.529,3.984,25.803,4.533,3.329,4.341,3.463,3.695,4.667
MGD0110,achievement_pressure_context,4.435,5.132,3.783,3.443,4.576,4.643,1.684,3.728,2.491,4.628,2.925,4.036,4.287,3.220,3.965,26.012,4.481,3.443,4.643,3.348,3.884,4.791
MGD0111,achievement_pressure_context,3.710,4.923,4.364,3.902,4.706,4.297,1.190,3.711,2.035,4.102,2.674,3.223,4.620,3.129,3.922,25.902,4.426,3.902,4.297,2.937,3.785,4.804
MGD0112,achievement_pressure_context,4.028,4.864,3.764,3.792,4.600,4.922,2.211,2.708,2.750,3.949,2.564,3.473,3.779,2.676,3.843,25.971,4.314,3.792,4.922,3.088,3.465,4.180
MGD0113,achievement_pressure_context,4.312,5.173,3.873,3.750,4.248,3.960,1.882,2.634,1.924,4.386,2.623,3.595,3.741,2.176,3.633,25.317,4.402,3.750,3.960,2.978,3.287,4.172
MGD0114,achievement_pressure_context,4.232,4.742,3.599,4.282,4.049,3.115,2.106,2.421,2.448,4.454,2.650,3.886,3.507,2.815,3.805,24.020,4.156,4.282,3.115,3.184,3.218,3.964
MGD0115,achievement_pressure_context,4.221,4.282,4.510,3.443,4.765,3.861,1.927,3.296,2.486,4.180,3.122,3.689,3.168,2.964,3.855,25.083,4.445,3.443,3.861,3.263,3.775,4.563
MGD0116,achievement_pressure_context,3.687,4.997,4.558,3.966,4.081,3.964,1.797,2.594,2.496,4.366,3.215,2.621,3.453,3.465,3.789,25.252,4.331,3.966,3.964,3.359,3.345,4.166
MGD0117,achievement_pressure_context,3.742,4.866,4.317,4.437,4.737,3.229,2.053,3.068,2.732,3.870,2.695,2.334,3.681,3.786,4.042,25.328,4.415,4.437,3.229,3.099,3.634,4.412
MGD0118,achievement_pressure_context,3.776,5.713,4.784,3.842,4.225,3.368,1.431,3.801,2.723,4.168,3.078,3.891,4.750,4.042,5.396,25.707,4.624,3.842,3.368,3.323,3.783,4.865
MGD0119,achievement_pressure_context,4.106,4.742,4.516,3.847,3.967,3.854,1.206,3.111,2.912,4.085,2.481,3.900,4.072,3.678,4.130,25.032,4.333,3.847,3.854,3.159,3.412,4.446
MGD0120,achievement_pressure_context,3.701,4.231,4.615,4.573,4.788,3.464,1.587,2.988,2.375,4.679,3.040,3.261,3.453,3.150,4.091,25.373,4.334,4.573,3.464,3.365,3.713,4.452
MGD0121,achievement_pressure_context,4.809,4.468,4.596,3.686,4.555,2.488,2.390,2.617,2.915,4.863,2.080,3.682,3.125,4.163,3.506,24.602,4.607,3.686,2.488,3.286,3.486,4.228
MGD0122,achievement_pressure_context,4.109,5.066,3.892,4.035,4.297,3.737,2.521,3.085,3.142,4.344,2.883,3.190,3.630,4.050,3.273,25.135,4.341,4.035,3.737,3.456,3.613,4.319
MGD0123,achievement_pressure_context,3.827,4.029,3.932,3.868,4.697,3.559,2.540,2.371,2.618,4.520,3.237,3.231,3.616,3.845,3.909,23.912,4.121,3.868,3.559,3.458,3.509,3.971
MGD0124,achievement_pressure_context,4.756,4.442,4.089,4.784,4.761,3.326,2.389,2.267,2.146,4.375,2.673,3.370,4.123,2.950,3.537,26.159,4.512,4.784,3.326,3.065,3.364,4.040
MGD0125,achievement_pressure_context,4.000,5.298,3.789,4.092,4.538,3.569,2.909,2.725,2.629,4.124,2.583,3.566,3.448,3.472,3.226,25.287,4.406,4.092,3.569,3.112,3.459,4.115
MGD0126,achievement_pressure_context,4.262,5.076,3.612,4.004,4.020,3.370,2.552,3.022,2.717,4.012,3.201,3.448,3.179,3.682,3.045,24.345,4.243,4.004,3.370,3.310,3.451,4.207
MGD0127,belonging_and_relatedness_context,5.210,3.535,6.510,1.573,6.560,2.303,3.117,3.605,3.964,3.621,4.328,3.888,4.347,3.813,4.817,25.691,5.454,1.573,2.303,3.971,4.712,5.145
MGD0128,belonging_and_relatedness_context,5.195,3.516,5.829,2.319,7.000,1.479,3.453,4.267,4.452,2.908,4.722,3.949,3.902,4.386,4.236,25.339,5.385,2.319,1.479,4.027,5.098,5.424
MGD0129,belonging_and_relatedness_context,4.590,4.260,5.731,2.097,7.000,2.267,2.232,4.252,3.943,3.191,4.771,3.564,4.624,3.960,4.987,25.945,5.395,2.097,2.267,3.968,5.073,5.588
MGD0130,belonging_and_relatedness_context,5.575,4.574,6.526,2.384,6.149,1.073,2.880,4.379,4.173,3.116,5.607,3.559,4.649,4.686,5.418,26.281,5.706,2.384,1.073,4.299,4.942,5.598
