person_id,assessment_context,s1,s2,s3,s4,s5,o1,o2,o3,o4,o5,attention_check,careless_response_risk,social_desirability_pressure,self_missing_count,observer_missing_count,self_conscientiousness,observer_conscientiousness,self_other_discrepancy,absolute_self_other_discrepancy,method_effect_index,reliability_context_score,professional_reflection_score
PME00032,low_stakes_research_context,3.311,2.845,2.860,3.698,2.834,2.780,2.858,1.596,2.814,3.092,1,0.357,1.689,0,0,3.109,2.628,0.482,0.482,0.936,4.867,4.737
PME00033,low_stakes_research_context,2.493,2.754,3.049,3.325,3.461,2.921,2.706,3.150,2.419,2.958,1,0.883,1.492,1,0,2.905,2.831,0.075,0.075,0.555,5.262,4.445
PME00034,low_stakes_research_context,3.080,2.779,2.810,2.471,2.676,2.837,2.998,2.498,2.610,3.326,1,1.734,1.143,0,0,2.763,2.854,-0.091,0.091,1.126,5.201,5.022
PME00035,low_stakes_research_context,2.555,2.768,3.265,3.225,2.666,2.622,3.151,3.312,2.962,2.639,1,0.719,2.227,0,0,2.896,2.937,-0.041,0.041,1.116,5.556,4.156
PME00036,low_stakes_research_context,2.973,2.692,2.613,2.550,2.465,2.657,2.134,2.860,3.287,2.587,1,0.242,0.980,0,0,2.659,2.705,-0.046,0.046,0.541,5.114,4.371
PME00037,low_stakes_research_context,5.165,,5.571,4.887,5.402,4.138,2.701,4.017,,4.126,1,0.642,1.007,0,0,5.242,3.685,1.557,1.557,1.469,4.917,5.627
PME00038,low_stakes_research_context,4.520,4.797,5.637,5.089,6.272,4.092,3.427,3.177,3.708,3.389,1,0.715,1.321,0,0,5.263,3.559,1.704,1.704,1.439,4.866,5.278
PME00039,low_stakes_research_context,5.032,6.063,4.747,5.400,5.211,,3.766,4.223,3.201,3.321,1,2.321,0.000,1,0,5.355,3.509,1.846,1.846,1.524,4.495,4.754
PME00040,low_stakes_research_context,5.437,5.504,4.955,5.197,5.130,3.615,3.823,3.769,3.305,4.084,1,0.506,1.877,0,0,5.244,3.719,1.525,1.525,1.206,4.931,5.098
PME00041,low_stakes_research_context,5.243,4.305,5.499,4.790,6.064,3.418,3.475,3.936,3.662,4.028,1,0.619,1.047,0,0,5.180,3.704,1.476,1.476,2.044,5.040,5.512
PME00042,low_stakes_research_context,5.611,5.210,5.873,,4.549,4.208,2.148,4.419,,3.262,1,1.009,1.229,1,0,5.313,3.548,1.764,1.764,1.640,5.097,5.014
PME00043,low_stakes_research_context,5.150,5.295,5.976,5.817,5.352,3.822,3.534,3.945,3.569,3.406,1,1.237,1.300,0,0,5.518,3.655,1.863,1.863,1.644,4.972,5.292
PME00044,low_stakes_research_context,4.573,4.677,5.647,5.430,5.634,3.374,3.889,4.252,3.189,4.178,1,1.032,0.470,0,0,5.192,3.776,1.416,1.416,0.927,4.720,5.017
PME00045,low_stakes_research_context,5.385,5.365,5.937,4.705,4.851,3.727,3.691,4.044,3.561,3.691,1,0.919,2.348,0,1,5.249,3.747,1.502,1.502,2.112,5.197,5.438
PME00046,low_stakes_research_context,6.263,5.470,5.328,5.470,5.772,3.644,4.114,3.892,4.502,3.104,1,0.223,1.750,0,0,5.660,3.851,1.809,1.809,1.473,5.326,5.184
PME00047,low_stakes_research_context,4.582,5.039,5.860,5.753,5.404,3.124,3.370,3.677,3.528,3.509,1,0.543,2.233,0,0,5.328,3.442,1.886,1.886,1.554,5.109,5.121
PME00048,low_stakes_research_context,5.471,5.873,4.478,4.544,5.352,3.257,4.179,4.852,3.884,3.686,1,0.494,2.088,0,0,5.144,3.972,1.172,1.172,0.994,5.077,5.244
PME00049,low_stakes_research_context,3.165,2.683,2.968,3.343,2.755,5.015,4.292,5.343,5.190,4.412,1,0.929,0.424,0,0,2.983,4.850,-1.868,1.868,1.366,4.710,4.959
PME00050,low_stakes_research_context,3.294,4.108,3.799,3.015,3.444,4.778,4.484,,5.150,4.703,1,1.820,0.703,0,0,3.532,4.944,-1.412,1.412,1.412,4.882,5.123
PME00051,low_stakes_research_context,2.954,3.498,3.105,3.021,3.340,5.355,4.548,4.773,5.664,4.975,1,2.231,1.881,0,0,3.184,5.063,-1.879,1.879,2.426,4.551,4.908
PME00052,low_stakes_research_context,2.908,2.785,3.708,3.608,3.066,4.723,4.154,6.105,5.238,4.923,1,1.583,1.148,0,0,3.215,5.029,-1.813,1.813,1.955,5.043,5.047
PME00053,low_stakes_research_context,2.481,3.182,2.835,3.371,2.903,5.010,4.697,4.599,4.844,4.147,1,1.294,0.475,0,1,2.954,4.675,-1.720,1.720,1.626,5.005,5.131
PME00054,low_stakes_research_context,2.584,3.409,3.019,3.769,3.741,5.374,5.571,4.797,4.210,5.577,1,0.547,1.357,0,0,3.305,5.106,-1.801,1.801,1.499,5.179,4.692
PME00055,low_stakes_research_context,3.475,3.574,4.082,2.421,3.007,5.513,4.729,4.794,4.163,5.339,1,1.786,0.386,0,1,3.312,4.952,-1.640,1.640,1.441,4.762,4.484
PME00056,low_stakes_research_context,3.384,3.571,2.847,2.937,3.510,4.520,4.189,4.393,5.065,4.856,1,2.022,1.004,0,0,3.250,4.604,-1.354,1.354,1.707,4.758,5.713
PME00057,low_stakes_research_context,2.866,3.446,3.367,4.122,2.633,4.814,5.249,4.321,5.636,4.506,1,0.836,0.502,0,0,3.287,4.905,-1.618,1.618,1.094,4.669,4.911
PME00058,low_stakes_research_context,2.422,3.832,3.046,3.423,2.843,4.451,5.327,4.993,5.512,5.198,1,0.171,0.588,0,0,3.113,5.096,-1.983,1.983,1.013,5.140,4.839
PME00059,low_stakes_research_context,3.303,3.171,3.073,3.954,3.562,4.525,5.094,4.826,4.070,5.393,1,0.387,2.221,1,0,3.498,4.782,-1.284,1.284,1.681,5.314,5.126
PME00060,low_stakes_research_context,2.590,3.550,3.968,2.925,2.831,4.614,5.699,4.793,4.978,5.296,1,0.543,0.771,1,0,3.078,5.076,-1.998,1.998,1.325,4.728,4.814
PME00061,low_stakes_research_context,4.762,5.140,5.255,,6.038,3.224,4.113,4.338,4.137,3.943,1,1.005,1.863,0,0,5.284,3.951,1.333,1.333,1.820,5.032,5.107
PME00062,low_stakes_research_context,4.689,5.106,5.387,4.401,4.509,4.623,5.521,4.108,5.355,3.852,1,0.928,1.042,0,0,4.819,4.692,0.127,0.127,0.454,5.240,5.274
PME00063,low_stakes_research_context,5.340,4.550,4.344,4.132,4.921,3.890,4.488,4.263,3.786,3.895,1,0.000,1.820,0,0,4.657,4.064,0.593,0.593,1.326,5.402,4.926
PME00064,low_stakes_research_context,4.791,4.137,5.729,4.262,4.836,,3.645,4.491,4.048,4.566,1,1.474,0.883,0,0,4.751,4.172,0.579,0.579,0.960,4.903,4.568
PME00065,low_stakes_research_context,5.663,3.969,4.280,5.238,4.877,3.992,2.110,3.612,3.466,3.413,1,1.371,0.755,0,0,4.805,3.319,1.487,1.487,1.921,4.918,5.043
PME00066,low_stakes_research_context,4.929,3.922,4.704,5.098,4.978,4.673,2.575,4.255,5.008,3.998,1,0.127,0.439,0,0,4.726,4.102,0.624,0.624,0.524,5.449,5.092
PME00067,low_stakes_research_context,4.513,4.769,4.587,4.390,5.084,3.851,4.228,4.227,,5.101,1,0.503,0.658,0,0,4.668,4.189,0.479,0.479,0.956,5.388,4.828
PME00068,low_stakes_research_context,3.829,4.650,4.932,6.474,5.174,3.950,2.953,4.037,3.847,3.355,1,0.610,1.028,0,0,5.012,3.628,1.383,1.383,1.404,4.922,5.510
PME00069,low_stakes_research_context,4.125,5.191,4.849,4.988,4.170,4.771,,3.592,4.481,3.839,1,1.439,0.732,1,0,4.533,4.220,0.313,0.313,1.191,5.291,4.500
PME00070,low_stakes_research_context,5.111,5.391,5.018,6.223,5.737,3.123,4.944,,4.245,4.557,1,0.869,1.646,0,0,5.496,4.449,1.047,1.047,1.626,5.359,5.249
PME00071,low_stakes_research_context,5.045,5.885,3.827,4.092,4.887,4.051,3.438,4.595,3.319,4.616,1,0.000,1.937,0,0,4.747,4.004,0.743,0.743,1.244,5.141,5.316
PME00072,low_stakes_research_context,4.399,5.315,4.644,5.436,5.167,4.246,4.639,3.380,3.820,4.676,1,1.555,1.686,1,0,4.912,4.152,0.759,0.759,1.515,4.629,5.524
PME00073,professional_workshop_context,6.247,6.482,6.060,5.452,6.606,5.767,5.149,4.874,5.678,5.582,1,1.372,2.553,0,1,6.169,5.321,0.848,0.848,1.597,4.462,4.698
PME00074,professional_workshop_context,5.196,5.564,5.701,5.697,,5.194,5.723,6.102,5.291,5.461,1,1.389,0.000,0,1,5.614,5.645,-0.030,0.030,0.719,4.688,4.460
PME00075,professional_workshop_context,5.703,5.800,5.548,5.813,6.288,5.268,,5.826,5.684,5.038,1,1.374,3.473,1,0,5.862,5.462,0.400,0.400,1.697,4.953,4.360
PME00076,professional_workshop_context,5.629,5.375,5.849,5.571,6.350,5.762,5.548,5.736,5.429,6.070,1,1.221,1.662,0,1,5.755,5.749,0.006,0.006,0.925,4.871,5.119
PME00077,professional_workshop_context,5.549,5.470,6.234,6.280,5.680,5.287,5.680,5.951,5.070,5.247,1,1.182,1.649,0,0,5.843,5.447,0.396,0.396,1.435,4.939,4.979
PME00078,professional_workshop_context,5.442,6.296,5.717,5.824,5.482,5.580,5.985,5.876,,,1,1.299,1.693,0,0,5.752,5.627,0.125,0.125,1.339,5.247,4.350
PME00079,professional_workshop_context,6.464,6.236,5.612,5.915,6.200,5.393,6.037,5.662,5.741,5.998,1,0.971,3.069,0,0,6.085,5.766,0.319,0.319,1.612,4.893,5.031
PME00080,professional_workshop_context,5.719,5.883,6.380,5.509,6.138,5.807,5.297,5.604,5.829,5.347,1,2.186,1.892,0,0,5.926,5.577,0.349,0.349,1.559,4.581,5.110
PME00081,professional_workshop_context,5.834,6.550,6.192,6.075,6.177,5.528,5.346,5.718,5.291,5.510,1,0.649,2.343,0,0,6.166,5.479,0.687,0.687,0.630,4.901,5.435
PME00082,professional_workshop_context,,5.955,6.082,5.219,5.840,5.386,5.698,5.731,5.536,,1,1.218,1.288,0,0,5.667,5.633,0.034,0.034,1.061,4.976,4.801
PME00083,professional_workshop_context,5.965,6.506,5.746,5.630,5.988,5.593,5.555,5.793,5.528,,1,1.505,1.535,0,0,5.967,5.588,0.379,0.379,1.647,4.806,4.757
PME00084,professional_workshop_context,5.866,6.199,5.999,6.045,6.418,5.148,5.464,5.760,5.472,5.164,1,1.102,2.253,0,0,6.106,5.402,0.704,0.704,1.509,4.745,4.873
PME00085,professional_workshop_context,5.012,4.207,,4.036,4.087,3.928,3.738,3.433,4.624,4.331,0,1.260,1.847,0,0,4.385,4.011,0.374,0.374,1.467,5.175,4.521
PME00086,professional_workshop_context,4.391,4.159,4.372,4.634,4.170,4.259,4.309,3.819,3.840,3.783,1,1.558,1.502,0,0,4.345,4.002,0.343,0.343,1.701,4.979,4.913
PME00087,professional_workshop_context,4.538,4.218,4.239,4.607,4.487,3.782,3.526,4.532,3.683,4.325,1,2.283,2.946,0,0,4.418,3.970,0.448,0.448,1.525,4.500,4.828
PME00088,professional_workshop_context,4.553,4.167,4.467,4.405,4.330,3.863,4.135,3.525,4.065,3.888,1,1.391,1.630,0,0,4.384,3.895,0.489,0.489,1.302,4.580,5.072
PME00089,professional_workshop_context,4.083,4.145,4.118,3.951,4.609,4.197,3.645,3.780,3.656,4.130,1,0.736,1.922,0,0,4.181,3.882,0.299,0.299,1.266,5.168,4.642
PME00090,professional_workshop_context,4.234,4.578,4.569,4.484,4.597,3.443,4.101,4.181,3.585,3.907,1,1.468,1.480,0,0,4.492,3.844,0.649,0.649,1.448,5.198,4.684
PME00091,professional_workshop_context,4.092,4.108,4.481,4.275,3.863,3.931,4.150,3.973,4.565,3.971,1,1.707,1.482,1,1,4.239,4.006,0.233,0.233,1.504,4.898,4.544
PME00092,professional_workshop_context,4.740,4.278,4.244,4.433,3.995,3.774,3.622,4.311,4.485,3.638,1,1.457,2.412,0,0,4.338,3.966,0.372,0.372,0.999,4.852,5.005
PME00093,professional_workshop_context,4.640,4.212,4.619,4.553,4.035,3.546,3.826,4.125,3.897,4.111,1,0.444,1.449,0,0,4.412,3.901,0.511,0.511,1.077,5.070,4.577
PME00094,professional_workshop_context,4.459,4.640,4.499,4.660,4.213,3.904,4.515,3.835,3.242,4.374,1,1.326,2.315,0,0,4.494,3.974,0.520,0.520,1.421,4.575,4.385
PME00095,professional_workshop_context,4.423,4.690,4.470,4.088,,3.924,4.394,3.991,3.482,3.770,1,0.850,2.293,0,0,4.308,3.912,0.396,0.396,0.744,5.541,4.778
PME00096,professional_workshop_context,4.370,4.919,3.723,4.186,4.541,4.202,3.994,4.419,,4.604,1,2.233,2.588,0,0,4.348,4.296,0.051,0.051,1.210,4.851,4.430
PME00097,professional_workshop_context,,2.952,2.721,,3.343,2.849,3.255,2.312,2.794,2.313,1,1.943,2.073,2,0,2.912,2.705,0.207,0.207,1.471,4.596,4.757
PME00098,professional_workshop_context,2.860,2.377,2.856,2.667,3.821,3.531,2.972,2.793,2.599,2.343,1,1.651,2.711,1,1,2.690,2.974,-0.284,0.284,1.444,5.018,4.729
PME00099,professional_workshop_context,2.774,3.266,2.487,3.317,2.835,2.883,2.297,2.031,2.560,2.869,1,1.573,2.090,0,0,2.936,2.528,0.408,0.408,1.451,4.815,4.904
PME00100,professional_workshop_context,3.022,3.680,2.843,2.968,2.429,2.491,2.849,,3.027,2.873,1,1.026,3.274,0,1,2.988,2.803,0.185,0.185,1.477,5.271,4.511
PME00101,professional_workshop_context,3.029,2.829,2.808,3.442,2.845,2.429,2.674,2.507,,3.257,1,0.887,2.386,0,0,2.990,2.615,0.376,0.376,0.857,5.024,4.525
PME00102,professional_workshop_context,3.006,2.371,2.882,2.740,3.012,3.039,3.177,2.374,2.696,2.696,1,1.055,1.316,0,1,2.802,2.821,-0.019,0.019,0.692,4.723,4.998
PME00103,professional_workshop_context,2.582,2.864,2.749,3.242,3.002,2.672,3.136,3.184,2.857,2.650,1,1.429,2.954,0,0,2.888,2.900,-0.012,0.012,0.836,4.731,4.569
PME00104,professional_workshop_context,2.916,3.059,2.716,2.825,2.892,2.295,2.966,2.263,2.265,3.744,1,0.339,1.979,0,0,2.881,2.706,0.175,0.175,1.039,5.718,4.696
PME00105,professional_workshop_context,2.750,2.593,2.507,3.050,2.568,2.639,2.330,2.573,2.388,2.848,1,1.461,1.139,0,1,2.694,2.612,0.082,0.082,0.837,4.658,4.724
PME00106,professional_workshop_context,2.926,,2.723,,3.581,2.870,2.204,2.764,2.676,2.165,1,1.843,2.651,0,0,2.993,2.536,0.458,0.458,1.821,4.731,4.502
PME00107,professional_workshop_context,2.666,2.698,2.485,3.008,2.548,2.515,3.181,2.335,2.803,2.477,1,2.318,1.631,0,0,2.681,2.662,0.019,0.019,0.888,4.773,4.286
PME00108,professional_workshop_context,2.690,2.602,2.834,3.006,2.095,2.997,2.490,2.710,2.331,2.945,1,1.501,1.694,0,0,2.645,2.695,-0.049,0.049,1.015,5.340,4.379
PME00109,professional_workshop_context,5.594,5.903,4.894,5.310,5.287,4.254,4.054,3.336,4.746,3.956,1,1.490,1.241,1,0,5.425,4.069,1.356,1.356,1.370,4.346,4.292
PME00110,professional_workshop_context,4.864,5.480,4.919,5.127,,3.552,3.049,3.956,2.694,3.962,1,0.725,0.462,0,0,5.165,3.443,1.722,1.722,1.151,5.026,4.855
PME00111,professional_workshop_context,5.887,4.535,5.859,5.179,6.274,3.242,4.011,3.763,2.786,4.387,1,1.208,2.912,1,0,5.639,3.638,2.001,2.001,2.602,4.352,5.305
PME00112,professional_workshop_context,5.184,5.614,4.879,5.963,5.108,4.181,4.048,4.328,3.473,3.626,1,1.176,2.819,0,0,5.350,3.931,1.419,1.419,1.844,4.535,5.030
PME00113,professional_workshop_context,5.510,5.807,5.553,4.246,5.505,4.191,3.817,4.327,3.270,3.200,1,1.502,0.944,0,0,5.324,3.761,1.563,1.563,1.891,4.143,5.086
PME00114,professional_workshop_context,5.935,6.109,4.768,5.766,5.553,4.307,3.149,3.596,3.946,3.280,1,0.000,2.159,0,1,5.626,3.493,2.134,2.134,1.382,5.211,5.278
PME00115,professional_workshop_context,6.819,6.002,5.427,5.907,6.536,4.472,3.469,3.978,3.762,3.307,1,1.477,2.850,0,0,6.138,3.798,2.341,2.341,2.818,4.360,5.170
PME00116,professional_workshop_context,5.421,5.060,5.767,4.915,5.036,3.842,4.393,4.014,2.677,2.382,1,1.463,1.128,0,0,5.240,3.462,1.778,1.778,1.922,4.872,4.694
PME00117,professional_workshop_context,6.003,5.704,5.152,5.094,5.097,3.078,3.660,2.931,3.812,3.660,0,0.399,2.071,0,0,5.410,3.428,1.982,1.982,1.981,4.290,4.366
PME00118,professional_workshop_context,5.804,6.086,5.553,5.738,5.550,3.098,3.672,2.982,4.406,4.370,1,2.423,1.901,0,0,5.746,3.706,2.040,2.040,2.403,3.735,5.241
PME00119,professional_workshop_context,4.510,5.395,5.577,5.839,5.931,4.119,2.412,3.060,4.156,4.171,1,1.519,2.157,0,0,5.450,3.584,1.867,1.867,2.215,4.782,5.135
PME00120,professional_workshop_context,5.640,5.683,5.408,5.737,5.928,3.984,3.020,4.182,3.543,3.617,1,1.428,1.470,0,0,5.679,3.669,2.010,2.010,1.543,4.787,4.153
PME00121,professional_workshop_context,4.203,3.134,3.403,2.731,3.344,5.132,4.881,5.417,5.933,4.557,1,1.440,1.723,0,0,3.363,5.184,-1.821,1.821,2.166,4.611,5.422
PME00122,professional_workshop_context,3.458,2.647,3.784,3.298,4.293,5.525,4.981,4.680,5.381,4.374,1,1.741,2.319,0,0,3.496,4.988,-1.492,1.492,1.964,4.590,4.548
PME00123,professional_workshop_context,3.632,3.852,3.304,3.351,4.359,4.963,5.124,5.515,4.940,5.877,1,2.248,2.076,0,0,3.700,5.284,-1.584,1.584,2.446,4.384,5.127
PME00124,professional_workshop_context,3.609,3.080,2.742,3.424,3.415,4.795,5.217,4.857,5.704,4.510,1,1.500,1.613,0,1,3.254,5.143,-1.889,1.889,2.232,4.178,4.891
PME00125,professional_workshop_context,4.258,3.852,3.338,3.704,3.237,4.513,5.266,5.270,5.378,4.697,1,0.879,1.751,0,0,3.678,5.025,-1.347,1.347,1.358,5.054,5.285
PME00126,professional_workshop_context,3.944,3.833,3.207,3.259,3.025,5.135,5.329,4.631,4.629,5.007,1,1.734,2.375,0,0,3.453,4.946,-1.493,1.493,2.586,4.664,4.789
PME00127,professional_workshop_context,3.324,3.357,3.157,3.272,2.676,4.971,5.440,5.255,4.744,3.922,1,1.378,1.848,0,0,3.157,4.866,-1.709,1.709,1.929,4.258,5.009
PME00128,professional_workshop_context,3.529,3.477,4.138,3.464,4.127,5.168,4.604,5.269,4.765,4.761,1,1.571,2.375,0,0,3.747,4.913,-1.166,1.166,1.793,4.283,5.162
PME00129,professional_workshop_context,3.178,3.819,4.454,3.159,2.900,5.087,4.811,4.903,5.067,4.837,1,1.368,2.077,0,0,3.502,4.941,-1.439,1.439,1.832,4.671,4.625
PME00130,professional_workshop_context,3.724,,3.646,3.316,3.403,4.731,4.533,4.668,4.815,5.656,1,0.108,1.889,0,0,3.386,4.881,-1.495,1.495,1.561,4.731,4.685
PME00131,professional_workshop_context,3.361,2.980,3.890,2.964,3.275,5.851,4.725,4.685,4.490,5.277,1,0.000,1.940,0,0,3.294,5.006,-1.712,1.712,1.594,5.038,4.806
PME00132,professional_workshop_context,3.828,3.528,2.883,3.445,3.106,4.150,4.735,4.964,5.108,4.807,1,1.311,2.256,1,0,3.315,4.753,-1.437,1.437,2.530,4.815,4.986
PME00133,professional_workshop_context,5.158,6.064,6.225,4.999,4.546,4.588,4.258,5.138,3.884,3.688,1,0.795,2.397,0,0,5.398,4.311,1.087,1.087,1.562,5.528,4.679
PME00134,professional_workshop_context,4.103,5.175,3.907,,4.102,3.696,3.892,5.502,4.092,3.536,1,1.432,1.672,0,1,4.449,4.156,0.293,0.293,0.633,4.927,5.102
PME00135,professional_workshop_context,3.508,4.024,5.390,,4.445,4.602,4.166,3.707,3.875,4.259,1,1.310,2.485,0,0,4.461,4.122,0.339,0.339,1.192,4.928,4.148
PME00136,professional_workshop_context,5.442,4.564,4.889,5.975,4.733,3.856,4.048,3.900,3.640,4.048,1,0.458,2.040,0,0,5.121,3.899,1.222,1.222,1.837,5.436,4.530
PME00137,professional_workshop_context,5.111,3.449,4.131,4.349,4.624,3.247,3.791,4.014,3.300,4.158,1,1.270,2.039,0,0,4.333,3.702,0.631,0.631,1.128,5.075,4.863
PME00138,professional_workshop_context,4.334,5.001,4.947,4.836,6.363,4.601,4.338,4.781,4.474,3.660,1,0.814,2.801,1,0,5.120,4.371,0.749,0.749,1.751,4.895,4.651
PME00139,professional_workshop_context,4.933,5.601,4.780,4.200,5.749,3.713,4.391,4.506,,4.659,1,1.198,2.118,0,0,5.053,4.224,0.829,0.829,1.378,4.850,4.973
PME00140,professional_workshop_context,4.122,4.997,5.508,5.220,5.219,4.729,2.894,4.368,3.865,3.186,1,0.920,1.950,0,1,5.013,3.964,1.049,1.049,1.169,4.744,5.073
PME00141,professional_workshop_context,4.630,4.585,5.528,5.764,4.511,3.911,4.492,3.643,4.009,4.128,1,0.264,2.159,1,0,4.872,4.037,0.836,0.836,1.162,4.944,4.469
PME00142,professional_workshop_context,4.744,4.433,4.473,4.819,5.063,3.523,4.714,3.033,3.405,4.261,0,1.494,1.634,0,0,4.706,3.787,0.919,0.919,1.265,4.703,4.752
